DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-07,Metta World Peace,LAL,DEN,F,5:56,0.131,0.182,0.333,0.0,0.25,0.0,0.0,1.0,0.0,0.4,0.0,2,0.0,0,1,0.0,0,0.0,1,0,1,0,0,2,0,-5,3.25,0,0,0,,0,0.0,91.4,114.2,-22.8,0.0,0.1,0.0,129.28,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.545,0.18,0.0,0,0,0,0,4,0,6,10,0,0,NBA TV
2016-10-19,Metta World Peace,LAL,GSW,,4:34,0.253,0.222,0.25,0.0,0.333,0.0,0.5,0.0,0.0,0.333,0.0,2,0.0,0,1,0.0,0,0.0,2,0,0,0,1,1,0,5,2.0,0,0,0,,0,0.0,111.3,68.5,42.8,0.0,0.167,0.0,97.96,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.114,0.333,0,0,0,0,0,0,2,2,0,0,ESPN
2015-11-06,Metta World Peace,LAL,BKN,,16:58,0.076,0.115,0.25,0.0,0.214,0.167,0.0,0.25,0.333,0.0,0.079,3,0.333,1,3,0.333,0,0.0,3,1,1,1,0,0,3,12,12.5,5,27,23,0.0435,1,0.0,101.7,75.1,26.7,0.111,0.103,0.5,101.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.355,0.194,0.144,0.25,0,0,0,0,6,4,4,16,4,0,
2015-11-08,Metta World Peace,LAL,NYK,,15:55,0.117,0.138,0.222,0.0,0.25,0.2,0.0,0.5,0.5,0.286,0.286,4,0.75,2,2,1.0,0,0.0,4,1,1,1,0,2,8,-3,19.25,7,19,14,0.0714,1,1.0,89.7,99.7,-10.0,0.143,0.129,1.0,93.91,0.5,0.5,0.25,0.75,0.25,0.0,0.667,0.333,0.446,0.25,0.097,0.188,2,0,2,0,5,5,2,10,5,0,
2015-11-10,Metta World Peace,LAL,MIA,F,22:29,0.182,0.206,0.571,0.0,0.0,0.077,0.111,0.5,0.5,0.375,0.389,7,0.714,4,4,1.0,0,0.0,0,1,1,2,1,3,14,-17,22.75,6,24,15,0.0667,2,0.5,84.0,122.1,-38.2,0.1,0.0,1.0,92.1,0.429,0.571,0.143,0.857,0.214,0.143,1.0,0.0,0.523,0.233,0.092,0.364,3,0,0,2,14,12,6,22,12,2,
2015-11-11,Metta World Peace,LAL,ORL,F,27:11,0.14,0.149,0.231,0.0,0.074,0.083,0.2,0.333,0.167,0.0,0.173,7,0.571,1,3,0.333,0,0.0,2,1,1,1,1,0,9,1,16.75,9,33,23,0.0435,3,0.667,97.6,99.4,-1.8,0.063,0.029,0.643,92.35,0.571,0.429,0.667,0.333,0.0,0.222,1.0,0.0,0.379,0.045,0.078,0.465,0,3,0,2,5,13,5,18,13,1,
2015-11-13,Metta World Peace,LAL,DAL,,18:07,0.193,0.237,0.333,0.0,0.143,0.0,0.0,0.333,0.0,0.231,0.0,9,0.0,0,4,0.0,0,0.0,3,0,1,0,0,3,0,-9,5.75,5,28,17,0.0,4,0.0,66.4,97.2,-30.8,0.0,0.068,0.0,102.91,0.556,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.615,0.162,0.118,0,0,0,0,8,7,3,4,7,1,
2015-11-15,Metta World Peace,LAL,DET,,12:17,0.25,0.167,0.4,0.583,0.091,0.333,0.0,0.0,0.0,0.429,0.227,3,0.0,0,2,0.0,7,0.714,1,1,0,0,0,3,5,-2,7.5,3,16,10,0.1,1,0.0,98.7,94.8,4.0,0.167,0.037,0.0,93.03,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.115,0.079,0.308,0,0,2,0,0,2,6,14,2,3,
2015-11-16,Metta World Peace,LAL,PHX,F,20:40,0.183,0.188,0.375,0.4,0.235,0.143,0.0,0.0,0.0,0.1,0.273,6,0.667,2,3,0.667,4,0.5,4,1,0,0,0,1,12,-3,19.25,8,26,17,0.0588,2,0.5,111.7,114.7,-3.1,0.083,0.103,0.833,93.32,0.5,0.5,0.333,0.5,0.333,0.167,0.25,0.75,0.526,0.237,0.146,0.333,4,0,0,2,8,9,8,16,9,3,
2015-11-20,Metta World Peace,LAL,TOR,,16:31,0.133,0.133,0.333,0.333,0.071,0.0,0.0,0.0,0.0,0.333,0.133,4,0.25,1,4,0.25,2,0.5,1,0,0,0,0,2,4,-5,5.75,4,21,16,0.0,2,0.0,94.8,118.1,-23.3,0.0,0.034,0.375,89.01,0.0,1.0,0.0,0.75,0.75,0.0,1.0,0.0,0.556,0.222,0.169,0.357,3,0,4,0,7,4,0,14,4,2,
2015-11-22,Metta World Peace,LAL,POR,,13:28,0.139,0.143,0.0,0.0,0.125,0.25,0.333,1.0,0.0,0.667,0.0,3,0.0,0,0,0.0,0,0.0,2,1,1,0,1,2,0,0,5.25,4,16,13,0.0769,2,0.0,92.6,87.4,5.2,0.167,0.074,0.0,91.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.136,0.152,0.077,0,0,0,0,2,0,4,18,0,0,
