DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-11,Meyers Leonard,POR,LAL,,20:34,0.289,0.345,0.308,0.143,0.353,0.111,0.167,0.0,0.25,0.429,0.25,10,0.4,1,4,0.25,2,1.0,6,1,0,1,1,6,11,0,21.75,0,0,0,,0,0.0,112.4,106.6,5.8,0.1,0.171,0.45,93.87,0.6,0.4,0.545,0.273,0.182,0.364,1.0,0.0,0.486,0.324,0.097,0.25,2,0,0,4,8,8,7,20,8,1,NBA TV
2016-10-13,Meyers Leonard,POR,LAC,,22:58,0.111,0.111,0.222,0.143,0.389,0.111,0.091,0.0,0.0,0.071,0.116,4,0.5,0,2,0.0,2,0.5,7,1,0,0,1,1,5,-17,14.5,0,0,0,,0,0.0,82.4,119.1,-36.7,0.077,0.179,0.5,107.16,0.5,0.5,0.8,0.0,0.0,0.4,1.0,0.0,0.524,0.452,0.079,0.19,0,0,0,2,18,5,9,30,5,2,TNT
2016-10-21,Meyers Leonard,POR,GSW,,15:32,0.274,0.296,0.333,0.0,0.067,0.0,0.2,0.0,0.0,0.0,0.387,8,0.625,2,4,0.5,0,0.0,1,0,0,0,1,0,12,5,13.75,0,0,0,,0,0.0,100.4,91.4,9.0,0.0,0.034,0.75,91.65,0.5,0.5,0.5,0.5,0.167,0.5,1.0,0.0,0.417,0.033,0.07,0.235,2,2,0,6,6,5,0,12,5,0,NBA TV
2015-10-28,Meyers Leonard,POR,NOP,F,34:02,0.184,0.194,0.318,0.0,0.195,0.176,0.2,0.25,0.333,0.154,0.15,12,0.417,2,7,0.286,0,0.0,8,3,1,1,2,2,12,29,29.75,15,58,39,0.0769,2,0.5,112.7,72.0,40.7,0.111,0.118,0.5,99.98,0.417,0.583,0.5,0.5,0.0,0.167,1.0,0.0,0.371,0.177,0.113,0.1,0,0,0,2,6,4,4,20,4,1,
2015-10-30,Meyers Leonard,POR,PHX,F,17:33,0.166,0.172,0.2,0.0,0.25,0.25,0.2,0.0,0.0,0.333,0.0,5,0.0,0,2,0.0,0,0.0,3,2,0,0,2,5,0,-13,5.25,4,32,27,0.0741,3,0.0,84.8,116.8,-32.0,0.182,0.094,0.0,109.8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.75,0.149,0.231,0,0,0,0,15,5,10,18,5,1,
2015-10-31,Meyers Leonard,POR,PHX,F,30:58,0.141,0.151,0.211,0.25,0.037,0.0,0.0,0.5,0.333,0.091,0.164,8,0.375,0,4,0.0,4,0.75,1,0,1,1,0,1,9,-17,14.25,7,40,29,0.0,0,0.0,88.7,111.0,-22.4,0.0,0.017,0.375,98.35,0.5,0.5,0.667,0.0,0.0,0.222,1.0,0.0,0.534,0.186,0.123,0.259,0,3,0,2,10,7,5,22,7,3,
2015-11-02,Meyers Leonard,POR,MIN,F,23:52,0.171,0.175,0.333,0.222,0.333,0.125,0.125,0.0,0.333,0.214,0.083,7,0.143,0,4,0.0,2,1.0,7,1,0,1,1,3,4,-3,15.5,12,44,35,0.0286,3,0.333,98.0,101.5,-3.5,0.056,0.175,0.143,99.75,0.429,0.571,0.5,0.0,0.0,0.0,1.0,0.0,0.427,0.512,0.08,0.182,0,0,0,0,6,4,7,24,4,2,
2015-11-04,Meyers Leonard,POR,UTA,F,11:26,0.084,0.118,0.167,0.0,0.0,0.0,0.0,0.0,0.667,1.0,0.08,2,0.5,0,1,0.0,0,0.0,0,0,0,2,0,1,2,-1,6.0,3,9,7,0.0,0,0.0,105.2,108.9,-3.7,0.0,0.0,0.5,99.97,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.48,0.08,0.0,0.167,0,0,0,0,6,2,0,12,2,0,
2015-11-05,Meyers Leonard,POR,MEM,F,27:28,0.136,0.14,0.136,0.188,0.179,0.118,0.0,0.0,0.0,0.357,0.184,7,0.714,1,3,0.333,3,1.0,5,2,0,0,0,5,14,19,23.25,8,34,26,0.0769,1,1.0,146.0,110.7,35.3,0.087,0.104,0.786,90.45,0.571,0.429,0.571,0.214,0.143,0.429,0.8,0.2,0.5,0.386,0.078,0.174,2,2,2,6,2,8,0,24,8,1,TNT
2015-11-08,Meyers Leonard,POR,DET,F,33:15,0.179,0.228,0.217,0.0,0.08,0.059,0.067,0.0,0.0,0.267,0.246,13,0.538,3,5,0.6,0,0.0,2,1,0,0,1,4,17,-26,21.75,9,45,32,0.0313,4,0.75,94.3,139.9,-45.6,0.056,0.034,0.654,101.83,0.615,0.385,0.471,0.529,0.0,0.235,1.0,0.0,0.656,0.281,0.074,0.31,0,0,0,4,18,16,6,44,16,0,
2015-11-09,Meyers Leonard,POR,DEN,F,34:28,0.156,0.152,0.19,0.0,0.31,0.25,0.4,0.0,0.0,0.429,0.134,10,0.5,1,4,0.25,0,0.0,9,4,0,0,2,6,11,11,26.75,13,61,47,0.0851,1,0.0,112.1,98.7,13.4,0.16,0.15,0.55,101.03,0.6,0.4,0.727,0.273,0.0,0.0,0.8,0.2,0.517,0.31,0.139,0.138,0,0,0,0,4,9,4,40,9,1,
2015-11-11,Meyers Leonard,POR,SAS,F,23:56,0.077,0.093,0.067,0.0,0.263,0.125,0.0,0.0,0.0,0.167,0.127,4,0.75,1,1,1.0,0,0.0,5,2,0,0,0,1,7,4,16.25,9,41,37,0.0541,0,0.0,112.3,108.3,4.0,0.105,0.125,0.875,96.31,0.75,0.25,0.571,0.429,0.0,0.0,1.0,0.0,0.523,0.163,0.085,0.158,0,0,0,0,6,2,3,14,2,1,ESPN
2015-11-28,Meyers Leonard,POR,LAL,,21:46,0.143,0.206,0.385,0.0,0.316,0.222,0.0,0.0,1.0,0.125,0.156,7,0.429,1,5,0.2,0,0.0,6,2,0,1,0,1,7,-2,19.5,11,46,37,0.0541,1,1.0,102.2,107.5,-5.3,0.182,0.176,0.5,96.76,0.286,0.714,0.571,0.429,0.0,0.286,1.0,0.0,0.5,0.351,0.091,0.176,0,0,0,2,9,4,4,14,4,0,
2015-11-30,Meyers Leonard,POR,LAC,,18:14,0.157,0.167,0.154,0.222,0.25,0.0,0.0,0.0,0.0,0.3,0.125,6,0.167,0,2,0.0,2,1.0,6,0,0,0,0,3,4,-2,11.5,8,40,31,0.0,2,0.5,84.3,91.8,-7.5,0.0,0.125,0.167,98.72,0.667,0.333,0.5,0.0,0.0,0.0,1.0,0.0,0.438,0.5,0.108,0.25,0,2,0,0,2,7,7,12,7,2,
2015-12-01,Meyers Leonard,POR,DAL,,31:53,0.264,0.288,0.407,0.375,0.233,0.056,0.0,0.5,0.0,0.4,0.371,17,0.471,4,11,0.364,3,1.0,7,1,1,0,0,6,23,-3,37.0,10,63,43,0.0233,6,0.5,96.1,105.7,-9.6,0.067,0.106,0.588,94.83,0.353,0.647,0.348,0.522,0.0,0.348,1.0,0.0,0.425,0.283,0.098,0.324,0,4,0,8,17,10,6,24,10,3,NBA TV
2015-12-03,Meyers Leonard,POR,IND,,24:40,0.188,0.213,0.2,0.0,0.074,0.083,0.111,0.143,0.0,0.214,0.182,10,0.5,2,4,0.5,0,0.0,2,1,1,0,1,3,12,12,18.25,7,50,38,0.0263,3,0.667,135.7,111.4,24.3,0.053,0.042,0.6,94.5,0.6,0.4,0.5,0.5,0.0,0.167,0.6,0.4,0.453,0.395,0.144,0.346,0,0,0,2,12,11,7,10,11,1,
2015-12-05,Meyers Leonard,POR,MIN,,23:37,0.255,0.303,0.6,0.0,0.0,0.182,0.286,0.0,0.0,0.455,0.292,10,0.6,2,6,0.333,0,0.0,0,2,0,0,2,5,14,1,16.5,10,34,21,0.0952,0,0.0,109.0,106.4,2.6,0.167,0.0,0.7,89.62,0.4,0.6,0.571,0.429,0.214,0.286,0.833,0.167,0.417,0.333,0.113,0.346,3,0,0,4,5,11,6,20,11,0,
2015-12-07,Meyers Leonard,POR,MIL,,23:17,0.24,0.238,0.333,0.0,0.227,0.2,0.333,0.0,0.333,0.231,0.136,10,0.3,0,6,0.0,0,0.0,5,2,0,1,3,3,6,-2,15.25,7,51,39,0.0513,4,0.75,93.5,104.0,-10.5,0.143,0.111,0.3,94.13,0.4,0.6,1.0,0.0,0.333,1.0,0.667,0.333,0.405,0.568,0.113,0.318,2,0,2,6,10,7,6,20,7,0,
