DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Michael Beasley,MIL,CHI,,18:16,0.253,0.226,0.4,0.333,0.111,0.0,0.286,0.5,0.0,0.125,0.234,7,0.286,2,4,0.5,6,0.833,3,0,2,0,2,1,11,18,18.75,0,0,0,,0,0.0,123.9,76.2,47.8,0.0,0.073,0.429,99.85,0.429,0.571,0.0,0.545,0.091,0.0,1.0,0.0,0.375,0.219,0.131,0.095,1,0,0,0,6,4,0,12,4,3,NBA TV
2016-10-08,Michael Beasley,MIL,DAL,,8:38,0.427,0.385,0.0,0.25,0.75,0.0,0.6,0.0,0.0,0.333,0.273,5,0.2,0,0,0.0,1,1.0,9,0,0,0,3,1,3,-2,12.75,0,0,0,,0,0.0,61.9,68.9,-6.9,0.0,0.429,0.2,101.86,1.0,0.0,0.667,0.0,0.0,0.0,0.0,1.0,0.289,0.105,0.053,0.167,0,0,0,0,4,2,4,6,2,1,
2016-10-12,Michael Beasley,MIL,IND,,13:11,0.27,0.308,0.5,0.182,0.077,0.0,0.0,0.0,0.0,0.0,0.308,8,0.125,0,3,0.0,2,1.0,1,0,0,0,0,0,4,-14,5.25,0,0,0,,0,0.0,46.7,99.7,-53.0,0.0,0.028,0.125,99.98,0.625,0.375,0.5,0.0,0.0,0.5,1.0,0.0,0.423,0.269,0.111,0.385,0,0,0,2,2,7,4,6,7,2,
2016-10-15,Michael Beasley,MIL,CHI,,7:17,0.27,0.25,0.0,1.0,0.545,0.0,0.0,0.0,0.0,0.25,0.368,4,0.75,0,0,0.0,1,1.0,6,0,0,0,0,1,7,15,14.5,0,0,0,,0,0.0,123.1,26.9,96.2,0.0,0.3,0.75,99.91,1.0,0.0,0.857,0.0,0.286,0.571,1.0,0.0,0.071,0.143,0.202,0.231,2,2,0,4,0,2,0,2,2,1,
2016-03-05,Michael Beasley,HOU,CHI,,4:16,0.5,0.625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.5,5,0.2,0,0,0.0,0,0.0,0,1,0,0,0,1,2,-8,3.25,2,12,7,0.1429,2,0.0,44.4,133.9,-89.5,1.0,0.0,0.2,101.06,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,2.25,0.112,0.0,0,0,2,0,3,0,2,4,0,0,ABC
2016-03-09,Michael Beasley,HOU,PHI,,8:57,0.294,0.273,0.0,0.267,0.167,0.0,0.5,1.0,1.0,0.444,0.286,3,0.667,0,0,0.0,4,1.0,1,0,2,1,1,4,8,-2,14.75,6,21,15,0.0,1,1.0,150.5,139.7,10.9,0.0,0.067,0.667,107.46,1.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.529,1.0,0.093,0.5,2,4,0,4,4,10,0,4,10,2,
2016-03-11,Michael Beasley,HOU,BOS,,14:59,0.519,0.613,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.333,0.621,19,0.474,0,0,0.0,0,0.0,8,0,1,0,1,3,18,-3,29.5,10,40,19,0.0,12,0.5,98.2,106.1,-7.9,0.0,0.25,0.474,95.6,1.0,0.0,1.0,0.0,0.111,0.778,0.333,0.667,0.457,0.609,0.199,0.417,2,0,6,14,6,7,8,10,7,0,
2016-03-12,Michael Beasley,HOU,CHA,,15:00,0.362,0.333,0.1,0.429,0.222,0.0,0.5,0.0,0.5,0.0,0.682,9,0.667,0,1,0.0,3,1.0,2,0,0,1,2,0,15,-28,18.5,4,41,28,0.0,7,0.714,73.1,160.3,-87.1,0.0,0.069,0.667,98.05,0.889,0.111,0.8,0.0,0.0,0.667,0.833,0.167,0.697,0.152,0.064,0.545,0,0,2,10,6,8,13,18,8,2,
2016-03-14,Michael Beasley,HOU,MEM,,27:25,0.184,0.19,0.231,0.095,0.333,0.154,0.25,0.5,0.125,0.188,0.162,8,0.5,1,3,0.333,2,1.0,9,2,3,1,2,3,11,12,32.25,16,40,28,0.0714,4,0.5,116.8,92.3,24.5,0.1,0.143,0.563,104.13,0.625,0.375,0.545,0.273,0.0,0.0,0.75,0.25,0.331,0.355,0.132,0.422,0,0,0,0,11,16,10,24,16,1,
2016-03-16,Michael Beasley,HOU,LAC,,18:42,0.308,0.343,0.0,0.667,0.444,0.125,0.0,0.0,0.0,0.222,0.381,12,0.583,0,0,0.0,4,0.5,8,1,0,0,0,2,16,-10,27.25,8,41,27,0.037,7,0.714,108.7,141.2,-32.5,0.1,0.276,0.583,96.87,1.0,0.0,0.875,0.0,0.0,0.75,0.286,0.714,0.776,0.379,0.081,0.0,0,2,4,12,13,0,7,12,0,2,ESPN
