DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Michael Kidd-Gilchrist,CHA,DAL,F,24:00,0.206,0.229,0.091,0.19,0.2,0.0,0.125,1.0,0.0,0.25,0.2,8,0.375,0,1,0.0,4,0.5,5,0,1,0,1,2,8,-9,15.75,0,0,0,,0,0.0,86.5,103.6,-17.0,0.0,0.109,0.375,93.56,0.875,0.125,0.75,0.0,0.375,0.75,0.333,0.667,0.489,0.064,0.063,0.174,3,1,2,6,7,3,7,8,3,2,
2016-10-06,Michael Kidd-Gilchrist,CHA,BOS,F,23:35,0.217,0.222,0.125,0.5,0.211,0.0,0.125,0.0,0.0,0.0,0.219,10,0.3,0,2,0.0,2,0.5,4,0,0,0,1,0,7,-34,11.5,0,0,0,,0,0.0,63.0,124.9,-61.9,0.0,0.083,0.3,105.43,0.8,0.2,0.857,0.0,0.571,0.571,0.667,0.333,0.644,0.244,0.132,0.211,4,4,0,4,16,18,8,20,18,3,
2016-10-08,Michael Kidd-Gilchrist,CHA,BOS,F,25:57,0.228,0.234,0.0,0.429,0.179,0.091,0.091,0.5,0.25,0.1,0.22,11,0.273,0,0,0.0,6,0.833,5,1,2,1,1,1,11,-8,24.0,0,0,0,,0,0.0,89.0,101.3,-12.2,0.067,0.114,0.273,104.92,1.0,0.0,0.545,0.0,0.0,0.364,1.0,0.0,0.5,0.255,0.122,0.091,0,3,2,4,11,6,8,14,6,3,NBA TV
2016-10-10,Michael Kidd-Gilchrist,CHA,MIN,F,20:34,0.245,0.297,0.0,0.0,0.261,0.0,0.0,0.0,0.667,0.5,0.093,11,0.182,0,0,0.0,0,0.0,6,0,0,2,0,2,4,0,15.5,0,0,0,,0,0.0,102.5,98.3,4.2,0.0,0.133,0.182,100.03,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.488,0.095,0.114,0.2,0,0,2,4,4,2,2,14,2,1,
2016-10-17,Michael Kidd-Gilchrist,CHA,CHI,F,25:51,0.244,0.271,0.0,0.167,0.37,0.143,0.167,0.0,0.0,0.0,0.18,13,0.231,0,0,0.0,4,0.75,10,1,0,0,1,0,9,-5,22.25,0,0,0,,0,0.0,93.4,97.7,-4.4,0.111,0.192,0.231,101.98,1.0,0.0,0.667,0.0,0.222,0.444,0.667,0.333,0.5,0.267,0.178,0.2,2,4,5,4,6,10,8,24,10,3,NBA TV
2016-10-20,Michael Kidd-Gilchrist,CHA,MIA,F,29:48,0.144,0.164,0.0,0.0,0.424,0.063,0.125,0.143,0.0,0.167,0.149,9,0.556,0,0,0.0,0,0.0,14,1,1,0,1,2,10,17,30.25,0,0,0,,0,0.0,107.0,81.6,25.4,0.053,0.237,0.556,99.77,1.0,0.0,1.0,0.0,0.2,0.6,0.8,0.2,0.447,0.255,0.196,0.103,2,4,0,6,12,4,4,14,4,1,
2016-10-21,Michael Kidd-Gilchrist,CHA,MIN,F,18:04,0.179,0.258,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.167,0.176,8,0.375,0,0,0.0,0,0.0,3,0,0,0,0,2,6,-9,9.75,0,0,0,,0,0.0,85.9,105.3,-19.4,0.0,0.068,0.375,106.86,1.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,0.436,0.282,0.122,0.364,0,0,0,2,12,15,6,16,15,1,NBA TV
2016-01-29,Michael Kidd-Gilchrist,CHA,POR,F,33:33,0.168,0.145,0.0,0.261,0.189,0.071,0.2,0.0,0.0,0.0,0.197,8,0.625,0,0,0.0,6,0.5,7,1,0,0,2,0,13,-2,22.0,13,32,18,0.0556,7,0.714,102.9,100.9,2.0,0.056,0.1,0.625,94.08,1.0,0.0,0.769,0.0,0.308,0.769,0.6,0.4,0.484,0.156,0.104,0.235,4,6,2,10,17,7,11,32,7,5,
2016-01-31,Michael Kidd-Gilchrist,CHA,LAL,F,27:57,0.159,0.123,0.083,0.421,0.293,0.158,0.143,0.333,0.0,0.25,0.284,7,0.857,2,2,1.0,8,0.625,12,3,1,0,1,2,19,24,40.25,19,34,22,0.1364,5,0.8,109.2,74.3,34.8,0.176,0.19,1.0,102.35,0.714,0.286,0.421,0.316,0.158,0.421,0.667,0.333,0.347,0.224,0.121,0.091,3,5,4,8,9,2,2,12,2,4,
2016-02-03,Michael Kidd-Gilchrist,CHA,CLE,F,36:51,0.2,0.237,0.048,0.105,0.317,0.0,0.083,0.0,0.0,0.286,0.145,14,0.357,0,1,0.0,2,0.5,13,0,0,0,1,2,11,7,26.75,20,41,25,0.0,9,0.444,105.0,92.8,12.2,0.0,0.2,0.357,95.53,0.929,0.071,0.909,0.0,0.0,0.727,0.6,0.4,0.472,0.042,0.067,0.081,0,4,0,8,9,5,11,32,5,2,
