DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Mike Conley,MEM,ORL,G,17:07,0.244,0.259,0.222,0.385,0.0,0.333,0.0,0.6,0.0,0.111,0.286,7,0.429,0,2,0.0,5,0.8,0,2,3,0,0,1,10,-6,18.5,0,0,0,,0,0.0,98.0,108.9,-10.9,0.25,0.0,0.429,102.86,0.714,0.286,0.6,0.0,0.4,0.4,0.333,0.667,0.704,0.222,0.239,0.091,4,4,0,4,6,3,5,10,3,3,
2016-10-11,Mike Conley,MEM,PHI,G,21:45,0.262,0.263,0.333,0.308,0.083,0.545,0.2,1.0,0.2,0.167,0.293,10,0.6,2,3,0.667,4,0.75,2,6,2,1,1,1,17,23,33.5,0,0,0,,0,0.0,132.7,82.9,49.7,0.4,0.053,0.7,94.81,0.7,0.3,0.471,0.353,0.118,0.235,0.333,0.667,0.432,0.135,0.166,0.174,2,2,0,4,7,2,4,10,2,3,
2016-10-13,Mike Conley,MEM,OKC,G,26:29,0.247,0.261,0.188,0.28,0.095,0.778,0.0,0.0,0.0,0.188,0.275,12,0.5,3,3,1.0,7,0.571,2,7,0,0,0,3,19,15,31.75,0,0,0,,0,0.0,121.1,91.0,30.1,0.5,0.042,0.625,105.45,0.75,0.25,0.316,0.474,0.316,0.316,0.167,0.833,0.525,0.475,0.286,0.261,6,3,2,6,4,7,9,14,7,6,
2016-10-15,Mike Conley,MEM,HOU,G,24:07,0.239,0.225,0.263,0.364,0.0,0.538,0.143,0.333,0.0,0.143,0.288,9,0.444,3,5,0.6,8,1.0,0,7,3,0,1,2,19,15,34.75,0,0,0,,0,0.0,123.0,97.4,25.5,0.438,0.0,0.611,105.53,0.444,0.556,0.105,0.474,0.421,0.105,0.5,0.5,0.472,0.528,0.21,0.158,8,0,0,2,9,4,6,26,4,5,
2016-10-19,Mike Conley,MEM,MIN,G,19:59,0.22,0.222,0.167,0.333,0.083,0.333,0.143,0.5,0.0,0.286,0.265,8,0.375,1,2,0.5,3,0.667,1,2,2,0,1,4,9,-27,16.75,0,0,0,,0,0.0,81.0,144.4,-63.4,0.222,0.03,0.438,101.12,0.75,0.25,0.444,0.333,0.333,0.444,0.667,0.333,0.625,0.656,0.118,0.364,3,0,0,4,11,7,11,24,7,1,
2015-10-28,Mike Conley,MEM,CLE,G,29:26,0.167,0.157,0.2,0.333,0.148,0.545,0.125,0.0,0.0,0.143,0.167,8,0.25,0,2,0.0,4,1.0,4,6,0,0,1,1,8,-18,20.0,7,66,51,0.1176,4,0.25,86.8,116.5,-29.7,0.375,0.067,0.25,91.26,0.75,0.25,0.5,0.0,0.0,0.25,0.0,1.0,0.564,0.109,0.141,0.333,0,2,0,2,8,11,11,30,11,5,
2015-10-29,Mike Conley,MEM,IND,G,30:17,0.24,0.208,0.111,0.167,0.133,0.667,0.5,0.25,0.0,0.235,0.203,11,0.455,1,1,1.0,2,1.0,4,10,2,0,4,4,13,3,33.0,5,74,55,0.1818,9,0.444,111.7,103.5,8.2,0.5,0.069,0.5,92.12,0.909,0.091,0.615,0.231,0.462,0.462,0.2,0.8,0.48,0.367,0.153,0.25,6,4,2,6,8,7,7,18,7,1,
2015-10-31,Mike Conley,MEM,BKN,G,32:26,0.217,0.218,0.438,0.286,0.071,0.421,0.143,0.2,0.0,0.0,0.328,12,0.583,4,7,0.571,4,1.0,2,8,1,0,1,0,22,6,38.0,3,94,77,0.1039,4,0.75,109.5,99.2,10.4,0.471,0.036,0.75,90.78,0.417,0.583,0.273,0.545,0.182,0.273,0.571,0.429,0.528,0.151,0.146,0.16,4,4,0,6,6,6,6,40,6,3,
2015-11-02,Mike Conley,MEM,GSW,G,26:27,0.161,0.14,0.167,0.538,0.087,0.5,0.0,0.2,0.0,0.083,0.303,8,0.25,0,2,0.0,7,0.857,2,5,1,0,0,1,10,-41,20.75,2,75,61,0.082,3,0.0,54.3,125.1,-70.7,0.556,0.033,0.25,108.78,0.75,0.25,0.4,0.0,0.2,0.2,1.0,0.0,0.67,0.298,0.169,0.211,2,4,0,2,12,6,31,24,6,3,NBA TV
2015-11-03,Mike Conley,MEM,SAC,G,25:12,0.205,0.22,0.364,0.214,0.125,0.4,0.125,0.5,0.0,0.182,0.255,9,0.556,1,4,0.25,3,1.0,3,6,1,0,1,2,14,9,27.25,4,74,60,0.1,3,0.667,107.5,88.9,18.6,0.375,0.071,0.611,97.98,0.556,0.444,0.571,0.214,0.0,0.286,0.6,0.4,0.452,0.31,0.135,0.13,0,2,0,4,8,9,12,22,9,1,
2015-11-05,Mike Conley,MEM,POR,G,31:10,0.189,0.167,0.2,0.19,0.087,0.3,0.4,0.0,0.0,0.0,0.117,8,0.25,0,2,0.0,4,0.75,2,3,0,0,2,0,7,-19,12.25,6,78,64,0.0469,3,0.333,104.8,134.5,-29.7,0.158,0.035,0.25,89.3,0.75,0.25,0.571,0.0,0.0,0.571,0.0,1.0,0.6,0.217,0.068,0.379,0,0,2,4,7,17,4,30,17,5,TNT
2015-11-07,Mike Conley,MEM,UTA,G,39:38,0.315,0.316,0.556,0.1,0.108,0.333,0.4,0.125,0.0,0.235,0.308,25,0.32,3,10,0.3,1,1.0,4,5,1,0,4,4,20,-2,32.75,6,110,77,0.0649,10,0.2,79.9,88.0,-8.1,0.294,0.051,0.38,95.41,0.6,0.4,0.5,0.45,0.25,0.4,0.75,0.25,0.491,0.25,0.276,0.219,5,0,4,8,11,2,6,24,2,2,NBA TV
2015-11-09,Mike Conley,MEM,LAC,G,35:02,0.241,0.263,0.5,0.148,0.222,0.333,0.222,0.1,0.0,0.0,0.216,15,0.4,1,5,0.2,4,0.75,6,5,1,0,2,0,16,8,31.25,8,81,58,0.0862,6,0.667,101.5,95.2,6.4,0.25,0.109,0.433,97.42,0.667,0.333,0.625,0.188,0.25,0.5,0.167,0.833,0.472,0.358,0.187,0.185,4,6,4,8,8,8,10,24,8,2,
