DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Mike Dunleavy,CLE,ORL,,8:46,0.289,0.294,0.6,0.0,0.091,0.0,0.5,0.0,0.0,0.333,0.241,5,0.6,1,3,0.333,0,0.0,1,0,0,0,1,1,7,16,8.25,0,0,0,,0,0.0,154.6,72.7,81.9,0.0,0.063,0.7,100.31,0.4,0.6,0.571,0.429,0.0,0.571,1.0,0.0,0.4,0.133,0.168,0.1,0,0,0,4,3,2,2,6,2,0,NBA TV
2016-10-08,Mike Dunleavy,CLE,PHI,,13:23,0.168,0.154,0.333,0.0,0.1,0.2,0.5,0.0,0.0,0.333,0.185,4,0.5,1,3,0.333,0,0.0,1,2,0,0,1,3,5,3,8.75,0,0,0,,0,0.0,93.9,97.4,-3.5,0.25,0.04,0.625,95.76,0.25,0.75,0.4,0.6,0.0,0.4,1.0,0.0,0.5,0.316,0.162,0.1,0,0,2,2,0,0,0,10,0,0,NBA TV
2016-10-18,Mike Dunleavy,CLE,WAS,,15:18,0.147,0.077,0.083,0.4,0.133,0.111,0.5,0.0,0.0,0.091,0.118,2,0.5,0,1,0.0,4,0.5,2,1,0,0,1,1,4,8,7.25,0,0,0,,0,0.0,108.3,87.1,21.1,0.091,0.061,0.5,96.04,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.34,0.44,0.101,0.176,0,0,0,2,2,2,0,6,2,2,
2016-02-06,Mike Dunleavy,CHI,MIN,,14:02,0.173,0.174,0.167,0.0,0.0,0.0,0.5,0.0,0.0,0.333,0.156,4,0.5,1,1,1.0,0,0.0,0,0,0,0,1,2,5,-1,5.0,1,19,14,0.0,2,0.0,114.4,130.5,-16.1,0.0,0.0,0.625,91.08,0.75,0.25,0.4,0.6,0.0,0.4,1.0,0.0,0.478,0.522,0.079,0.455,0,0,0,2,4,5,0,12,5,0,
2016-02-08,Mike Dunleavy,CHI,CHA,F,16:08,0.24,0.241,0.25,0.0,0.083,0.182,0.333,0.0,0.0,0.0,0.242,7,0.429,2,3,0.667,0,0.0,1,2,0,0,1,0,8,-3,12.25,2,33,24,0.0833,3,0.333,105.4,118.0,-12.6,0.2,0.037,0.571,91.99,0.571,0.429,0.25,0.75,0.0,0.25,1.0,0.0,0.62,0.32,0.131,0.167,0,0,0,2,6,3,2,8,3,0,
2016-02-10,Mike Dunleavy,CHI,ATL,F,11:08,0.139,0.13,0.333,1.0,0.067,0.125,0.0,0.333,0.0,0.667,0.067,3,0.0,0,1,0.0,2,1.0,1,1,1,0,0,4,2,6,6.5,3,15,11,0.0909,2,0.0,131.1,99.2,31.9,0.077,0.045,0.0,101.49,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.227,0.124,0.231,0,0,0,0,4,5,2,6,5,1,
2016-02-18,Mike Dunleavy,CHI,CLE,F,17:17,0.245,0.273,0.375,0.0,0.063,0.0,0.143,0.0,0.0,0.333,0.167,9,0.222,1,3,0.333,0,0.0,1,0,0,0,1,3,5,-14,6.25,2,21,12,0.0,6,0.167,79.2,118.7,-39.5,0.0,0.028,0.278,104.08,0.667,0.333,0.4,0.6,0.0,0.0,0.5,0.5,0.543,0.2,0.081,0.235,0,0,0,0,15,5,8,18,5,2,TNT
2016-02-19,Mike Dunleavy,CHI,TOR,F,23:05,0.11,0.111,0.2,0.0,0.107,0.071,0.2,0.0,0.333,0.25,0.089,5,0.4,1,2,0.5,0,0.0,3,1,0,1,1,3,5,4,12.0,9,32,25,0.04,1,1.0,120.7,107.0,13.7,0.05,0.059,0.5,98.77,0.6,0.4,0.4,0.6,0.0,0.4,0.5,0.5,0.436,0.319,0.041,0.259,0,0,2,2,11,6,15,24,6,1,
2016-02-21,Mike Dunleavy,CHI,LAL,F,24:44,0.177,0.15,0.5,0.368,0.048,0.182,0.0,0.0,0.0,0.333,0.246,6,0.667,2,3,0.667,7,1.0,1,2,0,0,0,3,17,14,21.75,3,30,21,0.0952,3,0.333,152.1,109.4,42.7,0.105,0.023,0.833,92.8,0.5,0.5,0.235,0.353,0.176,0.235,1.0,0.0,0.451,0.235,0.099,0.423,3,2,0,4,6,15,4,22,15,3,ESPN
2016-02-24,Mike Dunleavy,CHI,WAS,F,28:06,0.148,0.184,0.364,0.0,0.143,0.059,0.0,0.0,1.0,0.385,0.212,9,0.667,2,4,0.5,0,0.0,4,1,0,1,0,5,14,8,23.25,7,38,29,0.0345,7,0.714,116.5,100.3,16.2,0.045,0.078,0.778,97.78,0.556,0.444,0.571,0.429,0.214,0.571,0.667,0.333,0.481,0.204,0.086,0.2,3,3,2,8,7,11,10,24,11,3,ESPN
