DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Mike Muscala,ATL,MEM,F,18:05,0.148,0.156,0.5,0.0,0.263,0.375,0.167,0.0,0.0,0.143,0.143,5,0.4,1,2,0.5,0,0.0,5,3,0,0,1,1,5,2,15.0,0,0,0,,0,0.0,98.2,95.3,2.9,0.231,0.156,0.5,93.27,0.6,0.4,0.4,0.6,0.0,0.0,1.0,0.0,0.484,0.194,0.115,0.176,0,0,0,0,9,6,0,14,6,1,
2016-10-08,Mike Muscala,ATL,SAS,F,23:35,0.204,0.186,0.2,0.0,0.25,0.308,0.429,0.25,0.0,0.0,0.209,8,0.5,1,2,0.5,0,0.0,5,4,1,0,3,0,9,-16,21.25,0,0,0,,0,0.0,89.7,116.1,-26.4,0.333,0.119,0.563,100.55,0.75,0.25,0.667,0.333,0.0,0.222,1.0,0.0,0.545,0.25,0.098,0.176,0,0,0,2,4,6,18,24,6,0,
2016-10-10,Mike Muscala,ATL,CLE,F,23:34,0.13,0.146,0.0,0.222,0.158,0.333,0.0,0.333,0.333,0.231,0.182,6,0.667,0,0,0.0,2,1.0,3,5,1,1,0,3,10,16,24.0,0,0,0,,0,0.0,107.9,81.2,26.7,0.25,0.081,0.667,100.85,1.0,0.0,0.8,0.0,0.0,0.4,0.75,0.25,0.361,0.444,0.187,0.19,0,2,2,4,8,2,5,12,2,1,
2016-10-16,Mike Muscala,ATL,ORL,C,17:20,0.126,0.125,0.111,0.182,0.353,0.083,0.0,0.0,0.0,0.5,0.188,4,0.75,1,1,1.0,2,1.0,6,1,0,0,0,2,9,12,18.25,0,0,0,,0,0.0,141.8,102.3,39.6,0.071,0.207,0.875,95.59,0.75,0.25,0.444,0.333,0.222,0.444,0.667,0.333,0.589,0.179,0.17,0.077,2,0,2,4,4,2,3,18,2,1,NBA TV
2016-10-18,Mike Muscala,ATL,NOP,,12:17,0.172,0.238,0.167,0.0,0.308,0.222,0.0,0.0,1.0,0.0,0.133,5,0.4,0,1,0.0,0,0.0,4,2,0,1,0,0,4,5,13.5,0,0,0,,0,0.0,115.0,92.6,22.4,0.25,0.167,0.4,103.71,0.8,0.2,1.0,0.0,0.0,0.5,1.0,0.0,0.521,0.0,0.185,0.167,0,0,0,2,7,2,2,8,2,0,NBA TV
2016-10-20,Mike Muscala,ATL,CHI,,15:39,0.109,0.143,0.0,0.0,0.143,0.1,0.0,1.0,0.0,0.167,0.2,4,0.75,0,0,0.0,0,0.0,3,1,1,0,0,1,6,6,13.0,0,0,0,,0,0.0,89.2,73.5,15.7,0.125,0.086,0.75,101.64,1.0,0.0,1.0,0.0,0.333,0.0,1.0,0.0,0.328,0.207,0.092,0.1,2,0,0,0,6,2,7,12,2,0,
2015-10-27,Mike Muscala,ATL,DET,,7:59,0.119,0.083,0.0,0.0,0.143,0.0,0.333,0.0,0.0,0.4,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,1,2,0,5,0.75,4,14,11,0.0,1,0.0,107.4,72.2,35.2,0.0,0.071,0.0,104.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.278,0.222,0,0,0,0,3,0,0,4,0,0,
2015-11-04,Mike Muscala,ATL,BKN,,1:37,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,4,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-07,Mike Muscala,ATL,WAS,,19:19,0.113,0.114,0.1,0.0,0.182,0.118,0.167,0.0,0.0,0.125,0.137,4,0.75,1,1,1.0,0,0.0,2,2,0,0,1,1,7,-1,12.0,5,35,29,0.069,0,0.0,124.1,135.0,-10.8,0.118,0.091,0.875,98.92,0.75,0.25,0.571,0.429,0.0,0.286,1.0,0.0,0.793,0.276,0.208,0.2,0,0,0,2,5,4,10,24,4,1,
2015-11-11,Mike Muscala,ATL,NOP,,7:38,0.134,0.154,0.25,0.0,0.2,0.333,0.0,0.0,1.0,0.0,0.158,2,0.5,1,1,1.0,0,0.0,1,1,0,1,0,0,3,2,8.0,1,15,13,0.0769,1,0.0,127.7,113.3,14.4,0.143,0.1,0.75,93.95,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.654,0.0,0.2,0.167,0,0,0,0,2,2,4,8,2,0,
2015-11-13,Mike Muscala,ATL,BOS,,5:54,0.329,0.167,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.438,1,1.0,0,0,0.0,7,0.714,0,1,0,0,0,0,7,8,8.25,2,9,8,0.125,1,1.0,140.4,66.7,73.7,0.333,0.0,1.0,95.13,1.0,0.0,0.286,0.0,0.429,0.286,1.0,0.0,0.333,0.0,0.167,0.4,3,0,3,2,0,3,0,2,3,4,
2015-11-15,Mike Muscala,ATL,UTA,,9:38,0.056,0.0,0.0,0.0,0.2,0.333,0.25,0.5,0.0,0.25,0.0,0,0.0,0,0,0.0,0,0.0,1,1,1,0,1,1,0,-7,4.0,3,16,15,0.0667,0,0.0,88.9,108.5,-19.6,0.125,0.083,0.0,97.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.313,0.189,0.167,0,0,0,0,2,0,2,10,0,1,
