DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Miles Plumlee,MIL,CHI,C,17:11,0.1,0.094,0.0,0.0,0.273,0.143,0.167,0.2,0.0,0.5,0.069,3,0.333,0,0,0.0,0,0.0,3,1,1,0,1,3,2,-8,8.5,0,0,0,,0,0.0,84.8,111.9,-27.1,0.1,0.091,0.333,93.97,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.25,0.272,0.583,0,0,0,2,6,7,11,14,7,1,NBA TV
2016-10-08,Miles Plumlee,MIL,DAL,,6:20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,6,1.25,0,0,0,,0,0.0,66.7,16.7,50.0,0.25,0.0,0.0,90.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.25,0.3,0,0,0,0,2,0,2,2,0,0,
2016-10-12,Miles Plumlee,MIL,IND,,10:26,0.134,0.08,0.0,1.0,0.385,0.0,0.333,0.0,1.0,0.0,0.133,2,0.5,0,0,0.0,2,0.0,5,0,0,1,1,0,2,-11,9.75,0,0,0,,0,0.0,65.6,123.3,-57.8,0.0,0.192,0.5,101.12,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.35,0.047,0.3,2,0,0,2,4,5,9,4,5,1,
2016-10-15,Miles Plumlee,MIL,CHI,C,20:00,0.196,0.231,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.308,0.207,6,0.5,0,0,0.0,0,0.0,0,0,2,0,2,4,6,-23,9.0,0,0,0,,0,0.0,72.8,130.5,-57.7,0.0,0.0,0.5,95.62,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.636,0.333,0.126,0.214,0,0,0,6,16,4,3,24,4,1,
2016-10-17,Miles Plumlee,MIL,DET,C,15:49,0.129,0.136,0.0,0.0,0.167,0.0,0.2,0.2,1.0,0.0,0.077,3,0.333,0,0,0.0,0,0.0,2,0,1,1,1,0,2,-10,8.0,0,0,0,,0,0.0,86.8,116.6,-29.8,0.0,0.071,0.333,92.32,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.63,0.074,0.162,0.154,2,0,0,2,5,0,12,16,0,0,
2016-10-19,Miles Plumlee,MIL,IND,C,19:26,0.123,0.179,0.0,0.1,0.444,0.0,0.0,0.0,0.0,0.3,0.185,5,0.8,0,0,0.0,2,1.0,8,0,0,0,0,3,10,-2,20.0,0,0,0,,0,0.0,117.9,123.3,-5.4,0.0,0.276,0.8,112.63,1.0,0.0,0.8,0.0,0.0,0.8,0.75,0.25,0.588,0.25,0.088,0.158,0,4,2,8,14,4,11,24,4,1,
2015-10-28,Miles Plumlee,MIL,NYK,,3:23,0.225,0.167,0.0,0.0,0.333,0.0,0.5,0.0,0.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,1,1,0,-9,0.75,3,10,9,0.0,1,0.0,58.1,177.6,-119.5,0.0,0.167,0.0,100.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.5,0.0,0.0,0,0,0,0,5,0,4,8,0,0,
2015-10-30,Miles Plumlee,MIL,WAS,,13:04,0.133,0.13,0.0,0.0,0.2,0.0,0.143,0.0,0.0,0.133,0.167,3,0.667,0,0,0.0,0,0.0,2,0,0,0,1,2,4,-8,6.0,10,25,19,0.0,2,1.0,80.0,114.6,-34.6,0.0,0.091,0.667,106.38,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.447,0.947,0.107,0.167,0,0,0,4,5,2,7,12,2,0,
2015-11-01,Miles Plumlee,MIL,TOR,,14:47,0.212,0.208,0.0,0.25,0.273,0.0,0.2,0.333,1.0,0.5,0.333,5,0.6,0,0,0.0,2,1.0,3,0,1,4,1,3,8,-2,21.25,11,20,11,0.0,4,0.5,81.3,87.4,-6.1,0.0,0.094,0.6,96.24,1.0,0.0,0.75,0.0,0.25,0.75,0.667,0.333,0.371,0.129,0.235,0.556,2,0,2,6,7,3,0,12,3,1,NBA TV
2015-11-02,Miles Plumlee,MIL,BKN,,6:19,0.237,0.091,0.0,0.0,0.4,0.25,0.6,0.0,0.0,1.0,0.167,1,1.0,0,0,0.0,0,0.0,2,1,0,0,3,4,2,-5,4.25,2,11,7,0.1429,1,1.0,86.5,123.5,-37.1,0.25,0.25,1.0,105.1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.722,0.444,0.218,0.0,0,0,2,2,5,0,5,6,0,1,
2015-11-04,Miles Plumlee,MIL,PHI,,11:44,0.084,0.05,0.0,0.0,0.444,0.143,0.5,0.0,0.667,0.286,0.087,1,1.0,0,0,0.0,0,0.0,4,1,0,2,1,2,2,-2,11.75,6,15,14,0.0714,0,0.0,105.7,104.7,1.0,0.125,0.182,1.0,93.41,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.479,0.083,0.126,0.364,0,0,2,2,2,10,3,18,10,0,
2015-11-06,Miles Plumlee,MIL,NYK,,1:47,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0,0,2,-2,3.25,1,6,5,0.0,1,1.0,133.3,159.6,-26.2,0.0,0.333,1.0,90.98,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,2.0,0.0,0.0,0,0,0,2,0,0,0,2,0,0,
2015-11-07,Miles Plumlee,MIL,BKN,,4:08,0.091,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,1,0,-8,0.75,2,9,8,0.0,0,0.0,40.0,123.0,-83.0,0.0,0.125,0.0,114.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563,0.5,0.205,0.667,0,0,0,0,6,3,0,6,3,0,
2015-11-10,Miles Plumlee,MIL,BOS,,3:22,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-1,1.25,2,2,2,0.0,0,0.0,100.0,100.0,0.0,0.0,0.143,0.0,78.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.167,0.5,0,0,0,0,0,2,0,4,2,0,
