DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Mirza Teletovic,MIL,CHI,,20:10,0.152,0.206,0.25,0.063,0.12,0.091,0.0,0.25,0.25,0.444,0.222,7,0.571,2,3,0.667,1,0.0,3,1,1,1,0,4,10,8,20.0,0,0,0,,0,0.0,109.6,86.1,23.5,0.1,0.073,0.714,99.97,0.571,0.429,0.4,0.6,0.3,0.4,0.75,0.25,0.441,0.265,0.163,0.105,3,0,5,4,10,5,2,16,5,1,NBA TV
2016-10-08,Mirza Teletovic,MIL,DAL,F,16:44,0.205,0.235,0.833,0.0,0.105,0.143,0.0,0.0,0.0,0.0,0.219,8,0.375,1,5,0.2,0,0.0,2,1,0,0,0,0,7,-1,11.25,0,0,0,,0,0.0,96.7,97.7,-1.0,0.1,0.051,0.438,95.87,0.375,0.625,0.571,0.429,0.286,0.286,0.667,0.333,0.47,0.121,0.118,0.278,2,0,0,2,2,2,2,22,2,0,
2016-10-12,Mirza Teletovic,MIL,IND,,15:29,0.221,0.25,0.333,0.0,0.308,0.0,0.167,0.0,0.0,0.143,0.2,7,0.143,1,4,0.25,0,0.0,4,0,0,0,1,1,3,-26,8.0,0,0,0,,0,0.0,45.2,123.2,-78.0,0.0,0.108,0.214,103.05,0.429,0.571,0.0,1.0,0.0,0.0,1.0,0.0,0.532,0.387,0.06,0.333,0,0,0,0,8,7,13,14,7,0,
2016-10-15,Mirza Teletovic,MIL,CHI,,18:05,0.222,0.25,0.5,0.286,0.0,0.091,0.111,0.0,0.0,0.125,0.129,7,0.143,1,4,0.25,2,0.5,0,1,0,0,1,1,4,-11,5.25,0,0,0,,0,0.0,81.4,116.4,-35.0,0.083,0.0,0.214,98.42,0.429,0.571,0.0,0.75,0.0,0.0,1.0,0.0,0.583,0.233,0.166,0.2,0,3,0,0,10,4,5,10,4,3,
2016-10-17,Mirza Teletovic,MIL,DET,F,27:17,0.139,0.116,0.5,0.188,0.13,0.0,0.2,0.25,0.0,0.25,0.18,5,0.4,2,5,0.4,3,1.0,3,0,2,0,2,2,9,-13,16.75,0,0,0,,0,0.0,92.5,120.2,-27.7,0.0,0.059,0.6,93.64,0.0,1.0,0.0,0.667,0.333,0.0,1.0,0.0,0.602,0.227,0.172,0.227,3,0,0,0,13,4,16,24,4,1,
2016-10-19,Mirza Teletovic,MIL,IND,F,25:03,0.235,0.267,0.533,0.143,0.038,0.071,0.182,0.5,1.0,0.182,0.226,12,0.333,3,8,0.375,3,1.0,1,1,1,1,2,2,14,-3,21.0,0,0,0,,0,0.0,102.9,117.6,-14.7,0.063,0.022,0.458,110.68,0.333,0.667,0.143,0.643,0.0,0.0,1.0,0.0,0.529,0.235,0.072,0.192,0,0,0,0,12,6,18,28,6,2,
2015-10-28,Mirza Teletovic,PHX,DAL,,17:38,0.251,0.313,0.5,0.067,0.217,0.143,0.143,0.0,0.0,0.222,0.132,10,0.2,1,5,0.2,1,0.0,5,1,0,0,1,2,5,4,12.5,10,34,23,0.0435,4,0.25,96.0,91.2,4.8,0.091,0.125,0.25,104.64,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.431,0.414,0.107,0.056,0,3,0,0,2,0,9,16,0,1,
2015-10-30,Mirza Teletovic,PHX,POR,,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,-1,2.0,0,3,3,0.0,0,0.0,75.2,85.0,-9.8,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.34,0.0,0,0,0,0,0,0,0,0,0,0,
2015-10-31,Mirza Teletovic,PHX,POR,,4:03,0.25,0.25,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,2,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,2,5,3,0.0,0,0.0,100.0,75.0,25.0,0.0,0.0,0.0,94.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.375,0,0,0,0,0,0,0,0,0,0,
2015-11-02,Mirza Teletovic,PHX,LAC,,4:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,-1,0.0,0,4,4,0.0,0,0.0,101.4,125.0,-23.6,0.0,0.0,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.25,0.0,0,0,0,0,0,0,0,4,0,0,
2015-11-04,Mirza Teletovic,PHX,SAC,,6:19,0.071,0.111,0.333,0.0,0.667,0.667,0.0,0.333,0.0,0.0,0.25,1,1.0,1,1,1.0,0,0.0,2,2,1,0,0,0,3,-3,10.5,3,15,14,0.1429,0,0.0,85.7,108.1,-22.4,0.5,0.25,1.5,105.93,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.636,0.182,0.216,0.25,0,0,0,0,6,0,2,4,0,0,
2015-11-06,Mirza Teletovic,PHX,DET,,8:43,0.105,0.133,0.286,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,2,0.5,1,2,0.5,0,0.0,1,0,0,0,0,0,3,-11,4.75,3,14,12,0.0,0,0.0,55.6,108.7,-53.1,0.0,0.071,0.75,102.75,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.643,0.214,0.207,0.0,0,0,0,0,7,2,6,10,2,0,
2015-11-08,Mirza Teletovic,PHX,OKC,,6:21,0.197,0.25,0.667,0.0,0.5,0.0,0.0,0.0,0.0,0.333,0.176,3,0.333,1,2,0.5,0,0.0,1,0,0,0,0,1,3,3,4.75,1,12,8,0.0,1,0.0,119.7,113.6,6.1,0.0,0.091,0.5,100.23,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.3,0.325,0.75,0,0,3,0,2,7,0,8,7,0,
2015-11-12,Mirza Teletovic,PHX,LAC,,18:19,0.155,0.219,0.462,0.0,0.067,0.333,0.0,0.5,0.0,0.167,0.136,7,0.286,2,6,0.333,0,0.0,1,3,1,0,0,2,6,2,14.0,6,35,25,0.12,1,0.0,106.8,103.8,3.0,0.188,0.033,0.429,107.02,0.143,0.857,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.124,0.353,0,0,0,0,12,11,4,24,11,0,TNT
2015-11-14,Mirza Teletovic,PHX,DEN,,29:11,0.175,0.196,0.438,0.118,0.231,0.3,0.133,0.0,0.0,0.0,0.18,10,0.3,3,7,0.429,2,1.0,9,3,0,0,2,0,11,11,26.5,16,55,41,0.0732,4,0.0,94.6,77.4,17.3,0.167,0.148,0.45,106.19,0.3,0.7,0.0,0.818,0.0,0.0,1.0,0.0,0.363,0.097,0.077,0.143,0,0,0,0,15,4,12,30,4,2,NBA TV
