DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Monta Ellis,IND,NOP,G,23:17,0.153,0.14,0.214,0.125,0.033,0.273,0.25,0.25,0.0,0.154,0.157,7,0.429,1,3,0.333,1,1.0,1,3,1,0,2,2,8,-1,14.5,0,0,0,,0,0.0,91.9,95.7,-3.8,0.176,0.019,0.5,113.27,0.571,0.429,0.5,0.375,0.0,0.5,0.333,0.667,0.439,0.463,0.11,0.04,0,5,0,4,5,4,7,12,4,1,
2016-10-06,Monta Ellis,IND,CHI,G,20:26,0.269,0.27,0.3,1.0,0.0,0.0,0.2,0.0,1.0,0.25,0.35,10,0.5,2,3,0.667,2,1.0,0,0,0,1,2,2,14,3,16.0,0,0,0,,0,0.0,89.1,78.6,10.5,0.0,0.0,0.6,108.01,0.7,0.3,0.429,0.429,0.5,0.143,0.8,0.2,0.456,0.206,0.234,0.067,7,0,0,2,13,2,10,20,2,1,
2016-10-08,Monta Ellis,IND,CHI,G,20:55,0.176,0.205,0.4,0.0,0.143,0.5,0.143,0.429,0.333,0.1,0.125,8,0.375,1,2,0.5,0,0.0,3,6,3,1,1,1,7,18,26.25,0,0,0,,0,0.0,113.6,79.1,34.5,0.316,0.079,0.438,111.67,0.75,0.25,0.571,0.429,0.286,0.0,0.333,0.667,0.391,0.5,0.25,0.136,2,2,0,0,7,2,2,14,2,3,
2016-10-12,Monta Ellis,IND,MIL,G,20:57,0.293,0.275,0.333,0.0,0.056,0.222,0.5,0.5,0.0,0.429,0.174,11,0.364,0,4,0.0,0,0.0,1,2,1,0,3,6,8,0,12.25,0,0,0,,0,0.0,102.8,106.1,-3.3,0.133,0.024,0.364,100.99,0.636,0.364,1.0,0.0,0.0,0.5,0.0,1.0,0.446,0.514,0.138,0.348,0,0,0,4,3,2,5,26,2,1,
2016-10-14,Monta Ellis,IND,ORL,G,36:03,0.167,0.167,0.133,0.105,0.129,0.316,0.222,0.1,0.0,0.0,0.157,11,0.545,1,2,0.5,2,0.5,4,6,1,0,2,0,14,18,28.0,0,0,0,,0,0.0,116.6,90.2,26.3,0.214,0.059,0.591,103.22,0.818,0.182,0.714,0.214,0.286,0.714,0.5,0.5,0.449,0.373,0.267,0.314,4,9,0,10,14,12,13,32,12,4,
2016-10-19,Monta Ellis,IND,MIL,G,27:14,0.18,0.164,0.278,0.333,0.048,0.438,0.2,0.2,0.0,0.273,0.169,9,0.333,1,5,0.2,4,1.0,1,7,1,0,1,3,11,3,23.0,0,0,0,,0,0.0,107.8,101.6,6.3,0.333,0.021,0.389,106.94,0.444,0.556,0.364,0.273,0.182,0.364,0.667,0.333,0.522,0.348,0.213,0.238,2,8,0,4,6,5,2,22,5,4,
2015-10-28,Monta Ellis,IND,TOR,G,28:33,0.216,0.22,0.063,0.211,0.0,0.429,0.2,0.2,0.0,0.19,0.145,11,0.273,0,1,0.0,4,0.75,0,6,2,0,2,4,9,-5,19.5,1,57,41,0.1463,6,0.333,94.9,99.3,-4.5,0.353,0.0,0.273,111.67,0.909,0.091,0.667,0.0,0.222,0.222,0.333,0.667,0.533,0.565,0.208,0.2,2,1,0,2,10,13,7,32,13,3,
2015-10-29,Monta Ellis,IND,MEM,G,32:16,0.239,0.218,0.182,0.176,0.077,0.273,0.4,0.0,0.0,0.188,0.145,12,0.25,1,4,0.25,3,0.667,2,3,0,0,4,3,9,-21,13.75,2,61,42,0.0714,8,0.25,97.7,129.2,-31.5,0.176,0.032,0.292,95.02,0.667,0.333,0.444,0.333,0.222,0.222,0.667,0.333,0.578,0.362,0.125,0.393,2,2,0,2,8,18,6,36,18,4,
2015-10-31,Monta Ellis,IND,UTA,G,32:05,0.266,0.269,0.182,0.111,0.182,0.429,0.364,0.333,0.286,0.071,0.226,14,0.357,0,2,0.0,2,1.0,4,3,2,2,4,1,12,-13,26.75,4,61,41,0.0732,7,0.429,80.4,97.5,-17.1,0.214,0.068,0.357,99.97,0.857,0.143,0.833,0.0,0.333,0.167,0.0,1.0,0.458,0.217,0.192,0.393,4,2,2,2,18,11,6,36,11,3,
2015-11-03,Monta Ellis,IND,DET,G,33:25,0.245,0.262,0.211,0.0,0.115,0.214,0.25,0.25,0.0,0.364,0.234,16,0.438,1,4,0.25,0,0.0,3,3,3,0,3,4,15,1,27.5,8,52,30,0.1,10,0.4,92.2,96.3,-4.1,0.167,0.05,0.469,96.81,0.75,0.25,0.8,0.2,0.4,0.533,0.286,0.714,0.518,0.182,0.275,0.4,6,2,2,8,16,13,4,34,13,1,
2015-11-04,Monta Ellis,IND,BOS,G,33:28,0.23,0.217,0.235,0.143,0.128,0.533,0.429,0.167,0.0,0.143,0.171,15,0.333,1,4,0.25,2,1.0,5,8,1,0,3,2,13,15,30.25,7,74,53,0.1509,10,0.2,111.5,97.6,13.9,0.333,0.07,0.367,93.71,0.733,0.267,0.615,0.231,0.0,0.154,0.2,0.8,0.435,0.315,0.16,0.265,0,0,3,2,12,5,11,14,5,1,
2015-11-06,Monta Ellis,IND,MIA,G,36:27,0.136,0.129,0.167,0.0,0.118,0.421,0.3,0.25,0.0,0.091,0.056,8,0.25,0,2,0.0,0,0.0,4,8,1,0,3,1,4,7,19.5,11,67,55,0.1455,3,0.0,96.2,88.4,7.8,0.308,0.063,0.25,96.26,0.75,0.25,1.0,0.0,0.0,0.5,0.5,0.5,0.475,0.164,0.152,0.129,0,0,0,2,18,10,6,34,10,1,ESPN
