DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Montrezl Harrell,HOU,SDS,,5:46,0.207,0.154,0.0,1.0,0.6,0.167,0.0,0.0,1.0,0.0,0.136,2,0.5,0,0,0.0,2,0.5,3,1,0,1,0,0,3,10,10.0,0,0,0,,0,0.0,185.2,100.0,85.2,0.125,0.429,0.5,99.38,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.5,0.0,0.083,0.25,0,0,0,2,0,0,2,12,0,2,NBA TV
2016-10-04,Montrezl Harrell,HOU,NYK,,12:00,0.214,0.167,0.143,0.4,0.333,0.286,0.25,0.0,0.667,0.5,0.154,3,0.333,0,1,0.0,2,1.0,5,2,0,2,3,3,4,0,15.25,0,0,0,,0,0.0,95.6,94.1,1.5,0.25,0.238,0.333,109.68,0.667,0.333,0.5,0.0,0.5,0.5,0.0,1.0,0.44,0.24,0.109,0.231,2,0,2,2,14,5,5,14,5,1,ESPN
2016-10-09,Montrezl Harrell,HOU,NOP,,11:29,0.095,0.048,0.0,0.143,0.333,0.0,0.333,1.0,0.5,0.333,0.088,1,1.0,0,0,0.0,2,0.5,4,0,1,2,1,3,3,6,13.5,0,0,0,,0,0.0,125.2,101.9,23.3,0.0,0.174,1.0,114.2,1.0,0.0,0.667,0.0,1.0,0.667,0.0,1.0,0.342,0.895,0.109,0.182,3,2,0,2,3,4,0,8,4,1,NBA TV
2016-10-12,Montrezl Harrell,HOU,NOP,,24:11,0.193,0.184,0.105,0.316,0.3,0.111,0.0,0.0,0.667,0.308,0.18,9,0.333,1,2,0.5,6,0.667,6,1,0,2,0,4,11,7,24.25,0,0,0,,0,0.0,114.3,100.4,13.9,0.059,0.146,0.389,106.35,0.778,0.222,0.364,0.273,0.727,0.364,0.667,0.333,0.529,0.571,0.204,0.071,8,0,2,4,6,3,11,20,3,6,NBA TV
2016-10-15,Montrezl Harrell,HOU,MEM,,26:58,0.264,0.269,0.0,0.286,0.345,0.1,0.222,1.0,0.75,0.4,0.339,14,0.571,0,0,0.0,4,1.0,10,1,1,3,2,4,20,2,40.75,0,0,0,,0,0.0,105.1,105.2,-0.2,0.077,0.189,0.571,98.21,1.0,0.0,0.8,0.0,0.2,0.8,0.375,0.625,0.443,0.264,0.092,0.357,4,0,8,16,13,13,6,24,13,4,
2016-10-19,Montrezl Harrell,HOU,DAL,,21:29,0.192,0.158,0.063,0.222,0.318,0.0,0.4,0.2,1.0,0.444,0.149,6,0.333,0,1,0.0,4,0.75,7,0,1,1,2,4,7,1,18.75,0,0,0,,0,0.0,107.0,101.6,5.4,0.0,0.159,0.333,99.65,0.833,0.167,0.571,0.0,0.286,0.571,0.5,0.5,0.449,0.308,0.177,0.318,2,1,2,4,5,4,10,14,4,5,
2016-10-21,Montrezl Harrell,HOU,SAS,,16:31,0.195,0.222,0.0,0.0,0.533,0.0,0.0,0.0,1.0,0.167,0.167,8,0.375,0,0,0.0,0,0.0,8,0,0,1,0,1,6,-8,18.0,0,0,0,,0,0.0,100.1,123.9,-23.8,0.0,0.235,0.375,103.87,1.0,0.0,1.0,0.0,0.333,0.667,1.0,0.0,0.643,0.286,0.141,0.091,2,2,0,4,2,3,2,14,3,1,
2015-10-28,Montrezl Harrell,HOU,DEN,,15:50,0.118,0.133,0.0,0.0,0.3,0.091,0.0,0.0,0.0,0.667,0.205,4,1.0,0,0,0.0,0,0.0,3,1,0,0,0,4,8,2,13.0,8,16,11,0.0909,3,1.0,122.8,113.8,9.0,0.091,0.107,1.0,97.43,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.62,0.32,0.277,0.385,4,2,0,8,0,0,3,10,0,1,
2015-10-30,Montrezl Harrell,HOU,GSW,,21:10,0.221,0.225,0.0,0.385,0.167,0.0,0.0,0.0,0.2,0.091,0.378,9,0.778,0,0,0.0,5,0.6,3,0,0,1,0,1,17,-11,22.75,7,31,21,0.0,8,0.75,98.4,126.2,-27.8,0.0,0.079,0.778,102.14,1.0,0.0,0.824,0.0,0.235,0.824,0.571,0.429,0.566,0.5,0.068,0.278,4,2,4,14,8,4,9,24,4,3,ESPN
2015-11-01,Montrezl Harrell,HOU,MIA,,22:16,0.112,0.103,0.0,0.25,0.313,0.0,0.1,0.0,1.0,0.2,0.184,4,0.75,0,0,0.0,2,0.5,5,0,0,1,1,2,7,-18,14.75,8,23,17,0.0,3,0.667,75.2,118.4,-43.2,0.0,0.119,0.75,105.41,1.0,0.0,0.857,0.0,0.0,0.857,0.667,0.333,0.547,0.279,0.127,0.333,0,0,4,6,10,13,8,32,13,2,
