DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Myles Turner,IND,CHI,C,14:31,0.198,0.231,0.2,0.0,0.308,0.25,0.0,0.0,1.0,0.2,0.214,6,0.5,0,1,0.0,0,0.0,4,2,0,2,0,1,6,-4,17.5,0,0,0,,0,0.0,98.9,110.5,-11.6,0.2,0.143,0.5,94.7,0.833,0.167,1.0,0.0,0.0,0.667,1.0,0.0,0.48,0.36,0.138,0.267,0,0,0,4,2,5,5,14,5,1,
2016-10-12,Myles Turner,IND,MIL,C,24:27,0.192,0.2,0.077,0.25,0.4,0.143,0.125,0.0,0.667,0.235,0.196,8,0.5,0,1,0.0,2,0.5,8,1,0,2,1,4,9,-5,23.75,0,0,0,,0,0.0,94.8,102.0,-7.2,0.071,0.182,0.5,96.74,0.875,0.125,0.889,0.0,0.0,0.444,0.5,0.5,0.446,0.676,0.16,0.261,0,0,2,4,8,2,8,28,2,2,
2016-10-14,Myles Turner,IND,ORL,C,32:21,0.233,0.268,0.083,0.222,0.261,0.056,0.0,0.111,0.75,0.25,0.215,15,0.467,1,1,1.0,4,0.5,6,1,1,3,0,3,17,13,34.25,0,0,0,,0,0.0,116.3,95.3,21.0,0.043,0.109,0.5,101.76,0.933,0.067,0.706,0.176,0.471,0.471,0.714,0.286,0.48,0.412,0.274,0.345,8,0,4,8,13,12,10,28,12,3,
2016-10-19,Myles Turner,IND,MIL,C,26:25,0.239,0.269,0.067,0.143,0.429,0.063,0.0,0.0,0.667,0.167,0.246,14,0.5,0,1,0.0,2,1.0,9,1,0,2,0,2,16,8,32.5,0,0,0,,0,0.0,113.7,95.1,18.6,0.063,0.187,0.5,106.37,0.929,0.071,0.875,0.0,0.0,0.625,0.571,0.429,0.488,0.419,0.234,0.238,0,0,4,10,4,5,3,18,5,2,
2015-10-29,Myles Turner,IND,MEM,,17:58,0.222,0.222,0.0,0.286,0.444,0.0,0.2,0.667,0.5,0.333,0.17,6,0.667,0,0,0.0,2,0.0,4,0,2,1,2,4,8,3,18.0,6,33,25,0.0,3,0.667,120.3,115.7,4.6,0.0,0.2,0.667,103.02,1.0,0.0,1.0,0.0,0.5,0.25,0.5,0.5,0.593,0.593,0.184,0.273,4,0,2,2,6,4,6,18,4,3,
2015-10-31,Myles Turner,IND,UTA,,22:41,0.206,0.258,0.0,0.222,0.222,0.0,0.077,0.0,0.333,0.167,0.25,8,0.5,0,0,0.0,2,1.0,4,0,0,1,1,1,10,-5,16.5,9,25,13,0.0,4,0.5,89.0,91.5,-2.5,0.0,0.108,0.5,99.63,1.0,0.0,0.8,0.0,0.4,0.4,0.5,0.5,0.444,0.111,0.163,0.286,4,2,2,4,14,8,4,26,8,1,
2015-11-03,Myles Turner,IND,DET,,15:29,0.131,0.174,0.0,0.0,0.364,0.0,0.0,0.5,0.75,0.5,0.214,4,0.75,0,0,0.0,0,0.0,4,0,1,3,0,3,6,2,19.0,12,23,17,0.0,1,1.0,94.5,83.3,11.1,0.0,0.148,0.75,94.31,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.371,0.161,0.16,0.412,0,0,0,0,7,8,0,20,8,0,
2015-11-04,Myles Turner,IND,BOS,,18:29,0.178,0.188,0.0,0.267,0.235,0.25,0.0,0.0,1.0,0.167,0.2,6,0.333,0,0,0.0,4,0.75,4,1,0,1,0,1,7,0,15.25,13,34,25,0.04,3,0.333,93.1,89.0,4.1,0.1,0.105,0.333,99.88,1.0,0.0,0.571,0.0,0.0,0.286,0.5,0.5,0.485,0.088,0.254,0.353,0,0,2,2,5,4,0,14,4,4,
2015-11-06,Myles Turner,IND,MIA,,12:45,0.184,0.182,0.0,0.0,0.286,0.0,0.333,0.0,0.0,0.75,0.154,4,0.25,0,0,0.0,0,0.0,2,0,0,0,1,3,2,-22,4.0,5,23,17,0.0,1,1.0,49.6,138.9,-89.3,0.0,0.095,0.25,96.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.652,0.217,0.079,0.25,0,0,0,2,5,4,4,16,4,0,ESPN
2015-11-08,Myles Turner,IND,CLE,,18:17,0.104,0.125,0.0,0.0,0.067,0.0,0.0,0.0,1.0,0.25,0.167,4,0.75,0,0,0.0,0,0.0,1,0,0,1,0,2,6,-7,9.25,10,25,20,0.0,1,1.0,98.3,114.2,-16.0,0.0,0.029,0.75,97.54,1.0,0.0,1.0,0.0,0.333,0.0,0.333,0.667,0.556,0.167,0.106,0.278,2,0,2,0,7,8,9,26,8,2,
