DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Nemanja Bjelica,MIN,MIA,,26:09,0.191,0.188,0.313,0.0,0.2,0.091,0.273,0.333,0.25,0.091,0.226,9,0.556,2,5,0.4,0,0.0,5,1,2,1,3,1,12,6,25.0,0,0,0,,0,0.0,91.4,84.7,6.7,0.071,0.104,0.667,104.11,0.444,0.556,0.5,0.5,0.167,0.333,0.6,0.4,0.45,0.425,0.198,0.13,2,2,5,4,12,2,3,20,2,0,
2016-10-10,Nemanja Bjelica,MIN,CHA,,19:47,0.205,0.2,0.333,0.286,0.13,0.25,0.2,0.143,0.0,0.143,0.273,8,0.375,1,4,0.25,2,1.0,3,2,1,0,1,1,9,-1,17.25,0,0,0,,0,0.0,80.3,84.3,-4.0,0.222,0.065,0.438,98.75,0.5,0.5,0.444,0.333,0.222,0.444,0.333,0.667,0.444,0.083,0.223,0.273,2,0,0,4,6,0,4,18,0,1,
2016-10-12,Nemanja Bjelica,MIN,DEN,,23:37,0.211,0.222,0.556,0.0,0.2,0.222,0.286,0.167,0.25,0.154,0.25,10,0.4,3,5,0.6,0,0.0,4,2,1,1,2,2,11,-3,23.0,0,0,0,,0,0.0,81.7,96.3,-14.6,0.167,0.083,0.55,104.31,0.5,0.5,0.182,0.818,0.273,0.182,0.75,0.25,0.443,0.571,0.205,0.227,3,0,0,2,12,6,9,20,6,0,
2016-10-15,Nemanja Bjelica,MIN,MIA,,22:41,0.247,0.313,0.571,0.143,0.24,0.333,0.143,0.0,1.0,0.375,0.282,10,0.4,1,4,0.25,2,1.0,6,2,0,1,2,3,11,-4,22.5,0,0,0,,0,0.0,82.7,89.1,-6.4,0.25,0.128,0.45,100.98,0.6,0.4,0.545,0.273,0.182,0.364,0.25,0.75,0.395,0.279,0.124,0.231,2,2,4,4,15,6,9,14,6,1,
2016-10-16,Nemanja Bjelica,MIN,OKC,F,28:08,0.267,0.25,0.438,0.333,0.3,0.333,0.308,0.0,0.167,0.118,0.244,12,0.25,2,7,0.286,3,1.0,6,3,0,1,4,2,11,-21,23.25,0,0,0,,0,0.0,73.8,100.6,-26.8,0.231,0.113,0.333,107.97,0.417,0.583,0.182,0.545,0.0,0.182,1.0,0.0,0.482,0.268,0.152,0.304,0,5,3,2,14,12,16,38,12,3,
2016-10-19,Nemanja Bjelica,MIN,MEM,,18:04,0.273,0.241,0.556,0.875,0.167,0.167,0.125,0.6,0.0,0.143,0.308,7,0.143,1,5,0.2,7,0.714,2,1,3,0,1,1,8,-11,17.75,0,0,0,,0,0.0,67.5,97.5,-30.0,0.125,0.067,0.214,101.6,0.286,0.714,0.0,0.375,0.25,0.0,1.0,0.0,0.611,0.333,0.263,0.231,2,0,3,0,7,4,12,14,4,6,
2016-10-21,Nemanja Bjelica,MIN,CHA,,25:43,0.204,0.256,0.417,0.0,0.125,0.133,0.091,0.125,0.333,0.3,0.215,11,0.545,2,5,0.4,0,0.0,4,2,1,2,1,3,14,39,28.0,0,0,0,,0,0.0,120.7,47.9,72.8,0.105,0.083,0.636,100.89,0.545,0.455,0.571,0.429,0.214,0.429,0.5,0.5,0.256,0.308,0.239,0.1,3,2,2,6,4,0,5,10,0,0,NBA TV
2015-10-28,Nemanja Bjelica,MIN,LAL,,22:36,0.115,0.146,0.364,0.0,0.263,0.222,0.0,0.0,0.333,0.357,0.145,6,0.5,2,4,0.5,0,0.0,5,2,0,1,0,5,8,6,19.75,11,51,45,0.0444,3,0.667,109.5,96.5,13.0,0.143,0.109,0.667,107.31,0.333,0.667,0.25,0.75,0.375,0.25,0.667,0.333,0.39,0.488,0.138,0.261,3,2,3,2,0,8,2,14,8,0,ESPN
2015-10-30,Nemanja Bjelica,MIN,DEN,,25:41,0.093,0.056,0.143,0.167,0.308,0.111,0.154,0.25,0.0,0.286,0.068,2,0.5,1,1,1.0,3,0.0,8,1,1,0,2,4,3,1,15.75,13,48,43,0.0233,1,0.0,80.1,76.2,3.9,0.071,0.154,0.75,104.02,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.367,0.204,0.16,0.2,0,0,0,0,12,2,3,22,2,1,
2015-11-02,Nemanja Bjelica,MIN,POR,,31:25,0.091,0.075,0.2,0.071,0.29,0.133,0.2,0.286,0.0,0.308,0.066,4,0.5,0,2,0.0,2,0.5,9,2,2,0,2,4,5,5,21.75,21,74,64,0.0313,1,1.0,112.9,107.8,5.1,0.083,0.155,0.5,101.72,0.5,0.5,0.8,0.0,0.0,0.4,1.0,0.0,0.552,0.19,0.167,0.258,0,0,0,2,9,16,10,28,16,2,
2015-11-05,Nemanja Bjelica,MIN,MIA,,23:42,0.15,0.179,0.444,0.0,0.35,0.333,0.111,0.0,0.0,0.071,0.125,7,0.286,1,4,0.25,0,0.0,7,3,0,0,1,1,5,-17,17.5,12,53,43,0.0698,3,0.333,79.6,116.2,-36.7,0.273,0.171,0.357,100.58,0.429,0.571,0.4,0.6,0.0,0.4,0.5,0.5,0.605,0.421,0.122,0.105,0,0,2,2,16,3,10,24,3,2,
2015-11-07,Nemanja Bjelica,MIN,CHI,,40:13,0.148,0.125,0.4,0.316,0.275,0.238,0.167,0.167,0.167,0.118,0.207,9,0.556,2,6,0.333,6,0.833,11,5,1,1,2,2,17,12,41.0,18,90,75,0.0667,2,1.0,100.8,86.4,14.4,0.192,0.143,0.667,96.92,0.333,0.667,0.353,0.353,0.118,0.353,0.6,0.4,0.426,0.235,0.185,0.237,2,3,5,6,17,9,4,30,9,3,
2015-11-09,Nemanja Bjelica,MIN,ATL,,29:54,0.114,0.106,0.455,0.111,0.217,0.267,0.143,0.0,0.0,0.222,0.153,5,0.6,3,5,0.6,2,1.0,5,4,0,0,2,2,11,-1,22.75,10,65,54,0.0741,1,1.0,112.6,115.3,-2.6,0.174,0.125,0.9,102.13,0.0,1.0,0.0,0.818,0.0,0.0,1.0,0.0,0.66,0.057,0.174,0.1,0,2,0,0,29,2,10,38,2,2,
2015-11-10,Nemanja Bjelica,MIN,CHA,,27:44,0.148,0.184,0.455,0.143,0.292,0.364,0.063,0.0,0.333,0.333,0.302,7,0.571,3,5,0.6,2,1.0,7,4,0,1,1,4,13,-21,29.75,10,72,59,0.0678,1,1.0,78.0,114.2,-36.2,0.364,0.159,0.786,96.23,0.286,0.714,0.154,0.692,0.154,0.154,1.0,0.0,0.578,0.356,0.125,0.136,2,2,0,2,16,5,0,28,5,2,
2015-11-12,Nemanja Bjelica,MIN,GSW,,33:20,0.08,0.077,0.286,0.143,0.273,0.176,0.0,0.25,0.0,0.167,0.083,5,0.6,1,2,0.5,4,0.25,9,3,1,0,0,2,8,8,25.5,12,74,65,0.0462,2,0.5,134.6,125.2,9.4,0.091,0.167,0.7,101.95,0.6,0.4,0.5,0.375,0.0,0.5,0.667,0.333,0.655,0.207,0.142,0.13,0,0,2,4,11,10,12,28,10,3,TNT
2015-11-13,Nemanja Bjelica,MIN,IND,,25:02,0.163,0.186,0.333,0.0,0.095,0.125,0.111,0.333,0.0,0.286,0.175,8,0.5,2,5,0.4,0,0.0,2,1,1,0,1,4,10,-2,16.25,11,53,40,0.025,2,1.0,109.4,112.7,-3.2,0.053,0.049,0.625,100.13,0.375,0.625,0.4,0.6,0.0,0.4,0.75,0.25,0.5,0.422,0.095,0.25,0,0,0,4,8,5,14,20,5,1,
2015-11-15,Nemanja Bjelica,MIN,MEM,,24:06,0.09,0.111,0.222,0.0,0.056,0.0,0.0,0.0,0.0,0.385,0.075,5,0.4,0,2,0.0,0,0.0,1,0,0,0,0,5,4,-8,5.25,6,43,37,0.0,2,0.5,107.0,123.0,-16.0,0.0,0.028,0.4,98.71,0.6,0.4,1.0,0.0,0.0,0.5,1.0,0.0,0.605,0.395,0.141,0.143,0,0,0,2,8,0,5,18,0,0,
2015-11-17,Nemanja Bjelica,MIN,MIA,,15:36,0.173,0.212,0.556,0.0,0.211,0.0,0.0,0.0,0.667,0.375,0.0,7,0.0,0,5,0.0,0,0.0,4,0,0,2,0,3,0,-8,9.0,10,31,25,0.0,3,0.0,52.0,74.4,-22.4,0.0,0.105,0.0,112.02,0.286,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.462,0.165,0.063,0,0,0,0,5,4,2,8,4,1,
2015-11-18,Nemanja Bjelica,MIN,ORL,,18:38,0.107,0.143,0.5,0.0,0.2,0.1,0.0,0.0,0.0,0.5,0.068,4,0.25,1,4,0.25,0,0.0,4,1,0,0,0,6,3,10,9.75,8,28,22,0.0455,0,0.0,124.7,90.3,34.4,0.067,0.118,0.375,93.92,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.419,0.162,0.08,0.217,0,0,0,0,8,4,4,18,4,1,
2015-11-29,Nemanja Bjelica,MIN,LAC,,21:48,0.108,0.148,0.4,0.0,0.182,0.1,0.0,0.0,0.0,0.25,0.25,4,1.0,2,2,1.0,0,0.0,2,1,0,0,0,2,10,-4,14.75,4,40,36,0.0278,2,1.0,107.9,111.9,-4.0,0.083,0.083,1.25,84.11,0.5,0.5,0.4,0.6,0.2,0.4,1.0,0.0,0.6,0.086,0.127,0.154,2,2,0,4,9,0,5,16,0,0,
2015-12-01,Nemanja Bjelica,MIN,ORL,,24:20,0.094,0.128,0.3,0.0,0.421,0.2,0.0,0.333,0.25,0.333,0.053,5,0.2,1,3,0.333,0,0.0,8,2,1,1,0,3,3,10,20.0,12,51,44,0.0455,2,0.0,115.8,100.3,15.4,0.118,0.2,0.3,94.79,0.4,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.453,0.256,0.128,0.318,0,0,0,0,8,11,1,28,11,0,
2015-12-05,Nemanja Bjelica,MIN,POR,,13:25,0.081,0.045,0.0,0.143,0.455,0.0,0.2,0.0,0.0,0.0,0.077,1,1.0,0,0,0.0,1,0.0,5,0,0,0,1,0,2,1,7.75,8,32,30,0.0,1,1.0,92.6,94.3,-1.7,0.0,0.227,1.0,97.72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.559,0.471,0.226,0.0,0,0,0,2,7,0,0,10,0,1,
2015-12-07,Nemanja Bjelica,MIN,LAC,,17:05,0.142,0.156,0.5,0.053,0.222,0.2,0.2,0.0,0.0,0.3,0.191,5,0.6,2,4,0.5,1,1.0,4,1,0,0,1,3,9,7,15.75,8,40,35,0.0286,1,1.0,119.4,106.6,12.8,0.1,0.133,0.8,108.05,0.2,0.8,0.222,0.667,0.0,0.222,0.667,0.333,0.569,0.276,0.213,0.2,0,0,3,2,2,6,2,12,6,1,
2015-12-09,Nemanja Bjelica,MIN,LAL,,20:47,0.127,0.135,0.143,0.077,0.222,0.286,0.125,0.0,0.5,0.444,0.133,5,0.6,0,1,0.0,1,0.0,4,2,0,1,1,4,6,-4,15.0,8,42,36,0.0556,4,0.75,100.6,110.2,-9.5,0.133,0.118,0.6,102.99,0.8,0.2,1.0,0.0,0.0,1.0,0.333,0.667,0.5,0.459,0.09,0.25,0,2,4,6,12,6,8,20,6,1,
2015-12-11,Nemanja Bjelica,MIN,DEN,,12:37,0.09,0.095,0.286,0.0,0.0,0.5,0.0,0.0,0.0,0.625,0.111,2,0.5,1,2,0.5,0,0.0,0,2,0,0,0,5,3,-10,6.0,4,27,24,0.0833,1,0.0,126.6,148.2,-21.6,0.222,0.0,0.75,88.04,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.789,0.474,0.16,0.4,0,0,0,0,0,6,0,10,6,1,
2015-12-13,Nemanja Bjelica,MIN,PHX,,14:44,0.177,0.2,0.429,0.0,0.429,0.0,0.182,0.0,1.0,0.429,0.0,5,0.0,0,3,0.0,0,0.0,6,0,0,1,2,3,0,-12,8.5,9,36,28,0.0,3,0.0,70.4,121.2,-50.8,0.0,0.231,0.0,107.58,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.296,0.066,0.167,0,0,0,0,20,2,6,16,2,1,
2015-12-15,Nemanja Bjelica,MIN,DEN,,17:00,0.077,0.1,0.2,0.0,0.154,0.0,0.0,0.0,0.333,0.333,0.054,3,0.333,0,1,0.0,0,0.0,2,0,0,1,0,3,2,3,6.5,2,26,23,0.0,1,0.0,105.8,108.3,-2.4,0.0,0.074,0.333,93.68,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.52,0.4,0.191,0.308,0,0,0,2,9,0,0,4,0,2,
2015-12-16,Nemanja Bjelica,MIN,NYK,,9:42,0.22,0.25,0.75,0.0,0.0,0.0,0.0,0.333,0.0,0.167,0.105,4,0.25,0,3,0.0,0,0.0,0,0,1,0,0,1,2,2,4.0,2,12,9,0.0,1,1.0,104.4,86.6,17.8,0.0,0.0,0.25,93.62,0.25,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.382,0.353,0.204,0.364,0,0,0,2,0,2,2,4,2,0,
2015-12-18,Nemanja Bjelica,MIN,SAC,,3:56,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,1,0,2,0,-4,2.0,1,7,6,0.0,1,0.0,100.0,141.8,-41.8,0.0,0.0,0.0,90.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.129,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-20,Nemanja Bjelica,MIN,BKN,,3:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,-5,0.0,0,7,7,0.0,0,0.0,83.3,158.2,-74.9,0.0,0.0,0.0,95.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.5,0.0,0.333,0,0,0,0,0,2,6,8,2,0,
2015-12-21,Nemanja Bjelica,MIN,BOS,,4:30,0.179,0.125,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,1,0,0,1,0,0,5,0.75,4,8,6,0.1667,0,0.0,119.6,71.1,48.5,0.25,0.0,0.0,94.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.111,0.237,0.429,0,0,0,0,2,4,0,6,4,0,NBA TV
