DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-07,Nick Young,LAL,DEN,,9:38,0.175,0.267,0.333,0.0,0.111,0.0,0.0,0.0,0.0,0.25,0.462,4,0.5,2,3,0.667,0,0.0,1,0,0,0,0,1,6,-10,8.25,0,0,0,,0,0.0,62.3,103.6,-41.3,0.0,0.048,0.75,107.33,0.25,0.75,0.0,1.0,0.5,0.0,1.0,0.0,0.429,0.238,0.18,0.417,3,0,0,0,9,4,4,12,4,0,NBA TV
2016-10-09,Nick Young,LAL,DEN,F,31:40,0.13,0.145,0.294,0.118,0.222,0.077,0.0,0.25,0.0,0.136,0.173,8,0.625,2,5,0.4,2,1.0,4,1,2,0,0,3,14,6,25.25,0,0,0,,0,0.0,120.0,112.7,7.3,0.04,0.074,0.75,101.56,0.375,0.625,0.429,0.429,0.0,0.143,0.8,0.2,0.52,0.66,0.165,0.346,0,0,0,2,9,8,15,42,8,2,NBA TV
2016-10-11,Nick Young,LAL,POR,,23:24,0.258,0.316,0.389,0.071,0.15,0.2,0.125,0.333,0.25,0.091,0.298,12,0.417,4,7,0.571,1,0.0,3,2,1,1,1,1,14,-5,25.75,0,0,0,,0,0.0,99.7,105.8,-6.1,0.182,0.067,0.583,98.79,0.417,0.583,0.143,0.857,0.214,0.143,0.8,0.2,0.512,0.341,0.183,0.318,3,3,2,2,11,13,6,18,13,1,NBA TV
2016-10-13,Nick Young,LAL,SAC,,12:38,0.179,0.208,0.364,0.0,0.143,0.0,0.0,0.0,0.0,0.286,0.333,5,0.6,3,4,0.75,0,0.0,1,0,0,0,0,2,9,-10,11.75,0,0,0,,0,0.0,108.0,136.6,-28.6,0.0,0.063,0.9,98.94,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.714,0.333,0.148,0.2,0,3,0,0,7,2,4,24,2,1,
2016-10-15,Nick Young,LAL,GSW,,17:45,0.264,0.29,0.6,0.143,0.083,0.091,0.25,0.143,0.0,0.5,0.354,9,0.667,3,6,0.5,2,1.0,1,1,1,0,1,4,17,7,22.5,0,0,0,,0,0.0,132.7,112.3,20.5,0.091,0.038,0.833,98.27,0.333,0.667,0.353,0.529,0.294,0.118,0.5,0.5,0.673,0.308,0.274,0.3,5,3,2,2,6,4,0,20,4,1,NBA TV
2016-10-19,Nick Young,LAL,GSW,F,30:01,0.18,0.228,0.5,0.143,0.115,0.111,0.0,0.333,0.0,0.231,0.271,13,0.538,5,10,0.5,2,0.0,3,2,2,0,0,3,19,-15,31.75,0,0,0,,0,0.0,99.8,125.1,-25.4,0.105,0.052,0.731,110.4,0.231,0.769,0.211,0.789,0.316,0.105,0.857,0.143,0.586,0.31,0.133,0.269,6,11,5,2,12,10,17,32,10,1,ESPN
2016-10-21,Nick Young,LAL,PHX,F,30:34,0.176,0.208,0.4,0.15,0.161,0.125,0.071,0.143,0.0,0.059,0.148,11,0.182,2,8,0.25,3,0.667,5,1,1,0,1,1,8,-5,18.0,0,0,0,,0,0.0,80.8,90.6,-9.8,0.063,0.072,0.273,103.58,0.273,0.727,0.0,0.75,0.375,0.0,0.5,0.5,0.407,0.426,0.184,0.333,3,3,0,0,17,13,15,24,13,5,
2015-10-28,Nick Young,LAL,MIN,,19:04,0.173,0.235,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.231,0.292,8,0.625,4,7,0.571,0,0.0,2,0,0,0,0,3,14,5,18.5,5,24,14,0.0,4,0.5,110.9,103.7,7.2,0.0,0.059,0.875,106.69,0.125,0.875,0.143,0.857,0.0,0.143,0.8,0.2,0.424,0.515,0.072,0.105,0,3,3,2,5,9,11,16,9,0,ESPN
2015-10-30,Nick Young,LAL,SAC,,21:44,0.249,0.275,0.467,0.286,0.154,0.273,0.0,0.75,0.0,0.0,0.304,11,0.455,3,7,0.429,4,1.0,2,3,3,0,0,0,17,-3,30.75,6,29,15,0.2,7,0.429,111.6,116.8,-5.1,0.231,0.044,0.591,111.18,0.364,0.636,0.235,0.529,0.118,0.0,0.8,0.2,0.51,0.154,0.139,0.5,2,8,0,0,9,20,15,42,20,3,
2015-11-01,Nick Young,LAL,DAL,,18:56,0.161,0.147,0.222,0.333,0.0,0.0,0.167,0.0,0.333,0.222,0.25,5,0.4,2,4,0.5,2,1.0,0,0,0,1,1,2,8,-11,10.5,2,18,11,0.0,2,1.0,80.7,109.4,-28.6,0.0,0.0,0.6,100.09,0.2,0.8,0.0,0.75,0.0,0.0,1.0,0.0,0.588,0.088,0.127,0.077,0,0,0,0,7,2,5,20,2,1,
