DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Nicolas Batum,CHA,DAL,G,23:20,0.178,0.171,0.273,0.143,0.167,0.143,0.25,0.0,0.5,0.111,0.237,6,0.5,2,3,0.667,3,0.333,4,1,0,1,2,1,9,-10,17.25,0,0,0,,0,0.0,82.2,104.6,-22.4,0.125,0.089,0.667,94.75,0.5,0.5,0.222,0.667,0.0,0.0,0.667,0.333,0.5,0.043,0.065,0.182,0,0,0,0,7,3,7,8,3,1,
2016-10-06,Nicolas Batum,CHA,BOS,G,23:05,0.26,0.244,0.4,0.0,0.056,0.222,0.429,0.25,0.0,0.0,0.222,11,0.273,2,6,0.333,0,0.0,1,2,1,0,3,0,8,-23,13.25,0,0,0,,0,0.0,70.9,113.5,-42.6,0.167,0.022,0.364,106.8,0.455,0.545,0.25,0.75,0.0,0.0,0.667,0.333,0.616,0.209,0.173,0.211,0,0,3,0,14,18,6,18,18,1,
2016-10-10,Nicolas Batum,CHA,MIN,G,27:27,0.163,0.184,0.286,0.0,0.188,0.417,0.125,0.0,0.25,0.143,0.22,9,0.556,3,6,0.5,0,0.0,6,5,0,1,1,1,13,6,29.75,0,0,0,,0,0.0,101.0,89.0,12.0,0.313,0.103,0.722,103.12,0.333,0.667,0.308,0.692,0.154,0.0,0.4,0.6,0.427,0.145,0.101,0.147,2,0,0,0,10,2,4,20,2,1,
2016-10-17,Nicolas Batum,CHA,CHI,G,28:19,0.186,0.204,0.2,0.217,0.1,0.273,0.0,0.6,0.0,0.2,0.167,11,0.182,1,3,0.333,5,1.0,3,3,3,0,0,3,10,2,24.0,0,0,0,,0,0.0,101.5,94.8,6.7,0.214,0.051,0.227,101.94,0.727,0.273,0.2,0.3,0.2,0.0,1.0,0.0,0.46,0.28,0.196,0.28,2,0,0,0,6,12,6,24,12,3,NBA TV
2016-10-20,Nicolas Batum,CHA,MIA,G,30:55,0.237,0.218,0.214,0.167,0.135,0.167,0.364,0.2,0.333,0.111,0.241,12,0.5,0,3,0.0,2,1.0,5,2,1,1,4,1,14,2,24.75,0,0,0,,0,0.0,93.1,87.9,5.2,0.133,0.072,0.5,97.81,0.75,0.25,0.857,0.0,0.143,0.571,0.5,0.5,0.444,0.241,0.173,0.2,2,0,0,8,15,13,4,20,13,3,
2015-10-28,Nicolas Batum,CHA,MIA,G,32:30,0.214,0.2,0.353,0.095,0.207,0.214,0.6,0.0,0.0,0.375,0.127,12,0.25,2,6,0.333,2,0.5,6,3,0,0,3,3,9,-3,19.75,12,62,45,0.0667,6,0.167,110.5,118.6,-8.1,0.136,0.109,0.333,93.52,0.5,0.5,0.222,0.667,0.444,0.222,0.667,0.333,0.64,0.2,0.16,0.095,4,0,2,2,6,4,12,34,4,2,
2015-10-30,Nicolas Batum,CHA,ATL,F,33:22,0.218,0.154,0.174,0.143,0.282,0.286,0.583,0.2,0.0,0.154,0.206,10,0.6,1,4,0.25,1,1.0,11,4,1,0,7,2,14,6,31.75,14,76,56,0.0714,4,0.75,99.9,93.1,6.8,0.2,0.159,0.65,96.87,0.6,0.4,0.714,0.214,0.357,0.286,0.5,0.5,0.454,0.278,0.165,0.156,5,0,2,4,14,6,11,30,6,3,
2015-11-01,Nicolas Batum,CHA,ATL,G,36:15,0.214,0.212,0.333,0.154,0.156,0.364,0.286,0.333,0.25,0.182,0.205,14,0.357,4,9,0.444,2,1.0,5,8,2,2,2,2,16,3,41.25,6,79,57,0.1404,7,0.0,110.3,103.6,6.7,0.364,0.075,0.5,94.76,0.357,0.643,0.125,0.75,0.0,0.125,0.6,0.4,0.5,0.152,0.124,0.226,0,2,0,2,10,10,6,34,10,2,
2015-11-03,Nicolas Batum,CHA,CHI,G,28:27,0.253,0.212,0.154,0.643,0.267,0.214,0.2,0.0,0.0,0.143,0.228,11,0.364,1,2,0.5,9,1.0,8,3,0,0,1,1,18,17,31.75,13,54,38,0.0789,8,0.375,135.8,103.2,32.6,0.12,0.163,0.409,99.75,0.818,0.182,0.333,0.167,0.0,0.222,0.25,0.75,0.557,0.132,0.1,0.074,0,4,0,4,8,2,8,20,2,4,
2015-11-05,Nicolas Batum,CHA,DAL,G,34:04,0.163,0.159,0.278,0.182,0.212,0.333,0.2,0.4,0.2,0.063,0.108,10,0.3,0,5,0.0,2,1.0,7,4,2,1,1,1,8,11,27.25,11,48,36,0.1111,4,0.5,109.1,91.0,18.1,0.143,0.108,0.3,96.57,0.5,0.5,0.75,0.0,0.0,0.5,0.0,1.0,0.386,0.368,0.13,0.176,0,0,0,4,7,2,4,26,2,1,
2015-11-07,Nicolas Batum,CHA,SAS,G,32:28,0.166,0.113,0.133,0.263,0.167,0.444,0.333,0.429,0.0,0.25,0.154,6,0.333,1,2,0.5,5,1.0,4,4,3,0,4,3,10,-20,24.5,5,50,36,0.1111,4,0.25,96.5,118.4,-21.9,0.182,0.08,0.417,102.87,0.667,0.333,0.2,0.3,0.4,0.2,1.0,0.0,0.676,0.37,0.139,0.053,4,4,0,2,18,2,8,26,2,2,
2015-11-10,Nicolas Batum,CHA,MIN,G,35:08,0.207,0.212,0.333,0.083,0.3,0.25,0.286,0.0,0.5,0.231,0.239,11,0.545,3,5,0.6,2,1.0,6,3,0,2,4,3,17,-5,31.75,12,50,33,0.0909,5,0.4,94.0,100.4,-6.4,0.167,0.102,0.682,103.34,0.545,0.455,0.353,0.529,0.176,0.235,0.5,0.5,0.533,0.213,0.238,0.321,3,0,0,4,15,12,17,24,12,1,
2015-11-11,Nicolas Batum,CHA,NYK,G,36:21,0.293,0.277,0.278,0.25,0.185,0.067,1.0,0.143,0.0,0.0,0.348,18,0.556,2,5,0.4,5,0.4,5,1,1,0,2,0,24,1,33.5,8,69,43,0.0233,11,0.545,97.5,95.3,2.1,0.063,0.074,0.611,93.83,0.722,0.278,0.667,0.25,0.333,0.417,0.6,0.4,0.508,0.046,0.168,0.241,8,8,0,10,2,4,2,18,4,4,
2015-11-13,Nicolas Batum,CHA,CHI,G,34:42,0.259,0.243,0.207,0.375,0.235,0.111,0.4,0.4,0.0,0.067,0.346,17,0.588,5,6,0.833,3,1.0,8,2,2,0,2,1,28,6,46.0,13,66,43,0.0465,10,0.4,111.7,102.7,9.0,0.1,0.116,0.735,100.65,0.647,0.353,0.357,0.536,0.0,0.143,0.6,0.4,0.482,0.439,0.096,0.067,0,2,5,4,6,6,9,30,6,2,
2015-11-15,Nicolas Batum,CHA,POR,G,38:53,0.288,0.284,0.37,0.412,0.167,0.25,0.222,0.0,0.0,0.154,0.371,19,0.579,5,10,0.5,7,0.857,5,6,0,0,2,2,33,5,48.25,8,81,54,0.1111,9,0.556,112.0,107.2,4.8,0.273,0.071,0.711,97.42,0.474,0.526,0.364,0.455,0.152,0.242,0.909,0.091,0.44,0.253,0.102,0.333,5,5,2,8,6,16,9,44,16,8,
2015-11-17,Nicolas Batum,CHA,NYK,G,35:11,0.154,0.15,0.333,0.118,0.231,0.0,0.333,0.0,0.0,0.167,0.065,9,0.111,1,4,0.25,2,0.5,6,0,0,0,1,2,4,-19,11.5,12,44,32,0.0,5,0.0,90.5,110.4,-19.9,0.0,0.094,0.167,96.77,0.556,0.444,0.0,0.75,0.0,0.0,1.0,0.0,0.5,0.302,0.136,0.25,0,0,0,0,6,16,2,22,16,3,
2015-11-18,Nicolas Batum,CHA,BKN,G,40:36,0.199,0.185,0.273,0.194,0.024,0.364,0.267,0.2,0.333,0.067,0.233,12,0.583,3,6,0.5,7,1.0,1,8,1,2,4,1,24,4,40.75,2,70,44,0.1818,11,0.545,117.3,111.5,5.8,0.308,0.014,0.708,104.42,0.5,0.5,0.333,0.375,0.0,0.167,0.714,0.286,0.539,0.26,0.09,0.132,0,2,2,4,15,5,12,44,5,4,
2015-11-20,Nicolas Batum,CHA,PHI,F,31:50,0.216,0.176,0.267,0.214,0.143,0.188,0.444,0.0,0.0,0.182,0.192,9,0.444,3,4,0.75,3,1.0,4,3,0,0,4,2,14,16,22.25,5,54,40,0.075,3,0.333,115.6,88.7,26.9,0.13,0.074,0.611,96.08,0.556,0.444,0.143,0.643,0.214,0.0,0.75,0.25,0.444,0.222,0.187,0.219,3,3,0,0,6,10,6,26,10,1,
2015-11-23,Nicolas Batum,CHA,SAC,G,43:18,0.222,0.198,0.269,0.269,0.227,0.421,0.313,0.25,0.2,0.067,0.178,16,0.313,1,7,0.143,7,1.0,10,8,2,1,5,1,18,5,44.5,17,89,61,0.1311,10,0.2,100.6,94.4,6.2,0.25,0.12,0.344,112.05,0.563,0.438,0.444,0.167,0.389,0.222,0.4,0.6,0.511,0.149,0.147,0.143,7,2,0,4,10,9,12,42,9,5,
2015-11-25,Nicolas Batum,CHA,WAS,G,33:43,0.234,0.238,0.35,0.25,0.189,0.524,0.2,0.4,0.0,0.111,0.203,15,0.333,3,7,0.429,3,1.0,7,11,2,0,2,1,16,16,43.0,14,82,61,0.1803,12,0.25,112.4,92.1,20.3,0.44,0.103,0.433,98.69,0.533,0.467,0.25,0.563,0.375,0.125,0.6,0.4,0.435,0.161,0.175,0.256,6,2,3,2,10,10,10,22,10,1,
2015-11-27,Nicolas Batum,CHA,CLE,G,38:40,0.216,0.203,0.318,0.217,0.25,0.286,0.3,0.143,0.0,0.118,0.246,13,0.462,1,7,0.143,5,0.8,8,4,1,0,3,2,17,-7,33.0,13,70,50,0.08,8,0.25,87.2,96.5,-9.3,0.222,0.108,0.5,97.97,0.462,0.538,0.588,0.176,0.059,0.353,0.333,0.667,0.478,0.191,0.165,0.229,1,4,4,6,6,7,4,32,7,4,
2015-11-29,Nicolas Batum,CHA,MIL,G,33:40,0.377,0.283,0.364,0.357,0.172,0.417,0.75,0.4,0.25,0.111,0.283,13,0.308,3,8,0.375,5,0.8,5,5,2,1,9,1,15,-8,30.5,8,78,54,0.0926,6,0.333,89.6,100.4,-10.8,0.417,0.085,0.423,85.49,0.385,0.615,0.133,0.6,0.2,0.0,0.75,0.25,0.509,0.069,0.148,0.25,3,0,0,0,21,4,12,34,4,3,
