DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Nik Stauskas,PHI,BOS,,18:12,0.116,0.138,0.333,0.0,0.136,0.143,0.091,0.5,0.0,0.0,0.0,4,0.0,0,4,0.0,0,0.0,3,1,1,0,1,0,0,0,6.5,0,0,0,,0,0.0,69.9,74.2,-4.3,0.1,0.079,0.0,102.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.121,0.132,0.095,0,0,0,0,9,0,4,6,0,0,
2016-10-13,Nik Stauskas,PHI,WAS,,13:04,0.128,0.105,0.111,0.0,0.0,0.0,0.286,0.0,0.0,0.125,0.087,2,0.5,0,1,0.0,0,0.0,0,0,0,0,2,1,2,-4,1.0,0,0,0,,0,0.0,78.6,93.6,-15.1,0.0,0.0,0.5,106.75,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.442,0.423,0.069,0.211,0,0,0,2,7,4,11,16,4,1,
2016-10-15,Nik Stauskas,PHI,DET,,19:07,0.193,0.179,0.25,0.211,0.111,0.0,0.222,0.333,0.333,0.125,0.071,5,0.0,0,2,0.0,4,0.5,2,0,1,1,2,1,2,-6,7.5,0,0,0,,0,0.0,66.1,93.7,-27.6,0.0,0.049,0.0,98.73,0.6,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.357,0.343,0.11,0.348,1,1,0,0,11,4,9,18,4,2,
2016-10-21,Nik Stauskas,PHI,MIA,,30:31,0.103,0.136,0.167,0.0,0.042,0.375,0.0,0.2,0.0,0.167,0.074,8,0.25,1,2,0.5,0,0.0,1,3,1,0,0,3,5,-11,12.5,0,0,0,,0,0.0,95.9,111.8,-16.0,0.13,0.018,0.313,111.33,0.75,0.25,0.4,0.6,0.0,0.0,0.5,0.5,0.547,0.585,0.156,0.292,0,0,0,0,12,8,5,32,8,1,
2015-10-30,Nik Stauskas,PHI,UTA,,21:16,0.199,0.214,0.5,0.217,0.15,0.222,0.125,0.0,0.0,0.0,0.308,6,0.5,2,3,0.667,5,0.8,3,2,0,0,1,0,12,-6,18.75,3,30,21,0.0952,3,0.333,92.6,109.9,-17.3,0.286,0.07,0.667,93.74,0.5,0.5,0.167,0.5,0.0,0.167,1.0,0.0,0.451,0.22,0.073,0.304,0,2,0,2,7,12,4,18,12,2,
2015-11-02,Nik Stauskas,PHI,CLE,G,28:31,0.21,0.204,0.563,0.235,0.167,0.1,0.222,0.333,0.0,0.214,0.319,10,0.4,3,9,0.333,4,1.0,4,1,1,0,2,3,15,-16,23.75,6,50,35,0.0286,4,0.25,79.0,103.2,-24.2,0.083,0.077,0.55,101.43,0.1,0.9,0.133,0.6,0.333,0.133,0.5,0.5,0.553,0.34,0.147,0.1,5,0,0,2,11,2,17,36,2,3,
2015-11-04,Nik Stauskas,PHI,MIL,G,34:44,0.307,0.328,0.667,0.083,0.171,0.222,0.308,0.0,0.0,0.077,0.206,19,0.263,3,14,0.214,1,1.0,7,4,0,0,4,1,14,17,27.25,10,80,54,0.0741,6,0.333,99.6,79.0,20.5,0.182,0.106,0.342,91.77,0.263,0.737,0.286,0.643,0.214,0.286,1.0,0.0,0.375,0.133,0.093,0.132,3,8,0,4,12,8,5,26,8,3,
2015-11-06,Nik Stauskas,PHI,CLE,G,37:39,0.167,0.164,0.333,0.0,0.125,0.118,0.231,0.143,0.0,0.133,0.179,10,0.6,2,6,0.333,0,0.0,3,2,1,0,3,2,14,-15,21.75,3,65,50,0.04,7,0.857,104.1,120.2,-16.1,0.077,0.051,0.7,97.1,0.4,0.6,0.571,0.429,0.143,0.571,0.5,0.5,0.632,0.147,0.168,0.276,2,0,0,8,14,9,20,34,9,0,
2015-11-07,Nik Stauskas,PHI,ORL,G,36:24,0.198,0.242,0.385,0.182,0.1,0.25,0.0,0.0,0.111,0.125,0.231,15,0.4,3,10,0.3,4,0.75,3,5,0,1,0,2,18,-2,31.5,4,69,49,0.102,7,0.429,103.1,108.4,-5.3,0.217,0.053,0.5,98.56,0.333,0.667,0.333,0.5,0.0,0.333,0.667,0.333,0.534,0.339,0.136,0.16,0,6,2,6,21,6,23,34,6,2,
2015-11-09,Nik Stauskas,PHI,CHI,G,33:11,0.165,0.186,0.438,0.0,0.147,0.154,0.111,0.75,0.0,0.0,0.094,13,0.154,1,7,0.143,0,0.0,5,2,3,0,1,0,5,-23,19.75,7,51,36,0.0556,6,0.167,70.0,103.9,-33.9,0.095,0.064,0.192,107.68,0.462,0.538,0.4,0.6,0.0,0.4,1.0,0.0,0.493,0.209,0.123,0.265,0,0,0,2,9,17,21,28,17,0,NBA TV
