DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Nikola Jokic,DEN,TOR,F,27:42,0.139,0.159,0.083,0.2,0.2,0.188,0.0,0.0,0.333,0.273,0.179,7,0.571,1,1,1.0,5,0.6,6,3,0,1,0,3,12,8,25.75,0,0,0,,0,0.0,115.5,103.0,12.5,0.176,0.109,0.643,99.88,0.857,0.143,0.5,0.25,0.0,0.5,0.75,0.25,0.43,0.211,0.07,0.29,0,2,4,6,15,10,9,22,10,3,
2016-10-07,Nikola Jokic,DEN,LAL,F,28:53,0.158,0.17,0.143,0.087,0.313,0.176,0.167,0.444,0.333,0.3,0.131,9,0.333,0,2,0.0,2,1.0,10,3,4,1,2,3,8,2,33.25,0,0,0,,0,0.0,88.3,86.1,2.1,0.188,0.159,0.333,114.37,0.778,0.222,0.75,0.0,0.0,0.5,0.667,0.333,0.448,0.138,0.175,0.161,0,0,0,4,5,2,5,26,2,1,NBA TV
2016-10-12,Nikola Jokic,DEN,MIN,C,14:33,0.305,0.2,0.143,0.545,0.462,0.286,0.4,0.0,0.0,0.429,0.379,4,0.75,0,1,0.0,6,0.833,6,2,0,0,4,6,11,-7,19.0,0,0,0,,0,0.0,94.0,115.7,-21.6,0.333,0.261,0.75,102.2,0.75,0.25,0.545,0.0,0.0,0.545,1.0,0.0,0.432,1.045,0.096,0.308,0,1,4,6,9,9,2,14,9,4,
2016-10-14,Nikola Jokic,DEN,GSW,F,23:12,0.259,0.279,0.1,0.2,0.357,0.154,0.2,0.25,0.0,0.444,0.241,12,0.5,1,1,1.0,2,0.5,10,2,1,0,2,4,14,6,30.5,0,0,0,,0,0.0,112.8,100.1,12.8,0.118,0.208,0.542,106.92,0.917,0.083,0.714,0.214,0.357,0.571,0.667,0.333,0.523,0.209,0.135,0.083,5,2,4,8,9,4,8,18,4,2,
2016-10-16,Nikola Jokic,DEN,POR,F,26:25,0.155,0.178,0.214,0.083,0.32,0.083,0.0,0.667,0.0,0.0,0.089,8,0.25,0,3,0.0,1,1.0,8,1,2,0,0,0,5,-3,20.25,0,0,0,,0,0.0,116.0,114.3,1.6,0.053,0.148,0.25,90.74,0.625,0.375,0.8,0.0,0.0,0.4,0.0,1.0,0.48,0.3,0.078,0.321,0,0,2,2,9,7,5,18,7,3,NBA TV
2016-10-18,Nikola Jokic,DEN,OKC,F,26:33,0.178,0.184,0.083,0.1,0.207,0.125,0.222,0.25,0.0,0.25,0.224,9,0.556,0,1,0.0,2,0.5,6,1,1,0,2,2,11,-7,20.75,0,0,0,,0,0.0,81.9,94.5,-12.5,0.083,0.105,0.556,107.64,0.889,0.111,0.909,0.0,0.0,0.727,0.2,0.8,0.48,0.235,0.118,0.154,0,0,4,8,10,8,12,32,8,3,
2016-10-21,Nikola Jokic,DEN,DAL,F,19:31,0.304,0.333,0.222,0.0,0.333,0.308,0.4,0.333,0.0,0.357,0.24,9,0.667,0,2,0.0,0,0.0,6,4,1,0,4,5,12,22,24.5,0,0,0,,0,0.0,122.8,69.9,52.9,0.364,0.214,0.667,99.36,0.778,0.222,1.0,0.0,0.167,0.5,0.833,0.167,0.414,0.241,0.25,0.111,2,0,0,6,4,0,2,14,0,2,
2015-10-28,Nikola Jokic,DEN,HOU,,3:55,0.222,0.143,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,1,1.0,0,0,0.0,0,0.0,0,0,0,0,1,0,2,1,1.5,1,6,3,0.0,1,1.0,100.0,103.6,-3.6,0.0,0.0,1.0,90.44,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.148,0.0,0,0,0,2,2,0,3,4,0,1,
2015-10-30,Nikola Jokic,DEN,MIN,,18:09,0.235,0.235,0.0,0.0,0.409,0.143,0.333,0.0,0.0,0.273,0.313,8,0.625,0,0,0.0,0,0.0,9,1,0,0,2,3,10,10,21.5,16,29,19,0.0526,6,0.5,87.3,59.0,28.3,0.143,0.231,0.625,97.77,1.0,0.0,1.0,0.0,0.2,1.0,0.6,0.4,0.32,0.48,0.241,0.111,2,0,2,10,6,0,2,12,0,3,
2015-11-01,Nikola Jokic,DEN,OKC,,24:26,0.177,0.184,0.0,0.0,0.286,0.0,0.2,0.0,0.0,0.2,0.163,9,0.444,0,0,0.0,0,0.0,4,0,0,0,1,2,8,-2,12.5,13,43,34,0.0,8,0.5,96.8,109.9,-13.2,0.0,0.1,0.444,95.32,1.0,0.0,1.0,0.0,0.25,1.0,0.5,0.5,0.595,0.27,0.259,0.467,2,0,2,8,0,2,3,16,2,3,
2015-11-05,Nikola Jokic,DEN,UTA,,17:44,0.19,0.154,0.0,0.267,0.231,0.0,0.333,0.0,0.25,0.25,0.147,4,0.25,0,0,0.0,4,0.75,3,0,0,1,1,1,5,-6,10.25,10,18,11,0.0,4,0.25,101.2,111.5,-10.3,0.0,0.086,0.25,94.03,1.0,0.0,0.4,0.0,0.0,0.4,0.0,1.0,0.528,0.056,0.195,0.421,0,0,4,2,11,13,3,16,13,3,
2015-11-06,Nikola Jokic,DEN,GSW,,17:00,0.146,0.133,0.0,0.4,0.235,0.083,0.125,0.2,0.5,0.143,0.138,4,0.5,0,0,0.0,2,0.0,4,1,1,1,1,1,4,-5,13.75,13,23,14,0.0714,4,0.5,75.9,91.7,-15.8,0.1,0.118,0.5,106.28,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.517,0.233,0.216,0.211,0,0,0,4,8,5,12,16,5,2,
