DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Nikola Mirotic,CHI,MIL,,18:50,0.217,0.241,0.273,0.0,0.188,0.167,0.222,0.25,1.0,0.071,0.071,7,0.143,0,3,0.0,0,0.0,3,1,1,1,2,1,2,-17,10.0,0,0,0,,0,0.0,70.9,115.6,-44.8,0.111,0.073,0.143,99.96,0.571,0.429,1.0,0.0,0.0,1.0,0.0,1.0,0.485,0.545,0.154,0.364,0,0,2,2,9,9,4,14,9,3,NBA TV
2016-10-06,Nikola Mirotic,CHI,IND,F,24:10,0.167,0.171,0.417,0.125,0.105,0.111,0.182,0.0,0.667,0.2,0.08,7,0.143,0,5,0.0,2,1.0,2,1,0,2,2,1,4,-8,10.75,0,0,0,,0,0.0,86.1,100.1,-13.9,0.063,0.045,0.143,115.2,0.286,0.714,0.5,0.0,0.5,0.5,1.0,0.0,0.543,0.191,0.207,0.217,2,0,2,2,13,2,9,20,2,1,
2016-10-08,Nikola Mirotic,CHI,IND,,25:30,0.197,0.231,0.538,0.182,0.429,0.0,0.0,0.2,1.0,0.385,0.261,9,0.667,4,7,0.571,4,0.5,9,0,1,1,0,5,18,18,35.25,0,0,0,,0,0.0,128.5,90.4,38.1,0.0,0.214,0.889,103.6,0.222,0.778,0.222,0.667,0.0,0.111,0.667,0.333,0.457,0.217,0.142,0.091,0,0,0,2,8,4,12,24,4,2,
2016-10-14,Nikola Mirotic,CHI,CLE,,24:38,0.138,0.152,0.267,0.167,0.212,0.125,0.077,0.0,0.25,0.143,0.108,7,0.286,1,4,0.25,2,1.0,7,2,0,1,1,2,7,12,20.25,0,0,0,,0,0.0,115.5,96.9,18.6,0.087,0.152,0.357,108.15,0.429,0.571,0.286,0.429,0.0,0.286,1.0,0.0,0.446,0.283,0.091,0.074,0,0,0,2,19,3,11,20,3,1,NBA TV
2016-10-15,Nikola Mirotic,CHI,MIL,,25:45,0.217,0.244,0.286,0.154,0.172,0.083,0.125,0.0,0.143,0.375,0.233,10,0.5,2,6,0.333,2,1.0,5,1,0,1,1,3,14,25,24.0,0,0,0,,0,0.0,123.2,67.0,56.1,0.071,0.106,0.6,94.06,0.4,0.6,0.429,0.429,0.143,0.143,0.8,0.2,0.372,0.116,0.192,0.115,2,0,3,2,2,2,4,20,2,3,
2016-10-17,Nikola Mirotic,CHI,CHA,,9:46,0.262,0.25,0.571,0.0,0.154,0.0,0.333,1.0,0.0,0.2,0.0,4,0.0,0,4,0.0,0,0.0,2,0,1,0,2,1,0,-7,3.5,0,0,0,,0,0.0,65.4,94.9,-29.5,0.0,0.083,0.0,100.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.389,0.095,0.167,0,0,0,0,5,0,8,8,0,0,NBA TV
2015-10-27,Nikola Mirotic,CHI,CLE,F,25:14,0.29,0.239,0.4,0.364,0.474,0.125,0.571,0.167,0.0,0.385,0.322,11,0.545,3,4,0.75,4,1.0,9,1,1,0,4,5,19,9,33.0,15,56,39,0.0256,6,0.333,105.7,91.5,14.2,0.059,0.2,0.682,105.08,0.636,0.364,0.316,0.474,0.0,0.211,0.5,0.5,0.47,0.12,0.165,0.292,0,3,2,4,4,6,8,30,6,3,TNT
2015-10-28,Nikola Mirotic,CHI,BKN,F,29:37,0.218,0.208,0.471,0.25,0.333,0.071,0.25,0.333,0.5,0.333,0.228,10,0.5,4,8,0.5,4,1.0,9,1,2,1,2,3,18,30,37.5,18,75,61,0.0164,0,0.0,129.4,76.9,52.5,0.045,0.161,0.7,101.12,0.2,0.8,0.111,0.667,0.167,0.0,0.8,0.2,0.328,0.213,0.126,0.306,3,4,0,0,6,6,0,24,6,4,
2015-10-30,Nikola Mirotic,CHI,DET,F,38:30,0.241,0.23,0.5,0.273,0.182,0.0,0.267,0.25,0.0,0.059,0.31,14,0.5,3,8,0.375,6,0.833,6,0,2,0,4,1,22,2,33.0,17,78,55,0.0,6,0.667,88.0,83.9,4.1,0.0,0.079,0.607,101.56,0.429,0.571,0.364,0.409,0.273,0.364,0.714,0.286,0.415,0.296,0.182,0.317,6,5,2,8,15,12,8,38,12,5,
2015-11-01,Nikola Mirotic,CHI,ORL,F,28:23,0.245,0.226,0.444,0.375,0.12,0.0,0.25,0.0,0.4,0.167,0.267,12,0.333,3,8,0.375,6,0.833,3,0,0,2,2,1,16,5,24.25,8,56,40,0.0,2,0.0,96.7,94.5,2.2,0.0,0.06,0.458,101.69,0.333,0.667,0.125,0.563,0.0,0.125,0.75,0.25,0.49,0.096,0.155,0.208,0,0,5,2,4,9,9,30,9,4,
