DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Nikola Vucevic,ORL,MEM,C,22:36,0.283,0.375,0.143,0.222,0.391,0.556,0.077,0.5,0.0,0.333,0.256,12,0.333,1,2,0.5,2,1.0,9,5,1,0,1,3,11,4,30.5,0,0,0,,0,0.0,93.6,83.9,9.7,0.455,0.231,0.375,98.17,0.833,0.167,0.545,0.273,0.182,0.364,0.25,0.75,0.365,0.459,0.108,0.13,2,2,0,4,10,7,6,14,7,2,
2016-10-05,Nikola Vucevic,ORL,CLE,C,17:45,0.273,0.28,0.0,0.111,0.357,0.375,0.429,0.2,0.0,0.375,0.222,7,0.429,0,0,0.0,2,1.0,5,3,1,0,3,3,8,-8,18.5,0,0,0,,0,0.0,100.2,124.3,-24.1,0.429,0.192,0.429,96.47,1.0,0.0,0.75,0.0,0.0,0.5,1.0,0.0,0.78,0.4,0.169,0.0,0,0,0,4,10,0,6,8,0,1,NBA TV
2016-10-12,Nikola Vucevic,ORL,SAS,C,21:27,0.179,0.171,0.0,0.5,0.4,0.333,0.1,0.333,0.25,0.25,0.162,7,0.143,0,0,0.0,4,1.0,10,2,1,1,1,3,6,-11,24.5,0,0,0,,0,0.0,85.0,105.4,-20.4,0.154,0.238,0.143,99.66,1.0,0.0,0.333,0.0,0.0,0.333,0.0,1.0,0.526,0.205,0.132,0.176,0,0,6,2,7,7,5,14,7,2,
2016-10-14,Nikola Vucevic,ORL,IND,C,27:24,0.209,0.186,0.0,0.118,0.069,0.444,0.313,0.0,1.0,0.286,0.125,8,0.375,0,0,0.0,2,0.5,2,4,0,1,5,4,7,-4,14.0,0,0,0,,0,0.0,94.1,110.5,-16.4,0.25,0.043,0.375,99.62,1.0,0.0,0.857,0.0,0.0,0.571,0.0,1.0,0.58,0.273,0.129,0.083,0,0,0,4,21,2,16,28,2,1,
2016-10-18,Nikola Vucevic,ORL,MIA,C,25:35,0.186,0.2,0.0,0.0,0.125,0.222,0.25,0.5,0.5,0.0,0.16,9,0.444,0,0,0.0,0,0.0,3,2,1,1,2,0,8,1,17.25,0,0,0,,0,0.0,94.1,96.8,-2.7,0.133,0.067,0.444,97.38,1.0,0.0,1.0,0.0,0.5,0.75,0.25,0.75,0.5,0.14,0.158,0.143,4,0,2,6,8,5,8,26,5,0,
2016-10-20,Nikola Vucevic,ORL,NOP,C,29:37,0.204,0.213,0.0,0.4,0.444,0.133,0.0,0.25,0.333,0.2,0.2,13,0.308,0,0,0.0,4,1.0,12,2,1,1,0,3,12,-4,33.5,0,0,0,,0,0.0,90.4,104.8,-14.5,0.1,0.203,0.308,103.25,1.0,0.0,0.667,0.0,0.167,0.333,1.0,0.0,0.5,0.302,0.131,0.25,2,0,2,4,7,11,7,26,11,2,
2015-10-28,Nikola Vucevic,ORL,WAS,C,28:29,0.209,0.228,0.0,0.0,0.241,0.143,0.154,0.25,0.667,0.364,0.2,13,0.385,0,0,0.0,0,0.0,7,2,1,2,2,4,10,-10,26.25,9,51,34,0.0588,7,0.429,78.4,100.3,-21.8,0.118,0.125,0.385,104.15,1.0,0.0,1.0,0.0,0.0,0.8,0.6,0.4,0.52,0.22,0.201,0.25,0,0,0,8,10,6,13,24,6,1,
2015-10-30,Nikola Vucevic,ORL,OKC,C,45:05,0.17,0.165,0.0,0.276,0.194,0.0,0.091,0.143,0.714,0.238,0.232,14,0.714,0,0,0.0,8,0.75,7,0,1,5,1,5,26,3,46.25,24,67,47,0.0,8,0.625,112.3,112.9,-0.6,0.0,0.083,0.714,104.5,1.0,0.0,0.769,0.0,0.231,0.462,0.4,0.6,0.511,0.276,0.155,0.372,6,2,4,12,9,14,10,48,14,6,
2015-11-01,Nikola Vucevic,ORL,CHI,C,34:30,0.224,0.182,0.0,0.333,0.344,0.176,0.417,0.4,0.333,0.083,0.238,12,0.5,0,0,0.0,3,1.0,11,3,2,3,5,1,15,-2,40.0,20,60,41,0.0732,8,0.5,86.3,89.9,-3.6,0.143,0.18,0.5,101.04,1.0,0.0,0.8,0.0,0.0,0.4,0.5,0.5,0.421,0.19,0.138,0.207,0,0,2,6,12,9,2,24,9,3,
2015-11-03,Nikola Vucevic,ORL,NOP,C,33:42,0.294,0.313,0.0,0.4,0.342,0.176,0.167,0.2,0.5,0.273,0.328,21,0.476,0,0,0.0,2,1.0,13,3,1,1,2,3,22,-4,45.0,20,63,36,0.0833,15,0.467,92.8,97.4,-4.6,0.167,0.181,0.476,103.35,1.0,0.0,0.909,0.0,0.091,0.727,0.4,0.6,0.492,0.3,0.151,0.171,2,0,6,16,13,4,15,20,4,2,
