DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-07,Noah Vonleh,POR,PHX,,20:12,0.233,0.237,0.0,0.111,0.5,0.2,0.4,0.0,0.0,0.5,0.292,9,0.667,0,0,0.0,2,1.0,14,1,0,0,2,5,14,2,31.75,0,0,0,,0,0.0,111.8,101.9,10.0,0.111,0.275,0.667,104.65,1.0,0.0,0.857,0.0,0.143,0.571,0.5,0.5,0.422,0.311,0.044,0.286,2,0,2,8,4,9,6,24,9,3,
2016-10-11,Noah Vonleh,POR,LAL,,12:46,0.142,0.174,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.25,0.25,4,0.75,0,0,0.0,0,0.0,5,0,0,0,0,1,6,9,12.25,0,0,0,,0,0.0,95.2,61.2,34.1,0.0,0.167,0.75,93.47,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.214,0.381,0.122,0.176,0,2,2,6,0,3,5,6,3,0,NBA TV
2016-10-13,Noah Vonleh,POR,LAC,,12:00,0.113,0.143,0.25,0.0,0.077,0.0,0.0,0.0,0.0,0.25,0.167,3,0.667,1,1,1.0,0,0.0,1,0,0,0,0,1,5,10,6.75,0,0,0,,0,0.0,127.6,91.9,35.6,0.0,0.045,0.833,90.56,0.667,0.333,0.4,0.6,0.0,0.0,1.0,0.0,0.4,0.2,0.092,0.167,0,0,0,0,2,4,0,6,4,0,TNT
2016-10-16,Noah Vonleh,POR,DEN,,18:54,0.224,0.194,0.125,0.143,0.455,0.0,0.429,0.5,0.0,0.571,0.167,6,0.5,0,1,0.0,2,0.0,10,0,1,0,3,4,6,-3,19.0,0,0,0,,0,0.0,94.3,104.3,-9.9,0.0,0.238,0.5,95.95,0.833,0.167,1.0,0.0,0.333,1.0,0.0,1.0,0.472,0.278,0.08,0.273,2,0,0,6,2,7,0,14,7,1,NBA TV
2016-10-19,Noah Vonleh,POR,UTA,,21:08,0.12,0.129,0.1,0.0,0.278,0.0,0.111,0.0,1.0,0.385,0.143,4,0.5,0,1,0.0,0,0.0,5,0,0,1,1,5,4,-12,11.75,0,0,0,,0,0.0,68.7,93.6,-24.9,0.0,0.128,0.5,94.82,0.75,0.25,1.0,0.0,0.5,1.0,0.0,1.0,0.375,0.361,0.117,0.19,2,0,0,4,18,4,6,10,4,1,
2016-10-21,Noah Vonleh,POR,GSW,,22:20,0.142,0.114,0.083,0.308,0.391,0.0,0.143,0.0,0.0,0.333,0.191,4,0.75,1,1,1.0,4,0.5,9,0,0,0,1,1,9,6,20.25,0,0,0,,0,0.0,105.1,92.3,12.8,0.0,0.214,0.875,95.81,0.75,0.25,0.444,0.333,0.0,0.444,1.0,0.0,0.444,0.022,0.068,0.167,0,4,0,4,9,5,2,18,5,2,NBA TV
2015-10-28,Noah Vonleh,POR,NOP,,13:46,0.171,0.16,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.286,0.067,4,0.25,0,1,0.0,0,0.0,0,0,0,0,1,2,2,-11,1.5,2,13,9,0.0,1,0.0,106.4,127.3,-20.9,0.0,0.0,0.25,105.3,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.638,0.172,0.062,0.1,0,0,0,0,8,3,5,16,3,0,
2015-10-30,Noah Vonleh,POR,PHX,,21:02,0.042,0.056,0.0,0.0,0.375,0.167,0.0,0.0,0.333,0.133,0.051,2,0.5,0,0,0.0,0,0.0,6,1,0,1,0,2,2,-3,12.75,15,25,22,0.0455,1,0.0,89.1,92.6,-3.5,0.067,0.158,0.5,101.72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.439,0.576,0.22,0.333,0,0,2,2,10,6,6,24,6,0,
2015-10-31,Noah Vonleh,POR,PHX,,6:29,0.072,0.091,0.0,0.0,0.571,0.333,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,4,1,0,0,0,0,0,2,6.25,7,10,9,0.1111,1,0.0,108.7,83.1,25.6,0.2,0.308,0.0,101.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.071,0.069,0.143,0,0,0,0,4,0,2,6,0,0,
2015-11-02,Noah Vonleh,POR,MIN,,19:07,0.141,0.081,0.083,0.444,0.15,0.0,0.286,0.0,0.0,0.273,0.098,3,0.333,0,1,0.0,4,0.75,3,0,0,0,2,3,5,8,7.75,9,21,12,0.0,1,1.0,121.5,104.5,17.1,0.0,0.083,0.333,104.35,0.667,0.333,0.4,0.0,0.0,0.4,1.0,0.0,0.5,0.452,0.17,0.176,0,0,0,2,8,2,7,22,2,3,
2015-11-04,Noah Vonleh,POR,UTA,,13:18,0.173,0.176,0.333,0.167,0.0,0.0,0.167,0.0,0.0,0.3,0.043,3,0.0,0,2,0.0,2,0.5,0,0,0,0,1,3,1,4,0.5,10,13,7,0.0,1,0.0,94.7,67.5,27.3,0.0,0.0,0.0,94.63,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.467,0.071,0.476,0,0,1,0,5,7,1,6,7,2,
2015-11-05,Noah Vonleh,POR,MEM,,11:06,0.261,0.222,0.667,0.0,0.375,0.0,0.4,0.0,0.667,1.0,0.154,4,0.25,0,2,0.0,0,0.0,3,0,0,2,2,1,2,-11,8.75,8,21,17,0.0,1,0.0,56.5,104.3,-47.8,0.0,0.15,0.25,99.46,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.217,0.2,0,0,0,0,8,3,2,4,3,0,TNT
2015-11-08,Noah Vonleh,POR,DET,,9:56,0.202,0.214,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.2,0.167,3,0.667,0,0,0.0,0,0.0,3,1,0,0,1,1,4,9,8.5,7,11,7,0.1429,1,1.0,135.1,79.4,55.7,0.111,0.15,0.667,88.53,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.31,0.095,0.106,0.333,2,0,2,4,5,7,0,4,7,0,
2015-11-09,Noah Vonleh,POR,DEN,,12:53,0.098,0.15,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.143,0.0,3,0.0,0,0,0.0,0,0.0,2,0,0,0,0,1,0,-15,2.5,5,22,19,0.0,3,0.0,74.9,138.4,-63.6,0.0,0.087,0.0,96.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.632,0.198,0.5,0,0,0,0,4,6,5,12,6,0,
2015-11-11,Noah Vonleh,POR,SAS,,7:27,0.111,0.118,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.25,2,0.5,0,0,0.0,0,0.0,2,0,0,0,0,1,2,-8,4.5,4,13,11,0.0,2,0.5,53.3,116.3,-62.9,0.0,0.143,0.5,92.71,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.65,0.4,0.218,0.25,2,2,0,2,0,2,0,6,2,0,ESPN
2015-11-13,Noah Vonleh,POR,MEM,,6:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,-6,0.0,2,14,14,0.0,0,0.0,98.6,146.6,-48.0,0.0,0.0,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.545,0.073,0.25,0,0,0,0,5,2,0,6,2,0,
2015-11-15,Noah Vonleh,POR,CHA,F,23:55,0.16,0.128,0.083,0.286,0.214,0.143,0.25,0.0,0.0,0.2,0.184,6,0.5,0,1,0.0,4,0.75,6,1,0,0,2,3,9,-6,16.75,11,36,25,0.04,3,0.333,99.7,113.9,-14.2,0.071,0.13,0.5,97.79,0.833,0.167,0.667,0.0,0.0,0.667,0.333,0.667,0.603,0.308,0.124,0.111,0,0,3,6,11,4,11,24,4,2,
2015-11-16,Noah Vonleh,POR,SAS,,22:25,0.047,0.053,0.083,0.0,0.375,0.091,0.0,0.0,0.0,0.273,0.07,2,0.5,1,1,1.0,0,0.0,6,1,0,0,0,3,3,-5,12.25,10,29,27,0.037,0,0.0,104.1,110.3,-6.2,0.063,0.158,0.75,90.85,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.512,0.195,0.092,0.25,0,0,0,0,4,4,3,16,4,0,
2015-11-18,Noah Vonleh,POR,HOU,F,12:44,0.181,0.19,0.0,0.0,0.462,0.0,0.25,0.0,0.0,0.571,0.148,4,0.5,0,0,0.0,0,0.0,6,0,0,0,1,4,4,3,11.0,9,20,14,0.0,2,0.5,105.3,95.2,10.1,0.0,0.25,0.5,95.82,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.477,0.227,0.159,0.214,0,0,0,2,4,0,2,4,0,0,
2015-11-20,Noah Vonleh,POR,LAC,F,17:31,0.128,0.067,0.0,0.286,0.176,0.0,0.4,0.333,0.0,0.25,0.114,2,0.5,0,0,0.0,2,1.0,3,0,1,0,2,2,4,0,8.75,7,22,18,0.0,1,1.0,97.0,93.3,3.7,0.0,0.091,0.5,100.84,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.484,0.25,0.107,0.118,0,0,0,2,4,3,2,12,3,2,
2015-11-22,Noah Vonleh,POR,LAL,F,16:33,0.1,0.086,0.091,0.0,0.176,0.0,0.2,0.0,0.5,0.0,0.0,3,0.0,0,1,0.0,0,0.0,3,0,0,2,1,0,0,3,7.25,10,18,14,0.0,1,0.0,105.3,100.4,4.8,0.0,0.083,0.0,108.52,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.324,0.109,0.286,0,0,0,0,8,4,0,22,4,0,
2015-11-24,Noah Vonleh,POR,CHI,F,12:22,0.239,0.28,0.333,0.0,0.2,0.0,0.0,0.0,1.0,0.375,0.333,7,0.429,1,2,0.5,0,0.0,3,0,0,1,0,3,7,-4,13.25,6,25,17,0.0,4,0.25,90.1,110.4,-20.4,0.0,0.12,0.5,89.19,0.714,0.286,0.571,0.429,0.286,0.571,0.667,0.333,0.526,0.316,0.088,0.1,2,2,2,4,6,1,0,4,1,0,
2015-11-28,Noah Vonleh,POR,LAL,F,19:33,0.073,0.065,0.0,0.0,0.294,0.091,0.143,0.5,0.0,0.2,0.085,2,1.0,0,0,0.0,0,0.0,5,1,1,0,1,1,4,8,13.0,11,31,27,0.037,1,1.0,123.4,98.4,25.0,0.063,0.172,1.0,95.45,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.182,0.126,0.067,2,2,0,4,4,0,8,18,0,0,
2015-11-30,Noah Vonleh,POR,LAC,F,12:55,0.162,0.25,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.667,0.154,4,0.25,0,0,0.0,0,0.0,1,0,0,0,0,4,2,-16,3.25,7,14,9,0.0,2,0.0,52.5,120.4,-67.9,0.0,0.042,0.25,90.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.463,0.259,0.125,0.563,2,0,0,0,7,13,2,16,13,0,
2015-12-01,Noah Vonleh,POR,DAL,F,5:45,0.077,0.091,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-15,1.25,2,8,7,0.0,1,0.0,38.5,162.3,-123.9,0.0,0.111,0.0,105.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.081,0.0,0,0,0,0,4,0,0,4,0,0,NBA TV
2015-12-03,Noah Vonleh,POR,IND,F,17:31,0.098,0.097,0.0,0.0,0.267,0.0,0.2,0.0,0.0,0.2,0.133,3,1.0,0,0,0.0,0,0.0,4,0,0,0,1,1,6,-6,10.5,11,27,22,0.0,3,1.0,122.1,137.5,-15.4,0.0,0.133,1.0,101.28,1.0,0.0,1.0,0.0,0.0,1.0,0.333,0.667,0.629,0.2,0.081,0.267,0,0,4,6,13,7,6,22,7,0,
2015-12-05,Noah Vonleh,POR,MIN,F,15:05,0.162,0.133,0.0,0.0,0.273,0.125,0.5,0.25,0.0,0.0,0.091,4,0.5,0,0,0.0,0,0.0,3,1,1,0,2,0,4,9,10.0,5,30,25,0.04,2,0.5,129.1,114.2,14.9,0.071,0.143,0.5,102.95,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.63,0.261,0.196,0.111,2,0,0,2,4,2,2,12,2,0,
2015-12-07,Noah Vonleh,POR,MIL,F,14:10,0.182,0.185,0.0,0.0,0.538,0.25,0.2,0.0,0.0,0.286,0.333,5,0.6,0,0,0.0,0,0.0,7,1,0,0,1,2,6,-6,15.5,12,20,14,0.0714,5,0.6,69.6,86.8,-17.3,0.2,0.259,0.6,90.67,1.0,0.0,1.0,0.0,0.333,1.0,0.0,1.0,0.526,0.316,0.289,0.25,2,0,6,6,4,0,2,14,0,0,
2015-12-08,Noah Vonleh,POR,CLE,F,11:08,0.044,0.063,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.333,0.095,1,1.0,0,0,0.0,0,0.0,4,0,0,0,0,2,2,9,7.0,6,13,11,0.0,1,1.0,96.0,63.2,32.8,0.0,0.235,1.0,88.12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3,0.0,0.105,0.231,0,0,0,2,2,4,0,12,4,0,
2015-12-11,Noah Vonleh,POR,PHX,F,16:52,0.027,0.033,0.0,0.0,0.294,0.111,0.0,0.0,0.0,0.5,0.045,1,1.0,0,0,0.0,0,0.0,5,1,0,0,0,1,2,9,9.5,10,17,17,0.0588,1,1.0,128.2,102.9,25.3,0.059,0.156,1.0,97.21,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.461,0.0,0.088,0.333,0,0,2,2,4,4,2,20,4,0,
2015-12-12,Noah Vonleh,POR,NYK,F,17:25,0.102,0.067,0.125,0.222,0.333,0.333,0.25,0.667,0.0,0.333,0.171,2,1.0,1,1,1.0,2,1.0,5,2,2,0,1,2,7,11,19.75,6,29,24,0.0833,1,1.0,124.4,88.9,35.5,0.143,0.208,1.25,91.94,0.5,0.5,0.286,0.429,0.286,0.286,0.5,0.5,0.466,0.138,0.148,0.167,2,0,4,2,2,2,3,12,2,2,
