DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Norman Powell,TOR,GSW,,18:33,0.234,0.257,0.333,0.0,0.154,0.2,0.222,0.0,0.2,0.286,0.147,9,0.222,1,2,0.5,0,0.0,4,1,0,1,2,2,5,3,12.75,0,0,0,,0,0.0,89.3,79.3,10.0,0.083,0.091,0.278,99.83,0.778,0.222,0.4,0.6,0.0,0.0,0.5,0.5,0.412,0.206,0.179,0.227,0,0,0,0,6,2,6,22,2,0,NBA TV
2016-10-03,Norman Powell,TOR,DEN,,20:00,0.224,0.263,0.375,0.0,0.304,0.0,0.222,0.0,0.25,0.0,0.179,10,0.3,1,3,0.333,0,0.0,7,0,0,1,2,0,7,-6,17.25,0,0,0,,0,0.0,87.4,101.2,-13.7,0.0,0.167,0.35,106.9,0.7,0.3,0.571,0.429,0.286,0.286,1.0,0.0,0.485,0.515,0.202,0.263,2,2,0,2,13,6,5,24,6,1,
2016-10-05,Norman Powell,TOR,LAC,,20:26,0.142,0.138,0.333,0.0,0.154,0.0,0.25,0.0,0.0,0.111,0.093,4,0.5,0,1,0.0,0,0.0,2,0,0,0,2,1,4,-2,5.5,0,0,0,,0,0.0,101.7,107.6,-5.8,0.0,0.067,0.5,98.8,0.75,0.25,1.0,0.0,0.5,1.0,1.0,0.0,0.545,0.333,0.191,0.235,2,2,0,4,10,0,4,14,0,1,
2016-10-13,Norman Powell,TOR,CLE,G,31:17,0.145,0.14,0.25,0.333,0.16,0.1,0.083,0.0,0.0,0.118,0.149,7,0.429,2,3,0.667,4,0.75,4,2,0,0,1,2,11,5,19.0,0,0,0,,0,0.0,115.1,102.4,12.7,0.074,0.091,0.571,100.99,0.571,0.429,0.182,0.545,0.0,0.182,1.0,0.0,0.52,0.373,0.163,0.12,0,4,0,2,18,8,13,16,8,2,TNT
2016-10-14,Norman Powell,TOR,SLA,G,24:02,0.247,0.205,0.1,0.267,0.077,0.364,1.0,0.75,0.0,0.286,0.262,8,0.75,1,1,1.0,4,1.0,1,4,3,0,2,4,17,12,28.75,0,0,0,,0,0.0,149.1,112.4,36.7,0.211,0.037,0.813,90.63,0.875,0.125,0.588,0.176,0.412,0.588,0.167,0.833,0.629,0.4,0.233,0.357,7,2,0,10,3,8,6,12,8,3,
2016-10-19,Norman Powell,TOR,DET,,18:11,0.153,0.152,0.143,0.0,0.059,0.429,0.25,0.333,0.0,0.25,0.125,5,0.4,0,1,0.0,0,0.0,1,3,1,0,1,2,4,-4,10.5,0,0,0,,0,0.0,93.6,107.8,-14.2,0.273,0.032,0.4,89.22,0.8,0.2,1.0,0.0,1.0,1.0,0.5,0.5,0.609,0.435,0.18,0.0,4,2,0,4,0,0,0,12,0,0,
2016-10-21,Norman Powell,TOR,WAS,,22:59,0.142,0.14,0.4,0.0,0.0,0.167,0.25,0.0,0.333,0.0,0.158,6,0.333,2,4,0.5,0,0.0,0,1,0,1,1,0,6,-16,9.75,0,0,0,,0,0.0,86.0,118.8,-32.9,0.071,0.0,0.5,93.61,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.616,0.023,0.11,0.188,0,0,0,0,4,7,2,24,7,1,
2015-11-01,Norman Powell,TOR,MIL,,2:22,0.143,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,3,2,0.0,1,0.0,33.3,69.4,-36.1,0.0,0.0,0.0,119.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.174,0.0,0,0,0,0,2,0,2,0,0,0,NBA TV
2015-11-03,Norman Powell,TOR,DAL,,3:05,0.25,0.333,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.333,0.5,2,0.5,0,1,0.0,0,0.0,1,0,0,0,0,1,2,-5,3.25,1,10,8,0.0,1,1.0,57.1,133.1,-76.0,0.0,0.167,0.5,107.4,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.8,0.0,0.0,0,0,0,0,5,0,4,2,0,0,
2015-11-08,Norman Powell,TOR,MIA,,4:38,0.265,0.429,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,1.25,3,7,3,0.0,2,0.0,29.1,37.5,-8.4,0.0,0.083,0.0,94.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-10,Norman Powell,TOR,NYK,,1:35,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-5,0.0,0,1,0,,0,0.0,133.3,202.7,-69.4,0.0,0.0,0.0,112.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0,0,0,0,0,0,3,2,0,0,
2015-11-11,Norman Powell,TOR,PHI,,24:37,0.191,0.208,0.143,0.0,0.125,0.083,0.25,0.25,0.0,0.2,0.138,10,0.4,0,1,0.0,0,0.0,4,1,1,0,1,2,8,6,15.75,7,35,21,0.0476,8,0.375,124.1,107.4,16.7,0.056,0.077,0.4,92.74,0.9,0.1,1.0,0.0,0.5,1.0,0.5,0.5,0.511,0.227,0.124,0.222,4,6,2,8,6,2,7,24,2,1,
2015-11-13,Norman Powell,TOR,NOP,,10:59,0.091,0.133,0.0,0.0,0.231,0.0,0.0,0.5,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,3,0,1,0,0,2,0,0,5.75,5,13,10,0.0,2,0.0,74.7,74.7,0.0,0.0,0.115,0.0,87.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.333,0.1,0.353,0,0,0,0,2,1,2,4,1,0,
