DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Omer Asik,NOP,DAL,,13:36,0.066,0.048,0.0,0.0,0.286,0.0,0.143,0.0,0.0,0.25,0.049,1,1.0,0,0,0.0,0,0.0,4,0,0,0,1,2,2,18,6.5,0,0,0,,0,0.0,145.4,81.6,63.8,0.0,0.211,1.0,99.53,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.375,0.208,0.177,0.2,0,0,0,2,5,4,2,8,4,0,
2016-10-04,Omer Asik,NOP,IND,,14:34,0.103,0.04,0.0,0.353,0.462,0.0,0.0,0.333,0.0,0.0,0.205,1,1.0,0,0,0.0,6,1.0,6,0,1,0,0,0,8,8,17.5,0,0,0,,0,0.0,113.1,91.5,21.6,0.0,0.207,1.0,112.63,1.0,0.0,0.25,0.0,0.0,0.25,1.0,0.0,0.468,0.065,0.177,0.25,0,2,2,2,4,4,5,18,4,3,
2016-10-09,Omer Asik,NOP,HOU,C,28:24,0.21,0.176,0.091,0.381,0.483,0.071,0.222,0.0,1.0,0.2,0.25,9,0.444,0,1,0.0,8,0.75,14,1,0,5,2,3,14,-12,41.75,0,0,0,,0,0.0,85.8,104.9,-19.0,0.063,0.241,0.444,109.93,0.889,0.111,0.571,0.0,0.214,0.571,1.0,0.0,0.545,0.196,0.139,0.167,3,0,3,8,14,1,15,24,1,8,NBA TV
2016-10-12,Omer Asik,NOP,HOU,C,13:30,0.139,0.083,0.0,0.111,0.375,0.167,0.5,1.0,0.0,0.429,0.091,2,0.5,0,0,0.0,1,0.0,6,1,1,0,2,3,2,0,11.75,0,0,0,,0,0.0,78.7,88.4,-9.7,0.167,0.214,0.5,93.94,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.417,0.083,0.08,0.143,0,0,0,2,7,0,0,8,0,2,NBA TV
2016-10-18,Omer Asik,NOP,ATL,C,19:31,0.171,0.139,0.0,0.222,0.286,0.125,0.333,0.2,0.0,0.364,0.242,5,0.6,0,0,0.0,2,1.0,6,1,1,0,2,4,8,2,17.75,0,0,0,,0,0.0,73.4,74.9,-1.5,0.111,0.136,0.6,106.23,1.0,0.0,0.75,0.0,0.0,0.75,1.0,0.0,0.397,0.294,0.169,0.167,0,2,0,6,7,1,2,12,1,4,NBA TV
2016-10-20,Omer Asik,NOP,ORL,C,24:29,0.132,0.149,0.0,0.182,0.241,0.125,0.0,0.0,1.0,0.333,0.184,7,0.571,0,0,0.0,2,0.5,7,1,0,1,0,3,9,-5,21.0,0,0,0,,0,0.0,92.7,97.1,-4.3,0.063,0.137,0.571,106.32,1.0,0.0,0.889,0.0,0.111,0.889,0.75,0.25,0.48,0.118,0.09,0.12,1,0,4,8,10,2,7,26,2,2,
2015-10-31,Omer Asik,NOP,GSW,,10:20,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.222,0.0,0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,2,0,-12,3.25,6,18,17,0.0,0,0.0,89.1,143.6,-54.5,0.0,0.053,0.0,103.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821,0.857,0.135,0.0,0,0,0,0,2,0,6,6,0,0,NBA TV
2015-11-10,Omer Asik,NOP,DAL,C,15:32,0.059,0.074,0.0,0.0,0.294,0.0,0.0,0.0,0.5,0.2,0.054,2,0.5,0,0,0.0,0,0.0,5,0,0,1,0,2,2,4,10.25,13,19,16,0.0,1,1.0,116.5,92.9,23.6,0.0,0.179,0.5,103.95,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.417,0.267,0.113,0.118,0,0,0,2,9,2,0,18,2,0,
2015-11-11,Omer Asik,NOP,ATL,C,20:50,0.135,0.026,0.0,0.857,0.364,0.0,0.375,0.0,0.0,0.444,0.111,1,0.0,0,0,0.0,6,0.667,8,0,0,0,3,4,4,0,12.5,15,27,22,0.0,1,0.0,79.9,86.2,-6.3,0.0,0.182,0.0,100.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.105,0.12,0.143,0,2,0,0,9,4,9,20,4,5,
2015-11-13,Omer Asik,NOP,TOR,C,24:15,0.14,0.068,0.0,0.5,0.35,0.0,0.375,0.333,1.0,0.125,0.051,3,0.0,0,0,0.0,4,0.5,7,0,1,2,3,1,2,-16,15.25,20,35,28,0.0,3,0.0,80.4,124.2,-43.8,0.0,0.156,0.0,91.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3,0.158,0.381,0,0,0,0,12,7,4,20,7,2,
2015-11-15,Omer Asik,NOP,NYK,C,12:50,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.167,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-4,1.25,6,11,11,0.0,0,0.0,79.0,92.3,-13.3,0.0,0.038,0.0,95.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.038,0.154,0,0,0,0,5,6,0,2,6,0,
