DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Otto Porter,WAS,MIA,F,16:54,0.165,0.154,0.143,0.0,0.188,0.0,0.5,1.0,0.0,0.167,0.161,6,0.333,1,1,1.0,0,0.0,3,0,1,0,1,1,5,-15,10.75,0,0,0,,0,0.0,83.1,129.1,-46.0,0.0,0.081,0.417,103.61,0.833,0.167,0.4,0.6,0.0,0.4,0.0,1.0,0.656,0.188,0.084,0.154,0,0,0,2,4,0,10,30,0,0,
2016-10-06,Otto Porter,WAS,PHI,F,27:33,0.127,0.151,0.222,0.0,0.3,0.083,0.0,0.0,0.0,0.222,0.14,8,0.5,0,2,0.0,0,0.0,6,1,0,0,0,2,8,-4,16.75,0,0,0,,0,0.0,101.6,107.1,-5.5,0.048,0.146,0.5,98.47,0.75,0.25,1.0,0.0,0.0,0.75,0.25,0.75,0.64,0.209,0.211,0.133,0,0,4,6,9,3,6,26,3,2,NBA TV
2016-10-10,Otto Porter,WAS,NYK,F,26:52,0.173,0.184,0.167,0.125,0.25,0.125,0.125,0.25,0.0,0.333,0.184,9,0.444,0,2,0.0,1,1.0,6,1,2,0,1,3,9,-9,21.25,0,0,0,,0,0.0,93.3,106.8,-13.5,0.063,0.122,0.444,95.44,0.778,0.222,0.889,0.0,0.222,0.0,0.0,1.0,0.596,0.064,0.221,0.273,2,0,0,0,6,8,0,22,8,1,NBA TV
2016-10-13,Otto Porter,WAS,PHI,F,11:52,0.225,0.261,0.143,0.0,0.077,0.5,0.0,0.25,0.0,0.125,0.19,6,0.333,0,1,0.0,0,0.0,1,3,1,0,0,1,4,0,11.0,0,0,0,,0,0.0,85.2,79.5,5.7,0.5,0.037,0.333,103.23,0.833,0.167,1.0,0.0,0.0,0.5,1.0,0.0,0.344,0.625,0.227,0.0,0,0,0,2,0,0,8,6,0,1,
2016-10-21,Otto Porter,WAS,TOR,F,23:23,0.135,0.167,0.143,0.0,0.346,0.095,0.0,0.667,0.143,0.167,0.235,7,1.0,2,2,1.0,0,0.0,9,2,2,1,0,1,16,28,36.75,0,0,0,,0,0.0,139.5,86.0,53.5,0.095,0.22,1.143,97.79,0.714,0.286,0.625,0.375,0.125,0.5,0.714,0.286,0.359,0.174,0.086,0.233,2,2,2,8,7,5,2,18,5,2,
2015-10-28,Otto Porter,WAS,ORL,F,36:55,0.123,0.152,0.2,0.0,0.205,0.333,0.067,0.286,0.0,0.091,0.088,10,0.3,1,5,0.2,0,0.0,8,5,2,0,1,1,7,19,27.25,17,44,33,0.1515,5,0.4,103.4,75.8,27.7,0.179,0.105,0.35,102.64,0.5,0.5,0.571,0.429,0.0,0.286,0.333,0.667,0.378,0.108,0.186,0.308,0,3,2,2,10,12,10,30,12,2,
2015-10-30,Otto Porter,WAS,MIL,F,30:59,0.125,0.114,0.273,0.08,0.167,0.214,0.188,0.167,0.333,0.25,0.098,5,0.4,1,3,0.333,2,0.5,4,3,1,1,3,3,6,-17,17.75,12,45,35,0.0857,2,0.5,95.3,112.7,-17.3,0.176,0.082,0.5,103.22,0.4,0.6,0.333,0.5,0.167,0.333,1.0,0.0,0.585,0.396,0.159,0.19,1,0,0,2,17,10,13,36,10,3,
2015-10-31,Otto Porter,WAS,NYK,F,35:01,0.159,0.2,0.267,0.071,0.281,0.071,0.063,0.333,0.0,0.125,0.193,13,0.538,0,4,0.0,2,1.0,9,1,2,0,1,3,16,-10,32.0,12,44,23,0.0435,6,0.667,95.1,114.8,-19.8,0.05,0.145,0.538,115.39,0.692,0.308,0.875,0.0,0.375,0.75,0.714,0.286,0.561,0.379,0.136,0.212,6,8,4,12,17,12,8,22,12,4,
2015-11-04,Otto Porter,WAS,SAS,F,37:30,0.153,0.152,0.05,0.154,0.074,0.091,0.167,0.0,0.333,0.071,0.226,10,0.8,1,1,1.0,2,1.0,2,2,0,1,1,1,19,12,26.0,4,36,24,0.0833,4,1.0,109.5,91.7,17.7,0.077,0.031,0.85,99.33,0.9,0.1,0.737,0.158,0.105,0.316,0.625,0.375,0.438,0.262,0.166,0.212,2,6,2,6,5,2,12,26,2,2,
2015-11-06,Otto Porter,WAS,BOS,F,23:51,0.156,0.178,0.273,0.167,0.048,0.214,0.077,0.167,0.0,0.267,0.17,8,0.5,0,3,0.0,1,1.0,1,3,1,0,1,4,9,-7,15.5,8,35,23,0.1304,3,0.667,95.3,109.2,-13.9,0.167,0.021,0.5,111.3,0.625,0.375,0.889,0.0,0.556,0.222,0.75,0.25,0.563,0.188,0.2,0.333,5,2,2,2,11,11,9,24,11,1,
