DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,PJ Tucker,PHX,DAL,F,9:10,0.173,0.2,0.5,0.2,0.111,0.0,0.0,0.0,0.0,0.333,0.143,3,0.333,0,1,0.0,2,0.0,1,0,0,0,0,2,2,-13,3.25,2,11,7,0.0,1,0.0,68.6,143.9,-75.3,0.0,0.05,0.333,102.53,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.632,0.211,0.0,0.222,0,2,0,2,4,4,3,8,4,1,
2015-10-30,PJ Tucker,PHX,POR,F,23:45,0.137,0.154,0.333,0.0,0.16,0.125,0.25,0.222,0.0,0.25,0.069,6,0.333,0,3,0.0,0,0.0,4,1,2,0,2,2,4,15,13.25,11,24,16,0.0625,3,0.667,106.5,81.2,25.3,0.067,0.089,0.333,108.53,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.427,0.22,0.264,0.222,2,0,2,4,8,7,8,18,7,2,
2015-10-31,PJ Tucker,PHX,POR,F,30:59,0.058,0.069,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.091,0.058,4,0.5,0,2,0.0,0,0.0,6,0,0,0,0,1,4,5,11.5,9,37,31,0.0,3,0.667,111.0,103.2,7.8,0.0,0.111,0.5,96.21,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.519,0.308,0.129,0.179,2,0,2,4,6,5,8,20,5,2,
2015-11-02,PJ Tucker,PHX,LAC,F,26:37,0.06,0.038,0.063,0.286,0.111,0.143,0.0,0.167,0.0,0.25,0.103,2,0.5,1,1,1.0,4,0.75,3,2,1,0,0,2,6,0,14.75,11,37,32,0.0625,0,0.0,101.5,105.5,-4.1,0.1,0.057,0.75,101.12,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.533,0.196,0.146,0.125,3,0,0,0,6,4,4,14,4,3,
2015-11-04,PJ Tucker,PHX,SAC,F,20:35,0.157,0.114,0.4,0.231,0.0,0.182,0.333,0.167,0.0,0.667,0.189,4,0.75,3,4,0.75,3,0.333,0,2,1,0,2,2,10,8,15.0,3,27,18,0.1111,0,0.0,121.2,101.5,19.7,0.125,0.0,1.125,102.65,0.0,1.0,0.0,0.9,0.6,0.0,1.0,0.0,0.581,0.081,0.226,0.267,6,0,0,0,4,4,7,20,4,1,
2015-11-06,PJ Tucker,PHX,DET,F,33:45,0.063,0.06,0.091,0.0,0.294,0.182,0.111,0.167,0.0,0.1,0.068,4,0.5,1,2,0.5,0,0.0,10,2,1,0,1,2,5,4,22.0,14,42,37,0.0541,2,0.5,98.7,95.3,3.5,0.071,0.143,0.625,104.11,0.5,0.5,0.4,0.6,0.0,0.4,0.5,0.5,0.528,0.491,0.179,0.152,0,0,2,2,9,4,7,30,4,1,
2015-11-08,PJ Tucker,PHX,OKC,F,21:26,0.114,0.132,0.25,0.0,0.2,0.2,0.077,0.5,0.0,0.1,0.1,5,0.2,1,2,0.5,0,0.0,4,1,1,0,1,1,3,-24,11.25,5,23,17,0.0588,3,0.0,61.5,115.3,-53.8,0.091,0.083,0.3,107.05,0.6,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.479,0.229,0.064,0.36,0,0,0,0,14,14,9,26,14,2,
2015-11-12,PJ Tucker,PHX,LAC,F,31:08,0.094,0.125,0.182,0.0,0.171,0.0,0.0,0.375,0.0,0.154,0.084,7,0.429,1,4,0.25,0,0.0,6,0,3,0,0,2,7,21,21.0,12,37,27,0.0,5,0.4,122.8,93.1,29.7,0.0,0.109,0.5,103.45,0.429,0.571,0.571,0.429,0.0,0.571,0.333,0.667,0.482,0.268,0.135,0.152,0,0,5,4,9,10,5,22,10,0,TNT
2015-11-14,PJ Tucker,PHX,DEN,F,24:02,0.111,0.114,0.182,0.0,0.24,0.308,0.2,0.0,0.0,0.2,0.061,5,0.4,0,2,0.0,0,0.0,6,4,0,0,1,1,4,31,16.0,8,34,28,0.1429,3,0.667,126.2,65.6,60.6,0.182,0.125,0.4,105.45,0.6,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.34,0.064,0.206,0.207,0,0,0,4,4,9,4,12,9,0,NBA TV
2015-11-16,PJ Tucker,PHX,LAL,F,23:43,0.157,0.159,0.222,0.364,0.292,0.125,0.0,0.2,0.0,0.4,0.208,7,0.429,1,4,0.25,4,1.0,7,1,1,0,0,4,11,3,23.5,12,31,23,0.0435,3,0.667,113.2,112.9,0.2,0.063,0.163,0.5,92.21,0.429,0.571,0.364,0.273,0.182,0.364,0.333,0.667,0.571,0.343,0.158,0.167,2,0,6,4,6,4,0,14,4,2,
2015-11-18,PJ Tucker,PHX,CHI,F,33:52,0.205,0.227,0.211,0.231,0.241,0.0,0.0,0.0,0.0,0.222,0.313,15,0.533,1,4,0.25,3,1.0,7,0,0,0,0,2,20,-17,29.25,9,38,21,0.0,9,0.667,93.1,119.2,-26.1,0.0,0.119,0.567,96.86,0.733,0.267,0.7,0.15,0.1,0.6,0.5,0.5,0.673,0.164,0.191,0.182,2,5,2,12,6,2,7,28,2,2,ESPN
2015-11-20,PJ Tucker,PHX,DEN,F,24:55,0.127,0.093,0.0,0.286,0.174,0.167,0.167,0.25,0.0,0.214,0.102,4,0.25,0,0,0.0,4,1.0,4,2,1,0,2,3,6,7,14.5,8,30,23,0.087,4,0.25,107.0,97.0,9.9,0.105,0.103,0.25,104.73,1.0,0.0,0.333,0.0,0.0,0.333,1.0,0.0,0.455,0.341,0.149,0.227,0,2,4,2,8,8,10,26,8,6,
2015-11-22,PJ Tucker,PHX,NOP,F,40:14,0.121,0.149,0.129,0.074,0.195,0.0,0.0,0.25,0.25,0.16,0.124,11,0.364,2,4,0.5,2,1.0,8,0,1,1,0,4,12,4,27.0,20,48,37,0.0,7,0.429,107.9,104.5,3.4,0.0,0.096,0.455,106.68,0.636,0.364,0.333,0.5,0.0,0.333,0.5,0.5,0.458,0.479,0.135,0.214,0,0,6,4,14,10,20,34,10,1,
2015-11-23,PJ Tucker,PHX,SAS,F,29:38,0.128,0.128,0.2,0.0,0.091,0.091,0.15,0.375,0.0,0.167,0.0,5,0.0,0,2,0.0,0,0.0,2,1,3,0,3,2,0,-16,8.25,5,34,23,0.0435,2,0.0,76.9,99.2,-22.3,0.059,0.045,0.0,97.24,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.163,0.211,0.182,0,0,0,0,15,11,8,28,11,3,
2015-11-25,PJ Tucker,PHX,NOP,F,24:32,0.126,0.119,0.0,0.0,0.294,0.077,0.222,0.167,0.0,0.286,0.075,5,0.4,0,0,0.0,0,0.0,5,1,1,0,2,4,4,-7,12.5,9,35,27,0.037,4,0.25,101.1,111.3,-10.1,0.056,0.135,0.4,103.99,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.59,0.462,0.185,0.176,0,2,0,4,9,2,3,18,2,4,
2015-11-27,PJ Tucker,PHX,GSW,F,15:43,0.129,0.129,0.0,0.0,0.167,0.0,0.143,0.0,0.0,0.182,0.063,4,0.25,0,0,0.0,0,0.0,2,0,0,0,1,2,2,-14,4.0,3,26,20,0.0,3,0.333,91.7,125.3,-33.5,0.0,0.08,0.25,109.34,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.771,0.542,0.218,0.111,0,0,2,2,7,3,8,14,3,0,NBA TV
2015-11-29,PJ Tucker,PHX,TOR,F,22:12,0.132,0.1,0.091,0.125,0.25,0.0,0.4,1.0,0.0,0.273,0.093,4,0.5,0,1,0.0,2,0.5,5,0,1,0,2,3,5,6,12.25,8,35,28,0.0,2,1.0,107.9,105.0,2.9,0.0,0.135,0.5,103.53,0.75,0.25,0.8,0.0,0.4,0.8,0.5,0.5,0.529,0.371,0.153,0.1,2,0,2,4,5,3,8,12,3,3,
2015-12-01,PJ Tucker,PHX,BKN,F,31:15,0.107,0.128,0.231,0.0,0.111,0.077,0.083,0.167,0.0,0.0,0.161,6,0.667,1,3,0.333,0,0.0,3,1,1,0,1,0,9,-2,16.0,9,32,24,0.0417,3,1.0,90.1,86.5,3.6,0.063,0.056,0.75,99.26,0.5,0.5,0.667,0.333,0.0,0.667,0.75,0.25,0.482,0.125,0.179,0.143,0,0,2,6,17,4,12,32,4,2,
2015-12-02,PJ Tucker,PHX,DET,F,39:01,0.092,0.045,0.074,0.2,0.261,0.238,0.286,0.167,1.0,0.154,0.034,3,0.333,0,2,0.0,2,0.5,6,5,1,1,4,4,3,-14,18.75,12,53,43,0.1163,0,0.0,108.2,119.2,-11.0,0.156,0.095,0.333,101.57,0.333,0.667,0.667,0.0,0.0,0.0,1.0,0.0,0.608,0.585,0.165,0.379,0,0,0,0,23,19,21,48,19,1,
2015-12-04,PJ Tucker,PHX,WAS,F,37:21,0.119,0.091,0.053,0.273,0.433,0.067,0.188,0.25,0.0,0.316,0.106,6,0.5,1,1,1.0,3,0.667,13,1,1,0,3,6,9,9,27.5,23,54,39,0.0256,5,0.4,112.1,97.1,14.9,0.031,0.21,0.583,99.02,0.833,0.167,0.444,0.333,0.222,0.444,0.333,0.667,0.469,0.323,0.23,0.424,2,0,2,4,20,13,11,30,13,4,
2015-12-06,PJ Tucker,PHX,MEM,F,27:28,0.159,0.152,0.25,0.0,0.31,0.182,0.273,0.333,0.0,0.0,0.098,7,0.429,0,4,0.0,0,0.0,9,2,1,0,3,0,6,9,20.25,13,35,23,0.087,3,1.0,113.6,96.2,17.4,0.1,0.173,0.429,94.22,0.429,0.571,1.0,0.0,0.0,1.0,0.333,0.667,0.443,0.132,0.129,0.31,0,0,4,6,10,8,3,28,8,1,
2015-12-07,PJ Tucker,PHX,CHI,F,17:56,0.113,0.03,0.0,0.0,0.063,0.0,0.444,0.333,0.0,0.125,0.0,1,0.0,0,0,0.0,0,0.0,1,0,2,0,4,1,0,-12,3.25,6,21,15,0.0,1,0.0,82.1,111.9,-29.9,0.0,0.029,0.0,107.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.135,0.174,0.333,0,0,0,0,9,12,14,24,12,1,
2015-12-09,PJ Tucker,PHX,ORL,F,31:44,0.139,0.17,0.231,0.0,0.242,0.0,0.077,0.125,0.2,0.182,0.149,9,0.556,1,3,0.333,0,0.0,8,0,1,1,1,2,11,17,25.0,12,34,21,0.0,5,0.4,112.6,82.4,30.2,0.0,0.151,0.611,102.01,0.667,0.333,0.727,0.273,0.182,0.364,0.6,0.4,0.427,0.255,0.174,0.129,2,2,2,4,9,9,7,12,9,0,
2015-12-11,PJ Tucker,PHX,POR,F,22:18,0.058,0.065,0.067,0.0,0.235,0.182,0.0,0.25,0.5,0.333,0.048,3,0.333,0,1,0.0,0,0.0,4,2,1,1,0,1,2,-16,13.5,8,23,18,0.1111,1,0.0,93.8,128.0,-34.1,0.118,0.1,0.333,96.95,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.683,0.073,0.154,0.286,0,0,2,2,10,10,2,18,10,1,
2015-12-13,PJ Tucker,PHX,MIN,F,33:50,0.078,0.105,0.105,0.0,0.28,0.0,0.0,0.154,0.0,0.278,0.034,6,0.167,1,2,0.5,0,0.0,7,0,2,0,0,5,3,14,16.25,11,39,32,0.0,3,0.0,124.6,102.0,22.6,0.0,0.143,0.25,100.27,0.667,0.333,0.0,1.0,0.0,0.0,1.0,0.0,0.51,0.462,0.238,0.308,0,0,0,0,10,8,11,30,8,3,
2015-12-14,PJ Tucker,PHX,DAL,F,23:60,0.2,0.214,0.273,0.0,0.353,0.333,0.125,0.25,0.0,0.222,0.167,9,0.333,0,3,0.0,0,0.0,6,3,1,0,1,2,6,-18,18.75,10,34,22,0.1364,5,0.6,81.8,122.2,-40.4,0.231,0.15,0.333,88.21,0.667,0.333,1.0,0.0,0.333,1.0,0.333,0.667,0.681,0.139,0.226,0.267,2,0,2,6,8,4,4,24,4,2,NBA TV
2015-12-16,PJ Tucker,PHX,GSW,F,19:29,0.042,0.057,0.125,0.0,0.0,0.143,0.0,0.0,1.0,0.286,0.0,2,0.0,0,1,0.0,0,0.0,0,1,0,1,0,2,0,-27,3.25,11,20,16,0.0625,1,0.0,68.6,131.9,-63.3,0.083,0.0,0.0,112.54,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.342,0.134,0.263,0,0,0,0,18,0,13,14,0,0,ESPN
2015-12-18,PJ Tucker,PHX,NOP,F,24:13,0.091,0.108,0.167,0.182,0.136,0.222,0.0,0.143,0.0,0.083,0.14,4,0.5,1,1,1.0,2,0.5,3,2,1,0,0,1,6,0,14.75,6,35,28,0.0714,3,0.333,86.3,86.7,-0.4,0.125,0.071,0.625,98.55,0.75,0.25,0.333,0.5,0.167,0.333,0.5,0.5,0.372,0.385,0.202,0.25,1,1,0,2,16,4,7,22,4,1,ESPN
2015-12-20,PJ Tucker,PHX,MIL,F,24:47,0.134,0.114,0.333,0.375,0.35,0.25,0.125,0.0,0.0,0.0,0.267,4,1.0,2,2,1.0,3,0.667,7,2,0,0,2,0,12,-5,23.25,9,38,29,0.069,2,1.0,87.3,101.0,-13.6,0.154,0.206,1.25,97.85,0.5,0.5,0.333,0.5,0.0,0.333,0.75,0.25,0.577,0.205,0.162,0.056,0,0,2,4,16,2,14,32,2,1,
2015-12-21,PJ Tucker,PHX,UTA,,25:16,0.07,0.095,0.077,0.0,0.192,0.286,0.0,0.0,0.0,0.188,0.0,4,0.0,0,1,0.0,0,0.0,5,2,0,0,0,3,0,4,8.75,12,26,22,0.0909,2,0.0,112.2,103.9,8.3,0.118,0.106,0.0,96.7,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.641,0.078,0.13,0,0,0,0,6,7,6,18,7,0,
2015-12-23,PJ Tucker,PHX,DEN,,27:34,0.11,0.102,0.111,0.154,0.406,0.0,0.125,0.25,0.0,0.231,0.129,5,0.6,1,2,0.5,2,0.5,13,0,1,0,1,3,8,12,26.25,19,43,35,0.0,1,1.0,117.6,86.9,30.7,0.0,0.236,0.7,95.99,0.6,0.4,0.5,0.375,0.0,0.5,0.667,0.333,0.5,0.167,0.191,0.185,0,2,3,4,12,9,3,24,9,1,
2015-12-26,PJ Tucker,PHX,PHI,F,37:31,0.103,0.116,0.053,0.103,0.226,0.071,0.0,0.333,0.0,0.056,0.118,8,0.375,1,1,1.0,3,1.0,7,1,2,0,0,1,10,-7,24.5,16,56,47,0.0213,5,0.4,102.7,110.4,-7.7,0.04,0.103,0.438,106.27,0.875,0.125,0.4,0.3,0.2,0.4,0.667,0.333,0.594,0.297,0.204,0.207,2,2,2,4,12,11,7,22,11,3,
2015-12-28,PJ Tucker,PHX,CLE,F,38:18,0.16,0.18,0.188,0.0,0.194,0.118,0.154,0.429,0.0,0.143,0.179,11,0.545,2,3,0.667,0,0.0,6,2,3,0,2,3,14,-14,30.0,9,47,34,0.0588,3,0.667,108.3,127.6,-19.3,0.087,0.098,0.636,90.34,0.727,0.273,0.571,0.429,0.143,0.571,0.5,0.5,0.667,0.404,0.18,0.267,2,4,2,8,21,9,7,22,9,1,
2015-12-30,PJ Tucker,PHX,SAS,F,24:34,0.057,0.051,0.2,0.182,0.1,0.333,0.0,0.333,0.0,0.083,0.106,2,0.5,1,2,0.5,2,1.0,2,4,1,0,0,1,5,-7,15.0,5,30,25,0.16,1,0.0,96.2,107.0,-10.7,0.222,0.048,0.75,97.03,0.0,1.0,0.0,0.6,1.0,0.0,1.0,0.0,0.549,0.415,0.099,0.143,5,3,0,0,6,3,4,18,3,2,
2015-12-31,PJ Tucker,PHX,OKC,F,41:32,0.162,0.194,0.222,0.0,0.2,0.15,0.067,0.3,0.0,0.19,0.237,14,0.714,2,4,0.5,0,0.0,7,3,3,0,1,4,22,4,41.0,11,68,52,0.0577,7,0.714,112.4,110.8,1.7,0.111,0.1,0.786,94.23,0.714,0.286,0.727,0.273,0.091,0.636,0.4,0.6,0.521,0.264,0.149,0.324,2,2,9,14,21,16,19,40,16,1,
2016-01-02,PJ Tucker,PHX,SAC,F,28:09,0.092,0.106,0.118,0.125,0.286,0.143,0.0,0.333,0.75,0.133,0.079,5,0.2,1,2,0.5,2,1.0,4,2,1,3,0,2,5,-25,21.0,7,43,36,0.0556,2,0.0,101.5,140.4,-38.8,0.095,0.098,0.3,106.33,0.6,0.4,0.0,0.6,0.0,0.0,1.0,0.0,0.704,0.449,0.128,0.25,0,3,0,0,14,10,13,38,10,1,NBA TV
2016-01-03,PJ Tucker,PHX,LAL,F,32:19,0.097,0.119,0.2,0.0,0.286,0.0,0.0,0.143,0.0,0.154,0.128,7,0.286,1,3,0.333,0,0.0,8,0,1,0,0,2,5,-33,17.5,14,35,27,0.0,4,0.25,59.8,105.8,-45.9,0.0,0.119,0.357,98.98,0.571,0.429,0.4,0.6,0.4,0.4,0.5,0.5,0.576,0.119,0.176,0.222,2,0,2,2,14,10,7,26,10,0,
2016-01-06,PJ Tucker,PHX,CHA,F,31:01,0.161,0.157,0.167,0.0,0.185,0.154,0.286,0.8,0.0,0.154,0.152,8,0.5,2,3,0.667,0,0.0,5,2,4,0,2,2,10,4,26.75,7,42,31,0.0645,4,0.5,110.1,102.4,7.6,0.1,0.091,0.625,93.22,0.625,0.375,0.4,0.6,0.0,0.4,0.5,0.5,0.5,0.143,0.116,0.194,0,0,0,4,16,9,8,22,9,1,
2016-01-08,PJ Tucker,PHX,MIA,F,40:43,0.114,0.089,0.091,0.182,0.25,0.154,0.25,0.5,0.333,0.056,0.06,7,0.286,0,2,0.0,2,0.5,11,2,2,1,3,1,5,-3,25.75,21,42,28,0.0714,5,0.4,102.6,109.5,-6.9,0.061,0.141,0.286,95.06,0.714,0.286,0.8,0.0,0.0,0.8,0.0,1.0,0.523,0.406,0.126,0.167,0,0,0,4,19,4,21,36,4,1,
