DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Pascal Siakam,TOR,GSW,,20:50,0.203,0.171,0.111,0.364,0.25,0.125,0.25,0.2,0.4,0.333,0.231,7,0.571,0,1,0.0,4,0.25,8,1,1,2,3,3,9,3,24.75,0,0,0,,0,0.0,81.5,72.2,9.3,0.083,0.151,0.571,112.53,0.857,0.143,0.889,0.0,0.0,0.667,0.25,0.75,0.397,0.282,0.221,0.185,0,0,6,6,9,2,13,22,2,2,NBA TV
2016-10-03,Pascal Siakam,TOR,DEN,,21:49,0.117,0.154,0.0,0.0,0.263,0.125,0.0,0.0,0.333,0.111,0.0,6,0.0,0,0,0.0,0,0.0,5,1,0,1,0,2,0,1,9.5,0,0,0,,0,0.0,108.5,111.4,-2.9,0.05,0.156,0.0,99.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,0.893,0.159,0.125,0,0,0,0,8,3,3,16,3,0,
2016-10-05,Pascal Siakam,TOR,LAC,,14:31,0.171,0.182,0.0,0.267,0.333,0.0,0.0,0.222,0.0,0.286,0.219,4,0.5,0,0,0.0,4,0.75,3,0,2,0,0,2,7,4,14.75,0,0,0,,0,0.0,104.6,88.5,16.1,0.0,0.136,0.5,102.89,1.0,0.0,0.571,0.0,0.429,0.571,0.5,0.5,0.575,0.3,0.379,0.333,3,2,2,4,2,2,2,6,2,2,
2016-10-13,Pascal Siakam,TOR,CLE,F,20:07,0.091,0.129,0.143,0.0,0.063,0.154,0.0,0.25,1.0,0.308,0.118,4,0.75,0,1,0.0,0,0.0,1,2,1,2,0,4,6,1,15.75,0,0,0,,0,0.0,119.3,113.5,5.7,0.105,0.036,0.75,103.56,0.75,0.25,1.0,0.0,0.333,0.667,1.0,0.0,0.529,0.457,0.136,0.211,2,4,2,4,14,8,11,10,8,0,TNT
2016-10-14,Pascal Siakam,TOR,SLA,F,23:54,0.226,0.244,0.0,0.118,0.222,0.3,0.25,0.0,0.333,0.154,0.258,10,0.8,0,0,0.0,2,0.0,4,3,0,1,1,2,16,7,26.25,0,0,0,,0,0.0,139.4,120.9,18.5,0.2,0.125,0.8,90.34,1.0,0.0,1.0,0.0,0.25,0.875,0.5,0.5,0.6,0.486,0.176,0.333,4,4,4,14,8,5,8,8,5,1,
2016-10-19,Pascal Siakam,TOR,DET,F,24:33,0.179,0.111,0.0,0.231,0.167,0.0,0.571,0.2,0.25,0.455,0.143,5,0.6,0,0,0.0,3,0.333,4,0,1,1,4,5,7,1,14.0,0,0,0,,0,0.0,94.7,93.6,1.1,0.0,0.098,0.6,100.69,1.0,0.0,0.857,0.0,1.0,0.857,0.667,0.333,0.5,0.324,0.176,0.0,7,5,0,6,4,0,7,14,0,3,
2016-10-21,Pascal Siakam,TOR,WAS,F,18:54,0.232,0.235,0.1,0.25,0.333,0.0,0.2,0.0,0.0,0.2,0.259,8,0.375,0,1,0.0,2,0.5,4,0,0,0,1,1,7,-30,11.5,0,0,0,,0,0.0,73.9,155.6,-81.6,0.0,0.114,0.375,92.9,0.875,0.125,0.857,0.0,0.143,0.857,0.0,1.0,0.818,0.182,0.164,0.455,1,0,5,6,8,5,2,18,5,1,
2016-10-26,Pascal Siakam,TOR,DET,F,21:44,0.039,0.053,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.222,0.074,2,1.0,0,0,0.0,0,0.0,9,0,1,0,0,2,4,16,17.25,14,22,20,0.0,1,1.0,119.3,79.8,39.5,0.0,0.237,1.0,102.61,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.425,0.15,0.147,0.1,0,0,2,4,11,2,9,20,2,1,
2016-10-28,Pascal Siakam,TOR,CLE,F,14:55,0.151,0.129,0.0,0.0,0.167,0.0,0.286,0.25,0.0,0.6,0.182,4,0.5,0,0,0.0,0,0.0,3,0,1,0,2,3,4,-7,8.75,7,16,11,0.0,2,0.5,69.3,89.4,-20.1,0.0,0.086,0.5,103.29,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.519,0.037,0.247,0.231,2,0,4,4,0,5,2,10,5,0,ESPN
2016-10-31,Pascal Siakam,TOR,DEN,F,15:09,0.115,0.138,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.25,0.054,4,0.25,0,0,0.0,0,0.0,4,0,0,0,0,3,2,-4,7.0,6,27,22,0.0,3,0.333,116.5,133.5,-17.0,0.0,0.16,0.25,98.98,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.615,0.5,0.033,0.167,0,0,0,2,5,2,11,18,2,0,
