DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Pat Connaughton,POR,UTA,,14:40,0.166,0.263,0.417,0.0,0.222,0.2,0.0,0.0,0.667,0.0,0.143,5,0.2,1,5,0.2,0,0.0,2,1,0,2,0,0,3,-2,11.25,0,0,0,,0,0.0,74.8,83.6,-8.8,0.167,0.087,0.3,90.98,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.447,0.421,0.291,0.3,0,0,0,0,10,0,0,8,0,0,NBA TV
2016-10-07,Pat Connaughton,POR,PHX,,9:50,0.19,0.188,0.0,0.1,0.143,0.5,0.333,1.0,0.0,0.0,0.115,3,0.333,0,0,0.0,1,1.0,2,2,2,0,1,0,3,11,11.5,0,0,0,,0,0.0,121.5,66.6,54.9,0.286,0.083,0.333,107.19,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.25,0.4,0.089,0.2,0,0,0,2,1,3,0,8,3,1,
2016-10-11,Pat Connaughton,POR,LAL,,12:26,0.154,0.111,0.143,0.4,0.071,0.2,0.2,0.0,0.0,0.0,0.2,2,0.5,0,1,0.0,2,1.0,1,1,0,0,1,0,4,5,6.0,0,0,0,,0,0.0,79.4,62.3,17.1,0.143,0.036,0.5,95.12,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.208,0.292,0.042,0.222,2,2,0,2,2,7,2,10,7,2,NBA TV
2016-10-13,Pat Connaughton,POR,LAC,,5:25,0.088,0.111,0.0,0.0,0.167,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,4,0,0,0,0,0,5,6.25,0,0,0,,0,0.0,126.0,73.5,52.4,0.8,0.111,0.0,93.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.222,0.092,0.0,0,0,0,0,2,0,0,2,0,0,TNT
2016-10-16,Pat Connaughton,POR,DEN,,7:24,0.212,0.308,0.2,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.143,4,0.25,0,1,0.0,0,0.0,3,0,0,0,0,0,2,1,5.75,0,0,0,,0,0.0,78.3,78.1,0.2,0.0,0.167,0.25,111.96,0.75,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.385,0.462,0.18,0.2,2,0,0,2,0,1,0,2,1,0,NBA TV
2016-10-19,Pat Connaughton,POR,UTA,,5:47,0.182,0.143,0.0,0.0,0.333,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,1,0.75,0,0,0,,0,0.0,90.9,76.5,14.4,0.0,0.167,0.0,94.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.444,0.17,0.25,0,0,0,0,6,4,2,2,4,1,
2016-10-21,Pat Connaughton,POR,GSW,,7:19,0.107,0.091,0.0,1.0,0.333,0.5,0.0,0.0,0.0,0.0,0.143,1,1.0,0,0,0.0,1,0.0,2,2,0,0,0,0,2,3,7.0,0,0,0,,0,0.0,112.5,91.7,20.9,0.4,0.154,1.0,80.17,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.393,0.0,0.083,0.375,0,0,0,2,2,5,0,6,5,0,NBA TV
2015-10-30,Pat Connaughton,POR,PHX,,2:42,0.419,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.5,1,1,1.0,2,1.0,0,0,0,0,0,0,5,1,5.5,0,6,3,0.0,1,0.0,72.7,63.3,9.4,0.0,0.0,0.75,117.55,0.5,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.333,1.0,0.316,0.0,0,0,0,0,0,0,0,2,0,1,
2015-11-05,Pat Connaughton,POR,MEM,,3:35,0.222,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-5,-0.5,0,6,4,0.0,1,0.0,33.3,114.3,-81.0,0.0,0.0,0.0,107.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.286,0.333,0,0,0,0,6,3,2,0,3,0,TNT
2015-11-11,Pat Connaughton,POR,SAS,,0:55,0.333,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-2,1.25,1,1,0,,0,0.0,0.0,200.0,-200.0,0.0,0.5,0.0,78.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,ESPN
