DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Patrick Beverley,HOU,SDS,G,18:34,0.11,0.1,0.167,0.2,0.3,0.357,0.0,0.167,0.25,0.0,0.102,4,0.25,1,3,0.333,2,1.0,6,5,1,1,0,0,5,16,23.25,0,0,0,,0,0.0,127.6,75.8,51.8,0.294,0.146,0.375,105.89,0.25,0.75,0.0,0.6,0.0,0.0,0.0,1.0,0.422,0.25,0.23,0.125,0,0,0,0,0,4,6,14,4,1,NBA TV
2015-10-28,Patrick Beverley,HOU,DEN,,21:16,0.231,0.214,0.438,0.0,0.308,0.111,0.5,0.667,0.0,0.5,0.195,9,0.333,2,7,0.286,0,0.0,8,1,2,0,3,2,8,-2,22.75,11,56,43,0.0233,3,0.333,97.7,102.7,-5.0,0.083,0.186,0.444,94.62,0.222,0.778,0.25,0.75,0.375,0.25,0.667,0.333,0.553,0.053,0.143,0.158,3,0,2,2,8,0,7,16,0,3,
2015-10-30,Patrick Beverley,HOU,GSW,,20:54,0.149,0.158,0.1,0.0,0.222,0.222,0.2,0.0,0.0,0.455,0.105,6,0.333,0,1,0.0,0,0.0,4,2,0,0,1,5,4,-12,11.0,7,38,30,0.0667,4,0.5,88.5,117.4,-28.9,0.143,0.103,0.333,98.25,0.833,0.167,1.0,0.0,0.0,1.0,0.0,1.0,0.487,0.385,0.07,0.3,0,0,2,4,4,3,2,20,3,0,ESPN
2015-11-01,Patrick Beverley,HOU,MIA,,19:47,0.226,0.194,0.2,0.0,0.176,0.0,0.5,0.0,0.0,0.273,0.25,7,0.571,1,3,0.333,0,0.0,3,0,0,0,3,3,9,-5,11.75,6,35,24,0.0,2,1.0,85.3,94.5,-9.2,0.0,0.073,0.643,103.84,0.571,0.429,0.667,0.333,0.0,0.444,0.25,0.75,0.459,0.27,0.184,0.286,0,0,0,4,6,11,6,22,11,1,
2015-11-02,Patrick Beverley,HOU,OKC,,20:56,0.143,0.125,0.231,0.0,0.167,0.182,0.333,0.25,0.0,0.308,0.143,5,0.4,2,3,0.667,0,0.0,2,2,2,0,2,4,6,-9,15.0,4,38,30,0.0667,2,0.0,89.2,104.7,-15.5,0.143,0.054,0.6,109.86,0.4,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.581,0.351,0.246,0.375,0,0,0,0,4,9,2,24,9,0,NBA TV
2015-11-04,Patrick Beverley,HOU,ORL,,12:01,0.138,0.222,0.286,0.0,0.143,0.0,0.0,0.5,0.0,0.286,0.1,4,0.25,1,2,0.5,0,0.0,2,0,1,0,0,2,3,0,8.0,5,18,14,0.0,2,0.0,115.6,106.4,9.2,0.0,0.087,0.375,108.17,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.52,0.2,0.106,0.154,0,0,0,0,6,2,8,10,2,0,
2015-11-11,Patrick Beverley,HOU,BKN,,8:53,0.294,0.313,0.8,0.0,0.333,0.5,0.0,0.0,0.5,0.6,0.231,5,0.2,1,4,0.25,0,0.0,3,2,0,1,0,3,3,-5,11.75,4,15,10,0.2,1,0.0,81.3,111.1,-29.9,0.4,0.143,0.3,86.98,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.406,0.313,0.062,0.273,0,0,0,0,0,5,0,2,5,1,
2015-11-13,Patrick Beverley,HOU,DEN,,7:50,0.157,0.143,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.4,0.0,2,0.0,0,1,0.0,0,0.0,0,1,0,0,1,2,0,0,0.75,2,11,8,0.125,2,0.0,99.5,108.7,-9.2,0.2,0.0,0.0,100.27,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.256,0.429,0,0,0,0,2,3,2,4,3,0,
2015-11-25,Patrick Beverley,HOU,MEM,,18:52,0.149,0.185,0.2,0.0,0.154,0.286,0.111,0.0,0.0,0.111,0.138,5,0.4,0,2,0.0,0,0.0,2,2,0,0,1,1,4,-13,8.5,2,39,30,0.0667,0,0.0,77.5,111.0,-33.5,0.25,0.067,0.4,95.71,0.6,0.4,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.344,0.159,0.333,0,0,0,2,7,8,5,20,8,0,NBA TV
2015-11-27,Patrick Beverley,HOU,PHI,G,32:05,0.07,0.085,0.071,0.0,0.065,0.267,0.077,0.25,0.75,0.154,0.066,4,0.5,1,1,1.0,0,0.0,2,4,1,3,1,2,5,-6,20.5,8,55,47,0.0851,2,0.0,115.4,121.5,-6.2,0.182,0.036,0.625,99.76,0.75,0.25,0.4,0.6,0.0,0.0,1.0,0.0,0.616,0.304,0.148,0.194,0,0,0,0,22,5,8,22,5,0,
