DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Patrick Patterson,TOR,GSW,,14:37,0.167,0.143,0.5,0.167,0.313,0.0,0.5,0.0,0.0,0.286,0.2,4,0.5,1,3,0.333,2,0.5,5,0,0,0,1,2,6,3,12.25,0,0,0,,0,0.0,92.9,88.1,4.8,0.0,0.152,0.625,103.31,0.25,0.75,0.333,0.5,0.0,0.333,0.5,0.5,0.5,0.25,0.196,0.133,0,0,1,2,0,6,2,10,6,1,NBA TV
2016-10-03,Patrick Patterson,TOR,DEN,F,21:31,0.094,0.098,0.4,0.111,0.105,0.167,0.0,0.4,0.0,0.308,0.083,4,0.25,1,4,0.25,2,0.5,2,1,2,0,0,4,4,3,12.25,0,0,0,,0,0.0,104.5,95.0,9.5,0.067,0.044,0.375,104.05,0.0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,0.372,0.487,0.19,0.409,4,3,0,0,4,6,6,22,6,2,
2016-10-05,Patrick Patterson,TOR,LAC,F,25:19,0.076,0.079,0.25,0.167,0.25,0.125,0.0,0.571,0.0,0.125,0.233,3,1.0,2,2,1.0,2,1.0,4,1,4,0,0,1,10,-19,25.25,0,0,0,,0,0.0,87.3,125.8,-38.6,0.077,0.095,1.333,93.44,0.333,0.667,0.2,0.6,0.2,0.2,1.0,0.0,0.65,0.3,0.183,0.263,2,2,0,2,12,3,6,22,3,1,
2016-10-13,Patrick Patterson,TOR,CLE,,13:06,0.109,0.13,0.25,0.0,0.273,0.2,0.0,0.4,0.0,0.2,0.053,3,0.333,0,2,0.0,0,0.0,3,2,2,0,0,1,2,19,12.25,0,0,0,,0,0.0,148.9,67.1,81.8,0.167,0.15,0.333,98.64,0.333,0.667,1.0,0.0,1.0,1.0,1.0,0.0,0.364,0.136,0.247,0.182,2,2,0,2,2,2,0,8,2,0,TNT
2016-10-19,Patrick Patterson,TOR,DET,,20:10,0.116,0.139,0.182,0.0,0.059,0.2,0.0,0.0,0.0,0.25,0.07,5,0.2,1,2,0.5,0,0.0,1,2,0,0,0,2,3,3,7.25,0,0,0,,0,0.0,110.0,106.6,3.4,0.143,0.028,0.3,91.16,0.6,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.515,0.242,0.133,0.235,0,0,0,0,1,4,0,24,4,0,
2016-10-21,Patrick Patterson,TOR,WAS,,23:51,0.207,0.237,0.25,0.133,0.143,0.0,0.125,0.2,0.0,0.125,0.189,9,0.333,0,2,0.0,2,0.5,3,0,1,0,1,1,7,-9,12.25,0,0,0,,0,0.0,77.7,95.4,-17.7,0.0,0.068,0.333,96.4,0.778,0.222,0.857,0.0,0.0,0.857,0.333,0.667,0.551,0.128,0.207,0.158,0,4,2,6,9,7,2,18,7,1,
2015-10-28,Patrick Patterson,TOR,IND,,19:18,0.181,0.184,0.556,0.0,0.211,0.143,0.333,0.25,0.0,0.0,0.2,7,0.429,2,5,0.4,0,0.0,4,1,1,0,2,0,8,4,16.25,6,46,37,0.027,2,0.0,89.4,85.4,4.1,0.1,0.098,0.571,108.04,0.286,0.714,0.25,0.75,0.0,0.0,0.667,0.333,0.348,0.424,0.142,0.176,0,0,0,0,4,2,13,10,2,0,
2015-10-30,Patrick Patterson,TOR,BOS,,24:44,0.138,0.154,0.333,0.095,0.0,0.0,0.111,0.25,0.0,0.231,0.138,6,0.333,2,5,0.4,2,1.0,0,0,1,0,1,3,8,2,10.5,6,50,42,0.0,1,0.0,105.0,104.5,0.5,0.0,0.0,0.5,105.58,0.167,0.833,0.0,0.75,0.0,0.0,1.0,0.0,0.512,0.349,0.149,0.174,0,0,2,0,10,4,11,24,4,2,
2015-11-01,Patrick Patterson,TOR,MIL,,24:09,0.177,0.191,0.294,0.0,0.115,0.071,0.143,0.0,0.0,0.25,0.308,9,0.667,4,5,0.8,0,0.0,3,1,0,0,1,2,16,15,22.5,5,58,46,0.0217,3,0.667,109.2,81.3,27.9,0.077,0.07,0.889,92.58,0.444,0.556,0.25,0.75,0.0,0.25,0.833,0.167,0.403,0.222,0.22,0.19,0,0,2,4,9,2,5,18,2,1,NBA TV
2015-11-03,Patrick Patterson,TOR,DAL,,16:41,0.153,0.214,0.333,0.0,0.333,0.0,0.0,0.5,0.0,0.1,0.0,6,0.0,0,3,0.0,0,0.0,5,0,1,0,0,1,0,-4,8.25,6,42,36,0.0,2,0.0,79.6,93.0,-13.4,0.0,0.152,0.0,100.07,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.37,0.174,0.214,0,0,0,0,5,2,8,14,2,0,
2015-11-04,Patrick Patterson,TOR,OKC,,23:21,0.115,0.147,0.25,0.0,0.095,0.375,0.111,0.333,0.667,0.2,0.132,5,0.6,1,2,0.5,0,0.0,2,3,2,2,1,1,7,3,21.25,9,47,41,0.0732,3,0.667,117.2,108.2,8.9,0.214,0.051,0.7,93.99,0.6,0.4,0.571,0.429,0.0,0.571,0.333,0.667,0.536,0.119,0.195,0.333,0,0,0,4,11,2,2,18,2,0,
