DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Patty Mills,SAS,ATL,,16:03,0.161,0.217,0.444,0.0,0.077,0.3,0.0,0.0,1.0,0.167,0.194,5,0.4,2,4,0.5,0,0.0,1,3,0,1,0,1,6,3,14.0,0,0,0,,0,0.0,99.7,97.8,2.0,0.333,0.042,0.6,89.3,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.407,0.222,0.07,0.188,0,0,0,0,2,0,4,12,0,0,
2016-10-12,Patty Mills,SAS,ORL,G,15:33,0.274,0.32,0.714,0.0,0.25,0.167,0.143,0.5,0.0,0.222,0.524,8,0.5,3,5,0.6,0,0.0,3,1,1,0,1,2,11,-17,19.0,0,0,0,,0,0.0,68.0,133.2,-65.2,0.25,0.1,0.688,91.68,0.375,0.625,0.182,0.818,0.0,0.182,1.0,0.0,0.5,0.267,0.07,0.412,0,3,5,2,14,9,2,12,9,2,
2016-10-14,Patty Mills,SAS,MIA,,16:49,0.094,0.133,0.125,0.0,0.071,0.167,0.0,0.0,0.0,0.0,0.219,4,0.75,1,1,1.0,0,0.0,1,1,0,0,0,0,7,-8,10.0,0,0,0,,0,0.0,82.6,107.3,-24.7,0.125,0.031,0.875,108.46,0.75,0.25,0.571,0.429,0.429,0.0,0.0,1.0,0.533,0.4,0.188,0.333,3,0,0,0,11,8,4,14,8,0,
2016-10-21,Patty Mills,SAS,HOU,,7:42,0.179,0.167,0.0,0.0,0.273,0.333,0.333,0.0,0.0,0.0,0.125,2,0.5,0,0,0.0,0,0.0,3,1,0,0,1,0,2,10,6.5,0,0,0,,0,0.0,101.5,40.0,61.5,0.25,0.15,0.5,95.88,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.167,0.0,0.067,0.286,0,0,0,2,2,0,2,2,0,0,
2015-10-28,Patty Mills,SAS,OKC,,22:11,0.165,0.175,0.333,0.5,0.273,0.143,0.0,0.0,0.0,0.375,0.176,7,0.429,2,3,0.667,2,0.5,3,2,0,0,0,3,9,-4,16.25,5,60,50,0.04,2,0.5,109.1,108.6,0.5,0.105,0.086,0.571,105.38,0.571,0.429,0.222,0.667,0.111,0.222,1.0,0.0,0.544,0.133,0.237,0.474,1,1,0,2,7,14,2,30,14,5,ESPN
2015-10-30,Patty Mills,SAS,BKN,,18:24,0.143,0.162,0.313,0.0,0.214,0.333,0.0,0.0,0.0,0.0,0.324,6,0.667,3,5,0.6,0,0.0,3,3,0,0,0,0,11,-1,20.0,4,41,35,0.0857,3,0.667,87.4,95.5,-8.1,0.333,0.094,0.917,98.5,0.167,0.833,0.182,0.818,0.273,0.182,0.75,0.25,0.596,0.231,0.218,0.0,3,0,0,2,6,0,0,18,0,1,
2015-11-01,Patty Mills,SAS,BOS,,20:35,0.1,0.081,0.167,0.0,0.043,0.111,0.25,0.0,0.0,0.111,0.16,3,1.0,2,2,1.0,0,0.0,1,1,0,0,2,1,8,14,10.5,1,44,37,0.027,1,1.0,109.1,77.7,31.4,0.067,0.023,1.333,107.42,0.333,0.667,0.25,0.75,0.0,0.0,0.667,0.333,0.344,0.063,0.151,0.345,0,0,0,0,8,11,2,30,11,2,
2015-11-02,Patty Mills,SAS,NYK,,25:09,0.126,0.136,0.429,0.0,0.083,0.182,0.111,0.5,0.0,0.167,0.109,6,0.333,1,3,0.333,0,0.0,2,2,2,0,1,1,5,2,14.0,2,54,47,0.0426,2,0.5,89.1,87.5,1.6,0.111,0.04,0.417,97.26,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.4,0.267,0.119,0.231,0,0,0,0,10,3,0,20,3,0,
2015-11-04,Patty Mills,SAS,WAS,,21:20,0.127,0.121,0.154,0.0,0.048,0.083,0.182,0.0,0.0,0.333,0.078,4,0.5,0,2,0.0,0,0.0,1,1,0,0,2,3,4,14,5.5,1,46,38,0.0263,3,0.667,113.1,84.8,28.3,0.056,0.03,0.5,99.81,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.459,0.162,0.16,0.136,0,2,0,2,18,0,5,20,0,0,
2015-11-07,Patty Mills,SAS,CHA,,18:44,0.243,0.237,0.429,0.0,0.111,0.211,1.0,0.286,0.0,0.333,0.242,9,0.667,3,6,0.5,0,0.0,2,4,2,0,1,3,15,39,27.5,2,46,36,0.1111,0,0.0,162.3,62.8,99.5,0.211,0.071,0.833,95.88,0.333,0.667,0.4,0.6,0.267,0.267,0.833,0.167,0.389,0.222,0.246,0.118,4,2,3,4,0,0,0,14,0,1,
2015-11-09,Patty Mills,SAS,SAC,,23:03,0.224,0.262,0.333,0.0,0.048,0.444,0.111,0.5,0.0,0.0,0.184,11,0.364,1,5,0.2,0,0.0,1,8,4,0,1,0,9,11,28.25,1,64,50,0.16,0,0.0,96.8,76.9,19.8,0.471,0.023,0.409,104.16,0.545,0.455,0.667,0.333,0.222,0.444,0.5,0.5,0.397,0.256,0.243,0.25,2,2,0,4,12,4,2,14,4,1,
2015-11-11,Patty Mills,SAS,POR,,18:18,0.096,0.081,0.125,0.0,0.053,0.091,0.25,0.0,0.0,0.0,0.152,3,1.0,1,1,1.0,0,0.0,1,1,0,0,1,0,7,14,9.5,3,44,39,0.0256,2,1.0,131.9,86.6,45.3,0.059,0.031,1.167,94.25,0.667,0.333,0.571,0.429,0.0,0.0,0.667,0.333,0.406,0.281,0.135,0.25,0,0,0,0,6,7,6,16,7,2,ESPN
2015-11-14,Patty Mills,SAS,PHI,,21:23,0.238,0.282,0.545,0.0,0.038,0.1,0.143,0.5,0.0,0.0,0.135,11,0.182,1,6,0.167,0,0.0,1,1,3,0,1,0,5,4,13.5,3,54,43,0.0233,2,0.0,83.3,75.4,7.9,0.1,0.023,0.227,98.98,0.455,0.545,0.4,0.6,0.4,0.4,1.0,0.0,0.429,0.114,0.206,0.091,2,2,0,2,8,4,0,14,4,0,
2015-11-16,Patty Mills,SAS,POR,,21:24,0.185,0.195,0.182,0.0,0.13,0.3,0.25,0.2,0.0,0.0,0.103,8,0.25,0,2,0.0,0,0.0,3,3,1,0,1,0,4,5,13.0,4,57,45,0.0667,1,1.0,89.6,81.2,8.4,0.231,0.07,0.25,95.78,0.75,0.25,1.0,0.0,0.5,0.5,1.0,0.0,0.458,0.056,0.143,0.053,2,0,0,2,2,0,2,8,0,2,
2015-11-18,Patty Mills,SAS,DEN,,25:09,0.315,0.375,0.667,0.0,0.286,0.214,0.2,0.5,0.2,0.0,0.34,15,0.467,3,6,0.5,0,0.0,6,3,1,1,1,0,17,-8,33.25,9,53,35,0.0857,5,0.2,100.6,114.4,-13.8,0.273,0.12,0.567,95.85,0.6,0.4,0.471,0.529,0.0,0.0,0.857,0.143,0.451,0.255,0.059,0.31,0,2,0,0,6,12,11,34,12,1,
2015-11-20,Patty Mills,SAS,NOP,,21:58,0.257,0.237,0.385,0.0,0.063,0.25,0.5,1.0,0.333,0.111,0.256,9,0.444,3,5,0.6,0,0.0,1,3,2,1,3,1,11,-19,22.0,3,55,40,0.075,6,0.667,96.3,129.9,-33.6,0.25,0.024,0.611,100.91,0.444,0.556,0.182,0.818,0.0,0.0,1.0,0.0,0.57,0.302,0.063,0.222,0,0,0,0,13,4,2,22,4,3,ESPN
2015-11-21,Patty Mills,SAS,MEM,,20:06,0.118,0.133,0.364,0.0,0.133,0.143,0.143,0.0,0.0,0.182,0.079,4,0.25,1,4,0.25,0,0.0,2,1,0,0,1,2,3,7,6.75,3,49,40,0.025,1,0.0,99.3,83.9,15.4,0.083,0.065,0.375,89.84,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.393,0.321,0.244,0.267,0,0,0,0,6,2,0,14,2,3,
2015-11-23,Patty Mills,SAS,PHX,,28:18,0.148,0.154,0.333,0.0,0.0,0.077,0.154,0.3,0.0,0.25,0.159,8,0.5,2,5,0.4,0,0.0,0,1,3,0,2,2,10,8,17.25,0,46,35,0.0286,2,0.5,105.6,92.9,12.7,0.043,0.0,0.625,100.8,0.375,0.625,0.4,0.6,0.3,0.2,0.5,0.5,0.532,0.106,0.304,0.381,3,3,0,2,12,5,10,30,5,2,
2015-11-25,Patty Mills,SAS,DAL,,16:52,0.191,0.241,0.417,0.0,0.133,0.0,0.0,0.5,0.0,0.25,0.107,7,0.143,1,5,0.2,0,0.0,2,0,2,0,0,2,3,-7,10.0,3,37,28,0.0,1,0.0,83.2,103.1,-19.8,0.0,0.051,0.214,96.19,0.286,0.714,0.0,1.0,0.0,0.0,1.0,0.0,0.453,0.281,0.177,0.4,0,0,0,0,6,3,8,22,3,1,
2015-11-27,Patty Mills,SAS,DEN,,21:15,0.192,0.2,0.308,0.0,0.167,0.091,0.25,0.2,0.0,0.3,0.191,7,0.571,1,4,0.25,0,0.0,3,1,1,0,2,3,9,10,15.5,4,54,43,0.0233,2,1.0,104.5,85.9,18.7,0.077,0.091,0.643,99.43,0.429,0.571,0.667,0.333,0.222,0.444,0.75,0.25,0.47,0.212,0.209,0.111,2,2,3,4,11,5,8,20,5,0,
2015-11-28,Patty Mills,SAS,ATL,,19:41,0.132,0.182,0.4,0.0,0.05,0.111,0.0,0.2,0.0,0.333,0.265,6,0.833,3,4,0.75,0,0.0,1,1,1,0,0,3,13,9,19.0,2,40,34,0.0294,2,1.0,121.3,90.5,30.8,0.083,0.03,1.083,103.15,0.333,0.667,0.308,0.692,0.154,0.308,0.6,0.4,0.5,0.139,0.181,0.118,2,5,0,4,13,2,6,20,2,0,
2015-11-30,Patty Mills,SAS,CHI,,16:41,0.221,0.258,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.167,8,0.25,0,2,0.0,0,0.0,0,1,0,0,0,0,4,-12,5.25,0,42,33,0.0303,3,0.0,74.5,110.3,-35.8,0.125,0.0,0.25,93.28,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.53,0.182,0.061,0.313,0,0,0,0,2,5,4,20,5,1,NBA TV
2015-12-02,Patty Mills,SAS,MIL,,22:28,0.222,0.268,0.545,0.0,0.13,0.2,0.0,0.0,0.0,0.0,0.295,11,0.455,3,6,0.5,0,0.0,3,3,0,0,0,0,13,8,22.0,5,64,50,0.06,4,0.25,94.3,77.0,17.4,0.231,0.067,0.591,99.77,0.455,0.545,0.308,0.692,0.0,0.154,0.8,0.2,0.4,0.1,0.171,0.13,0,0,0,2,0,4,2,22,4,0,
2015-12-03,Patty Mills,SAS,MEM,,20:16,0.176,0.182,0.3,0.0,0.1,0.154,0.222,0.5,0.0,0.2,0.077,6,0.333,0,3,0.0,0,0.0,2,2,2,0,2,2,4,15,12.0,3,41,34,0.0588,1,1.0,125.2,89.6,35.6,0.111,0.061,0.333,98.04,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.368,0.353,0.145,0.2,0,0,0,0,2,4,2,22,4,1,TNT
2015-12-05,Patty Mills,SAS,BOS,,25:48,0.136,0.178,0.308,0.0,0.143,0.133,0.0,0.0,0.0,0.111,0.158,8,0.5,1,4,0.25,0,0.0,4,2,0,0,0,1,9,4,17.0,5,59,49,0.0408,2,1.0,114.1,105.2,8.9,0.1,0.082,0.563,93.36,0.5,0.5,0.667,0.333,0.222,0.222,0.75,0.25,0.522,0.217,0.139,0.269,2,3,2,2,11,5,13,20,5,0,
2015-12-07,Patty Mills,SAS,PHI,,11:43,0.139,0.176,0.333,0.0,0.143,0.5,0.0,0.0,0.0,0.0,0.121,3,0.667,0,1,0.0,0,0.0,1,4,0,0,0,0,4,17,10.25,1,29,24,0.1667,1,0.0,160.8,73.5,87.3,0.4,0.071,0.667,86.6,0.667,0.333,1.0,0.0,0.0,0.0,0.0,1.0,0.467,0.267,0.322,0.25,0,0,0,0,0,2,0,10,2,0,
