DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Pau Gasol,SAS,ATL,C,22:38,0.129,0.1,0.0,0.273,0.105,0.25,0.25,0.143,0.0,0.111,0.098,4,0.25,0,0,0.0,3,1.0,2,3,1,0,1,1,5,10,12.75,0,0,0,,0,0.0,111.3,93.0,18.2,0.167,0.05,0.25,95.35,1.0,0.0,0.4,0.0,0.0,0.4,1.0,0.0,0.447,0.184,0.181,0.238,0,0,0,2,5,2,6,14,2,2,
2016-10-10,Pau Gasol,SAS,DET,C,21:21,0.261,0.229,0.0,0.583,0.095,0.125,0.167,0.167,0.0,0.667,0.262,8,0.375,0,0,0.0,7,0.714,2,1,1,0,1,2,11,3,16.25,0,0,0,,0,0.0,99.3,86.3,13.1,0.083,0.049,0.375,98.34,1.0,0.0,0.545,0.0,0.091,0.364,0.667,0.333,0.462,0.128,0.155,0.15,1,1,0,4,6,4,6,24,4,4,
2016-10-12,Pau Gasol,SAS,ORL,C,22:46,0.232,0.282,0.0,0.167,0.25,0.308,0.0,0.125,0.0,0.2,0.28,11,0.545,0,0,0.0,2,1.0,5,4,1,0,0,2,14,7,27.25,0,0,0,,0,0.0,105.8,94.1,11.7,0.364,0.114,0.545,98.04,1.0,0.0,0.857,0.0,0.143,0.571,0.5,0.5,0.369,0.31,0.197,0.407,2,0,4,8,13,13,4,14,13,4,
2016-10-14,Pau Gasol,SAS,MIA,C,18:31,0.26,0.333,0.167,0.0,0.333,0.286,0.125,0.0,0.0,0.333,0.303,9,0.556,0,1,0.0,0,0.0,5,2,0,0,1,3,10,-17,18.25,0,0,0,,0,0.0,90.4,128.7,-38.4,0.286,0.167,0.556,97.68,0.889,0.111,1.0,0.0,0.0,0.2,0.6,0.4,0.662,0.324,0.077,0.188,0,0,2,2,9,5,10,24,5,1,
2016-10-21,Pau Gasol,SAS,HOU,C,21:37,0.153,0.156,0.167,0.0,0.375,0.308,0.167,0.0,0.2,0.2,0.128,7,0.429,0,1,0.0,0,0.0,9,4,0,1,1,1,6,2,23.75,0,0,0,,0,0.0,95.3,98.9,-3.6,0.222,0.2,0.429,105.3,0.857,0.143,1.0,0.0,0.0,1.0,1.0,0.0,0.476,0.19,0.11,0.192,0,4,0,6,7,0,9,14,0,2,
2015-10-27,Pau Gasol,CHI,CLE,C,31:33,0.097,0.117,0.077,0.0,0.077,0.0,0.0,0.25,0.75,0.071,0.031,7,0.143,0,1,0.0,0,0.0,2,0,1,6,0,1,2,-8,18.5,9,54,46,0.0,2,0.0,92.4,108.8,-16.4,0.0,0.033,0.143,103.03,0.857,0.143,1.0,0.0,0.0,0.0,1.0,0.0,0.525,0.23,0.091,0.233,0,0,0,0,11,7,10,34,7,2,TNT
2015-10-28,Pau Gasol,CHI,BKN,C,30:14,0.232,0.224,0.0,0.143,0.391,0.231,0.333,0.0,0.5,0.182,0.193,11,0.636,0,0,0.0,2,1.0,9,3,0,1,3,2,16,23,31.5,16,64,47,0.0638,5,0.8,131.4,96.5,34.9,0.13,0.176,0.636,99.48,1.0,0.0,0.875,0.0,0.0,0.375,0.143,0.857,0.403,0.226,0.08,0.333,0,0,0,6,12,8,2,30,8,2,
2015-10-30,Pau Gasol,CHI,DET,C,32:03,0.248,0.28,0.077,0.143,0.5,0.333,0.188,0.333,0.75,0.25,0.296,14,0.5,0,1,0.0,2,1.0,12,3,2,3,3,4,16,-16,43.25,25,64,44,0.0682,7,0.714,80.4,107.3,-26.9,0.25,0.188,0.5,99.13,0.929,0.071,0.875,0.0,0.0,0.625,0.286,0.714,0.517,0.356,0.169,0.424,0,0,4,10,17,13,10,42,13,2,
2015-11-01,Pau Gasol,CHI,ORL,C,23:47,0.283,0.318,0.167,0.143,0.381,0.111,0.167,0.2,0.2,0.25,0.348,14,0.5,0,2,0.0,2,1.0,8,1,1,1,1,1,16,8,30.75,14,53,34,0.0294,7,0.429,88.2,75.5,12.7,0.125,0.178,0.5,103.41,0.857,0.143,0.875,0.0,0.0,0.375,0.714,0.286,0.4,0.067,0.179,0.227,0,0,4,6,4,6,6,24,6,2,
2015-11-03,Pau Gasol,CHI,CHA,C,23:28,0.237,0.256,0.056,0.4,0.421,0.214,0.0,0.0,0.0,0.0,0.271,11,0.545,0,1,0.0,2,0.5,8,3,0,0,0,0,13,-6,26.75,11,46,30,0.1,5,0.6,99.6,121.3,-21.7,0.231,0.174,0.545,94.83,0.909,0.091,0.923,0.0,0.0,0.615,0.833,0.167,0.523,0.182,0.067,0.261,0,0,0,8,4,7,4,16,7,3,
