DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Paul Pierce,LAC,GSW,,6:36,0.28,0.25,0.25,1.0,0.6,0.0,0.0,0.0,0.0,0.667,0.222,3,0.333,0,1,0.0,2,0.0,3,0,0,0,0,4,2,-4,5.75,0,0,0,,0,0.0,64.8,104.8,-40.0,0.0,0.231,0.333,95.56,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.571,1.429,0.161,0.167,0,0,0,0,1,0,4,6,0,1,ESPN
2016-10-10,Paul Pierce,LAC,UTA,,11:17,0.213,0.176,0.143,0.4,0.25,0.0,0.0,0.0,0.5,0.333,0.389,3,0.667,1,1,1.0,4,0.5,1,0,0,1,0,2,7,-5,10.75,0,0,0,,0,0.0,84.1,112.7,-28.6,0.0,0.053,0.833,88.91,0.667,0.333,0.286,0.429,0.0,0.0,1.0,0.0,0.533,0.667,0.245,0.571,0,0,0,0,0,4,4,12,4,2,NBA TV
2016-10-17,Paul Pierce,LAC,UTA,,12:37,0.128,0.091,1.0,0.4,0.333,0.0,0.167,0.0,0.0,0.0,0.211,2,0.5,1,2,0.5,2,0.5,3,0,0,0,1,0,4,-11,7.75,0,0,0,,0,0.0,69.9,101.2,-31.4,0.0,0.136,0.75,108.12,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.667,0.286,0.236,0.143,0,0,0,0,8,0,2,14,0,1,
2015-10-28,Paul Pierce,LAC,SAC,,23:60,0.209,0.216,0.364,0.267,0.389,0.0,0.125,0.0,0.0,0.0,0.245,8,0.5,1,4,0.25,4,0.75,7,0,0,0,1,0,12,-4,20.75,9,38,25,0.0,5,0.6,100.8,103.8,-2.9,0.0,0.163,0.563,99.7,0.5,0.5,0.5,0.25,0.0,0.333,0.25,0.75,0.544,0.156,0.157,0.25,0,0,2,4,7,6,6,26,6,5,
2015-10-29,Paul Pierce,LAC,DAL,,19:31,0.163,0.158,0.2,0.235,0.182,0.25,0.0,0.667,0.0,0.182,0.122,6,0.167,0,3,0.0,4,1.0,4,2,2,0,0,2,6,17,17.5,7,26,18,0.1111,2,0.0,110.2,73.5,36.6,0.133,0.093,0.167,108.22,0.5,0.5,0.333,0.0,0.333,0.333,0.0,1.0,0.371,0.229,0.184,0.136,2,2,2,2,0,2,2,14,2,2,TNT
2015-10-31,Paul Pierce,LAC,SAC,,13:46,0.1,0.048,0.1,0.0,0.286,0.0,0.333,0.0,0.0,0.167,0.188,1,1.0,1,1,1.0,0,0.0,2,0,0,0,2,1,3,-18,5.0,5,16,13,0.0,0,0.0,55.0,122.5,-67.5,0.0,0.087,1.5,99.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.554,0.143,0.144,0.5,0,0,0,0,10,2,3,14,2,0,NBA TV
2015-11-02,Paul Pierce,LAC,PHX,,23:10,0.136,0.15,0.235,0.0,0.316,0.154,0.2,0.0,0.0,0.143,0.125,6,0.5,1,4,0.25,0,0.0,6,2,0,0,1,1,7,7,17.0,15,34,26,0.0769,2,0.5,108.5,101.7,6.9,0.125,0.13,0.583,103.38,0.333,0.667,0.571,0.429,0.0,0.0,0.667,0.333,0.46,0.1,0.104,0.321,0,0,0,0,3,12,7,24,12,1,
2015-11-04,Paul Pierce,LAC,GSW,,17:56,0.133,0.086,0.231,0.6,0.167,0.0,0.0,0.25,0.0,0.0,0.125,3,0.0,0,3,0.0,6,0.667,2,0,1,0,0,0,4,-18,8.5,3,23,17,0.0,0,0.0,85.6,133.0,-47.4,0.0,0.059,0.0,100.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.536,0.16,0.3,0,0,1,0,9,2,18,14,2,3,ESPN
2015-11-07,Paul Pierce,LAC,HOU,,24:01,0.14,0.159,0.375,0.0,0.4,0.313,0.167,0.25,0.0,0.4,0.109,7,0.286,2,6,0.333,0,0.0,8,5,1,0,1,4,6,6,24.75,11,37,27,0.1852,4,0.0,105.7,102.9,2.7,0.263,0.186,0.429,99.55,0.143,0.857,0.0,1.0,0.5,0.0,1.0,0.0,0.439,0.366,0.105,0.25,3,3,0,0,5,6,10,24,6,1,
2015-11-09,Paul Pierce,LAC,MEM,,24:34,0.12,0.143,0.308,0.0,0.095,0.167,0.167,0.0,0.0,0.111,0.0,5,0.0,0,4,0.0,0,0.0,2,1,0,0,1,1,0,8,3.25,4,24,17,0.0588,3,0.0,92.2,78.5,13.8,0.083,0.047,0.0,93.74,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.389,0.17,0.13,0,0,0,0,6,2,2,16,2,0,
2015-11-11,Paul Pierce,LAC,DAL,,21:33,0.111,0.119,0.235,0.143,0.333,0.222,0.0,0.0,0.0,0.182,0.189,5,0.6,2,4,0.5,2,1.0,7,2,0,0,0,2,10,8,22.25,12,32,23,0.087,2,1.0,117.4,110.5,6.8,0.143,0.179,0.8,95.62,0.2,0.8,0.2,0.6,0.4,0.0,0.667,0.333,0.545,0.394,0.172,0.278,4,0,3,0,6,6,6,12,6,1,ESPN
2015-11-12,Paul Pierce,LAC,PHX,,19:30,0.092,0.118,0.231,0.0,0.067,0.222,0.0,0.5,0.0,0.1,0.116,4,0.5,1,3,0.333,0,0.0,1,2,2,0,0,1,5,-8,13.25,2,31,26,0.0769,1,1.0,108.6,122.2,-13.7,0.143,0.027,0.625,100.09,0.25,0.75,0.4,0.6,0.0,0.4,0.5,0.5,0.559,0.382,0.168,0.313,0,0,2,2,3,5,9,18,5,1,TNT
2015-11-14,Paul Pierce,LAC,DET,F,30:16,0.11,0.118,0.2,0.0,0.136,0.15,0.167,0.0,0.0,0.063,0.044,6,0.167,1,2,0.5,0,0.0,3,3,0,0,1,1,3,-1,10.5,9,39,29,0.1034,2,0.0,118.1,117.6,0.5,0.12,0.06,0.25,92.2,0.667,0.333,0.0,1.0,0.0,0.0,1.0,0.0,0.573,0.458,0.153,0.333,0,0,0,0,7,12,3,32,12,1,
2015-11-19,Paul Pierce,LAC,GSW,F,31:53,0.084,0.103,0.25,0.0,0.115,0.091,0.0,0.125,0.0,0.25,0.078,6,0.333,2,5,0.4,0,0.0,3,1,1,0,0,4,6,-5,14.0,6,41,32,0.0313,2,0.0,121.3,125.1,-3.8,0.037,0.057,0.5,97.13,0.167,0.833,0.0,1.0,0.0,0.0,0.5,0.5,0.61,0.48,0.168,0.25,0,0,3,0,7,7,8,14,7,1,TNT
2015-11-22,Paul Pierce,LAC,TOR,F,18:50,0.122,0.071,0.2,0.222,0.063,0.0,0.25,0.0,0.0,0.182,0.067,2,0.0,0,2,0.0,2,1.0,1,0,0,0,2,2,2,-14,2.25,1,19,14,0.0,0,0.0,83.4,117.6,-34.2,0.0,0.03,0.0,93.49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.565,0.323,0.134,0.2,2,2,0,0,11,0,9,16,0,2,
2015-11-24,Paul Pierce,LAC,DEN,,18:07,0.149,0.167,0.25,0.0,0.059,0.0,0.2,0.25,0.0,0.222,0.121,5,0.4,0,3,0.0,0,0.0,1,0,1,0,1,2,4,1,6.75,2,30,23,0.0,1,1.0,96.3,92.7,3.6,0.0,0.029,0.4,91.14,0.4,0.6,1.0,0.0,0.0,0.5,0.5,0.5,0.446,0.286,0.174,0.214,0,0,0,2,7,0,3,6,0,1,
2015-11-25,Paul Pierce,LAC,UTA,,8:54,0.145,0.133,0.5,0.0,0.0,0.0,0.333,0.0,0.0,0.25,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,1,1,0,-8,-0.5,2,9,6,0.0,0,0.0,51.0,95.7,-44.7,0.0,0.0,0.0,95.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.211,0.169,0.6,0,0,0,0,4,9,0,6,9,0,
2015-11-27,Paul Pierce,LAC,NOP,,13:00,0.075,0.105,0.2,0.0,0.167,0.0,0.0,0.0,1.0,0.25,0.0,2,0.0,0,1,0.0,0,0.0,2,0,0,3,0,1,0,-2,8.5,8,18,15,0.0,1,0.0,82.2,91.6,-9.4,0.0,0.065,0.0,97.77,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.152,0.076,0.478,0,0,0,0,4,7,5,12,7,0,
2015-11-29,Paul Pierce,LAC,MIN,,9:57,0.381,0.4,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.526,8,0.5,2,6,0.333,0,0.0,1,0,0,0,0,2,10,2,12.25,1,15,8,0.0,4,0.5,105.6,104.2,1.4,0.0,0.059,0.625,82.77,0.25,0.75,0.4,0.6,0.0,0.0,0.5,0.5,0.5,0.214,0.061,0.0,0,3,0,0,2,0,2,14,0,0,
2015-11-30,Paul Pierce,LAC,POR,,13:41,0.196,0.24,0.375,0.0,0.067,0.0,0.0,0.0,0.0,0.286,0.125,6,0.167,1,3,0.333,0,0.0,1,0,0,0,0,2,3,-2,4.75,6,22,15,0.0,3,0.0,86.8,88.1,-1.2,0.0,0.029,0.25,100.26,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.362,0.276,0.102,0.333,0,0,0,0,6,9,4,12,9,0,
2015-12-02,Paul Pierce,LAC,IND,,14:07,0.137,0.13,0.3,0.2,0.182,0.167,0.0,0.0,0.0,0.2,0.167,3,0.333,1,3,0.333,2,1.0,2,1,0,0,0,1,5,-2,9.25,3,17,12,0.0833,0,0.0,113.6,112.2,1.4,0.111,0.074,0.5,93.37,0.0,1.0,0.0,0.6,0.6,0.0,1.0,0.0,0.463,0.296,0.105,0.357,3,3,0,0,0,6,8,12,6,1,NBA TV
2015-12-05,Paul Pierce,LAC,ORL,,9:09,0.267,0.214,0.2,0.0,0.2,0.0,0.667,0.333,0.0,0.333,0.0,3,0.0,0,2,0.0,0,0.0,1,0,1,0,2,2,0,0,2.25,4,14,9,0.0,1,0.0,107.0,120.6,-13.6,0.0,0.071,0.0,87.97,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.308,0.19,0.333,0,0,0,0,2,4,2,8,4,0,
