DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Quincy Acy,DAL,NOP,F,19:15,0.095,0.083,0.2,0.0,0.235,0.154,0.333,0.0,0.0,0.556,0.104,3,0.667,1,2,0.5,0,0.0,4,2,0,0,1,5,5,9,12.5,0,0,0,,0,0.0,129.4,107.7,21.7,0.125,0.121,0.833,91.36,0.333,0.667,0.4,0.6,0.0,0.4,1.0,0.0,0.53,0.152,0.138,0.25,0,0,2,2,2,2,8,14,2,0,
2016-10-03,Quincy Acy,DAL,CHA,F,22:55,0.09,0.089,0.188,0.333,0.211,0.083,0.0,0.5,0.0,0.214,0.118,4,0.5,1,3,0.333,1,1.0,4,1,2,0,0,3,6,15,16.75,0,0,0,,0,0.0,110.1,78.6,31.5,0.053,0.098,0.625,96.47,0.25,0.75,0.333,0.5,0.5,0.333,1.0,0.0,0.333,0.606,0.197,0.238,3,0,0,2,4,6,1,14,6,3,
2016-10-08,Quincy Acy,DAL,MIL,,13:45,0.188,0.172,0.333,0.0,0.2,0.2,0.5,0.0,0.5,0.286,0.148,5,0.4,0,3,0.0,0,0.0,2,1,0,1,1,2,4,-7,9.25,0,0,0,,0,0.0,100.4,124.1,-23.6,0.1,0.077,0.4,94.74,0.4,0.6,1.0,0.0,0.5,1.0,0.0,1.0,0.545,0.455,0.219,0.5,2,2,2,4,2,4,8,20,4,1,
2015-11-04,Quincy Acy,SAC,PHX,,3:31,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-1,2.5,1,4,4,0.25,0,0.0,100.0,112.5,-12.5,0.333,0.25,0.0,109.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.375,0.0,0,0,0,0,0,2,0,4,2,0,
2015-11-07,Quincy Acy,SAC,GSW,F,14:53,0.083,0.037,0.0,1.0,0.176,0.25,0.143,0.0,0.5,0.0,0.111,1,1.0,0,0,0.0,2,0.5,3,2,0,1,1,0,3,8,10.75,7,21,18,0.1111,1,1.0,87.4,56.5,31.0,0.182,0.107,1.0,104.02,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.278,0.222,0.208,0.188,0,0,0,2,5,4,2,10,4,1,
2015-11-09,Quincy Acy,SAC,SAS,,3:28,0.167,0.167,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1,1.0,1,1,1.0,0,0.0,0,0,0,0,0,0,3,2,3.5,2,1,0,,0,0.0,133.3,100.0,33.3,0.0,0.0,1.5,83.08,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.167,0.333,0,0,0,0,2,2,0,2,2,0,
2015-11-13,Quincy Acy,SAC,BKN,,19:10,0.091,0.057,0.0,0.182,0.063,0.0,0.333,0.4,0.0,0.0,0.058,2,0.5,0,0,0.0,2,0.5,1,0,2,0,1,0,3,13,7.75,8,12,8,0.0,2,0.5,127.3,94.7,32.7,0.0,0.029,0.5,102.72,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.474,0.132,0.194,0.333,0,0,0,2,5,12,3,14,12,2,NBA TV
2015-11-15,Quincy Acy,SAC,TOR,,14:38,0.07,0.087,0.0,0.0,0.3,0.125,0.0,0.0,0.0,0.6,0.056,2,0.5,0,0,0.0,0,0.0,3,1,0,0,0,3,2,-5,7.0,10,13,11,0.0909,1,1.0,135.1,144.8,-9.6,0.083,0.143,0.5,90.15,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.722,0.111,0.071,0.2,0,0,0,2,3,4,6,10,4,0,
2015-11-18,Quincy Acy,SAC,ATL,F,15:57,0.025,0.0,0.0,0.0,0.071,0.125,0.1,0.0,1.0,0.75,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,1,1,3,0,-10,4.0,7,12,10,0.1,0,0.0,87.2,121.7,-34.5,0.091,0.036,0.0,110.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621,0.091,0.113,0.2,0,0,0,0,7,5,4,14,5,0,
2015-11-19,Quincy Acy,SAC,MIA,,5:21,0.092,0.1,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,-1,1.25,1,4,3,0.0,0,0.0,123.9,135.1,-11.3,0.0,0.091,0.0,79.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611,0.222,0.113,0.4,0,0,0,0,0,4,1,8,4,0,
