DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,RJ Hunter,BOS,PHI,,7:60,0.267,0.154,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0,2,0.0,0,0.0,0,0,0,0,2,0,0,-10,-1.0,0,0,0,,0,0.0,100.0,144.3,-44.3,0.0,0.0,0.0,97.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.188,0.173,0.429,0,0,0,0,8,10,0,8,10,1,
2016-10-06,RJ Hunter,BOS,CHA,,9:57,0.214,0.118,0.167,0.5,0.0,1.0,0.5,0.333,0.0,0.2,0.167,2,0.5,0,1,0.0,2,0.5,0,2,1,0,2,1,3,-2,6.5,0,0,0,,0,0.0,82.7,94.3,-11.6,0.333,0.0,0.5,103.62,0.5,0.5,0.667,0.0,0.667,0.667,0.0,1.0,0.441,0.294,0.189,0.2,2,2,0,2,5,3,3,10,3,1,
2016-10-08,RJ Hunter,BOS,CHA,,23:13,0.16,0.163,0.316,0.25,0.063,0.333,0.0,0.333,0.0,0.077,0.172,8,0.375,2,6,0.333,2,1.0,1,5,2,0,0,1,10,15,22.5,0,0,0,,0,0.0,108.4,86.5,21.9,0.263,0.026,0.5,106.72,0.25,0.75,0.2,0.6,0.2,0.0,0.667,0.333,0.457,0.371,0.261,0.222,2,2,0,0,2,4,4,20,4,0,NBA TV
2016-10-13,RJ Hunter,BOS,BKN,,9:29,0.134,0.071,0.167,0.25,0.083,0.0,0.25,0.5,0.5,0.444,0.048,1,0.0,0,1,0.0,2,0.5,1,0,1,1,1,4,1,3,5.75,0,0,0,,0,0.0,97.6,79.2,18.4,0.0,0.045,0.0,111.96,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.722,0.088,0.2,1,1,0,0,2,5,6,4,5,1,
2016-10-15,RJ Hunter,BOS,NYK,,14:58,0.313,0.4,0.5,0.286,0.125,0.1,0.0,0.4,0.0,0.0,0.436,8,0.75,2,4,0.5,4,0.75,1,1,2,0,0,0,17,0,24.5,0,0,0,,0,0.0,125.2,126.3,-1.1,0.143,0.034,0.875,99.49,0.5,0.5,0.471,0.353,0.118,0.471,0.667,0.333,0.543,0.057,0.162,0.556,2,3,0,8,7,10,2,14,10,2,NBA TV
2016-10-17,RJ Hunter,BOS,BKN,,13:59,0.212,0.16,0.308,0.375,0.176,0.167,0.333,0.0,0.0,0.0,0.167,4,0.25,1,4,0.25,3,1.0,3,1,0,0,2,0,6,12,10.5,0,0,0,,0,0.0,122.0,76.9,45.0,0.091,0.115,0.375,104.22,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.44,0.2,0.224,0.2,0,3,0,0,8,2,2,6,2,2,
2016-10-19,RJ Hunter,BOS,NYK,,23:57,0.201,0.25,0.455,0.0,0.211,0.222,0.1,0.0,0.0,0.091,0.25,11,0.455,2,5,0.4,0,0.0,4,2,0,0,1,1,12,-13,20.0,0,0,0,,0,0.0,91.0,117.5,-26.4,0.167,0.082,0.545,104.86,0.545,0.455,0.5,0.5,0.417,0.333,0.6,0.4,0.5,0.375,0.154,0.5,5,0,4,4,7,12,9,28,12,0,ESPN
2015-11-04,RJ Hunter,BOS,IND,,12:41,0.095,0.091,0.2,0.0,0.0,0.0,0.143,0.0,0.0,0.4,0.065,2,0.5,0,1,0.0,0,0.0,0,0,0,0,1,4,2,8,1.5,1,7,4,0.0,0,0.0,108.2,92.6,15.6,0.0,0.0,0.5,101.2,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.368,0.579,0.201,0.267,0,0,0,0,10,2,2,6,2,0,
2015-11-06,RJ Hunter,BOS,WAS,,4:32,0.209,0.231,0.5,0.0,0.143,0.0,0.0,0.0,0.0,0.4,0.0,3,0.0,0,2,0.0,0,0.0,1,0,0,0,0,2,0,-4,1.25,2,6,3,0.0,1,0.0,96.9,127.7,-30.8,0.0,0.091,0.0,112.66,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.286,0.0,0.0,0,0,0,0,0,0,7,4,0,0,
2015-11-10,RJ Hunter,BOS,MIL,,18:55,0.177,0.161,0.231,0.0,0.467,0.0,0.333,0.143,0.333,0.1,0.152,5,0.6,1,3,0.333,0,0.0,7,0,1,1,2,1,7,19,19.25,8,28,21,0.0,0,0.0,129.1,74.4,54.6,0.0,0.259,0.7,91.24,0.4,0.6,0.571,0.429,0.286,0.0,1.0,0.0,0.375,0.5,0.303,0.267,2,0,2,0,9,4,0,12,4,0,
