DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Ramon Sessions,CHA,DAL,G,23:34,0.242,0.229,0.3,0.182,0.08,0.571,0.375,0.0,0.0,0.143,0.073,8,0.0,0,3,0.0,4,0.75,2,4,0,0,3,1,3,-8,9.0,0,0,0,,0,0.0,87.8,103.3,-15.5,0.333,0.044,0.0,95.85,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.021,0.063,0.174,0,1,0,0,7,3,7,10,3,4,
2016-10-06,Ramon Sessions,CHA,BOS,,24:15,0.246,0.222,0.083,0.429,0.133,0.214,0.333,0.333,0.0,0.25,0.239,10,0.4,0,1,0.0,3,1.0,2,3,1,0,2,4,11,-7,18.25,0,0,0,,0,0.0,86.7,98.7,-12.0,0.2,0.044,0.4,105.7,0.9,0.1,0.727,0.0,0.182,0.545,0.5,0.5,0.512,0.302,0.223,0.333,2,0,0,6,8,20,6,20,20,6,
2016-10-08,Ramon Sessions,CHA,BOS,,29:05,0.19,0.18,0.0,0.208,0.172,0.182,0.222,0.0,0.0,0.167,0.173,9,0.333,0,0,0.0,5,0.6,5,2,0,0,2,1,9,-14,16.75,0,0,0,,0,0.0,81.8,108.5,-26.7,0.143,0.096,0.333,102.66,1.0,0.0,0.667,0.0,0.333,0.667,0.333,0.667,0.509,0.204,0.082,0.115,3,0,1,6,18,6,6,20,6,3,NBA TV
2016-10-10,Ramon Sessions,CHA,MIN,,16:14,0.242,0.167,0.0,0.8,0.176,0.4,0.5,0.0,0.0,0.2,0.25,5,0.8,0,0,0.0,4,0.5,3,4,0,0,2,1,10,12,17.75,0,0,0,,0,0.0,120.5,83.2,37.2,0.333,0.094,0.8,98.82,1.0,0.0,0.8,0.0,0.1,0.8,0.25,0.75,0.359,0.188,0.089,0.222,1,2,0,8,1,4,3,14,4,2,
2016-10-17,Ramon Sessions,CHA,CHI,,20:32,0.113,0.079,0.0,0.333,0.0,0.417,0.2,0.2,0.0,0.167,0.162,3,0.667,0,0,0.0,3,0.667,0,5,1,0,1,1,6,-9,13.75,0,0,0,,0,0.0,90.3,116.0,-25.7,0.455,0.0,0.667,94.21,1.0,0.0,0.667,0.0,1.0,0.667,1.0,0.0,0.554,0.162,0.202,0.444,6,6,0,4,8,11,5,14,11,3,NBA TV
2016-10-20,Ramon Sessions,CHA,MIA,,20:46,0.187,0.182,0.083,0.5,0.188,0.3,0.0,0.4,0.0,0.333,0.231,6,0.333,0,1,0.0,6,0.833,3,3,2,0,0,3,9,-7,20.5,0,0,0,,0,0.0,88.1,105.7,-17.6,0.273,0.077,0.333,101.47,0.833,0.167,0.444,0.0,0.222,0.444,0.5,0.5,0.464,0.19,0.138,0.364,2,1,0,4,4,16,4,22,16,4,
2016-10-21,Ramon Sessions,CHA,MIN,,15:06,0.237,0.182,0.0,0.5,0.273,0.333,0.2,0.0,0.0,0.375,0.25,4,0.25,0,0,0.0,6,0.667,3,1,0,0,1,3,6,-21,10.5,0,0,0,,0,0.0,79.3,145.9,-66.7,0.143,0.111,0.25,97.14,1.0,0.0,0.333,0.0,0.0,0.333,0.0,1.0,0.667,0.407,0.032,0.182,0,1,0,2,10,4,11,14,4,3,NBA TV
2015-10-28,Ramon Sessions,WAS,ORL,,14:04,0.15,0.083,0.0,0.667,0.273,0.4,0.0,0.5,0.0,0.25,0.211,2,0.0,0,0,0.0,6,0.667,3,2,1,0,0,1,4,-19,12.25,4,33,23,0.087,2,0.0,68.0,123.5,-55.6,0.333,0.091,0.0,100.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.121,0.065,0.429,0,1,0,0,5,8,7,20,8,5,
2015-10-30,Ramon Sessions,WAS,MIL,,26:14,0.295,0.333,0.231,0.214,0.0,0.0,0.25,0.4,0.0,0.167,0.319,12,0.667,2,3,0.667,6,0.833,0,0,2,0,2,2,23,16,27.0,2,55,38,0.0,8,0.625,132.5,99.5,33.0,0.0,0.0,0.75,101.18,0.75,0.25,0.522,0.261,0.348,0.348,0.5,0.5,0.511,0.267,0.178,0.19,8,9,0,8,10,8,2,24,8,4,
2015-10-31,Ramon Sessions,WAS,NYK,,12:15,0.232,0.174,0.286,0.714,0.2,0.75,0.2,0.0,0.0,0.1,0.25,4,0.25,0,2,0.0,5,1.0,2,3,0,0,1,1,7,2,12.75,2,34,27,0.1111,3,0.333,107.4,98.5,8.9,0.333,0.118,0.25,102.82,0.5,0.5,0.286,0.0,0.0,0.286,0.0,1.0,0.559,0.588,0.265,0.286,0,3,0,2,5,1,3,10,1,3,
