DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Randy Foye,BKN,DET,G,18:22,0.127,0.143,0.167,0.167,0.063,0.444,0.0,0.0,0.0,0.2,0.087,4,0.25,0,2,0.0,2,1.0,1,4,0,0,0,1,4,11,10.25,0,0,0,,0,0.0,123.4,91.1,32.3,0.286,0.029,0.25,98.94,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.436,0.026,0.182,0.348,0,0,0,0,9,6,0,14,6,2,
2016-10-08,Randy Foye,BKN,NYK,G,20:55,0.255,0.222,0.286,0.455,0.211,0.0,0.333,0.2,0.0,0.071,0.29,8,0.25,1,4,0.25,5,0.8,4,0,1,0,1,1,9,-15,16.0,0,0,0,,0,0.0,79.8,111.4,-31.6,0.0,0.093,0.313,91.93,0.5,0.5,0.222,0.333,0.111,0.222,0.0,1.0,0.586,0.343,0.145,0.263,1,1,0,2,4,2,9,16,2,4,
2016-10-13,Randy Foye,BKN,BOS,G,22:52,0.161,0.108,0.176,0.211,0.111,0.083,0.333,0.2,0.0,0.429,0.16,4,0.5,2,3,0.667,4,0.5,3,1,1,0,3,3,8,9,14.5,0,0,0,,0,0.0,99.3,80.6,18.6,0.077,0.059,0.75,106.22,0.25,0.75,0.0,0.75,0.25,0.0,1.0,0.0,0.39,0.268,0.177,0.148,2,1,0,0,7,6,7,20,6,4,
2016-10-17,Randy Foye,BKN,BOS,,15:27,0.098,0.097,0.182,0.0,0.182,0.375,0.167,0.143,0.0,0.143,0.0,3,0.0,0,2,0.0,0,0.0,2,3,1,0,1,1,0,4,7.75,0,0,0,,0,0.0,92.2,88.4,3.8,0.231,0.065,0.0,113.46,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.28,0.314,0.333,0,0,0,0,13,2,3,8,2,0,
2016-10-20,Randy Foye,BKN,NYK,G,17:60,0.138,0.182,0.267,0.0,0.267,0.273,0.0,0.0,0.0,0.5,0.102,6,0.333,1,4,0.25,0,0.0,4,3,0,0,0,2,5,9,14.25,0,0,0,,0,0.0,118.4,95.1,23.3,0.2,0.125,0.417,111.32,0.333,0.667,0.4,0.6,0.0,0.4,0.5,0.5,0.547,0.219,0.261,0.235,0,0,0,2,5,3,8,12,3,0,NBA TV
2015-10-28,Randy Foye,DEN,HOU,,18:00,0.167,0.176,0.429,0.0,0.267,0.2,0.143,0.4,0.0,0.143,0.088,6,0.167,1,6,0.167,0,0.0,4,2,2,0,1,1,3,-5,14.5,5,20,13,0.1538,1,0.0,89.8,103.3,-13.5,0.154,0.133,0.25,100.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.603,0.138,0.238,0.154,0,0,0,0,12,4,8,20,4,0,
2015-10-30,Randy Foye,DEN,MIN,,8:22,0.168,0.143,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,2,0.0,0,2,0.0,0,0.0,0,0,0,0,1,0,0,-7,-0.5,2,8,5,0.0,0,0.0,65.2,93.2,-28.0,0.0,0.0,0.0,103.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.214,0.207,0.0,0,0,0,0,2,0,0,6,0,0,
2015-11-01,Randy Foye,DEN,OKC,,16:09,0.154,0.167,0.385,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.083,6,0.167,1,5,0.2,0,0.0,0,1,0,0,0,0,3,-1,4.75,1,23,16,0.0625,1,0.0,109.5,125.3,-15.8,0.071,0.0,0.25,92.73,0.167,0.833,0.0,1.0,0.0,0.0,1.0,0.0,0.667,0.333,0.203,0.5,0,0,0,0,0,2,3,6,2,1,
2015-11-03,Randy Foye,DEN,LAL,,16:09,0.225,0.269,0.273,0.0,0.0,0.143,0.167,0.0,0.25,0.2,0.2,7,0.429,0,3,0.0,0,0.0,0,1,0,1,1,2,6,4,8.75,0,22,15,0.0667,2,1.0,92.3,78.7,13.6,0.143,0.0,0.429,97.43,0.571,0.429,1.0,0.0,0.333,0.333,0.667,0.333,0.25,0.667,0.182,0.222,2,0,2,2,5,3,2,8,3,0,NBA TV
2015-11-05,Randy Foye,DEN,UTA,,17:28,0.266,0.333,0.727,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.314,9,0.333,3,8,0.375,2,1.0,2,1,0,0,0,0,11,-2,16.25,3,23,12,0.0833,2,0.0,99.5,106.1,-6.5,0.143,0.065,0.5,96.24,0.111,0.889,0.0,0.818,0.0,0.0,1.0,0.0,0.565,0.065,0.201,0.25,0,0,0,0,14,9,3,10,9,1,
