DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Rashad Vaughn,MIL,CHI,G,21:40,0.172,0.184,0.385,0.143,0.0,0.125,0.125,0.167,0.0,0.125,0.111,7,0.143,1,5,0.2,1,1.0,0,1,1,0,1,1,4,-5,7.25,0,0,0,,0,0.0,85.6,100.4,-14.8,0.083,0.0,0.214,91.85,0.286,0.714,0.0,0.75,0.75,0.0,1.0,0.0,0.5,0.324,0.269,0.529,3,0,3,0,8,7,11,14,7,0,NBA TV
2016-10-12,Rashad Vaughn,MIL,IND,,24:17,0.166,0.143,0.308,0.214,0.13,0.4,0.25,0.0,0.0,0.385,0.179,6,0.167,0,4,0.0,3,1.0,3,2,0,0,2,5,5,-20,10.25,0,0,0,,0,0.0,55.8,100.2,-44.3,0.286,0.052,0.167,96.94,0.333,0.667,0.4,0.0,0.0,0.4,0.0,1.0,0.398,0.409,0.104,0.346,0,0,0,2,9,11,6,12,11,1,
2015-10-28,Rashad Vaughn,MIL,NYK,,12:41,0.199,0.217,0.5,0.0,0.167,0.0,0.25,0.0,0.5,0.0,0.28,5,0.6,1,2,0.5,0,0.0,2,0,0,1,1,0,7,-13,11.5,5,12,6,0.0,2,0.5,103.8,136.5,-32.7,0.0,0.08,0.7,98.25,0.6,0.4,0.571,0.429,0.0,0.571,0.667,0.333,0.538,0.423,0.108,0.5,0,0,2,4,7,5,8,14,5,0,
2015-11-01,Rashad Vaughn,MIL,TOR,,3:33,0.258,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,8,6,0.0,0,0.0,51.5,50.0,1.5,0.0,0.0,0.0,106.55,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.375,0.5,0,0,0,0,2,2,0,4,2,0,NBA TV
2015-11-04,Rashad Vaughn,MIL,PHI,,16:33,0.079,0.088,0.154,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.091,3,0.333,1,2,0.5,0,0.0,2,0,0,0,0,0,3,1,6.0,3,6,2,0.0,2,0.0,99.4,99.8,-0.4,0.0,0.061,0.5,94.67,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.448,0.241,0.187,0.4,0,0,3,0,2,10,3,16,10,1,
2015-11-07,Rashad Vaughn,MIL,BKN,,1:44,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,1,1,2,-7,1.5,0,6,3,0.0,1,1.0,50.0,232.0,-182.0,0.0,0.0,1.0,109.11,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.875,0.5,0.0,1.0,0,0,0,0,5,2,0,4,2,0,
2015-11-10,Rashad Vaughn,MIL,BOS,,6:25,0.279,0.429,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,3,0.333,1,1,1.0,0,0.0,0,0,0,0,0,0,3,-9,3.5,1,5,2,0.0,2,0.0,65.1,133.3,-68.3,0.0,0.0,0.5,85.13,0.667,0.333,0.0,1.0,0.0,0.0,1.0,0.0,0.571,0.0,0.083,0.5,0,0,0,0,4,2,2,10,2,0,
2015-11-11,Rashad Vaughn,MIL,DEN,,9:59,0.1,0.071,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,-4,-0.5,1,11,8,0.0,0,0.0,105.3,142.2,-36.9,0.0,0.0,0.0,86.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.095,0.059,0.545,0,0,0,0,6,6,2,6,6,0,
2015-11-17,Rashad Vaughn,MIL,WAS,,11:14,0.239,0.211,0.667,0.333,0.0,0.0,0.333,0.0,0.0,0.222,0.278,4,0.25,1,2,0.5,2,1.0,0,0,0,0,1,2,5,-10,5.0,1,13,7,0.0,2,0.0,79.5,137.3,-57.7,0.0,0.0,0.375,91.95,0.5,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.75,0.714,0.147,0.125,0,0,0,0,5,2,3,6,2,1,NBA TV
2015-11-21,Rashad Vaughn,MIL,IND,,5:10,0.444,0.5,1.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.636,4,0.75,1,2,0.5,0,0.0,1,1,0,0,0,0,7,-5,10.0,1,6,2,0.5,3,0.667,122.2,160.0,-37.8,0.5,0.25,0.875,88.26,0.5,0.5,0.571,0.429,0.286,0.571,0.667,0.333,0.889,0.0,0.1,0.0,2,0,0,4,3,2,0,8,2,0,
