DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Raul Neto,UTA,POR,,9:49,0.366,0.385,0.25,0.25,0.25,0.0,0.4,0.0,0.0,0.25,0.286,5,0.4,0,1,0.0,2,1.0,2,0,0,0,2,1,6,5,7.5,0,0,0,,0,0.0,107.6,83.3,24.2,0.0,0.167,0.4,94.66,0.8,0.2,0.667,0.0,0.333,0.667,0.5,0.5,0.542,0.417,0.313,0.143,2,0,0,4,5,0,3,2,0,1,NBA TV
2016-10-05,Raul Neto,UTA,PHX,,9:28,0.128,0.143,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.167,0.1,2,0.5,0,0,0.0,0,0.0,0,1,0,0,1,1,2,-3,2.75,0,0,0,,0,0.0,98.0,109.7,-11.7,0.2,0.0,0.5,104.86,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.333,0.429,0.048,0.357,0,0,0,2,7,7,0,6,7,1,NBA TV
2016-10-10,Raul Neto,UTA,LAC,,8:35,0.24,0.357,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,5,0.2,0,1,0.0,0,0.0,0,0,0,0,0,0,2,5,2.0,0,0,0,,0,0.0,145.2,104.7,40.6,0.0,0.0,0.2,92.38,0.8,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.357,0.174,0.286,0,0,0,0,3,2,2,8,2,0,NBA TV
2016-10-17,Raul Neto,UTA,LAC,,23:19,0.212,0.179,0.308,0.267,0.048,0.071,0.3,0.429,0.0,0.143,0.14,7,0.286,1,4,0.25,4,0.5,1,1,3,0,3,2,7,9,14.5,0,0,0,,0,0.0,91.6,78.1,13.5,0.059,0.024,0.357,110.22,0.429,0.571,0.286,0.429,0.286,0.286,0.5,0.5,0.412,0.5,0.248,0.091,2,1,0,2,5,3,5,14,3,2,
2016-10-19,Raul Neto,UTA,POR,,13:01,0.175,0.087,0.091,0.0,0.0,0.2,1.0,0.4,0.0,0.2,0.0,2,0.0,0,1,0.0,0,0.0,0,1,2,0,3,1,0,6,3.75,0,0,0,,0,0.0,90.1,72.3,17.7,0.143,0.0,0.0,94.99,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.111,0.281,0.111,0,0,0,0,3,0,0,6,0,2,
2015-10-28,Raul Neto,UTA,DET,G,26:28,0.142,0.154,0.286,0.0,0.043,0.231,0.167,0.0,0.0,0.083,0.145,6,0.5,2,2,1.0,0,0.0,1,3,0,0,1,1,8,12,13.5,2,50,38,0.0789,1,0.0,113.6,84.6,29.1,0.158,0.024,0.667,89.99,0.667,0.333,0.25,0.75,0.0,0.0,1.0,0.0,0.409,0.25,0.118,0.154,0,0,0,0,2,3,4,22,3,1,
2015-10-30,Raul Neto,UTA,PHI,G,20:32,0.128,0.143,0.4,0.125,0.0,0.375,0.0,0.429,0.0,0.222,0.171,5,0.4,2,2,1.0,2,0.5,0,3,3,0,0,2,7,14,17.75,0,41,32,0.0938,2,0.0,99.9,64.0,35.9,0.273,0.0,0.6,97.25,0.6,0.4,0.0,0.857,0.0,0.0,1.0,0.0,0.365,0.538,0.261,0.056,0,0,3,0,2,1,0,8,1,3,
2015-10-31,Raul Neto,UTA,IND,G,19:46,0.161,0.128,0.143,0.0,0.08,0.286,0.375,0.0,0.0,0.111,0.0,5,0.0,0,1,0.0,0,0.0,2,2,0,0,3,1,0,17,3.5,3,40,32,0.0625,2,0.0,93.5,51.8,41.7,0.125,0.05,0.0,98.54,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.286,0.271,0.111,0,0,0,0,8,4,6,4,4,2,
2015-11-04,Raul Neto,UTA,POR,G,15:26,0.173,0.161,0.455,0.0,0.214,0.0,0.5,0.25,0.0,0.0,0.24,5,0.4,2,5,0.4,0,0.0,3,0,1,0,1,0,6,-10,12.25,3,36,29,0.0,0,0.0,90.1,113.0,-23.0,0.0,0.097,0.6,91.32,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.717,0.391,0.226,0.3,0,0,0,0,0,4,7,14,4,1,
2015-11-05,Raul Neto,UTA,DEN,G,12:36,0.143,0.167,0.5,0.0,0.1,0.0,0.0,0.5,0.5,0.286,0.118,4,0.25,0,2,0.0,0,0.0,1,0,1,1,0,2,2,-5,7.25,1,34,28,0.0,1,0.0,71.2,106.0,-34.8,0.0,0.04,0.25,85.04,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.553,0.211,0.193,0.4,0,0,0,0,2,6,4,14,6,0,
