DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Raymond Felton,LAC,GSW,,15:39,0.306,0.259,0.125,0.333,0.25,0.4,0.5,1.0,0.0,0.133,0.409,7,0.571,0,1,0.0,3,0.333,2,2,3,0,3,2,9,-22,18.5,0,0,0,,0,0.0,59.5,131.1,-71.6,0.5,0.08,0.571,108.15,0.857,0.143,0.889,0.0,0.444,0.667,0.5,0.5,0.694,1.333,0.179,0.111,4,2,2,6,15,2,15,12,2,2,ESPN
2016-10-05,Raymond Felton,LAC,TOR,G,36:15,0.207,0.2,0.125,0.32,0.139,0.105,0.158,0.143,0.25,0.188,0.215,10,0.4,1,2,0.5,8,1.0,5,2,1,1,3,3,17,9,28.75,0,0,0,,0,0.0,109.7,97.7,12.1,0.091,0.082,0.45,95.13,0.8,0.2,0.353,0.176,0.0,0.235,0.75,0.25,0.458,0.373,0.14,0.2,0,2,0,4,24,6,11,18,6,5,
2016-10-10,Raymond Felton,LAC,UTA,,12:45,0.109,0.111,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.222,0.0,2,0.0,0,0,0.0,0,0.0,3,1,0,0,1,2,0,-9,4.5,0,0,0,,0,0.0,98.4,138.2,-39.8,0.125,0.143,0.0,94.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.163,0.6,0,0,0,0,5,6,5,22,6,1,NBA TV
2016-10-13,Raymond Felton,LAC,POR,,25:26,0.141,0.17,0.143,0.0,0.208,0.25,0.0,0.0,0.0,0.154,0.082,8,0.25,0,2,0.0,0,0.0,5,2,0,0,0,2,4,-4,12.75,0,0,0,,0,0.0,98.3,99.7,-1.4,0.125,0.102,0.25,97.18,0.75,0.25,1.0,0.0,0.5,1.0,0.0,1.0,0.512,0.333,0.169,0.19,2,2,0,4,7,8,0,20,8,1,TNT
2016-10-17,Raymond Felton,LAC,UTA,,27:30,0.19,0.231,0.125,0.118,0.13,0.375,0.125,0.25,0.333,0.143,0.2,9,0.444,0,1,0.0,2,0.5,3,3,1,1,2,2,9,-23,19.5,0,0,0,,0,0.0,75.7,107.5,-31.9,0.273,0.065,0.444,107.1,0.889,0.111,0.889,0.0,0.111,0.222,0.0,1.0,0.622,0.467,0.158,0.048,1,0,0,2,20,0,9,34,0,2,
2016-10-18,Raymond Felton,LAC,SAC,,12:13,0.168,0.235,0.25,0.0,0.222,0.0,0.0,0.5,1.0,0.0,0.125,4,0.25,0,3,0.0,0,0.0,2,0,1,1,0,0,2,-8,8.5,0,0,0,,0,0.0,67.0,91.6,-24.6,0.0,0.091,0.25,98.41,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.452,0.238,0.191,0.182,0,0,0,0,2,2,10,10,2,1,ESPN
2015-10-28,Raymond Felton,DAL,PHX,G,33:09,0.199,0.219,0.167,0.111,0.114,0.316,0.0,0.0,0.0,0.105,0.202,14,0.5,2,3,0.667,2,1.0,4,6,0,0,0,2,18,25,31.5,5,68,50,0.12,6,0.333,127.3,85.6,41.7,0.231,0.061,0.571,104.75,0.786,0.214,0.556,0.333,0.0,0.444,0.429,0.571,0.417,0.537,0.174,0.143,0,4,0,8,4,4,15,26,4,3,
2015-10-29,Raymond Felton,DAL,LAC,G,25:15,0.193,0.173,0.125,0.0,0.04,0.308,0.429,0.5,0.0,0.2,0.082,9,0.222,0,2,0.0,0,0.0,1,4,1,0,3,4,4,-18,10.75,2,60,46,0.087,4,0.25,94.1,130.2,-36.2,0.222,0.02,0.222,98.4,0.778,0.222,1.0,0.0,0.0,0.5,0.0,1.0,0.622,0.634,0.078,0.25,0,0,0,2,11,9,12,24,9,0,TNT
2015-11-01,Raymond Felton,DAL,LAL,,28:21,0.142,0.16,0.143,0.0,0.061,0.125,0.111,0.333,0.0,0.182,0.183,8,0.625,1,2,0.5,0,0.0,2,2,1,0,1,2,11,5,18.0,4,49,36,0.0556,5,0.6,104.5,88.3,16.2,0.105,0.035,0.688,101.32,0.75,0.25,0.727,0.273,0.273,0.364,0.4,0.6,0.426,0.222,0.128,0.156,3,0,2,4,10,9,11,22,9,0,
2015-11-03,Raymond Felton,DAL,TOR,,19:05,0.203,0.194,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.2,0.143,6,0.5,0,0,0.0,0,0.0,2,0,0,0,3,2,6,-2,7.0,4,34,25,0.0,5,0.6,109.7,114.2,-4.5,0.0,0.059,0.5,96.59,1.0,0.0,1.0,0.0,0.0,0.667,0.333,0.667,0.576,0.242,0.182,0.333,0,0,0,4,9,4,3,16,4,0,
2015-11-05,Raymond Felton,DAL,CHA,G,23:48,0.191,0.184,0.25,0.0,0.105,0.143,0.429,0.0,0.0,0.375,0.137,7,0.429,1,3,0.333,0,0.0,2,1,0,0,3,3,7,-8,9.75,3,41,29,0.0345,2,1.0,105.2,124.5,-19.3,0.077,0.053,0.5,96.69,0.571,0.429,0.571,0.429,0.0,0.286,0.333,0.667,0.581,0.233,0.084,0.211,0,0,0,2,13,3,0,28,3,0,
2015-11-07,Raymond Felton,DAL,NOP,,18:01,0.139,0.143,0.125,0.143,0.059,0.333,0.0,0.0,0.0,0.167,0.104,5,0.4,0,1,0.0,1,1.0,1,3,0,0,0,1,5,17,10.0,3,31,26,0.1154,4,0.5,133.0,87.8,45.3,0.176,0.031,0.4,95.11,0.8,0.2,0.8,0.0,0.0,0.8,0.0,1.0,0.468,0.097,0.17,0.176,0,3,0,4,2,4,10,12,4,2,
2015-11-10,Raymond Felton,DAL,NOP,,22:38,0.142,0.132,0.0,0.133,0.143,0.222,0.25,0.0,0.0,0.167,0.044,5,0.0,0,0,0.0,2,1.0,3,2,0,0,1,1,2,-2,7.75,8,42,32,0.0625,3,0.0,100.9,104.0,-3.1,0.133,0.068,0.0,95.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,0.114,0.111,0.261,0,0,0,0,5,14,8,14,14,2,
