DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-27,Reggie Jackson,DET,ATL,G,32:07,0.172,0.154,0.211,0.208,0.19,0.313,0.286,0.5,0.0,0.0,0.185,10,0.4,2,4,0.5,5,1.0,8,5,2,0,2,0,15,26,35.25,11,92,71,0.0704,6,0.333,121.7,86.2,35.5,0.217,0.114,0.5,97.44,0.6,0.4,0.267,0.4,0.0,0.267,0.25,0.75,0.426,0.204,0.172,0.188,0,3,0,4,7,4,6,22,4,5,
2015-10-28,Reggie Jackson,DET,UTA,G,31:15,0.328,0.311,0.273,0.368,0.091,0.571,0.364,0.0,0.0,0.083,0.345,14,0.5,1,3,0.333,7,0.571,2,4,0,0,4,1,19,-5,25.0,7,77,53,0.0755,12,0.5,88.2,95.7,-7.5,0.333,0.043,0.536,96.06,0.786,0.214,0.632,0.158,0.211,0.632,0.0,1.0,0.531,0.271,0.175,0.091,4,0,0,12,17,2,2,38,2,4,
2015-10-30,Reggie Jackson,DET,CHI,G,37:05,0.333,0.348,0.308,0.19,0.171,0.7,0.357,0.286,0.0,0.188,0.31,24,0.375,1,4,0.25,4,0.75,7,7,2,0,5,3,22,7,41.5,13,92,55,0.1273,16,0.438,89.6,82.3,7.3,0.35,0.096,0.396,101.63,0.833,0.167,0.727,0.136,0.182,0.727,0.0,1.0,0.412,0.351,0.219,0.152,4,1,6,16,17,8,8,26,8,5,
2015-11-03,Reggie Jackson,DET,IND,G,34:17,0.326,0.323,0.267,0.2,0.0,0.545,0.375,0.25,0.333,0.3,0.286,20,0.4,2,4,0.5,2,1.0,0,6,1,1,6,3,20,8,29.5,6,85,55,0.1091,11,0.455,103.9,91.7,12.2,0.3,0.0,0.45,94.53,0.8,0.2,0.6,0.3,0.25,0.5,0.125,0.875,0.445,0.094,0.163,0.303,5,0,2,10,20,6,7,20,6,2,
2015-11-06,Reggie Jackson,DET,PHX,G,30:19,0.359,0.375,0.333,0.32,0.188,0.778,0.333,0.0,0.333,0.214,0.333,18,0.444,1,4,0.25,8,0.75,6,7,0,1,4,3,23,7,39.75,9,80,50,0.14,13,0.462,103.0,92.0,11.0,0.389,0.1,0.472,106.4,0.778,0.222,0.609,0.13,0.087,0.522,0.125,0.875,0.475,0.169,0.134,0.152,2,0,0,12,8,6,9,32,6,6,
2015-11-08,Reggie Jackson,DET,POR,G,34:17,0.394,0.394,0.167,0.444,0.143,0.455,0.333,0.25,0.0,0.083,0.43,26,0.577,3,3,1.0,8,0.875,5,5,2,0,2,1,40,22,57.0,7,99,56,0.0893,17,0.588,133.0,95.7,37.3,0.227,0.079,0.635,100.86,0.885,0.115,0.6,0.225,0.275,0.45,0.067,0.933,0.508,0.237,0.202,0.194,11,4,3,18,8,6,8,26,6,6,
2015-11-09,Reggie Jackson,DET,GSW,G,29:40,0.384,0.339,0.429,0.667,0.087,0.455,0.5,0.286,0.0,0.0,0.323,19,0.368,1,6,0.167,6,0.833,2,5,2,0,6,0,20,-5,30.25,9,86,52,0.0962,12,0.417,96.9,104.0,-7.1,0.263,0.041,0.395,103.84,0.684,0.316,0.6,0.15,0.15,0.5,0.286,0.714,0.518,0.179,0.186,0.348,3,0,2,10,11,8,25,36,8,4,
2015-11-11,Reggie Jackson,DET,SAC,G,32:41,0.263,0.254,0.273,0.462,0.133,0.5,0.2,0.0,0.0,0.118,0.302,15,0.333,1,6,0.167,6,0.833,4,3,0,0,2,2,16,-15,24.25,4,81,59,0.0508,6,0.5,81.9,104.9,-23.0,0.214,0.063,0.367,95.11,0.6,0.4,0.5,0.188,0.313,0.375,0.0,1.0,0.552,0.417,0.216,0.231,5,4,0,6,11,7,6,26,7,4,
2015-11-14,Reggie Jackson,DET,LAC,G,34:21,0.284,0.283,0.353,0.172,0.188,0.5,0.444,0.333,0.0,0.059,0.282,15,0.467,2,6,0.333,5,0.8,6,5,1,0,4,1,20,-5,34.75,9,85,59,0.0847,8,0.5,108.0,116.3,-8.3,0.294,0.097,0.533,91.61,0.6,0.4,0.5,0.3,0.0,0.5,0.143,0.857,0.543,0.328,0.107,0.258,0,0,2,10,5,6,5,28,6,4,
2015-11-15,Reggie Jackson,DET,LAL,G,24:17,0.266,0.22,0.364,0.0,0.16,0.75,0.625,0.0,0.0,0.1,0.29,11,0.364,1,4,0.25,0,0.0,4,3,0,0,5,1,9,-13,15.75,8,65,46,0.0652,4,0.5,58.3,83.8,-25.5,0.333,0.074,0.409,104.49,0.636,0.364,0.667,0.333,0.222,0.667,0.0,1.0,0.44,0.19,0.209,0.182,2,0,0,6,6,6,2,24,6,0,
