DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Richard Jefferson,CLE,ORL,,10:48,0.084,0.1,0.5,0.0,0.273,0.143,0.0,0.0,0.0,0.167,0.111,2,0.5,1,1,1.0,0,0.0,3,1,0,0,0,1,3,11,8.5,0,0,0,,0,0.0,118.6,71.0,47.6,0.1,0.15,0.75,100.62,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.294,0.471,0.133,0.091,0,0,0,0,2,2,2,10,2,0,NBA TV
2016-10-08,Richard Jefferson,CLE,PHI,,13:45,0.03,0.042,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,0,0,0,0,-4,2.5,0,0,0,,0,0.0,74.8,91.7,-16.9,0.0,0.074,0.0,109.27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.32,0.164,0.25,0,0,0,0,0,4,0,12,4,1,NBA TV
2016-10-13,Richard Jefferson,CLE,TOR,F,17:35,0.091,0.036,0.091,0.333,0.182,0.0,0.125,0.0,0.0,0.0,0.093,1,0.0,0,1,0.0,4,1.0,2,0,0,0,1,0,4,2,6.0,0,0,0,,0,0.0,106.8,111.2,-4.4,0.0,0.08,0.0,105.32,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.591,0.061,0.163,0.231,2,2,0,0,12,7,12,22,7,2,TNT
2016-10-18,Richard Jefferson,CLE,WAS,,11:34,0.145,0.174,0.273,0.0,0.182,0.143,0.0,0.0,0.0,0.4,0.161,4,0.5,1,3,0.333,0,0.0,2,1,0,0,0,2,5,9,9.25,0,0,0,,0,0.0,125.8,103.2,22.6,0.1,0.095,0.625,95.36,0.25,0.75,0.4,0.6,0.0,0.0,1.0,0.0,0.526,0.158,0.141,0.2,0,3,0,0,5,5,2,4,5,0,
2015-10-27,Richard Jefferson,CLE,CHI,,16:57,0.214,0.212,0.267,0.0,0.0,0.111,0.333,0.333,0.0,0.375,0.345,7,0.571,2,4,0.5,0,0.0,0,1,1,0,1,3,10,-5,13.75,2,21,12,0.0833,1,1.0,84.5,99.8,-15.3,0.143,0.0,0.714,96.85,0.429,0.571,0.4,0.6,0.4,0.4,1.0,0.0,0.534,0.241,0.147,0.188,4,2,3,4,4,3,6,8,3,0,TNT
2015-10-28,Richard Jefferson,CLE,MEM,,18:20,0.191,0.2,0.375,0.083,0.115,0.0,0.222,0.0,0.0,0.231,0.304,6,0.833,3,3,1.0,1,1.0,3,0,0,0,2,3,14,19,18.25,6,25,17,0.0,3,0.667,117.1,68.5,48.6,0.0,0.073,1.083,103.0,0.5,0.5,0.286,0.643,0.0,0.286,1.0,0.0,0.278,0.278,0.152,0.25,0,3,2,4,7,3,4,6,3,1,
2015-10-30,Richard Jefferson,CLE,MIA,,24:23,0.19,0.159,0.231,0.0,0.0,0.0,1.0,0.5,0.0,0.1,0.093,7,0.286,1,3,0.333,0,0.0,0,0,1,0,3,1,5,9,6.0,3,18,8,0.0,2,0.0,115.6,92.4,23.2,0.0,0.0,0.357,93.94,0.571,0.429,0.4,0.6,0.0,0.4,1.0,0.0,0.413,0.325,0.123,0.143,0,3,2,2,6,6,4,24,6,1,ESPN
2015-11-02,Richard Jefferson,CLE,PHI,,21:43,0.108,0.114,0.222,0.286,0.067,0.0,0.0,0.0,0.0,0.286,0.167,4,0.5,1,2,0.5,2,1.0,1,0,0,0,0,2,7,-4,8.75,1,23,17,0.0,1,0.0,99.8,101.3,-1.5,0.0,0.033,0.625,96.68,0.5,0.5,0.286,0.429,0.286,0.286,1.0,0.0,0.588,0.294,0.198,0.143,2,7,0,2,14,2,2,26,2,1,
2015-11-04,Richard Jefferson,CLE,NYK,G,35:17,0.122,0.098,0.278,0.286,0.125,0.176,0.111,0.0,0.0,0.222,0.132,6,0.333,1,5,0.2,6,0.667,4,3,0,0,1,2,9,1,17.75,8,36,23,0.1304,3,0.333,90.4,95.3,-5.0,0.13,0.063,0.417,98.97,0.167,0.833,0.222,0.333,0.222,0.222,1.0,0.0,0.452,0.19,0.114,0.176,2,2,0,2,8,8,0,22,8,4,ESPN
2015-11-06,Richard Jefferson,CLE,PHI,,29:04,0.188,0.204,0.176,0.0,0.036,0.111,0.167,0.0,0.0,0.25,0.298,11,0.636,3,3,1.0,0,0.0,1,2,0,0,2,3,17,-8,21.25,4,32,19,0.1053,1,0.0,90.4,111.1,-20.7,0.125,0.017,0.773,100.4,0.727,0.273,0.471,0.529,0.0,0.471,0.857,0.143,0.567,0.154,0.154,0.214,0,4,0,8,11,4,6,32,4,1,
2015-11-08,Richard Jefferson,CLE,IND,G,30:16,0.108,0.113,0.176,0.0,0.034,0.067,0.143,1.0,0.0,0.267,0.088,6,0.333,1,3,0.333,0,0.0,1,1,2,0,1,4,5,-7,11.5,4,19,12,0.0833,4,0.25,95.3,105.4,-10.1,0.05,0.015,0.417,95.58,0.5,0.5,0.4,0.6,0.4,0.4,0.5,0.5,0.444,0.206,0.049,0.314,2,2,0,2,11,11,7,30,11,0,
2015-11-10,Richard Jefferson,CLE,UTA,,25:43,0.14,0.14,0.214,0.194,0.1,0.091,0.0,0.25,0.2,0.3,0.104,6,0.333,0,3,0.0,6,0.5,2,1,1,1,0,3,7,3,14.75,4,24,13,0.0769,5,0.4,122.6,122.7,-0.1,0.056,0.048,0.333,99.67,0.5,0.5,0.571,0.0,0.0,0.571,1.0,0.0,0.589,0.311,0.153,0.35,0,3,0,4,12,5,7,26,5,4,
2015-11-13,Richard Jefferson,CLE,NYK,,19:12,0.045,0.059,0.167,0.0,0.042,0.0,0.0,0.5,0.0,0.231,0.0,2,0.0,0,2,0.0,0,0.0,1,0,1,0,0,3,0,-7,3.25,1,26,23,0.0,2,0.0,73.9,90.4,-16.5,0.0,0.022,0.0,92.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.469,0.106,0.238,0,0,0,0,2,8,7,6,8,0,NBA TV
2015-11-14,Richard Jefferson,CLE,MIL,,39:04,0.147,0.159,0.214,0.2,0.088,0.0,0.071,0.167,0.0,0.222,0.197,10,0.5,3,6,0.5,3,0.333,3,0,1,0,1,4,14,-1,20.75,5,33,20,0.0,3,0.333,93.9,96.8,-2.9,0.0,0.043,0.65,92.13,0.4,0.6,0.286,0.643,0.0,0.143,0.6,0.4,0.446,0.292,0.148,0.278,0,6,0,2,18,8,5,34,8,4,
2015-11-17,Richard Jefferson,CLE,DET,,16:28,0.126,0.12,0.182,0.0,0.067,0.143,0.25,0.0,0.0,0.143,0.0,3,0.0,0,2,0.0,0,0.0,1,1,0,0,1,1,0,8,2.0,5,22,16,0.0625,3,0.0,85.3,62.3,23.1,0.1,0.03,0.0,90.6,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.308,0.164,0.211,0,0,0,0,0,0,3,10,0,0,
2015-11-19,Richard Jefferson,CLE,MIL,,16:18,0.168,0.172,0.125,0.0,0.0,0.083,0.25,0.5,0.5,0.333,0.051,5,0.2,0,1,0.0,0,0.0,0,1,1,1,1,3,2,5,6.75,1,18,11,0.0909,4,0.0,123.3,110.7,12.6,0.067,0.0,0.2,91.82,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.619,0.13,0.0,0,0,0,2,7,2,2,12,2,1,TNT
2015-11-21,Richard Jefferson,CLE,ATL,,23:49,0.132,0.14,0.182,0.0,0.05,0.231,0.167,0.0,0.2,0.286,0.138,6,0.667,0,2,0.0,0,0.0,1,3,0,1,1,2,8,3,14.5,2,24,16,0.1875,4,1.0,116.1,116.3,-0.2,0.158,0.026,0.667,97.99,0.667,0.333,1.0,0.0,0.0,0.75,0.75,0.25,0.561,0.293,0.127,0.227,0,0,4,6,14,6,7,18,6,1,
2015-11-23,Richard Jefferson,CLE,ORL,,19:05,0.146,0.152,0.0,0.111,0.067,0.222,0.143,0.0,0.0,0.1,0.2,5,0.6,0,0,0.0,1,1.0,1,2,0,0,1,1,7,-12,10.25,2,25,19,0.1053,5,0.6,89.8,131.6,-41.7,0.2,0.029,0.6,93.92,1.0,0.0,0.857,0.0,0.0,0.857,1.0,0.0,0.625,0.406,0.112,0.375,0,0,0,6,11,9,2,22,9,1,
2015-11-25,Richard Jefferson,CLE,TOR,,16:21,0.138,0.161,0.111,0.0,0.133,0.0,0.0,0.0,0.0,0.111,0.2,5,0.4,0,1,0.0,0,0.0,2,0,0,0,0,1,4,-21,6.5,5,16,11,0.0,3,0.667,58.5,119.2,-60.7,0.0,0.056,0.4,100.7,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.679,0.357,0.116,0.133,0,0,0,4,7,5,5,20,5,0,
2015-11-27,Richard Jefferson,CLE,CHA,,30:12,0.171,0.163,0.238,0.261,0.033,0.083,0.111,0.0,0.0,0.154,0.194,8,0.5,2,5,0.4,6,0.5,1,1,0,0,1,2,13,14,16.0,4,34,21,0.0476,3,0.667,107.9,86.0,21.8,0.059,0.019,0.625,98.32,0.375,0.625,0.308,0.462,0.385,0.308,0.75,0.25,0.44,0.3,0.13,0.111,5,4,0,4,10,6,2,22,6,4,
2015-11-28,Richard Jefferson,CLE,BKN,,17:32,0.051,0.069,0.111,0.0,0.048,0.167,0.0,1.0,0.4,0.0,0.0,2,0.0,0,1,0.0,0,0.0,1,1,1,2,0,0,0,-2,8.5,4,14,10,0.1,1,0.0,98.4,97.3,1.1,0.091,0.026,0.0,92.41,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.29,0.114,0.222,0,0,0,0,4,4,2,18,4,2,
2015-12-01,Richard Jefferson,CLE,WAS,,17:51,0.133,0.158,0.286,0.0,0.143,0.429,0.0,0.333,0.0,0.143,0.147,6,0.333,1,4,0.25,0,0.0,2,3,1,0,0,1,5,-7,13.75,3,20,13,0.2308,1,0.0,82.8,114.0,-31.3,0.273,0.065,0.417,103.62,0.333,0.667,0.4,0.6,0.0,0.4,1.0,0.0,0.607,0.321,0.167,0.167,0,2,0,2,6,4,2,14,4,1,NBA TV
2015-12-04,Richard Jefferson,CLE,NOP,,14:13,0.031,0.043,0.0,0.0,0.286,0.0,0.0,0.667,0.0,0.5,0.0,1,0.0,0,0,0.0,0,0.0,4,0,2,0,0,4,0,-9,9.0,6,17,14,0.0,1,0.0,97.8,115.8,-18.0,0.0,0.154,0.0,102.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.333,0.188,0.333,0,0,0,0,13,4,0,14,4,0,ESPN
2015-12-05,Richard Jefferson,CLE,MIA,F,38:23,0.259,0.265,0.333,0.409,0.103,0.2,0.091,0.2,0.0,0.087,0.229,18,0.333,0,7,0.0,9,0.444,3,2,1,0,1,2,16,-10,23.75,7,71,42,0.0476,15,0.333,86.8,103.7,-17.0,0.1,0.048,0.333,98.67,0.611,0.389,0.75,0.0,0.5,0.5,0.333,0.667,0.561,0.404,0.169,0.125,8,1,2,8,12,6,3,38,6,6,NBA TV
2015-12-08,Richard Jefferson,CLE,POR,,19:40,0.154,0.194,0.333,0.0,0.0,0.222,0.0,0.0,0.0,0.333,0.143,6,0.5,1,3,0.333,0,0.0,0,2,0,0,0,2,7,8,10.0,4,24,17,0.1176,3,0.333,133.0,107.0,26.0,0.133,0.0,0.583,91.72,0.5,0.5,0.571,0.429,0.0,0.286,1.0,0.0,0.591,0.091,0.209,0.267,0,0,0,2,7,0,0,14,0,0,
2015-12-11,Richard Jefferson,CLE,ORL,,12:42,0.146,0.05,0.167,0.0,0.214,0.0,0.5,0.667,0.0,0.111,0.158,1,1.0,1,1,1.0,0,0.0,3,0,2,0,3,1,3,-6,9.75,4,25,20,0.0,0,0.0,81.5,94.3,-12.8,0.0,0.115,1.5,94.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.432,0.364,0.151,0.231,0,0,0,0,6,4,0,10,4,0,
