DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Richaun Holmes,PHI,BOS,,12:17,0.271,0.273,0.083,0.286,0.333,0.125,0.25,0.5,1.0,0.0,0.303,6,0.667,0,1,0.0,2,1.0,4,1,2,1,1,0,10,13,21.75,0,0,0,,0,0.0,126.5,72.0,54.5,0.143,0.2,0.667,105.2,0.833,0.167,0.8,0.0,0.0,0.8,1.0,0.0,0.409,0.182,0.18,0.1,0,0,0,8,7,0,3,14,0,1,
2016-10-06,Richaun Holmes,PHI,WAS,,37:36,0.21,0.23,0.059,0.235,0.48,0.133,0.125,0.333,0.4,0.05,0.247,14,0.571,0,1,0.0,4,1.0,12,2,2,2,2,1,20,-6,44.5,0,0,0,,0,0.0,104.5,112.5,-7.9,0.091,0.203,0.571,98.84,0.929,0.071,0.8,0.0,0.15,0.6,0.625,0.375,0.507,0.268,0.129,0.4,3,0,7,12,19,20,9,42,20,2,NBA TV
2016-10-08,Richaun Holmes,PHI,CLE,,25:09,0.207,0.196,0.0,0.5,0.231,0.154,0.0,0.0,0.5,0.182,0.388,9,0.778,0,0,0.0,6,0.833,6,2,0,2,0,2,19,-5,33.0,0,0,0,,0,0.0,92.0,99.9,-8.0,0.2,0.122,0.778,102.41,1.0,0.0,0.737,0.0,0.0,0.632,0.857,0.143,0.5,0.364,0.074,0.042,0,0,4,12,9,3,6,20,3,4,NBA TV
2016-10-11,Richaun Holmes,PHI,MEM,,23:15,0.11,0.128,0.0,0.333,0.313,0.111,0.0,0.167,0.5,0.333,0.139,5,0.4,0,0,0.0,2,0.5,5,1,1,2,0,3,5,-25,18.5,0,0,0,,0,0.0,75.6,121.6,-46.0,0.083,0.135,0.4,100.94,1.0,0.0,0.8,0.0,0.2,0.8,0.5,0.5,0.654,0.359,0.159,0.231,1,0,2,4,17,2,11,18,2,3,
2016-10-13,Richaun Holmes,PHI,WAS,,20:04,0.16,0.167,0.0,0.462,0.476,0.0,0.0,1.0,0.0,0.385,0.308,5,0.4,0,0,0.0,6,0.667,10,0,1,0,0,5,8,-30,22.5,0,0,0,,0,0.0,58.1,121.3,-63.2,0.0,0.222,0.4,108.69,1.0,0.0,0.5,0.0,0.0,0.25,0.5,0.5,0.548,0.333,0.022,0.143,0,2,0,2,10,0,12,20,0,3,
2016-10-15,Richaun Holmes,PHI,DET,,21:23,0.217,0.194,0.0,0.25,0.294,0.0,0.286,0.2,0.5,0.375,0.229,6,0.333,0,0,0.0,4,1.0,5,0,1,2,2,3,8,-9,19.25,0,0,0,,0,0.0,85.3,108.6,-23.3,0.0,0.122,0.333,91.54,1.0,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.475,0.2,0.123,0.381,2,2,0,0,8,6,9,22,6,3,
2016-10-21,Richaun Holmes,PHI,MIA,,17:09,0.151,0.162,0.0,0.133,0.188,0.0,0.0,1.0,0.0,0.375,0.158,6,0.333,0,0,0.0,2,1.0,3,0,3,0,0,6,6,0,15.75,0,0,0,,0,0.0,93.6,99.7,-6.1,0.0,0.079,0.333,110.2,1.0,0.0,0.667,0.0,0.333,0.667,0.5,0.5,0.542,0.958,0.157,0.154,2,0,2,4,0,2,2,16,2,1,
2015-10-28,Richaun Holmes,PHI,BOS,,6:05,0.197,0.25,0.0,0.0,0.375,0.0,0.0,0.0,1.0,0.333,0.167,3,0.333,0,0,0.0,0,0.0,3,0,0,1,0,1,2,-4,7.75,7,13,9,0.0,3,0.333,117.6,134.7,-17.0,0.0,0.214,0.333,87.13,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.583,0.167,0.084,0.4,0,0,2,2,4,4,0,4,4,0,
2015-10-30,Richaun Holmes,PHI,UTA,,6:11,0.076,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0,0.0,0,0,0.0,2,0.5,0,0,0,1,0,0,1,1,3.0,2,6,5,0.0,0,0.0,86.8,69.9,16.9,0.0,0.0,0.0,94.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.167,0.078,0.167,0,0,0,0,0,2,0,6,2,1,
2015-11-02,Richaun Holmes,PHI,CLE,,11:13,0.076,0.056,0.25,0.182,0.111,0.0,0.0,0.0,0.5,0.167,0.105,1,1.0,1,1,1.0,2,0.5,1,0,0,1,0,1,4,16,7.75,3,16,14,0.0,0,0.0,159.4,95.8,63.6,0.0,0.077,1.5,100.17,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.533,0.6,0.174,0.0,0,3,0,0,2,2,5,6,2,1,
