DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Robert Covington,PHI,BOS,F,23:04,0.165,0.175,0.368,0.222,0.304,0.1,0.1,0.286,0.0,0.0,0.175,7,0.286,2,7,0.286,2,0.5,7,1,2,0,1,0,7,-5,21.5,0,0,0,,0,0.0,78.5,90.4,-11.9,0.083,0.146,0.429,104.8,0.0,1.0,0.0,0.857,0.0,0.0,1.0,0.0,0.477,0.093,0.181,0.167,0,0,0,0,7,6,6,8,6,2,
2016-10-06,Robert Covington,PHI,WAS,F,24:43,0.201,0.194,0.5,0.0,0.167,0.167,0.25,0.333,0.0,0.222,0.176,7,0.429,3,6,0.5,0,0.0,3,2,1,0,3,2,9,6,17.25,0,0,0,,0,0.0,102.5,91.1,11.4,0.111,0.081,0.643,96.28,0.143,0.857,0.0,1.0,0.0,0.0,0.667,0.333,0.432,0.227,0.121,0.217,0,0,0,0,12,11,2,26,11,0,NBA TV
2016-10-08,Robert Covington,PHI,CLE,F,19:04,0.112,0.118,0.2,0.2,0.286,0.125,0.0,1.0,0.0,0.2,0.152,4,0.25,1,2,0.5,2,1.0,4,1,1,0,0,2,5,-20,13.75,0,0,0,,0,0.0,77.8,123.7,-45.9,0.1,0.118,0.375,107.3,0.5,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.629,0.314,0.093,0.071,0,3,2,0,8,2,9,24,2,1,NBA TV
2016-10-11,Robert Covington,PHI,MEM,F,20:39,0.244,0.289,0.462,0.111,0.235,0.364,0.0,0.75,0.333,0.0,0.205,11,0.273,2,6,0.333,1,1.0,4,4,3,1,0,0,9,-6,28.0,0,0,0,,0,0.0,104.9,117.0,-12.2,0.308,0.108,0.364,98.42,0.455,0.545,0.222,0.667,0.222,0.222,0.667,0.333,0.586,0.371,0.117,0.2,2,0,2,2,3,2,12,20,2,1,
2016-10-13,Robert Covington,PHI,WAS,F,23:16,0.276,0.294,0.533,0.333,0.182,0.2,0.214,0.0,0.0,0.2,0.258,10,0.2,1,8,0.125,3,1.0,4,1,0,0,3,3,8,-27,13.25,0,0,0,,0,0.0,62.0,114.9,-52.8,0.125,0.087,0.25,103.61,0.2,0.8,0.25,0.375,0.0,0.25,0.5,0.5,0.558,0.395,0.04,0.091,0,3,2,2,10,0,11,22,0,2,
2016-10-15,Robert Covington,PHI,DET,F,23:43,0.11,0.171,0.364,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.121,6,0.333,0,4,0.0,0,0.0,4,0,2,0,0,0,4,-17,13.0,0,0,0,,0,0.0,66.8,109.8,-43.0,0.0,0.103,0.333,96.05,0.333,0.667,1.0,0.0,1.0,1.0,1.0,0.0,0.564,0.205,0.176,0.25,4,2,2,4,16,4,15,18,4,1,
2016-10-21,Robert Covington,PHI,MIA,F,14:32,0.189,0.241,0.429,0.1,0.133,0.0,0.0,0.333,0.5,0.0,0.139,7,0.286,0,3,0.0,1,1.0,2,0,1,1,0,0,5,9,11.5,0,0,0,,0,0.0,104.7,82.5,22.1,0.0,0.071,0.286,110.84,0.571,0.429,0.8,0.0,0.4,0.8,0.5,0.5,0.405,0.619,0.275,0.231,2,2,3,4,6,2,2,10,2,2,
2015-11-02,Robert Covington,PHI,CLE,F,22:27,0.207,0.209,0.385,0.167,0.133,0.0,0.222,0.5,0.5,0.3,0.121,9,0.111,0,5,0.0,2,1.0,2,0,2,1,2,3,4,-25,11.5,5,49,35,0.0,6,0.167,63.1,121.5,-58.4,0.0,0.048,0.111,106.9,0.444,0.556,0.5,0.0,0.0,0.5,1.0,0.0,0.635,0.351,0.189,0.286,0,2,0,2,12,3,17,30,3,1,
2015-11-16,Robert Covington,PHI,DAL,,20:14,0.253,0.211,0.286,0.4,0.227,0.2,0.333,0.167,0.0,0.267,0.152,8,0.25,0,4,0.0,4,0.75,5,2,1,0,4,4,7,9,15.75,5,38,22,0.0909,5,0.4,95.0,78.9,16.2,0.125,0.139,0.25,113.06,0.5,0.5,0.571,0.0,0.0,0.286,0.5,0.5,0.414,0.621,0.256,0.111,0,3,4,2,9,0,3,6,0,4,
2015-11-18,Robert Covington,PHI,IND,,22:55,0.306,0.333,0.385,0.0,0.227,0.143,0.308,0.333,0.333,0.222,0.216,13,0.308,0,5,0.0,0,0.0,5,1,2,1,4,2,8,-19,19.5,8,48,28,0.0357,8,0.375,70.4,107.8,-37.3,0.083,0.102,0.308,109.42,0.615,0.385,1.0,0.0,0.5,1.0,1.0,0.0,0.581,0.209,0.212,0.24,4,2,0,8,23,7,22,16,7,3,
2015-11-20,Robert Covington,PHI,CHA,F,23:13,0.262,0.179,0.25,0.636,0.136,0.273,0.4,0.333,0.25,0.417,0.205,7,0.143,0,4,0.0,7,1.0,3,3,1,1,4,5,9,-10,18.5,5,43,29,0.1034,4,0.25,92.0,111.1,-19.1,0.214,0.075,0.143,99.69,0.429,0.571,0.222,0.0,0.0,0.222,1.0,0.0,0.556,0.417,0.144,0.059,0,2,2,2,13,0,3,18,0,6,
2015-11-21,Robert Covington,PHI,MIA,,32:00,0.213,0.216,0.25,0.35,0.214,0.0,0.091,0.4,0.2,0.238,0.323,11,0.545,3,6,0.5,7,0.857,6,0,2,1,1,5,21,9,35.5,12,55,39,0.0,6,0.5,97.3,87.8,9.5,0.0,0.111,0.682,97.92,0.455,0.545,0.286,0.429,0.524,0.286,0.667,0.333,0.427,0.707,0.22,0.143,11,3,0,6,11,2,6,18,2,4,
2015-11-23,Robert Covington,PHI,MIN,,35:28,0.236,0.233,0.333,0.182,0.182,0.083,0.286,0.429,0.0,0.158,0.237,14,0.429,3,9,0.333,4,0.75,6,1,3,0,4,3,18,5,32.25,10,72,50,0.02,6,0.5,103.1,95.5,7.7,0.053,0.098,0.536,100.18,0.357,0.643,0.333,0.5,0.167,0.333,0.667,0.333,0.466,0.328,0.188,0.207,3,0,2,6,8,12,2,38,12,2,
2015-11-25,Robert Covington,PHI,BOS,F,35:27,0.256,0.254,0.364,0.3,0.359,0.0,0.25,0.75,0.25,0.455,0.193,16,0.25,2,8,0.25,3,0.333,14,0,6,2,4,5,11,-4,43.5,27,73,51,0.0,6,0.167,72.7,79.8,-7.1,0.0,0.171,0.313,104.79,0.5,0.5,0.364,0.545,0.636,0.364,0.5,0.5,0.393,0.143,0.144,0.209,7,3,2,4,13,14,5,20,14,1,
2015-11-27,Robert Covington,PHI,HOU,F,37:48,0.238,0.19,0.333,0.45,0.318,0.263,0.333,0.533,0.25,0.2,0.301,12,0.583,6,9,0.667,9,0.889,7,5,8,1,4,4,28,1,62.0,15,83,62,0.0806,4,0.5,116.5,114.9,1.7,0.2,0.113,0.833,101.51,0.25,0.75,0.071,0.643,0.393,0.071,0.714,0.286,0.607,0.571,0.237,0.333,11,5,0,2,17,13,13,28,13,6,
2015-11-29,Robert Covington,PHI,MEM,F,37:25,0.198,0.153,0.148,0.0,0.233,0.25,0.381,0.467,0.333,0.208,0.2,9,0.556,2,4,0.5,0,0.0,7,4,7,1,8,5,12,-7,38.75,13,74,57,0.0702,6,0.333,76.2,87.2,-11.0,0.235,0.103,0.667,99.75,0.556,0.444,0.5,0.5,0.333,0.5,0.6,0.4,0.457,0.345,0.286,0.343,4,7,0,6,19,15,10,34,15,3,NBA TV
