DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Robin Lopez,CHI,MIL,C,19:56,0.176,0.235,0.0,0.0,0.136,0.083,0.0,0.333,0.6,0.333,0.195,8,0.5,0,0,0.0,0,0.0,3,1,1,3,0,3,8,4,21.0,0,0,0,,0,0.0,106.4,92.6,13.8,0.077,0.081,0.5,94.49,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,0.443,0.257,0.175,0.286,0,2,0,0,8,6,5,18,6,0,NBA TV
2016-10-06,Robin Lopez,CHI,IND,C,19:04,0.25,0.333,0.0,0.091,0.231,0.0,0.091,0.2,0.333,0.0,0.306,10,0.5,0,0,0.0,1,1.0,3,0,1,1,1,0,11,-15,18.25,0,0,0,,0,0.0,80.3,115.7,-35.4,0.0,0.094,0.5,111.93,1.0,0.0,0.909,0.0,0.182,0.727,0.8,0.2,0.59,0.179,0.159,0.294,2,0,2,8,13,2,7,20,2,1,
2016-10-08,Robin Lopez,CHI,IND,C,15:03,0.167,0.167,0.0,0.0,0.273,0.0,0.25,0.0,0.0,0.182,0.148,4,0.5,0,0,0.0,0,0.0,3,0,0,0,2,2,4,-13,6.75,0,0,0,,0,0.0,81.9,123.0,-41.1,0.0,0.115,0.5,104.42,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.654,0.308,0.154,0.2,0,0,2,4,10,4,15,18,4,0,
2016-10-14,Robin Lopez,CHI,CLE,C,21:13,0.187,0.2,0.0,0.25,0.346,0.182,0.1,0.0,0.0,0.0,0.2,8,0.5,0,0,0.0,3,1.0,9,2,0,0,1,0,11,4,24.25,0,0,0,,0,0.0,121.5,108.6,12.9,0.118,0.25,0.5,104.34,1.0,0.0,0.727,0.0,0.182,0.727,0.25,0.75,0.525,0.225,0.106,0.111,2,0,7,8,13,3,3,14,3,3,NBA TV
2016-10-15,Robin Lopez,CHI,MIL,,21:56,0.214,0.139,0.0,0.286,0.379,0.1,0.571,0.0,0.667,0.333,0.167,5,0.6,0,0,0.0,2,1.0,11,1,0,4,4,2,8,20,29.0,0,0,0,,0,0.0,119.8,66.2,53.6,0.071,0.244,0.6,90.16,1.0,0.0,0.75,0.0,0.25,0.5,0.333,0.667,0.333,0.077,0.118,0.115,2,0,2,4,2,2,4,14,2,4,
2016-10-17,Robin Lopez,CHI,CHA,C,22:43,0.152,0.14,0.0,0.1,0.227,0.091,0.25,0.0,0.25,0.273,0.234,6,0.833,0,0,0.0,1,1.0,5,1,0,2,2,3,11,-3,21.5,0,0,0,,0,0.0,97.1,109.6,-12.5,0.077,0.111,0.833,99.31,1.0,0.0,0.909,0.0,0.0,0.545,0.8,0.2,0.45,0.375,0.154,0.348,0,0,5,6,12,8,9,10,8,3,NBA TV
2016-10-20,Robin Lopez,CHI,ATL,C,26:36,0.117,0.13,0.0,0.091,0.143,0.0,0.0,0.0,0.667,0.182,0.156,7,0.429,0,0,0.0,1,1.0,4,0,0,6,0,2,7,-8,24.0,0,0,0,,0,0.0,79.2,94.0,-14.8,0.0,0.069,0.429,102.17,1.0,0.0,0.857,0.0,0.0,0.286,1.0,0.0,0.479,0.208,0.142,0.16,0,0,0,2,7,11,10,14,11,1,
2015-10-28,Robin Lopez,NYK,MIL,C,19:52,0.166,0.135,0.0,0.2,0.118,0.0,0.333,0.0,0.5,0.231,0.178,5,0.6,0,0,0.0,2,1.0,2,0,0,2,2,3,8,0,13.5,14,28,19,0.0,4,0.5,108.7,103.7,5.0,0.0,0.05,0.6,102.44,1.0,0.0,0.75,0.0,0.0,0.75,0.667,0.333,0.451,0.244,0.207,0.5,0,0,2,6,10,14,2,20,14,1,
2015-10-29,Robin Lopez,NYK,ATL,C,21:17,0.279,0.239,0.0,0.25,0.182,0.167,0.455,0.0,0.5,0.0,0.419,11,0.727,0,0,0.0,2,1.0,4,1,0,1,5,0,18,-13,23.75,9,52,34,0.0294,8,0.75,80.3,110.4,-30.1,0.111,0.098,0.727,117.55,1.0,0.0,0.889,0.0,0.111,0.778,0.5,0.5,0.575,0.325,0.158,0.167,2,0,2,14,15,3,20,22,3,1,TNT
2015-10-31,Robin Lopez,NYK,WAS,C,30:55,0.181,0.167,0.0,0.133,0.25,0.2,0.3,0.0,0.667,0.267,0.111,10,0.3,0,0,0.0,2,1.0,8,3,0,2,3,4,8,13,24.25,18,51,37,0.0811,8,0.125,105.0,83.5,21.5,0.13,0.131,0.3,108.12,1.0,0.0,0.75,0.0,0.25,0.75,0.333,0.667,0.38,0.407,0.184,0.2,2,0,4,6,9,2,21,24,2,3,
