DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Rodney Hood,UTA,POR,G,22:04,0.233,0.273,0.375,0.071,0.095,0.2,0.2,0.2,0.0,0.111,0.178,9,0.333,1,3,0.333,1,1.0,2,2,1,0,2,1,8,-5,14.5,0,0,0,,0,0.0,99.6,109.6,-9.9,0.154,0.056,0.389,98.76,0.667,0.333,0.5,0.375,0.625,0.25,1.0,0.0,0.622,0.162,0.131,0.0,5,2,0,2,19,0,7,16,0,2,NBA TV
2016-10-10,Rodney Hood,UTA,LAC,G,27:48,0.22,0.243,0.143,0.25,0.111,0.125,0.143,0.0,0.0,0.091,0.321,9,0.778,0,1,0.0,4,0.75,3,1,0,0,2,2,17,0,21.0,0,0,0,,0,0.0,99.9,92.6,7.3,0.077,0.07,0.778,95.21,0.889,0.111,0.824,0.0,0.118,0.588,0.429,0.571,0.488,0.512,0.192,0.154,2,6,0,10,10,4,3,18,4,4,NBA TV
2016-10-19,Rodney Hood,UTA,POR,G,20:48,0.226,0.25,0.333,0.167,0.133,0.182,0.0,0.0,0.0,0.25,0.125,8,0.25,0,2,0.0,2,0.5,2,2,0,0,0,1,5,-2,10.0,0,0,0,,0,0.0,104.5,108.0,-3.5,0.154,0.056,0.25,89.03,0.75,0.25,0.8,0.0,0.2,0.0,0.5,0.5,0.569,0.056,0.18,0.263,1,0,0,0,0,7,0,14,7,4,
2015-10-28,Rodney Hood,UTA,DET,G,29:25,0.268,0.306,0.778,0.0,0.182,0.462,0.125,0.0,0.0,0.278,0.207,15,0.4,0,7,0.0,0,0.0,4,6,0,0,1,5,12,7,24.0,8,47,29,0.2069,7,0.571,100.6,90.9,9.7,0.286,0.085,0.4,92.81,0.533,0.467,1.0,0.0,0.0,0.667,0.167,0.833,0.395,0.535,0.16,0.231,0,0,0,8,6,2,4,20,2,1,
2015-10-30,Rodney Hood,UTA,PHI,G,22:38,0.31,0.341,0.667,0.143,0.0,0.125,0.25,0.0,0.0,0.333,0.362,14,0.429,3,6,0.5,2,1.0,0,1,0,0,1,3,17,15,19.25,2,36,20,0.05,7,0.286,108.9,79.4,29.5,0.111,0.0,0.536,88.48,0.571,0.429,0.353,0.529,0.412,0.118,0.5,0.5,0.4,0.4,0.248,0.227,7,4,6,2,3,6,7,10,6,1,
2015-10-31,Rodney Hood,UTA,IND,G,28:29,0.232,0.232,0.429,0.0,0.179,0.1,0.3,0.364,0.0,0.286,0.274,13,0.615,1,3,0.333,0,0.0,5,1,4,0,3,4,17,12,31.5,8,48,31,0.0323,8,0.5,108.6,86.6,22.0,0.053,0.109,0.654,96.73,0.769,0.231,0.824,0.176,0.235,0.471,0.125,0.875,0.488,0.317,0.26,0.2,4,2,6,8,10,11,9,12,11,0,
2015-11-04,Rodney Hood,UTA,POR,G,23:09,0.215,0.25,0.333,0.133,0.133,0.8,0.0,0.167,0.0,0.333,0.256,10,0.4,0,3,0.0,2,1.0,2,4,1,0,0,4,10,-16,19.5,6,34,23,0.1739,7,0.571,89.4,116.1,-26.7,0.4,0.047,0.4,94.29,0.7,0.3,0.8,0.0,0.4,0.8,0.0,1.0,0.577,0.487,0.19,0.529,4,2,0,8,3,10,7,22,10,1,
2015-11-05,Rodney Hood,UTA,DEN,G,22:47,0.163,0.167,0.385,0.0,0.05,0.333,0.25,0.0,0.5,0.235,0.17,7,0.429,2,5,0.4,0,0.0,1,4,0,1,1,4,8,-2,16.75,3,34,26,0.1538,3,0.333,109.1,109.7,-0.6,0.267,0.024,0.571,92.45,0.286,0.714,0.25,0.75,0.0,0.25,0.667,0.333,0.5,0.647,0.134,0.263,0,0,2,2,4,5,8,16,5,1,
2015-11-07,Rodney Hood,UTA,MEM,G,30:54,0.129,0.109,0.214,0.111,0.063,0.222,0.2,0.2,0.5,0.231,0.123,5,0.4,1,3,0.333,2,1.0,2,2,1,3,3,3,7,4,19.0,9,42,32,0.0625,4,0.5,92.1,80.5,11.6,0.118,0.033,0.5,99.23,0.4,0.6,0.286,0.429,0.0,0.286,0.5,0.5,0.364,0.186,0.167,0.265,0,0,0,2,6,4,7,26,4,2,NBA TV
2015-11-10,Rodney Hood,UTA,CLE,G,29:43,0.218,0.192,0.538,0.429,0.158,0.111,0.222,0.25,0.0,0.316,0.242,10,0.4,2,7,0.286,6,1.0,3,2,2,0,2,6,16,-10,26.25,4,51,32,0.0625,5,0.4,107.9,123.2,-15.3,0.1,0.071,0.5,99.21,0.3,0.7,0.25,0.375,0.313,0.25,1.0,0.0,0.659,0.5,0.211,0.278,5,5,0,4,10,7,11,26,7,5,
