DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Rodney McGruder,MIA,WAS,,5:43,0.111,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-3,-0.5,0,0,0,,0,0.0,66.7,91.1,-24.4,0.0,0.0,0.0,79.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.2,0.101,0.333,0,0,0,0,0,5,0,0,5,0,
2016-10-08,Rodney McGruder,MIA,MIN,,13:42,0.181,0.2,0.111,0.0,0.25,0.1,0.2,0.0,0.0,0.111,0.158,5,0.6,0,1,0.0,0,0.0,3,1,0,0,1,1,6,12,10.5,0,0,0,,0,0.0,126.3,78.4,47.9,0.083,0.115,0.6,110.79,0.8,0.2,1.0,0.0,0.0,1.0,0.333,0.667,0.308,0.538,0.211,0.4,0,0,0,6,4,13,1,10,13,0,
2016-10-11,Rodney McGruder,MIA,BKN,,13:51,0.215,0.25,0.2,0.0,0.091,0.6,0.0,0.0,0.0,0.083,0.2,7,0.429,0,2,0.0,0,0.0,1,3,0,0,0,1,6,-12,11.0,0,0,0,,0,0.0,101.6,132.9,-31.3,0.333,0.04,0.429,105.91,0.714,0.286,1.0,0.0,0.333,0.667,0.333,0.667,0.714,0.714,0.127,0.0,2,0,0,4,2,3,0,12,3,0,NBA TV
2016-10-14,Rodney McGruder,MIA,SAS,,6:59,0.25,0.25,0.0,0.0,0.25,1.0,0.25,0.0,0.0,0.667,0.25,3,0.333,0,0,0.0,0,0.0,1,2,0,0,1,2,2,-12,5.25,0,0,0,,0,0.0,57.1,134.4,-77.3,0.667,0.091,0.333,99.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.692,0.154,0.134,0.333,0,2,2,2,5,2,2,6,2,0,
2016-10-15,Rodney McGruder,MIA,MIN,,39:16,0.18,0.221,0.333,0.0,0.103,0.176,0.091,0.083,0.0,0.25,0.195,15,0.333,5,9,0.556,0,0.0,3,3,1,0,1,4,15,-9,26.5,0,0,0,,0,0.0,95.4,105.3,-9.9,0.143,0.042,0.5,99.24,0.4,0.6,0.0,1.0,0.2,0.0,1.0,0.0,0.524,0.349,0.245,0.344,3,3,0,0,15,20,6,36,20,1,
2016-10-18,Rodney McGruder,MIA,ORL,,23:16,0.172,0.186,0.286,0.333,0.037,0.182,0.0,0.0,0.25,0.182,0.131,8,0.375,0,4,0.0,2,1.0,1,2,0,1,0,2,8,29,13.75,0,0,0,,0,0.0,128.0,63.2,64.8,0.095,0.021,0.375,101.34,0.5,0.5,0.75,0.0,0.0,0.5,0.333,0.667,0.263,0.375,0.178,0.179,0,2,0,4,3,4,6,16,4,2,
2016-10-20,Rodney McGruder,MIA,CHA,,35:49,0.224,0.224,0.281,0.111,0.171,0.176,0.286,0.3,0.0,0.333,0.264,15,0.467,4,9,0.444,2,0.5,7,3,3,0,4,5,19,11,37.5,0,0,0,,0,0.0,93.6,82.0,11.6,0.167,0.096,0.6,101.37,0.4,0.6,0.316,0.632,0.316,0.316,0.571,0.429,0.404,0.333,0.188,0.147,6,2,5,6,13,4,10,28,4,1,
2016-10-21,Rodney McGruder,MIA,PHI,,14:14,0.101,0.15,0.2,0.083,0.056,0.0,0.0,0.0,0.0,0.0,0.1,3,0.333,0,1,0.0,2,0.5,1,0,0,0,0,0,3,1,4.25,0,0,0,,0,0.0,86.8,81.4,5.4,0.0,0.033,0.333,118.37,0.667,0.333,0.667,0.0,0.667,0.667,0.0,1.0,0.387,0.194,0.168,0.222,2,0,1,2,10,8,8,12,8,1,
2016-10-26,Rodney McGruder,MIA,ORL,,23:37,0.109,0.061,0.125,0.714,0.115,0.0,0.2,0.667,0.0,0.333,0.1,3,0.333,0,1,0.0,5,0.8,3,0,2,0,1,4,6,15,13.25,4,15,8,0.0,3,0.333,119.8,95.4,24.4,0.0,0.068,0.333,98.84,0.667,0.333,0.333,0.0,0.167,0.333,1.0,0.0,0.425,0.35,0.127,0.208,1,0,5,2,8,4,6,16,4,4,
2016-10-28,Rodney McGruder,MIA,CHA,,20:15,0.177,0.225,0.313,0.0,0.091,0.1,0.0,0.0,0.5,0.2,0.214,9,0.333,3,5,0.6,0,0.0,2,1,0,1,0,2,9,-2,16.25,4,26,17,0.0588,4,0.0,93.7,105.5,-11.8,0.083,0.043,0.5,102.6,0.444,0.556,0.0,1.0,0.333,0.0,1.0,0.0,0.402,0.317,0.072,0.333,3,0,0,0,6,2,0,26,2,0,
