DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Rodney Stuckey,IND,NOP,,20:50,0.243,0.217,0.0,0.222,0.12,0.273,0.667,0.0,0.0,0.2,0.208,10,0.5,0,0,0.0,2,0.5,3,3,0,0,2,2,11,10,17.5,0,0,0,,0,0.0,117.9,98.4,19.5,0.176,0.067,0.5,102.15,1.0,0.0,0.909,0.0,0.0,0.545,0.2,0.8,0.5,0.382,0.137,0.105,0,2,0,6,1,0,5,16,0,2,
2016-10-06,Rodney Stuckey,IND,CHI,,26:37,0.237,0.182,0.333,0.526,0.108,0.438,0.3,0.0,0.667,0.133,0.27,10,0.5,1,3,0.333,10,0.9,4,7,0,2,3,2,20,7,36.75,0,0,0,,0,0.0,116.8,102.4,14.4,0.304,0.068,0.55,116.17,0.7,0.3,0.4,0.15,0.0,0.1,0.4,0.6,0.461,0.51,0.076,0.069,0,6,0,2,9,4,5,22,4,6,
2016-10-08,Rodney Stuckey,IND,CHI,,8:52,0.217,0.25,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.25,0.125,4,0.25,0,0,0.0,0,0.0,2,3,0,0,0,1,2,-8,8.25,0,0,0,,0,0.0,91.7,140.5,-48.8,0.429,0.143,0.25,93.44,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.692,0.538,0.117,0.167,2,0,0,2,2,3,5,12,3,1,
2016-10-12,Rodney Stuckey,IND,MIL,,24:59,0.34,0.302,0.4,0.45,0.032,0.385,0.5,0.0,0.0,0.167,0.362,13,0.462,4,4,1.0,9,0.556,1,5,0,0,2,1,21,24,29.5,0,0,0,,0,0.0,118.9,65.3,53.6,0.385,0.02,0.615,96.91,0.692,0.308,0.19,0.571,0.143,0.19,0.833,0.167,0.337,0.163,0.192,0.143,3,4,3,4,6,0,0,12,0,8,
2016-10-14,Rodney Stuckey,IND,ORL,,14:48,0.3,0.267,0.333,0.143,0.154,0.5,0.6,0.333,0.0,0.143,0.32,8,0.375,1,1,1.0,1,1.0,2,2,1,0,3,1,8,-20,14.0,0,0,0,,0,0.0,73.4,137.9,-64.5,0.286,0.065,0.438,108.19,0.875,0.125,0.5,0.375,0.0,0.25,0.333,0.667,0.788,0.231,0.184,0.182,0,3,0,2,3,2,15,16,2,1,
2016-10-19,Rodney Stuckey,IND,MIL,,18:01,0.175,0.194,0.222,0.167,0.063,0.429,0.0,0.0,0.0,0.25,0.156,6,0.167,1,2,0.5,2,1.0,1,3,0,0,0,2,5,-8,10.5,0,0,0,,0,0.0,96.2,110.6,-14.5,0.333,0.028,0.25,92.51,0.667,0.333,0.0,0.6,0.0,0.0,1.0,0.0,0.452,0.452,0.138,0.375,0,0,0,0,6,9,8,18,9,1,
2015-10-28,Rodney Stuckey,IND,TOR,,24:12,0.32,0.295,0.143,0.429,0.148,0.222,0.4,0.143,0.0,0.154,0.381,13,0.385,0,1,0.0,6,1.0,4,2,1,0,2,2,16,0,24.5,6,44,26,0.0769,7,0.571,83.7,76.9,6.8,0.222,0.075,0.385,103.89,0.923,0.077,0.625,0.0,0.5,0.5,0.6,0.4,0.381,0.357,0.201,0.185,8,10,2,8,5,9,7,16,9,3,
2015-10-29,Rodney Stuckey,IND,MEM,,25:31,0.169,0.158,0.077,0.2,0.25,0.294,0.188,0.25,0.333,0.0,0.145,6,0.667,0,1,0.0,2,0.5,4,5,1,1,3,0,9,4,22.75,6,35,27,0.1852,6,0.667,109.9,109.6,0.3,0.238,0.129,0.667,102.8,0.833,0.167,0.889,0.0,0.0,0.667,0.25,0.75,0.55,0.45,0.17,0.222,0,5,0,6,12,4,8,24,4,3,
2015-10-31,Rodney Stuckey,IND,UTA,,22:41,0.146,0.194,0.143,0.0,0.111,0.167,0.077,0.333,0.0,0.167,0.1,6,0.333,0,1,0.0,0,0.0,2,1,1,0,1,1,4,-5,9.25,4,23,15,0.0667,4,0.25,89.0,91.5,-2.5,0.077,0.054,0.333,99.63,0.833,0.167,1.0,0.0,0.0,0.5,0.0,1.0,0.444,0.111,0.163,0.286,0,0,0,2,14,8,4,26,8,0,
2015-11-03,Rodney Stuckey,IND,DET,,26:16,0.319,0.311,0.143,0.6,0.148,0.182,0.222,0.125,0.0,0.182,0.442,14,0.643,0,1,0.0,6,0.833,4,2,1,0,2,2,23,16,31.5,7,54,30,0.0667,9,0.667,99.2,64.5,34.8,0.182,0.074,0.643,98.9,0.929,0.071,0.783,0.0,0.261,0.348,0.333,0.667,0.3,0.22,0.197,0.323,6,4,2,8,9,11,2,26,11,10,
2015-11-04,Rodney Stuckey,IND,BOS,,27:02,0.179,0.222,0.111,0.0,0.208,0.0,0.111,0.0,0.0,0.3,0.132,10,0.3,1,1,1.0,0,0.0,5,0,0,0,1,3,7,-5,13.25,6,52,35,0.0,8,0.25,97.3,102.6,-5.3,0.0,0.096,0.35,98.54,0.9,0.1,0.571,0.429,0.714,0.286,1.0,0.0,0.5,0.154,0.195,0.37,5,2,0,2,13,5,6,16,5,1,
2015-11-06,Rodney Stuckey,IND,MIA,,10:24,0.259,0.333,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.4,6,0.5,0,0,0.0,0,0.0,1,1,0,0,0,0,6,-12,8.5,1,17,11,0.0909,5,0.6,64.7,140.6,-76.0,0.333,0.063,0.5,97.85,1.0,0.0,1.0,0.0,0.0,0.333,0.0,1.0,0.611,0.278,0.104,0.375,0,0,0,2,3,5,4,12,5,0,ESPN
2015-11-09,Rodney Stuckey,IND,ORL,,17:49,0.201,0.242,0.2,0.0,0.118,0.364,0.0,0.5,0.5,0.143,0.176,8,0.375,0,2,0.0,0,0.0,2,4,2,1,0,1,6,-2,19.5,7,31,21,0.1905,3,0.667,92.2,92.1,0.1,0.364,0.057,0.375,102.32,0.75,0.25,1.0,0.0,0.333,1.0,0.333,0.667,0.484,0.226,0.179,0.125,2,2,0,6,11,4,9,16,4,0,
2015-11-21,Rodney Stuckey,IND,MIL,,21:58,0.232,0.231,0.143,0.308,0.105,0.385,0.167,0.125,0.333,0.25,0.135,9,0.333,0,2,0.0,4,0.25,2,5,1,1,1,1,7,19,19.25,6,50,37,0.1351,5,0.2,111.3,74.9,36.4,0.294,0.051,0.333,99.2,0.778,0.222,0.857,0.0,0.286,0.286,0.667,0.333,0.414,0.2,0.272,0.286,2,2,0,2,10,6,2,14,6,3,
2015-11-24,Rodney Stuckey,IND,WAS,,23:27,0.164,0.154,0.167,0.0,0.105,0.375,0.3,0.0,0.0,0.111,0.096,6,0.333,1,2,0.5,0,0.0,2,3,0,0,3,1,5,-2,10.25,2,36,27,0.1111,4,0.25,102.5,109.8,-7.3,0.188,0.053,0.417,102.22,0.667,0.333,0.4,0.6,0.6,0.0,1.0,0.0,0.592,0.368,0.183,0.211,3,0,0,0,14,8,7,20,8,0,
2015-11-27,Rodney Stuckey,IND,CHI,,28:15,0.166,0.128,0.059,0.222,0.097,0.0,0.3,0.5,0.0,0.333,0.145,6,0.333,1,1,1.0,4,0.75,3,0,2,0,3,4,8,5,14.75,4,41,28,0.0,5,0.2,90.3,84.7,5.6,0.0,0.054,0.417,101.91,0.833,0.167,0.25,0.375,0.25,0.25,0.5,0.5,0.375,0.333,0.119,0.1,2,4,0,2,10,2,0,10,2,5,
2015-11-29,Rodney Stuckey,IND,LAL,,27:09,0.249,0.256,0.167,0.313,0.219,0.25,0.182,0.0,0.0,0.1,0.229,11,0.273,0,1,0.0,5,1.0,7,2,0,0,2,1,11,-9,21.25,11,44,26,0.0769,9,0.222,85.7,97.8,-12.2,0.143,0.117,0.273,101.03,0.909,0.091,0.545,0.0,0.0,0.364,0.667,0.333,0.422,0.207,0.051,0.229,0,3,0,4,12,9,6,24,9,6,
2015-12-02,Rodney Stuckey,IND,LAC,,32:15,0.212,0.228,0.118,0.273,0.179,0.167,0.0,0.25,0.0,0.143,0.25,13,0.462,0,2,0.0,6,1.0,5,2,1,0,0,2,18,-3,28.75,8,57,40,0.05,7,0.571,108.0,110.6,-2.6,0.111,0.091,0.462,100.06,0.846,0.154,0.667,0.0,0.222,0.556,0.167,0.833,0.537,0.37,0.162,0.222,4,8,2,10,9,6,13,26,6,3,NBA TV
2015-12-03,Rodney Stuckey,IND,POR,,31:10,0.21,0.196,0.15,0.444,0.172,0.5,0.1,1.0,0.0,0.0,0.243,11,0.364,1,3,0.333,8,1.0,5,6,3,0,1,0,17,-17,36.75,7,59,42,0.1429,9,0.333,111.3,135.6,-24.3,0.316,0.083,0.409,97.86,0.727,0.273,0.353,0.176,0.353,0.235,0.0,1.0,0.644,0.237,0.14,0.357,6,10,0,4,9,14,5,26,14,6,
2015-12-05,Rodney Stuckey,IND,UTA,,32:22,0.254,0.25,0.2,0.333,0.097,0.3,0.2,0.0,0.0,0.15,0.311,14,0.571,1,3,0.333,7,0.857,3,3,0,0,2,3,23,2,30.0,7,52,32,0.0938,6,0.667,108.4,108.9,-0.5,0.167,0.046,0.607,99.61,0.786,0.214,0.609,0.13,0.304,0.435,0.375,0.625,0.467,0.377,0.136,0.368,7,6,2,10,12,16,12,30,16,4,
2015-12-08,Rodney Stuckey,IND,GSW,,20:12,0.167,0.132,0.118,0.273,0.059,0.333,0.286,0.5,0.0,0.0,0.098,5,0.2,0,2,0.0,3,1.0,1,3,1,0,2,0,5,-1,11.0,1,29,20,0.15,5,0.2,113.7,123.6,-9.8,0.2,0.028,0.2,103.27,0.6,0.4,0.4,0.0,0.0,0.4,0.0,1.0,0.588,0.175,0.071,0.25,0,0,0,2,8,4,10,28,4,2,NBA TV
2015-12-11,Rodney Stuckey,IND,MIA,,28:36,0.195,0.18,0.056,0.222,0.077,0.143,0.286,0.0,0.0,0.143,0.113,9,0.222,0,1,0.0,2,1.0,2,2,0,0,2,1,6,4,10.0,4,47,34,0.0588,5,0.0,93.0,86.9,6.2,0.105,0.038,0.222,95.13,0.889,0.111,0.667,0.0,0.333,0.667,1.0,0.0,0.447,0.213,0.177,0.185,2,2,0,4,9,6,0,14,6,2,ESPN
2015-12-12,Rodney Stuckey,IND,DET,,23:05,0.196,0.186,0.1,0.0,0.176,0.182,0.4,0.0,0.0,0.286,0.189,8,0.625,0,1,0.0,0,0.0,3,2,0,0,2,2,10,-5,15.25,4,33,22,0.0909,5,0.6,108.0,119.8,-11.8,0.118,0.083,0.625,101.35,0.875,0.125,1.0,0.0,0.0,0.6,0.4,0.6,0.605,0.233,0.083,0.167,0,2,0,6,11,6,16,26,6,0,
2015-12-14,Rodney Stuckey,IND,TOR,,26:57,0.167,0.176,0.0,0.0,0.125,0.2,0.25,0.2,0.0,0.143,0.137,9,0.556,0,0,0.0,0,0.0,4,2,1,0,1,1,10,42,19.0,8,35,26,0.0769,5,0.4,143.6,62.0,81.5,0.083,0.075,0.556,89.77,1.0,0.0,1.0,0.0,0.2,0.4,0.0,1.0,0.261,0.205,0.24,0.303,2,2,0,4,2,6,0,6,6,1,
2015-12-16,Rodney Stuckey,IND,DAL,,26:16,0.227,0.229,0.063,0.091,0.125,0.438,0.5,0.4,0.0,0.25,0.197,11,0.455,1,1,1.0,1,1.0,3,7,2,0,1,3,12,15,28.5,5,50,34,0.2059,7,0.571,117.7,89.8,27.8,0.389,0.06,0.5,94.15,0.909,0.091,0.667,0.25,0.25,0.667,0.6,0.4,0.447,0.106,0.137,0.192,3,3,0,8,2,6,0,22,6,3,
2015-12-18,Rodney Stuckey,IND,BKN,,25:44,0.233,0.216,0.083,0.412,0.219,0.125,0.0,0.0,0.0,0.0,0.273,11,0.455,0,1,0.0,7,0.714,7,1,0,0,0,0,15,9,25.0,9,36,22,0.0455,8,0.5,109.0,92.1,16.9,0.067,0.137,0.455,93.67,0.909,0.091,0.667,0.0,0.133,0.267,0.2,0.8,0.44,0.214,0.1,0.043,2,5,2,4,4,0,7,22,0,3,
2015-12-19,Rodney Stuckey,IND,MEM,,27:38,0.196,0.159,0.176,0.263,0.071,0.222,0.3,0.0,0.5,0.231,0.196,7,0.429,1,3,0.333,5,0.8,2,2,0,1,3,3,11,-1,17.0,5,39,25,0.08,4,0.25,103.0,103.9,-0.9,0.125,0.04,0.5,94.84,0.571,0.429,0.364,0.273,0.182,0.0,0.333,0.667,0.49,0.224,0.073,0.13,2,2,0,0,11,6,5,30,6,3,
2015-12-21,Rodney Stuckey,IND,SAS,,26:30,0.253,0.216,0.308,0.5,0.174,0.308,0.429,0.0,0.0,0.0,0.281,11,0.545,2,4,0.5,3,0.667,4,4,0,0,3,0,16,-8,25.5,4,49,33,0.1212,7,0.571,104.3,121.2,-16.9,0.222,0.082,0.636,98.06,0.636,0.364,0.5,0.375,0.188,0.125,0.333,0.667,0.612,0.122,0.093,0.15,3,3,3,2,11,4,16,40,4,2,
2015-12-23,Rodney Stuckey,IND,SAC,,19:51,0.279,0.25,0.167,0.333,0.333,0.0,0.375,0.0,0.0,0.2,0.125,8,0.125,0,1,0.0,2,1.0,4,0,0,0,3,1,4,-20,7.5,4,40,26,0.0,7,0.143,78.7,120.4,-41.6,0.0,0.125,0.125,101.37,0.875,0.125,0.5,0.0,0.0,0.5,0.0,1.0,0.613,0.125,0.093,0.231,0,0,2,2,11,6,12,28,6,1,
2015-12-26,Rodney Stuckey,IND,MIN,,23:42,0.206,0.209,0.3,0.0,0.278,0.471,0.222,0.25,0.0,0.0,0.108,9,0.333,1,3,0.333,0,0.0,5,8,1,0,2,0,7,23,24.75,6,45,33,0.2424,3,0.333,134.5,89.2,45.3,0.32,0.172,0.389,96.61,0.667,0.333,0.571,0.429,0.286,0.286,0.667,0.333,0.473,0.189,0.234,0.235,2,2,0,2,17,6,6,16,6,3,
2015-12-28,Rodney Stuckey,IND,ATL,,25:13,0.146,0.167,0.083,0.182,0.294,0.25,0.0,0.1,0.0,0.222,0.12,7,0.286,0,1,0.0,2,1.0,5,1,1,0,0,2,6,15,15.5,5,39,30,0.0333,3,0.333,98.3,65.2,33.1,0.056,0.132,0.286,99.46,0.857,0.143,0.667,0.0,0.0,0.333,0.0,1.0,0.4,0.15,0.28,0.222,0,4,0,2,0,8,1,24,8,1,
2015-12-30,Rodney Stuckey,IND,CHI,,31:28,0.198,0.207,0.091,0.25,0.074,0.111,0.0,0.125,0.143,0.2,0.213,12,0.417,0,1,0.0,5,0.6,2,1,1,1,0,2,13,-2,20.75,3,48,32,0.0313,11,0.455,94.1,94.4,-0.3,0.063,0.031,0.417,100.32,0.917,0.083,0.769,0.0,0.154,0.615,0.4,0.6,0.448,0.224,0.195,0.333,2,6,1,8,4,20,4,30,20,3,
2015-12-31,Rodney Stuckey,IND,MIL,,24:57,0.179,0.225,0.091,0.2,0.059,0.286,0.0,0.2,0.0,0.1,0.143,9,0.333,0,1,0.0,3,0.667,1,4,1,0,0,1,8,-1,16.25,3,47,35,0.1143,8,0.375,102.6,116.4,-13.9,0.235,0.031,0.333,99.6,0.889,0.111,0.75,0.0,0.25,0.5,0.667,0.333,0.638,0.225,0.163,0.176,2,2,0,4,19,6,6,32,6,2,
2016-01-02,Rodney Stuckey,IND,DET,,25:21,0.092,0.1,0.1,0.143,0.158,0.333,0.0,0.0,0.0,0.231,0.067,4,0.25,0,1,0.0,2,0.5,3,2,0,0,0,3,3,-6,9.25,8,28,22,0.0909,4,0.25,88.0,94.2,-6.2,0.133,0.062,0.25,99.71,0.75,0.25,0.667,0.0,0.0,0.0,0.0,1.0,0.427,0.292,0.129,0.292,0,0,1,0,8,11,4,26,11,1,
2016-01-04,Rodney Stuckey,IND,MIA,,29:58,0.229,0.224,0.182,0.389,0.156,0.5,0.111,0.0,0.0,0.2,0.293,11,0.273,0,2,0.0,7,0.857,5,3,0,0,1,3,12,-20,21.5,9,60,43,0.0698,8,0.375,72.0,111.6,-39.5,0.25,0.079,0.273,89.38,0.818,0.182,0.5,0.0,0.0,0.167,0.667,0.333,0.46,0.44,0.073,0.281,0,0,0,2,8,12,0,32,12,3,NBA TV
