DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Rondae Hollis-Jefferson,BKN,DET,F,21:14,0.182,0.182,0.0,0.167,0.214,0.182,0.2,0.0,0.0,0.4,0.136,6,0.5,0,0,0.0,2,1.0,3,2,0,0,1,2,8,20,13.75,0,0,0,,0,0.0,139.5,89.8,49.8,0.118,0.091,0.5,96.89,1.0,0.0,0.75,0.0,0.5,0.5,0.333,0.667,0.5,0.026,0.253,0.35,4,0,0,4,11,6,0,14,6,2,
2016-10-08,Rondae Hollis-Jefferson,BKN,NYK,F,19:44,0.239,0.286,0.154,0.0,0.111,0.0,0.0,0.2,0.0,0.25,0.29,10,0.4,1,2,0.5,0,0.0,2,0,1,0,0,3,9,-12,14.0,0,0,0,,0,0.0,84.1,111.6,-27.5,0.0,0.049,0.45,91.65,0.8,0.2,0.667,0.333,0.222,0.667,0.5,0.5,0.574,0.235,0.156,0.278,2,2,0,6,2,2,6,14,2,0,
2016-10-11,Rondae Hollis-Jefferson,BKN,MIA,F,22:31,0.147,0.154,0.0,0.182,0.111,0.1,0.0,0.0,0.0,0.182,0.106,6,0.333,0,0,0.0,2,0.5,2,1,0,0,0,2,5,-11,8.75,0,0,0,,0,0.0,104.8,122.9,-18.1,0.067,0.053,0.333,98.1,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.64,0.116,0.085,0.111,0,0,0,4,4,4,0,26,4,3,NBA TV
2016-10-13,Rondae Hollis-Jefferson,BKN,BOS,F,23:35,0.184,0.159,0.133,0.571,0.16,0.222,0.0,0.5,1.0,0.111,0.233,7,0.286,0,2,0.0,8,0.75,4,2,1,1,0,1,10,-8,21.5,0,0,0,,0,0.0,82.4,100.8,-18.4,0.154,0.075,0.286,104.58,0.714,0.286,0.4,0.0,0.0,0.4,1.0,0.0,0.452,0.357,0.119,0.167,0,2,2,4,4,4,10,20,4,4,
2016-10-17,Rondae Hollis-Jefferson,BKN,BOS,F,21:01,0.194,0.211,0.083,0.294,0.235,0.231,0.0,0.286,0.0,0.077,0.185,8,0.375,1,1,1.0,5,0.6,4,3,2,0,0,1,10,7,23.25,0,0,0,,0,0.0,111.4,90.9,20.5,0.2,0.105,0.438,114.42,0.875,0.125,0.4,0.3,0.3,0.4,0.667,0.333,0.474,0.342,0.251,0.278,3,2,0,4,6,5,2,22,5,3,
2016-10-20,Rondae Hollis-Jefferson,BKN,NYK,F,21:41,0.159,0.162,0.133,0.0,0.214,0.1,0.222,0.25,0.0,0.2,0.191,6,0.667,1,2,0.5,0,0.0,3,1,1,0,2,1,9,-12,15.5,0,0,0,,0,0.0,97.1,113.0,-15.9,0.077,0.079,0.75,111.35,0.667,0.333,0.667,0.333,0.444,0.667,0.5,0.5,0.6,0.111,0.211,0.333,4,4,0,6,11,9,9,26,9,1,NBA TV
2015-10-28,Rondae Hollis-Jefferson,BKN,CHI,,24:15,0.122,0.133,0.0,0.0,0.278,0.0,0.167,0.222,0.5,0.0,0.121,6,0.667,0,0,0.0,0,0.0,5,0,2,1,1,0,8,16,19.75,6,28,21,0.0,5,0.6,127.9,101.0,26.9,0.0,0.147,0.667,100.09,1.0,0.0,1.0,0.0,0.25,0.75,0.25,0.75,0.625,0.222,0.283,0.25,2,2,0,6,5,4,0,20,4,0,
2015-10-30,Rondae Hollis-Jefferson,BKN,SAS,,26:09,0.186,0.184,0.0,0.0,0.182,0.0,0.273,0.0,0.4,0.25,0.217,7,0.714,0,0,0.0,0,0.0,4,0,0,2,3,1,10,0,17.5,8,39,27,0.0,4,0.5,85.4,82.3,3.1,0.0,0.082,0.714,100.71,1.0,0.0,1.0,0.0,0.2,1.0,0.8,0.2,0.423,0.038,0.197,0.267,2,0,0,10,10,8,7,20,8,1,
2015-10-31,Rondae Hollis-Jefferson,BKN,MEM,,12:56,0.074,0.091,0.0,0.0,0.214,0.333,0.0,0.0,0.0,0.222,0.0,2,0.0,0,0,0.0,0,0.0,3,1,0,0,0,2,0,-8,5.0,8,18,13,0.0769,2,0.0,79.6,106.3,-26.7,0.125,0.111,0.0,91.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4,0.039,0.313,0,0,0,0,4,6,4,12,6,1,
2015-11-02,Rondae Hollis-Jefferson,BKN,MIL,,4:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-1,0.0,1,1,1,0.0,0,0.0,116.3,101.4,14.9,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.113,0.0,0,0,0,0,0,0,0,4,0,0,
