DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Roy Hibbert,CHA,DAL,C,22:23,0.187,0.091,0.0,0.476,0.333,0.0,0.25,0.0,0.0,0.286,0.278,3,0.333,0,0,0.0,10,0.8,8,0,0,0,2,2,10,-10,19.0,0,0,0,,0,0.0,81.4,102.2,-20.8,0.0,0.182,0.333,95.69,1.0,0.0,0.2,0.0,0.0,0.2,1.0,0.0,0.5,0.0,0.067,0.182,0,0,4,2,7,3,7,8,3,5,
2016-10-06,Roy Hibbert,CHA,BOS,C,21:07,0.105,0.103,0.0,0.0,0.263,0.0,0.143,0.333,0.0,0.625,0.063,4,0.25,0,0,0.0,0,0.0,5,0,1,0,1,5,2,-26,9.75,0,0,0,,0,0.0,73.1,123.2,-50.1,0.0,0.119,0.25,103.24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.631,0.167,0.106,0.167,0,0,2,2,14,15,8,20,15,2,
2016-10-08,Roy Hibbert,CHA,BOS,C,22:22,0.066,0.024,0.0,0.286,0.36,0.0,0.1,0.0,1.0,0.333,0.143,1,1.0,0,0,0.0,4,1.0,9,0,0,3,1,3,6,-11,22.75,0,0,0,,0,0.0,85.4,103.1,-17.7,0.0,0.243,1.0,107.9,1.0,0.0,0.333,0.0,0.0,0.333,1.0,0.0,0.538,0.25,0.136,0.0,0,0,2,2,11,4,8,12,4,3,NBA TV
2016-10-10,Roy Hibbert,CHA,MIN,C,19:19,0.098,0.121,0.0,0.0,0.19,0.143,0.0,0.0,0.0,0.2,0.091,4,0.5,0,0,0.0,0,0.0,4,1,0,0,0,1,4,6,10.25,0,0,0,,0,0.0,110.1,91.3,18.9,0.077,0.1,0.5,101.38,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.436,0.154,0.12,0.2,0,0,0,4,4,2,0,10,2,2,
2016-10-17,Roy Hibbert,CHA,CHI,C,24:33,0.156,0.106,0.0,0.3,0.16,0.125,0.333,0.0,1.0,0.167,0.224,5,0.6,0,0,0.0,6,0.833,4,1,0,3,2,2,11,-2,22.25,0,0,0,,0,0.0,94.6,94.0,0.6,0.1,0.08,0.6,103.7,1.0,0.0,0.545,0.0,0.364,0.545,0.667,0.333,0.477,0.279,0.203,0.25,4,0,3,6,6,10,6,22,10,4,NBA TV
2016-10-20,Roy Hibbert,CHA,MIA,C,23:15,0.23,0.163,0.0,0.4,0.393,0.3,0.5,0.0,0.75,0.4,0.17,7,0.286,0,0,0.0,4,1.0,11,3,0,3,4,2,8,5,29.5,0,0,0,,0,0.0,101.3,85.0,16.3,0.2,0.22,0.286,98.89,1.0,0.0,0.5,0.0,0.25,0.5,0.0,1.0,0.427,0.244,0.182,0.208,2,2,4,4,12,9,2,10,9,2,
2016-10-21,Roy Hibbert,CHA,MIN,C,15:21,0.153,0.12,0.0,0.308,0.313,0.0,0.143,0.0,1.0,0.182,0.107,3,0.0,0,0,0.0,4,0.75,5,0,0,4,1,2,3,-7,16.75,0,0,0,,0,0.0,83.0,100.1,-17.1,0.0,0.132,0.0,107.38,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.386,0.257,0.114,0.4,1,0,3,0,12,13,6,16,13,3,NBA TV
2015-10-28,Roy Hibbert,LAL,MIN,C,28:07,0.146,0.073,0.0,0.4,0.333,0.571,0.4,0.0,1.0,0.25,0.194,4,0.25,0,0,0.0,10,1.0,10,4,0,2,2,4,12,-8,32.5,19,39,29,0.1379,4,0.25,100.0,121.4,-21.4,0.235,0.185,0.25,102.16,1.0,0.0,0.167,0.0,0.0,0.167,0.0,1.0,0.51,0.44,0.035,0.16,0,0,8,2,9,13,6,22,13,8,ESPN
2015-10-30,Roy Hibbert,LAL,SAC,C,21:16,0.166,0.158,0.071,0.364,0.263,0.0,0.1,0.0,0.714,0.444,0.192,6,0.5,0,1,0.0,4,1.0,5,0,0,5,1,4,10,-4,25.75,10,26,17,0.0,5,0.6,106.5,112.1,-5.6,0.0,0.132,0.5,111.5,0.833,0.167,0.6,0.0,0.0,0.6,0.667,0.333,0.521,0.191,0.08,0.25,0,0,2,6,14,8,14,30,8,3,
2015-11-01,Roy Hibbert,LAL,DAL,C,26:05,0.111,0.044,0.0,0.2,0.308,0.25,0.429,0.0,0.333,0.444,0.078,2,0.5,0,0,0.0,4,0.5,8,2,0,2,3,4,4,-2,19.0,15,30,24,0.0833,2,0.5,89.8,100.9,-11.1,0.143,0.145,0.5,100.59,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.47,0.16,0.095,0.214,0,0,3,2,8,11,0,18,11,4,
