DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Rudy Gay,SAC,LAL,F,15:59,0.182,0.231,0.2,0.182,0.222,0.429,0.0,0.667,0.5,0.25,0.216,6,0.5,0,1,0.0,2,1.0,4,3,2,1,0,1,8,13,22.75,0,0,0,,0,0.0,106.2,71.3,34.9,0.3,0.133,0.5,102.83,0.833,0.167,0.75,0.0,0.0,0.5,0.333,0.667,0.4,0.24,0.208,0.063,0,0,0,4,2,2,11,12,2,1,
2016-10-06,Rudy Gay,SAC,GSW,F,15:42,0.265,0.25,0.222,0.0,0.267,0.3,0.375,0.143,0.5,0.364,0.094,7,0.143,1,2,0.5,0,0.0,4,3,1,1,3,4,3,-7,14.75,0,0,0,,0,0.0,89.5,106.9,-17.4,0.25,0.138,0.214,110.43,0.714,0.286,0.0,1.0,0.0,0.0,1.0,0.0,0.545,0.773,0.219,0.071,0,0,0,0,12,0,13,8,0,1,
2016-10-10,Rudy Gay,SAC,MAC,F,19:44,0.171,0.156,0.143,0.333,0.25,0.3,0.125,0.4,0.25,0.0,0.193,5,0.6,1,1,1.0,4,1.0,4,3,2,1,1,0,11,22,25.75,0,0,0,,0,0.0,134.8,79.8,55.1,0.158,0.133,0.7,104.79,0.8,0.2,0.364,0.273,0.0,0.364,0.667,0.333,0.446,0.054,0.273,0.316,0,0,0,4,7,8,0,14,8,1,
2016-10-13,Rudy Gay,SAC,LAL,F,36:37,0.244,0.267,0.267,0.353,0.333,0.292,0.077,0.2,0.5,0.059,0.216,16,0.375,1,4,0.25,6,1.0,9,7,1,2,1,1,19,1,45.0,0,0,0,,0,0.0,115.1,117.8,-2.8,0.259,0.173,0.406,98.53,0.75,0.25,0.526,0.158,0.105,0.421,0.5,0.5,0.6,0.169,0.135,0.207,2,3,2,8,17,0,20,24,0,3,
2016-10-18,Rudy Gay,SAC,LAC,F,30:35,0.232,0.192,0.182,0.0,0.148,0.176,0.462,0.429,0.0,0.071,0.102,10,0.3,0,2,0.0,0,0.0,4,3,3,0,6,1,6,-11,17.75,0,0,0,,0,0.0,93.7,114.6,-20.9,0.136,0.08,0.3,97.35,0.8,0.2,1.0,0.0,0.0,0.0,0.333,0.667,0.615,0.135,0.164,0.16,0,0,0,0,16,7,10,26,7,1,ESPN
2015-10-28,Rudy Gay,SAC,LAC,F,31:21,0.243,0.267,0.176,0.154,0.182,0.176,0.167,0.0,0.0,0.105,0.216,16,0.438,1,3,0.333,2,0.5,6,3,0,0,2,2,16,-2,26.75,10,50,30,0.1,10,0.5,104.6,109.4,-4.8,0.143,0.102,0.469,107.3,0.813,0.188,0.75,0.188,0.125,0.5,0.429,0.571,0.558,0.5,0.13,0.103,2,0,2,8,16,6,6,26,6,2,
2015-10-30,Rudy Gay,SAC,LAL,F,31:21,0.158,0.188,0.214,0.077,0.167,0.158,0.0,0.667,0.0,0.091,0.204,12,0.667,2,3,0.667,2,0.5,6,3,2,0,0,1,19,30,35.25,8,54,41,0.0732,7,0.714,126.6,88.8,37.9,0.111,0.098,0.75,110.56,0.75,0.25,0.632,0.316,0.316,0.316,0.625,0.375,0.509,0.155,0.197,0.152,6,8,0,6,4,6,13,26,6,2,
2015-10-31,Rudy Gay,SAC,LAC,F,31:03,0.329,0.348,0.417,0.133,0.281,0.154,0.333,0.286,0.0,0.2,0.282,23,0.348,2,5,0.4,2,1.0,9,2,2,0,3,4,20,-4,37.25,12,64,32,0.0625,19,0.368,103.5,105.6,-2.1,0.1,0.153,0.391,107.92,0.783,0.217,0.6,0.3,0.35,0.4,0.75,0.25,0.538,0.472,0.141,0.136,7,2,2,8,11,11,3,40,11,3,NBA TV
2015-11-03,Rudy Gay,SAC,MEM,F,31:60,0.312,0.333,0.333,0.267,0.238,0.231,0.222,0.2,0.0,0.214,0.317,17,0.412,1,4,0.25,4,1.0,5,3,1,0,2,3,19,-12,30.5,9,63,39,0.0769,12,0.5,95.8,111.9,-16.0,0.2,0.096,0.441,95.23,0.765,0.235,0.632,0.158,0.0,0.526,0.429,0.571,0.527,0.345,0.14,0.32,0,4,2,10,13,7,7,34,7,5,
2015-11-04,Rudy Gay,SAC,PHX,F,30:15,0.222,0.245,0.077,0.286,0.348,0.188,0.091,0.286,0.25,0.294,0.141,13,0.308,0,1,0.0,2,0.5,8,3,2,1,1,5,9,-7,28.25,13,51,37,0.0811,9,0.222,103.1,112.4,-9.3,0.13,0.17,0.308,99.36,0.923,0.077,0.889,0.0,0.222,0.667,0.5,0.5,0.577,0.269,0.174,0.25,2,2,2,6,12,10,13,20,10,1,
