DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Rudy Gobert,UTA,POR,C,22:13,0.222,0.216,0.0,0.368,0.448,0.167,0.111,0.0,0.0,0.0,0.227,8,0.375,0,0,0.0,7,0.571,13,1,0,0,1,0,10,-1,27.0,0,0,0,,0,0.0,97.0,101.5,-4.5,0.091,0.289,0.375,96.88,1.0,0.0,0.6,0.0,0.0,0.6,0.333,0.667,0.55,0.075,0.068,0.0,0,0,2,6,14,0,9,18,0,4,NBA TV
2016-10-05,Rudy Gobert,UTA,PHX,C,28:24,0.254,0.156,0.0,0.538,0.4,0.0,0.364,0.2,0.6,0.273,0.323,7,0.571,0,0,0.0,14,0.929,10,0,1,3,4,3,21,1,39.5,0,0,0,,0,0.0,105.8,103.5,2.3,0.0,0.185,0.571,104.18,1.0,0.0,0.381,0.0,0.381,0.286,1.0,0.0,0.483,0.183,0.146,0.387,8,2,4,6,11,12,11,36,12,8,NBA TV
2016-10-10,Rudy Gobert,UTA,LAC,C,24:26,0.168,0.154,0.0,0.222,0.2,0.0,0.2,0.0,0.667,0.158,0.2,6,0.667,0,0,0.0,2,0.5,5,0,0,2,2,3,9,-6,18.25,0,0,0,,0,0.0,95.8,102.2,-6.3,0.0,0.119,0.667,95.16,1.0,0.0,0.889,0.0,0.222,0.889,1.0,0.0,0.528,0.5,0.18,0.136,2,0,0,8,5,2,8,20,2,2,NBA TV
2016-10-12,Rudy Gobert,UTA,PHX,C,19:14,0.324,0.214,0.0,0.5,0.471,0.4,0.429,0.333,1.0,0.385,0.37,6,0.5,0,0,0.0,15,0.733,8,2,1,2,3,5,17,6,34.0,0,0,0,,0,0.0,106.5,95.9,10.6,0.25,0.267,0.5,105.97,1.0,0.0,0.353,0.0,0.471,0.353,0.333,0.667,0.5,0.448,0.24,0.2,8,6,5,6,10,5,7,16,5,10,NBA TV
2016-10-17,Rudy Gobert,UTA,LAC,C,25:54,0.218,0.2,0.0,0.333,0.455,0.0,0.25,0.167,1.0,0.25,0.304,8,0.875,0,0,0.0,3,1.0,10,0,1,3,2,2,17,15,36.5,0,0,0,,0,0.0,112.1,79.9,32.2,0.0,0.25,0.875,93.85,1.0,0.0,0.824,0.0,0.235,0.824,0.714,0.286,0.452,0.071,0.195,0.091,4,2,2,14,7,0,2,20,0,4,
2016-10-19,Rudy Gobert,UTA,POR,C,25:06,0.241,0.2,0.0,0.5,0.263,0.0,0.333,0.333,0.75,0.167,0.357,8,0.75,0,0,0.0,6,0.5,5,0,1,3,1,1,15,-9,28.75,0,0,0,,0,0.0,90.8,109.1,-18.3,0.0,0.104,0.75,88.96,1.0,0.0,0.8,0.0,0.2,0.8,1.0,0.0,0.544,0.089,0.15,0.292,3,1,0,12,0,7,1,20,7,5,
2015-10-28,Rudy Gobert,UTA,DET,C,37:25,0.125,0.103,0.0,0.0,0.414,0.091,0.375,0.25,0.6,0.222,0.09,6,0.5,0,0,0.0,0,0.0,12,1,1,3,3,4,6,1,28.75,23,81,73,0.0137,5,0.6,96.1,92.6,3.5,0.04,0.19,0.5,90.42,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.433,0.35,0.14,0.229,0,0,0,6,6,7,4,26,7,1,
2015-10-30,Rudy Gobert,UTA,PHI,C,31:32,0.11,0.105,0.0,0.105,0.306,0.154,0.167,0.0,0.875,0.182,0.111,6,0.5,0,0,0.0,2,1.0,11,2,0,7,1,2,8,34,37.75,21,48,39,0.0513,5,0.4,119.3,65.2,54.0,0.091,0.193,0.5,90.27,1.0,0.0,0.75,0.0,0.5,0.75,0.333,0.667,0.295,0.538,0.258,0.167,4,0,6,6,4,5,2,10,5,3,
2015-10-31,Rudy Gobert,UTA,IND,C,31:14,0.118,0.086,0.0,0.444,0.548,0.2,0.167,0.0,0.75,0.133,0.136,5,0.6,0,0,0.0,4,0.75,17,2,0,3,2,2,9,9,37.75,25,70,60,0.0333,5,0.6,103.2,88.8,14.3,0.08,0.34,0.6,98.45,1.0,0.0,0.667,0.0,0.444,0.667,0.667,0.333,0.46,0.28,0.203,0.192,4,2,5,6,10,13,9,16,13,4,
2015-11-04,Rudy Gobert,UTA,POR,C,30:07,0.133,0.107,0.0,0.154,0.45,0.0,0.4,0.167,0.667,0.2,0.143,6,0.667,0,0,0.0,2,0.0,9,0,1,4,2,3,8,-20,28.25,17,67,56,0.0,6,0.667,97.0,124.6,-27.6,0.0,0.18,0.667,94.61,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.667,0.521,0.164,0.421,0,0,6,8,5,9,12,28,9,2,
