DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Russell Westbrook,OKC,RMD,G,22:21,0.333,0.378,0.556,0.385,0.188,0.333,0.111,0.429,0.0,0.2,0.31,14,0.5,2,5,0.4,5,0.4,3,4,3,0,1,3,18,7,33.25,0,0,0,,0,0.0,124.1,111.8,12.3,0.25,0.103,0.571,99.14,0.643,0.357,0.556,0.333,0.111,0.222,0.429,0.571,0.71,0.484,0.285,0.313,2,2,4,4,10,8,0,16,8,3,NBA TV
2016-10-05,Russell Westbrook,OKC,FCB,G,21:04,0.391,0.269,0.4,0.588,0.214,0.556,0.545,0.286,0.0,0.417,0.261,7,0.286,0,2,0.0,10,0.8,3,5,2,0,6,5,12,8,23.0,0,0,0,,0,0.0,108.3,90.6,17.7,0.357,0.111,0.286,96.2,0.714,0.286,0.333,0.0,0.583,0.167,0.0,1.0,0.55,0.3,0.286,0.25,7,2,0,2,9,2,0,14,2,7,NBA TV
2016-10-11,Russell Westbrook,OKC,DAL,G,24:00,0.296,0.3,0.222,0.091,0.167,0.5,0.5,0.333,0.0,0.1,0.2,15,0.333,2,4,0.5,1,0.0,5,7,1,0,2,1,12,5,29.0,0,0,0,,0,0.0,111.4,101.3,10.1,0.412,0.085,0.4,108.12,0.733,0.267,0.5,0.5,0.0,0.5,0.2,0.8,0.47,0.24,0.092,0.194,0,4,0,6,5,9,10,24,9,2,
2016-10-13,Russell Westbrook,OKC,MEM,G,15:24,0.456,0.44,0.222,0.8,0.067,0.667,0.333,0.0,0.0,0.0,0.486,11,0.455,2,2,1.0,8,0.625,1,4,0,0,3,0,17,-3,22.75,0,0,0,,0,0.0,101.7,113.4,-11.6,0.571,0.032,0.545,105.85,0.818,0.182,0.353,0.353,0.0,0.235,0.4,0.6,0.484,0.25,0.089,0.313,0,4,0,4,9,8,5,12,8,5,
2016-10-16,Russell Westbrook,OKC,MIN,G,30:45,0.305,0.333,0.231,0.421,0.091,0.769,0.0,0.125,0.0,0.1,0.347,21,0.476,0,3,0.0,8,0.75,3,10,1,0,0,1,26,17,44.25,0,0,0,,0,0.0,103.6,84.3,19.4,0.526,0.049,0.476,110.2,0.857,0.143,0.769,0.0,0.308,0.308,0.1,0.9,0.414,0.19,0.203,0.242,8,8,4,8,8,11,10,22,11,7,
2016-10-18,Russell Westbrook,OKC,DEN,G,18:01,0.295,0.278,0.25,0.429,0.045,0.643,0.333,0.2,0.0,0.125,0.273,10,0.4,1,1,1.0,3,1.0,1,9,1,0,2,2,12,12,26.0,0,0,0,,0,0.0,104.6,76.6,28.0,0.6,0.026,0.45,111.74,0.9,0.1,0.5,0.25,0.167,0.333,0.5,0.5,0.323,0.645,0.144,0.174,2,5,2,4,2,7,2,10,7,2,
2015-10-28,Russell Westbrook,OKC,SAS,G,36:59,0.359,0.348,0.375,0.412,0.061,0.625,0.385,0.5,0.0,0.214,0.371,23,0.522,3,6,0.5,7,0.857,2,10,2,0,5,3,33,7,51.0,4,100,64,0.1563,17,0.529,112.0,101.4,10.5,0.476,0.033,0.587,104.06,0.739,0.261,0.545,0.273,0.061,0.424,0.167,0.833,0.5,0.153,0.124,0.188,2,3,6,14,12,10,9,40,10,7,ESPN
2015-10-30,Russell Westbrook,OKC,ORL,G,47:35,0.404,0.387,0.208,0.615,0.216,0.5,0.353,0.143,0.125,0.136,0.414,36,0.472,1,5,0.2,16,0.813,11,8,1,1,6,3,48,2,73.25,22,127,67,0.1194,27,0.481,112.1,105.9,6.2,0.296,0.121,0.486,106.47,0.861,0.139,0.667,0.063,0.167,0.542,0.0,1.0,0.489,0.344,0.139,0.25,8,6,2,26,22,15,18,50,15,14,
2015-11-01,Russell Westbrook,OKC,DEN,G,25:26,0.269,0.271,0.286,0.0,0.333,0.421,0.444,0.5,0.0,0.0,0.214,13,0.538,1,4,0.25,0,0.0,9,8,3,0,4,0,15,22,40.75,12,63,42,0.1905,5,0.6,122.5,90.6,31.8,0.4,0.196,0.577,103.91,0.692,0.308,0.8,0.2,0.4,0.8,0.571,0.429,0.402,0.176,0.132,0.3,6,6,4,12,12,9,3,22,9,0,
2015-11-02,Russell Westbrook,OKC,HOU,G,31:57,0.307,0.281,0.333,0.154,0.216,0.786,0.467,0.4,0.0,0.294,0.329,16,0.625,3,6,0.5,2,1.0,8,11,2,0,7,5,25,4,50.75,12,80,49,0.2245,8,0.625,112.2,103.0,9.3,0.579,0.131,0.719,103.39,0.625,0.375,0.56,0.36,0.0,0.4,0.1,0.9,0.508,0.295,0.114,0.206,0,2,2,10,15,12,6,36,12,4,NBA TV
