DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Ryan Anderson,HOU,SDS,F,21:58,0.329,0.341,0.294,0.167,0.238,0.125,0.5,0.143,0.0,0.286,0.218,15,0.333,1,5,0.2,2,0.5,5,2,1,0,1,2,12,16,22.75,0,0,0,,0,0.0,121.5,77.2,44.3,0.125,0.116,0.367,104.67,0.667,0.333,0.667,0.25,0.083,0.333,0.4,0.6,0.444,0.222,0.257,0.118,1,0,2,4,5,4,7,20,4,1,NBA TV
2016-10-04,Ryan Anderson,HOU,NYK,F,29:28,0.264,0.308,0.481,0.211,0.25,0.0,0.0,0.0,0.0,0.0,0.306,16,0.5,7,13,0.538,4,0.75,7,0,0,0,0,0,26,17,38.25,0,0,0,,0,0.0,130.0,105.6,24.5,0.0,0.135,0.719,105.71,0.188,0.813,0.077,0.808,0.115,0.0,0.875,0.125,0.517,0.172,0.124,0.188,3,0,0,0,11,8,0,16,8,2,ESPN
2016-10-09,Ryan Anderson,HOU,NOP,F,38:32,0.168,0.189,0.241,0.192,0.143,0.0,0.0,0.0,0.333,0.143,0.212,14,0.5,4,7,0.571,5,0.6,5,0,0,2,0,4,21,4,33.25,0,0,0,,0,0.0,114.5,109.8,4.7,0.0,0.069,0.643,107.74,0.5,0.5,0.286,0.571,0.333,0.0,0.714,0.286,0.515,0.508,0.127,0.138,7,6,0,0,18,9,7,46,9,6,NBA TV
2016-10-12,Ryan Anderson,HOU,NOP,F,22:19,0.208,0.171,0.176,0.714,0.304,0.0,0.2,0.0,0.25,0.364,0.25,7,0.429,1,3,0.333,5,0.8,7,0,0,1,1,4,11,8,21.75,0,0,0,,0,0.0,97.6,75.4,22.2,0.0,0.149,0.5,99.8,0.571,0.429,0.364,0.273,0.0,0.182,0.333,0.667,0.314,0.302,0.126,0.269,0,0,4,2,4,10,1,14,10,4,NBA TV
2016-10-15,Ryan Anderson,HOU,MEM,F,19:23,0.186,0.192,0.364,0.0,0.15,0.143,0.3,0.5,0.0,0.286,0.0,5,0.0,0,4,0.0,0,0.0,3,1,1,0,3,4,0,-17,5.5,0,0,0,,0,0.0,85.3,116.7,-31.4,0.1,0.083,0.0,105.99,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.706,0.067,0.143,0,0,0,0,15,8,8,14,8,2,
2016-10-19,Ryan Anderson,HOU,DAL,F,20:44,0.222,0.237,0.35,0.222,0.148,0.0,0.143,0.0,0.0,0.444,0.292,9,0.444,4,7,0.571,2,1.0,4,0,0,0,1,4,14,15,20.5,0,0,0,,0,0.0,117.2,77.8,39.4,0.0,0.095,0.667,96.48,0.222,0.778,0.0,0.857,0.357,0.0,1.0,0.0,0.343,0.286,0.118,0.095,5,6,3,0,9,2,4,10,2,1,
2016-10-21,Ryan Anderson,HOU,SAS,F,22:00,0.185,0.2,0.3,0.3,0.3,0.286,0.0,0.0,0.0,0.0,0.179,8,0.25,0,3,0.0,3,1.0,6,2,0,0,0,0,7,-10,17.0,0,0,0,,0,0.0,84.1,95.9,-11.9,0.143,0.133,0.25,106.34,0.625,0.375,0.571,0.0,0.286,0.0,0.0,1.0,0.489,0.159,0.137,0.158,2,0,0,0,7,5,8,28,5,1,
2015-10-27,Ryan Anderson,NOP,GSW,,28:40,0.176,0.137,0.273,0.263,0.3,0.091,0.3,0.111,0.0,0.154,0.173,7,0.286,1,3,0.333,5,0.8,6,1,1,0,3,2,9,-8,18.75,12,43,29,0.0345,5,0.2,82.1,97.2,-15.1,0.063,0.107,0.357,104.72,0.571,0.429,0.222,0.333,0.444,0.0,1.0,0.0,0.444,0.241,0.243,0.481,4,3,2,0,15,17,2,30,17,4,TNT
2015-10-28,Ryan Anderson,NOP,POR,,38:32,0.25,0.274,0.346,0.056,0.273,0.063,0.222,0.2,0.0,0.083,0.263,20,0.45,3,9,0.333,1,0.0,9,1,1,0,2,1,21,-2,36.0,14,69,45,0.0222,5,0.4,93.1,102.6,-9.4,0.048,0.123,0.525,103.32,0.55,0.45,0.571,0.429,0.143,0.19,0.556,0.444,0.507,0.123,0.113,0.171,3,0,5,4,10,11,10,38,11,1,
2015-10-31,Ryan Anderson,NOP,GSW,,30:01,0.215,0.267,0.308,0.048,0.206,0.0,0.083,0.0,0.5,0.0,0.247,16,0.5,2,4,0.5,1,1.0,7,0,0,1,1,0,19,-2,30.25,15,48,29,0.0,8,0.5,109.6,115.8,-6.1,0.0,0.121,0.563,110.72,0.75,0.25,0.632,0.316,0.316,0.421,0.625,0.375,0.573,0.382,0.103,0.115,6,0,2,8,15,1,16,26,1,2,NBA TV
2015-11-03,Ryan Anderson,NOP,ORL,,26:36,0.259,0.3,0.304,0.267,0.19,0.0,0.0,0.429,0.333,0.091,0.264,15,0.267,3,7,0.429,4,0.75,4,0,3,1,0,1,14,-12,28.5,8,40,24,0.0,5,0.0,90.4,115.0,-24.6,0.0,0.08,0.367,103.85,0.533,0.467,0.143,0.643,0.0,0.143,1.0,0.0,0.62,0.174,0.195,0.211,0,0,2,2,6,4,4,40,4,5,
2015-11-06,Ryan Anderson,NOP,ATL,,29:33,0.166,0.196,0.333,0.0,0.294,0.222,0.143,0.0,0.333,0.214,0.135,10,0.4,2,7,0.286,0,0.0,5,4,0,2,1,3,10,-7,25.75,7,52,40,0.1,2,1.0,120.6,133.5,-12.9,0.19,0.114,0.5,99.12,0.3,0.7,0.4,0.6,0.0,0.4,0.5,0.5,0.633,0.449,0.132,0.333,0,2,5,4,12,10,8,32,10,1,
2015-11-07,Ryan Anderson,NOP,DAL,,35:12,0.246,0.246,0.227,0.333,0.321,0.077,0.2,0.0,0.25,0.095,0.304,15,0.533,1,5,0.2,4,1.0,9,1,0,1,2,2,21,-18,35.0,16,60,40,0.025,7,0.571,96.8,118.6,-21.8,0.056,0.155,0.567,98.62,0.667,0.333,0.667,0.143,0.0,0.286,0.25,0.75,0.563,0.302,0.095,0.179,0,5,4,6,13,4,15,44,4,4,
2015-11-10,Ryan Anderson,NOP,DAL,,28:27,0.294,0.286,0.182,0.286,0.344,0.071,0.4,0.0,0.0,0.176,0.352,16,0.625,2,4,0.5,4,0.75,11,1,0,0,2,3,25,14,40.0,15,58,36,0.0278,9,0.667,120.0,97.5,22.5,0.063,0.186,0.688,99.22,0.75,0.25,0.64,0.24,0.0,0.32,0.4,0.6,0.404,0.327,0.085,0.2,0,0,8,8,8,10,4,28,10,4,
2015-11-11,Ryan Anderson,NOP,ATL,F,35:00,0.241,0.254,0.217,0.167,0.407,0.0,0.2,0.0,0.0,0.067,0.224,16,0.438,2,5,0.4,1,1.0,11,0,0,0,3,1,17,-7,30.25,21,65,44,0.0,6,0.333,101.8,116.2,-14.4,0.0,0.19,0.5,100.14,0.688,0.313,0.588,0.353,0.0,0.235,0.429,0.571,0.578,0.156,0.14,0.25,0,0,4,4,22,10,13,36,10,3,
2015-11-13,Ryan Anderson,NOP,TOR,F,32:54,0.144,0.155,0.15,0.154,0.25,0.222,0.083,0.0,0.0,0.0,0.086,9,0.222,0,3,0.0,2,0.5,6,2,0,0,1,0,5,-19,14.5,13,49,38,0.0526,5,0.2,82.0,122.1,-40.1,0.1,0.105,0.222,97.58,0.667,0.333,0.8,0.0,0.0,0.4,0.5,0.5,0.583,0.296,0.174,0.321,0,0,0,2,17,7,7,26,7,2,
2015-11-15,Ryan Anderson,NOP,NYK,,26:04,0.274,0.262,0.333,0.5,0.25,0.0,0.25,0.0,0.0,0.077,0.302,11,0.455,2,5,0.4,4,1.0,5,0,0,0,3,1,16,2,21.75,15,49,32,0.0,3,0.333,97.2,99.9,-2.7,0.0,0.119,0.545,97.19,0.545,0.455,0.375,0.375,0.188,0.0,0.6,0.4,0.422,0.356,0.118,0.292,3,0,0,0,8,9,4,26,9,4,
2015-11-17,Ryan Anderson,NOP,DEN,,34:01,0.272,0.298,0.2,0.444,0.273,0.105,0.0,0.0,0.0,0.091,0.312,17,0.588,1,4,0.25,4,0.75,6,2,0,0,0,1,24,-8,34.5,13,72,49,0.0408,12,0.667,120.4,127.8,-7.4,0.095,0.122,0.618,92.08,0.765,0.235,0.75,0.125,0.25,0.167,0.7,0.3,0.65,0.133,0.15,0.292,6,0,2,4,16,9,2,36,9,6,
2015-11-18,Ryan Anderson,NOP,OKC,F,43:57,0.275,0.281,0.323,0.0,0.189,0.167,0.333,0.286,0.0,0.143,0.323,25,0.52,4,10,0.4,0,0.0,7,3,2,0,3,3,30,-7,47.0,13,79,49,0.0612,14,0.5,101.1,110.6,-9.5,0.12,0.082,0.6,99.58,0.6,0.4,0.6,0.4,0.0,0.4,0.462,0.538,0.487,0.455,0.144,0.357,0,0,4,12,9,12,9,40,12,5,ESPN
2015-11-20,Ryan Anderson,NOP,SAS,,33:26,0.318,0.339,0.55,0.0,0.184,0.0,0.4,0.0,0.0,0.0,0.385,21,0.571,6,11,0.545,0,0.0,7,0,0,0,2,0,30,16,40.75,11,49,24,0.0,7,0.571,117.7,96.3,21.4,0.0,0.106,0.714,93.81,0.476,0.524,0.4,0.6,0.067,0.2,0.833,0.167,0.466,0.169,0.078,0.111,2,3,2,6,4,4,2,18,4,1,ESPN
2015-11-22,Ryan Anderson,NOP,PHX,,33:19,0.223,0.233,0.318,0.3,0.147,0.0,0.083,0.0,0.333,0.083,0.319,14,0.571,4,7,0.571,9,1.0,5,0,0,1,1,2,29,3,38.75,15,53,31,0.0,6,0.5,119.4,112.5,6.9,0.0,0.076,0.714,111.22,0.5,0.5,0.276,0.414,0.207,0.069,0.625,0.375,0.477,0.462,0.141,0.306,6,3,0,2,18,11,17,18,11,5,
2015-11-25,Ryan Anderson,NOP,PHX,,37:11,0.196,0.2,0.167,0.233,0.188,0.067,0.111,0.0,0.0,0.071,0.198,13,0.538,1,3,0.333,7,0.714,6,1,0,0,1,1,20,13,28.75,12,65,46,0.0217,6,0.5,121.4,113.2,8.2,0.037,0.095,0.577,103.86,0.769,0.231,0.6,0.15,0.1,0.4,0.286,0.714,0.535,0.183,0.103,0.2,2,2,7,8,7,4,18,42,4,6,
2015-11-27,Ryan Anderson,NOP,LAC,,23:04,0.27,0.28,0.273,0.182,0.381,0.0,0.25,0.4,1.0,0.444,0.18,14,0.214,1,3,0.333,2,1.0,8,0,2,1,1,4,9,-12,25.0,15,40,24,0.0,7,0.143,102.4,117.9,-15.5,0.0,0.186,0.25,105.54,0.786,0.214,0.444,0.333,0.222,0.222,0.333,0.667,0.618,0.395,0.171,0.083,2,0,4,2,5,5,17,26,5,1,
2015-11-28,Ryan Anderson,NOP,UTA,,38:12,0.141,0.127,0.267,0.214,0.065,0.263,0.133,0.125,0.25,0.133,0.117,7,0.143,1,4,0.25,6,1.0,2,5,1,1,2,2,9,1,21.25,8,47,34,0.1471,1,0.0,98.3,99.4,-1.1,0.208,0.031,0.214,97.26,0.429,0.571,0.0,0.333,0.222,0.0,1.0,0.0,0.525,0.279,0.196,0.206,2,0,0,0,18,3,10,30,3,3,
2015-12-01,Ryan Anderson,NOP,MEM,,33:27,0.228,0.276,0.286,0.08,0.267,0.125,0.0,0.0,0.0,0.154,0.246,16,0.375,2,6,0.333,2,1.0,8,2,0,0,0,2,16,-13,29.5,17,56,38,0.0526,6,0.5,95.6,116.3,-20.8,0.133,0.118,0.438,96.89,0.625,0.375,0.5,0.375,0.125,0.5,0.833,0.167,0.47,0.242,0.045,0.273,2,0,2,8,6,9,12,46,9,2,
2015-12-02,Ryan Anderson,NOP,HOU,,27:14,0.328,0.346,0.529,0.111,0.286,0.0,0.375,0.0,0.5,0.238,0.302,18,0.389,3,9,0.333,2,1.0,10,0,0,2,6,5,19,-5,34.0,26,53,25,0.0,9,0.333,97.0,105.3,-8.3,0.0,0.167,0.472,114.11,0.5,0.5,0.421,0.474,0.105,0.211,0.571,0.429,0.49,0.462,0.108,0.172,2,3,6,4,16,11,4,26,11,1,NBA TV
2015-12-04,Ryan Anderson,NOP,CLE,,31:36,0.245,0.218,0.333,0.318,0.179,0.0,0.333,0.2,0.0,0.2,0.25,12,0.417,2,6,0.333,7,0.857,5,0,1,0,3,3,18,10,25.75,13,40,21,0.0,3,0.333,109.6,103.3,6.4,0.0,0.089,0.5,95.5,0.5,0.5,0.333,0.333,0.278,0.222,0.4,0.6,0.49,0.327,0.15,0.2,5,0,6,4,8,4,10,26,4,5,ESPN
2015-12-07,Ryan Anderson,NOP,BOS,,33:38,0.261,0.283,0.2,0.364,0.3,0.133,0.091,0.0,0.0,0.154,0.281,17,0.412,1,2,0.5,4,0.75,9,2,0,0,1,2,18,-11,31.75,13,49,28,0.0714,12,0.417,95.8,111.3,-15.6,0.105,0.15,0.441,95.76,0.882,0.118,0.667,0.167,0.222,0.444,0.857,0.143,0.555,0.345,0.163,0.25,4,0,2,8,14,4,16,36,4,4,NBA TV
2015-12-14,Ryan Anderson,NOP,POR,,31:02,0.254,0.291,0.389,0.222,0.148,0.0,0.0,0.143,0.0,0.083,0.281,16,0.313,2,7,0.286,4,1.0,4,0,1,0,0,1,16,-5,24.0,11,51,30,0.0,10,0.3,85.2,96.6,-11.5,0.0,0.063,0.375,101.37,0.563,0.438,0.375,0.375,0.0,0.375,0.4,0.6,0.51,0.275,0.187,0.172,0,0,0,6,7,5,4,20,5,3,
2015-12-16,Ryan Anderson,NOP,UTA,,34:10,0.248,0.192,0.067,0.684,0.148,0.1,0.143,0.286,0.0,0.059,0.312,10,0.5,1,1,1.0,13,1.0,4,1,2,0,1,1,24,11,34.25,10,58,40,0.025,6,0.333,125.5,104.2,21.3,0.048,0.08,0.55,87.61,0.9,0.1,0.333,0.125,0.0,0.167,0.2,0.8,0.531,0.396,0.174,0.16,0,2,2,4,8,5,1,30,5,8,
2015-12-18,Ryan Anderson,NOP,PHX,,21:19,0.148,0.107,0.0,0.125,0.133,0.0,0.273,0.0,0.0,0.125,0.065,3,0.0,0,0,0.0,3,1.0,2,0,0,0,3,1,3,4,4.0,3,27,18,0.0,1,0.0,98.8,92.0,6.8,0.0,0.067,0.0,103.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.158,0.219,0.294,0,0,0,0,9,10,5,16,10,2,ESPN
2015-12-20,Ryan Anderson,NOP,DEN,,31:50,0.222,0.222,0.2,0.13,0.208,0.059,0.4,0.0,0.111,0.083,0.19,12,0.5,2,3,0.667,3,0.667,5,1,0,1,2,1,16,7,25.5,5,39,25,0.04,8,0.5,129.0,120.6,8.4,0.043,0.096,0.583,97.23,0.75,0.25,0.5,0.375,0.188,0.375,1.0,0.0,0.54,0.175,0.078,0.31,3,0,0,6,7,7,6,32,7,2,
2015-12-23,Ryan Anderson,NOP,POR,,26:40,0.262,0.244,0.368,0.154,0.2,0.083,0.5,0.0,0.167,0.0,0.228,11,0.364,3,7,0.429,2,1.0,6,1,0,1,3,0,13,15,23.75,14,37,21,0.0476,3,0.333,110.2,79.1,31.1,0.067,0.091,0.5,94.32,0.364,0.636,0.154,0.692,0.231,0.0,0.75,0.25,0.319,0.121,0.132,0.375,3,0,0,0,2,16,1,10,16,3,
2015-12-25,Ryan Anderson,NOP,MIA,,37:18,0.192,0.222,0.4,0.125,0.258,0.071,0.071,0.125,0.0,0.2,0.265,14,0.5,3,6,0.5,1,1.0,8,1,1,0,1,3,18,2,32.25,15,49,32,0.0313,6,0.667,90.0,87.7,2.3,0.048,0.113,0.607,97.0,0.571,0.429,0.444,0.5,0.0,0.222,0.571,0.429,0.411,0.339,0.186,0.278,0,0,4,4,11,12,10,20,12,0,ESPN
2015-12-26,Ryan Anderson,NOP,HOU,,22:44,0.235,0.237,0.308,0.3,0.294,0.083,0.2,0.0,0.25,0.222,0.314,9,0.667,2,4,0.5,3,0.667,5,1,0,1,2,2,16,1,25.5,9,38,25,0.04,5,0.6,103.2,110.7,-7.5,0.077,0.147,0.778,99.81,0.556,0.444,0.5,0.375,0.125,0.375,0.833,0.167,0.514,0.389,0.155,0.222,2,0,5,6,10,10,2,16,10,2,NBA TV
2015-12-28,Ryan Anderson,NOP,ORL,,22:37,0.191,0.2,0.4,0.125,0.13,0.4,0.167,0.0,0.0,0.0,0.068,8,0.125,0,4,0.0,1,1.0,3,4,0,0,1,0,3,-1,11.25,5,33,24,0.1667,3,0.0,98.8,104.2,-5.3,0.25,0.077,0.125,93.09,0.5,0.5,0.667,0.0,0.0,0.0,0.0,1.0,0.566,0.132,0.116,0.1,0,0,0,0,6,0,0,26,0,0,
