DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-14,Salah Mejri,DAL,PHX,,10:34,0.075,0.056,0.0,0.286,0.444,0.0,0.0,0.0,0.0,0.375,0.12,1,1.0,0,0,0.0,2,0.5,4,0,0,0,0,3,3,0,8.0,0,0,0,,0,0.0,113.2,107.4,5.8,0.0,0.308,1.0,103.03,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.536,0.857,0.172,0.0,0,0,0,2,3,3,4,4,3,1,
2016-10-19,Salah Mejri,DAL,HOU,,9:40,0.22,0.125,0.0,0.4,0.231,0.0,0.5,0.0,0.0,0.5,0.25,2,1.0,0,0,0.0,2,0.5,3,0,0,0,2,3,5,8,7.75,0,0,0,,0,0.0,94.3,58.1,36.2,0.0,0.115,1.0,103.88,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.225,0.3,0.145,0.294,0,2,0,4,2,2,2,6,2,1,
2016-10-21,Salah Mejri,DAL,DEN,,6:31,0.201,0.1,0.0,0.667,0.0,0.0,0.333,0.0,0.0,1.0,0.25,1,0.0,0,0,0.0,2,1.0,0,0,0,0,1,1,2,0,1.5,0,0,0,,0,0.0,55.9,61.5,-5.7,0.0,0.0,0.0,100.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.538,0.5,0,0,0,0,0,0,0,8,0,2,
2015-10-28,Salah Mejri,DAL,PHX,,2:13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-9,1.25,1,4,3,0.0,0,0.0,33.3,177.4,-144.1,0.0,0.2,0.0,132.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,1.667,0.161,0.0,0,0,0,0,0,0,7,4,0,0,
2015-10-29,Salah Mejri,DAL,LAC,,7:13,0.054,0.071,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.5,0.0,1,0.0,0,0,0.0,0,0.0,3,0,1,1,0,1,0,13,7.75,6,9,8,0.0,0,0.0,90.7,18.9,71.8,0.0,0.15,0.0,111.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.143,0.126,0.083,0,0,0,0,1,0,0,0,0,0,TNT
2015-11-03,Salah Mejri,DAL,TOR,,0:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,1,0,0,,0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-10,Salah Mejri,DAL,NOP,,9:34,0.045,0.0,0.0,0.0,0.077,0.0,0.2,0.0,0.5,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,1,1,0,0,9,2.75,4,10,8,0.0,0,0.0,104.2,70.0,34.2,0.0,0.048,0.0,105.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.1,0.133,0,0,0,0,5,0,5,2,0,2,
2015-11-11,Salah Mejri,DAL,LAC,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,-1,0.0,0,0,0,,0,0.0,0.0,56.8,-56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,ESPN
2016-01-13,Salah Mejri,DAL,OKC,,25:03,0.22,0.205,0.0,0.263,0.391,0.091,0.25,0.0,1.0,0.25,0.327,8,0.875,0,0,0.0,5,0.6,9,1,0,1,2,3,17,-3,30.5,14,42,30,0.0333,5,1.0,101.2,107.1,-5.8,0.1,0.187,0.875,98.41,1.0,0.0,0.824,0.0,0.235,0.824,0.857,0.143,0.537,0.463,0.156,0.24,4,2,4,14,16,6,14,16,6,6,
2016-01-22,Salah Mejri,DAL,OKC,,7:59,0.142,0.067,0.0,0.4,0.111,0.0,0.0,0.0,1.0,0.0,0.192,1,1.0,0,0,0.0,4,0.75,1,0,0,2,0,0,5,12,10.25,3,11,7,0.0,1,1.0,149.4,82.4,67.1,0.0,0.063,1.0,103.42,1.0,0.0,0.4,0.0,0.4,0.4,1.0,0.0,0.467,0.0,0.235,0.222,2,0,0,2,0,2,2,4,2,2,
