DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Sam Dekker,HOU,SDS,,14:00,0.234,0.222,0.25,0.333,0.158,0.167,0.25,0.0,0.0,0.5,0.231,6,0.5,1,3,0.333,2,1.0,3,2,0,0,1,1,9,16,15.25,0,0,0,,0,0.0,136.2,76.7,59.5,0.154,0.115,0.583,100.53,0.5,0.5,0.444,0.333,0.0,0.444,1.0,0.0,0.411,0.0,0.1,0.067,0,4,2,4,2,0,4,18,0,1,NBA TV
2016-10-04,Sam Dekker,HOU,NYK,,9:51,0.132,0.143,0.286,0.0,0.25,0.167,0.143,0.5,0.0,0.0,0.13,2,0.5,1,2,0.5,0,0.0,2,1,1,0,1,0,3,1,8.75,0,0,0,,0,0.0,105.7,103.8,1.9,0.143,0.154,0.75,104.67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.528,0.278,0.142,0.222,0,0,0,0,8,2,0,8,2,0,ESPN
2016-10-12,Sam Dekker,HOU,NOP,,17:32,0.183,0.231,0.083,0.0,0.263,0.167,0.0,0.5,0.0,0.333,0.311,9,0.778,0,1,0.0,0,0.0,5,1,2,0,0,3,14,10,25.5,0,0,0,,0,0.0,111.7,91.7,20.0,0.111,0.156,0.778,107.37,0.889,0.111,1.0,0.0,0.286,1.0,0.286,0.714,0.5,0.609,0.236,0.0,4,4,6,14,6,2,12,12,2,1,NBA TV
2016-10-15,Sam Dekker,HOU,MEM,,33:53,0.199,0.224,0.227,0.059,0.061,0.056,0.154,0.0,0.0,0.071,0.208,15,0.467,1,5,0.2,1,1.0,2,1,0,0,2,1,16,2,19.25,0,0,0,,0,0.0,99.4,101.6,-2.2,0.045,0.031,0.5,107.15,0.667,0.333,0.75,0.188,0.375,0.75,1.0,0.0,0.508,0.328,0.176,0.281,6,4,0,12,17,12,7,28,12,2,
2016-10-19,Sam Dekker,HOU,DAL,,13:16,0.149,0.148,0.231,0.0,0.071,0.0,0.333,0.0,0.0,0.0,0.167,4,0.25,1,3,0.333,0,0.0,1,0,0,0,1,0,3,-9,4.25,0,0,0,,0,0.0,63.1,99.3,-36.2,0.0,0.032,0.375,100.8,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.575,0.25,0.221,0.1,0,0,0,0,3,0,4,6,0,0,
2016-10-21,Sam Dekker,HOU,SAS,,20:34,0.246,0.25,0.211,0.167,0.25,0.111,0.333,0.25,0.0,0.429,0.217,11,0.364,1,4,0.25,2,0.5,5,1,1,0,1,3,10,-3,19.5,0,0,0,,0,0.0,99.4,110.1,-10.7,0.083,0.114,0.409,105.96,0.636,0.364,0.6,0.3,0.5,0.6,0.75,0.25,0.586,0.229,0.18,0.125,5,5,2,6,2,5,2,16,5,1,
2015-10-28,Sam Dekker,HOU,DEN,,1:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,1,1,0.0,0,0.0,108.7,166.7,-58.0,0.0,0.0,0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-10-30,Sam Dekker,HOU,GSW,,4:30,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,3,3.25,1,6,6,0.0,0,0.0,131.6,101.1,30.5,0.0,0.125,0.0,114.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.092,0.25,0,0,0,0,0,0,0,4,0,0,ESPN
2015-11-06,Sam Dekker,HOU,SAC,,0:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3,0.0,0,1,1,0.0,0,0.0,0.0,208.3,-208.3,0.0,0.0,0.0,209.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,ESPN
2016-10-26,Sam Dekker,HOU,LAL,,13:36,0.094,0.143,0.2,0.0,0.111,0.0,0.0,0.333,0.0,0.2,0.129,3,0.667,0,1,0.0,0,0.0,1,0,1,0,0,2,4,-4,7.25,2,14,9,0.0,2,1.0,107.5,118.2,-10.8,0.0,0.05,0.667,103.13,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.55,0.75,0.203,0.333,0,0,0,4,9,2,7,10,2,0,ESPN
