DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Sasha Vujacic,NYK,HOU,,9:47,0.206,0.238,0.333,0.0,0.143,0.429,0.0,0.0,0.0,1.0,0.217,5,0.4,1,3,0.333,0,0.0,1,3,0,0,0,1,5,1,10.5,0,0,0,,0,0.0,107.9,102.6,5.3,0.429,0.067,0.5,104.9,0.4,0.6,0.4,0.6,0.6,0.4,1.0,0.0,0.846,0.077,0.42,0.2,3,0,2,2,0,0,0,0,0,1,ESPN
2016-10-08,Sasha Vujacic,NYK,BKN,,12:50,0.276,0.25,0.571,0.25,0.143,0.0,0.4,0.0,0.0,0.5,0.458,5,0.6,3,4,0.75,2,1.0,2,0,0,0,2,2,11,-1,14.0,0,0,0,,0,0.0,94.0,95.9,-1.8,0.0,0.069,0.9,96.5,0.2,0.8,0.0,0.818,0.0,0.0,1.0,0.0,0.385,0.269,0.077,0.313,0,3,0,0,10,3,5,12,3,2,
2016-10-10,Sasha Vujacic,NYK,WAS,,5:30,0.304,0.222,0.667,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.4,2,0.5,1,2,0.5,2,0.5,1,0,0,0,1,0,4,-2,5.25,0,0,0,,0,0.0,92.9,109.1,-16.2,0.0,0.111,0.75,94.95,0.0,1.0,0.0,0.75,0.75,0.0,1.0,0.0,0.6,0.0,0.182,0.333,3,0,0,0,0,2,2,10,2,2,NBA TV
2016-10-15,Sasha Vujacic,NYK,BOS,,22:57,0.182,0.188,0.333,0.333,0.04,0.25,0.125,0.5,0.0,0.167,0.236,9,0.556,2,5,0.4,1,1.0,1,4,3,0,1,2,13,4,25.75,0,0,0,,0,0.0,116.2,102.4,13.8,0.222,0.025,0.667,101.56,0.444,0.556,0.462,0.462,0.231,0.154,1.0,0.0,0.603,0.588,0.181,0.118,3,0,0,2,6,4,6,18,4,1,NBA TV
2016-10-19,Sasha Vujacic,NYK,BOS,,17:39,0.193,0.222,0.444,0.077,0.045,0.308,0.0,0.333,0.0,0.231,0.211,8,0.625,1,4,0.25,1,1.0,1,4,1,0,0,3,12,24,20.75,0,0,0,,0,0.0,159.6,89.6,70.0,0.235,0.033,0.688,98.67,0.5,0.5,0.667,0.25,0.0,0.333,0.4,0.6,0.482,0.393,0.136,0.067,0,0,2,4,3,4,0,20,4,2,ESPN
2016-10-20,Sasha Vujacic,NYK,BKN,G,14:07,0.178,0.125,0.286,0.286,0.214,0.2,0.333,0.667,0.0,0.375,0.129,3,0.333,0,2,0.0,2,1.0,3,1,2,0,2,3,4,-1,12.0,0,0,0,,0,0.0,103.1,100.8,2.3,0.1,0.125,0.333,105.14,0.333,0.667,0.5,0.0,0.5,0.5,0.0,1.0,0.538,0.154,0.157,0.083,2,0,0,2,10,0,2,16,0,1,NBA TV
2015-10-28,Sasha Vujacic,NYK,MIL,G,28:45,0.097,0.102,0.143,0.143,0.171,0.231,0.0,0.444,0.0,0.063,0.157,6,0.667,1,2,0.5,3,0.667,6,3,4,0,0,1,11,16,30.75,9,53,40,0.075,4,0.5,116.2,88.1,28.1,0.15,0.094,0.75,101.45,0.667,0.333,0.545,0.273,0.364,0.364,0.75,0.25,0.398,0.222,0.212,0.355,4,4,0,4,10,14,2,18,14,1,
2015-10-29,Sasha Vujacic,NYK,ATL,G,25:10,0.134,0.138,0.353,0.0,0.065,0.25,0.167,0.0,0.5,0.214,0.113,8,0.25,2,6,0.333,0,0.0,2,2,0,1,2,3,6,-18,13.0,5,40,30,0.0667,1,0.0,87.1,123.3,-36.2,0.111,0.039,0.375,112.95,0.25,0.75,0.0,1.0,0.5,0.0,1.0,0.0,0.592,0.306,0.104,0.19,3,3,0,0,20,4,20,32,4,0,TNT
2015-10-31,Sasha Vujacic,NYK,WAS,G,26:11,0.163,0.189,0.286,0.0,0.222,0.308,0.125,0.333,0.0,0.167,0.061,10,0.2,0,4,0.0,0,0.0,6,4,1,0,1,2,4,6,18.0,7,41,27,0.1481,4,0.25,107.1,94.0,13.1,0.19,0.113,0.2,114.94,0.6,0.4,1.0,0.0,0.5,0.5,0.5,0.5,0.449,0.408,0.157,0.16,2,2,2,2,9,4,19,24,4,2,
2015-11-02,Sasha Vujacic,NYK,SAS,G,20:29,0.185,0.163,0.2,0.0,0.182,0.333,0.5,0.0,0.0,0.0,0.059,7,0.143,0,2,0.0,0,0.0,4,3,0,0,2,0,2,-10,9.75,5,31,21,0.1429,4,0.25,90.0,109.5,-19.4,0.25,0.091,0.143,91.34,0.714,0.286,1.0,0.0,0.0,1.0,0.0,1.0,0.556,0.139,0.149,0.267,0,0,2,2,4,0,0,28,0,0,
2015-11-04,Sasha Vujacic,NYK,CLE,G,21:50,0.246,0.238,0.455,0.0,0.167,0.0,0.4,0.0,0.0,0.0,0.191,10,0.4,1,5,0.2,0,0.0,4,0,0,0,2,0,9,7,13.5,4,38,25,0.0,4,0.5,107.4,87.5,19.9,0.0,0.098,0.45,98.36,0.5,0.5,0.667,0.333,0.0,0.444,0.5,0.5,0.395,0.342,0.066,0.05,0,0,2,4,6,3,14,14,3,0,ESPN
