DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-12,Serge Ibaka,ORL,SAS,F,20:35,0.164,0.205,0.0,0.125,0.13,0.0,0.0,0.0,0.25,0.214,0.212,8,0.375,0,0,0.0,1,1.0,3,0,0,1,0,3,7,-15,12.75,0,0,0,,0,0.0,81.4,113.5,-32.1,0.0,0.071,0.375,96.54,1.0,0.0,0.857,0.0,0.0,0.286,0.333,0.667,0.514,0.333,0.118,0.25,0,0,3,2,7,9,5,14,9,1,
2016-10-14,Serge Ibaka,ORL,IND,F,28:43,0.17,0.2,0.3,0.111,0.531,0.111,0.118,0.167,0.0,0.176,0.322,9,0.778,3,3,1.0,2,1.0,17,1,1,0,2,3,19,-4,44.0,0,0,0,,0,0.0,96.8,108.5,-11.7,0.077,0.347,0.944,99.42,0.667,0.333,0.421,0.474,0.211,0.316,0.857,0.143,0.554,0.348,0.121,0.08,4,5,5,6,21,2,16,28,2,1,
2016-10-16,Serge Ibaka,ORL,ATL,F,36:12,0.234,0.231,0.2,0.333,0.158,0.071,0.182,0.0,0.25,0.313,0.329,15,0.6,1,3,0.333,6,1.0,6,1,0,2,2,5,25,2,37.25,0,0,0,,0,0.0,101.4,104.0,-2.6,0.048,0.083,0.633,96.83,0.8,0.2,0.64,0.12,0.08,0.32,0.444,0.556,0.415,0.354,0.07,0.237,2,2,0,8,15,11,3,24,11,4,NBA TV
2016-10-18,Serge Ibaka,ORL,MIA,F,26:57,0.241,0.25,0.143,0.0,0.333,0.0,0.333,0.0,0.333,0.375,0.306,12,0.583,1,1,1.0,0,0.0,9,0,0,1,3,3,15,1,27.25,0,0,0,,0,0.0,87.1,90.4,-3.4,0.0,0.176,0.625,97.38,0.917,0.083,0.8,0.2,0.133,0.4,0.571,0.429,0.446,0.152,0.151,0.16,2,0,4,6,10,5,10,24,5,1,
2016-10-20,Serge Ibaka,ORL,NOP,F,43:35,0.2,0.235,0.182,0.0,0.231,0.12,0.0,0.125,0.2,0.211,0.189,20,0.45,0,4,0.0,0,0.0,9,3,1,1,0,4,18,8,37.0,0,0,0,,0,0.0,104.2,94.4,9.8,0.103,0.107,0.45,100.95,0.8,0.2,1.0,0.0,0.111,0.667,0.667,0.333,0.488,0.175,0.174,0.25,2,2,2,12,10,11,6,40,11,1,
2015-10-28,Serge Ibaka,OKC,SAS,F,33:58,0.184,0.158,0.071,0.105,0.185,0.067,0.4,0.0,0.5,0.083,0.119,9,0.444,0,1,0.0,2,1.0,5,1,0,2,4,1,10,10,19.5,9,33,17,0.0588,2,1.0,117.7,101.4,16.3,0.038,0.093,0.444,101.97,0.889,0.111,0.8,0.0,0.2,0.0,1.0,0.0,0.493,0.134,0.123,0.233,2,0,2,0,8,12,5,38,12,3,ESPN
2015-10-30,Serge Ibaka,OKC,ORL,F,32:41,0.154,0.197,0.071,0.0,0.333,0.0,0.071,0.25,0.4,0.375,0.114,12,0.333,0,1,0.0,0,0.0,12,0,1,2,1,3,8,-18,28.5,18,41,27,0.0,6,0.5,97.7,114.5,-16.9,0.0,0.194,0.333,109.06,0.917,0.083,1.0,0.0,0.0,0.75,0.25,0.75,0.574,0.162,0.104,0.148,0,0,6,6,20,8,20,44,8,2,
2015-11-01,Serge Ibaka,OKC,DEN,F,30:50,0.207,0.224,0.0,0.214,0.226,0.174,0.1,0.0,0.625,0.231,0.207,13,0.615,0,0,0.0,3,0.667,7,4,0,5,1,3,18,27,41.25,14,47,32,0.125,6,0.667,131.5,95.3,36.2,0.154,0.132,0.615,100.5,1.0,0.0,0.889,0.0,0.389,0.556,0.875,0.125,0.427,0.145,0.143,0.343,7,3,6,10,15,14,3,28,14,2,
2015-11-02,Serge Ibaka,OKC,HOU,F,33:52,0.179,0.233,0.053,0.0,0.378,0.167,0.056,0.2,0.571,0.158,0.169,14,0.429,0,1,0.0,0,0.0,14,2,1,4,1,3,12,-10,41.5,25,46,30,0.0667,9,0.556,97.6,110.6,-13.0,0.095,0.222,0.429,103.44,0.929,0.071,1.0,0.0,0.0,0.833,0.5,0.5,0.565,0.339,0.123,0.212,0,0,6,10,15,12,8,38,12,1,NBA TV
2015-11-04,Serge Ibaka,OKC,TOR,F,32:52,0.121,0.127,0.0,0.167,0.214,0.0,0.077,0.0,0.333,0.238,0.152,7,0.571,0,0,0.0,2,1.0,6,0,0,3,1,5,10,-5,23.0,13,32,21,0.0,2,0.5,99.6,101.0,-1.4,0.0,0.107,0.571,99.75,1.0,0.0,0.8,0.0,0.4,0.6,1.0,0.0,0.433,0.538,0.156,0.192,4,2,0,6,10,9,2,30,9,3,
