DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Sergio Rodriguez,PHI,BOS,,22:09,0.171,0.108,0.2,0.182,0.043,0.545,0.4,0.0,0.0,0.25,0.104,4,0.25,1,4,0.25,2,1.0,1,6,0,0,4,2,5,10,12.25,0,0,0,,0,0.0,102.5,81.5,21.0,0.429,0.026,0.375,101.29,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.436,0.154,0.129,0.053,0,0,2,0,9,0,3,18,0,1,
2016-10-06,Sergio Rodriguez,PHI,WAS,,18:50,0.146,0.143,0.286,0.0,0.222,0.385,0.222,0.0,0.0,0.2,0.089,4,0.5,0,2,0.0,0,0.0,4,5,0,0,2,2,4,4,14.25,0,0,0,,0,0.0,118.5,112.3,6.3,0.313,0.154,0.5,94.91,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.514,0.229,0.027,0.167,0,0,0,2,4,10,3,18,10,0,NBA TV
2016-10-08,Sergio Rodriguez,PHI,CLE,,27:01,0.221,0.25,0.417,0.118,0.065,0.5,0.0,1.0,0.0,0.182,0.238,14,0.357,3,10,0.3,2,1.0,2,8,2,0,0,2,15,-8,33.0,0,0,0,,0,0.0,111.5,120.5,-9.0,0.471,0.036,0.464,102.51,0.286,0.714,0.267,0.6,0.0,0.133,0.6,0.4,0.578,0.353,0.068,0.167,0,0,2,2,11,9,10,30,9,2,NBA TV
2016-10-11,Sergio Rodriguez,PHI,MEM,,19:31,0.28,0.156,0.5,0.286,0.118,0.5,0.636,1.0,0.0,0.273,0.133,5,0.2,1,4,0.25,4,0.25,2,2,3,0,7,3,4,-20,12.0,0,0,0,,0,0.0,66.4,104.3,-37.9,0.222,0.053,0.3,114.46,0.2,0.8,0.0,0.75,0.0,0.0,1.0,0.0,0.571,0.514,0.167,0.188,0,1,3,0,15,6,10,18,6,2,
2016-10-13,Sergio Rodriguez,PHI,WAS,,17:50,0.172,0.172,0.5,0.0,0.087,0.778,0.4,0.0,0.0,0.3,0.0,5,0.0,0,5,0.0,0,0.0,2,7,0,0,2,3,0,5,10.25,0,0,0,,0,0.0,103.8,92.4,11.4,0.583,0.05,0.0,97.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.406,0.084,0.208,0,0,0,0,4,6,7,18,6,0,
2016-10-15,Sergio Rodriguez,PHI,DET,G,23:44,0.158,0.152,0.273,0.0,0.053,0.778,0.214,0.2,0.0,0.0,0.083,5,0.2,1,3,0.333,0,0.0,1,7,1,0,3,0,3,-15,14.0,0,0,0,,0,0.0,79.1,114.6,-35.5,0.583,0.029,0.3,91.05,0.4,0.6,0.0,1.0,0.0,0.0,0.0,1.0,0.632,0.211,0.157,0.222,0,0,3,0,16,4,13,22,4,0,
2016-10-21,Sergio Rodriguez,PHI,MIA,G,26:02,0.224,0.213,0.364,0.053,0.143,0.571,0.444,0.0,0.0,0.125,0.217,10,0.5,2,4,0.5,1,1.0,3,4,0,0,4,3,13,4,20.75,0,0,0,,0,0.0,102.8,98.9,3.9,0.25,0.068,0.6,106.02,0.6,0.4,0.462,0.462,0.0,0.154,0.0,1.0,0.514,0.886,0.212,0.211,0,3,0,2,10,5,4,22,5,1,
2016-10-26,Sergio Rodriguez,PHI,OKC,G,31:51,0.155,0.2,0.333,0.0,0.129,0.75,0.0,0.0,0.0,0.059,0.176,11,0.455,2,6,0.333,0,0.0,4,9,0,0,0,1,12,8,29.25,5,96,77,0.1169,3,0.667,98.3,87.6,10.7,0.429,0.062,0.545,103.72,0.455,0.545,0.5,0.5,0.0,0.167,0.2,0.8,0.387,0.274,0.102,0.216,0,0,2,2,10,8,14,20,8,2,ESPN
2016-10-29,Sergio Rodriguez,PHI,ATL,G,28:58,0.267,0.26,0.143,0.0,0.211,0.417,0.364,0.167,0.0,0.111,0.28,13,0.538,0,2,0.0,0,0.0,4,5,1,0,4,1,14,-14,25.25,6,83,63,0.0794,4,0.75,81.1,105.3,-24.2,0.385,0.089,0.538,101.41,0.846,0.154,1.0,0.0,0.143,0.571,0.143,0.857,0.565,0.074,0.148,0.19,2,2,0,8,10,6,8,32,6,0,
2016-11-01,Sergio Rodriguez,PHI,ORL,G,31:59,0.214,0.204,0.455,0.0,0.161,0.611,0.286,0.0,0.0,0.167,0.188,11,0.455,2,5,0.4,0,0.0,5,11,0,0,4,2,12,4,31.0,5,90,72,0.1528,4,0.5,99.7,96.0,3.7,0.5,0.093,0.545,95.07,0.545,0.455,0.5,0.5,0.25,0.167,0.2,0.8,0.443,0.131,0.096,0.242,3,0,3,2,12,11,11,36,11,0,
