DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Seth Curry,DAL,NOP,,17:57,0.308,0.333,0.273,0.0,0.25,0.273,0.5,0.5,0.5,0.4,0.293,11,0.455,2,3,0.667,0,0.0,4,3,2,1,1,2,12,10,27.25,0,0,0,,0,0.0,124.4,88.1,36.3,0.333,0.121,0.545,91.13,0.727,0.273,0.5,0.5,0.167,0.167,0.6,0.4,0.482,0.179,0.256,0.286,2,2,2,2,4,2,10,14,2,2,
2016-10-03,Seth Curry,DAL,CHA,,21:59,0.267,0.31,0.375,0.333,0.154,0.0,0.0,0.0,0.0,0.091,0.444,13,0.538,5,6,0.833,1,1.0,4,0,0,0,0,1,20,6,27.5,0,0,0,,0,0.0,101.5,89.4,12.1,0.0,0.089,0.731,95.99,0.538,0.462,0.2,0.75,0.0,0.1,0.714,0.286,0.378,0.405,0.115,0.2,0,0,3,2,5,7,3,14,7,0,
2016-10-08,Seth Curry,DAL,MIL,,20:49,0.239,0.268,0.267,0.0,0.0,0.222,0.143,0.5,0.5,0.0,0.25,11,0.455,1,4,0.25,0,0.0,0,2,2,1,1,0,11,6,19.5,0,0,0,,0,0.0,104.3,98.3,5.9,0.154,0.0,0.5,93.2,0.636,0.364,0.727,0.273,0.0,0.545,0.0,1.0,0.485,0.182,0.233,0.333,0,0,0,6,3,4,4,20,4,0,
2016-10-14,Seth Curry,DAL,PHX,,16:22,0.36,0.357,0.286,0.133,0.077,0.125,0.75,0.333,0.0,0.308,0.195,10,0.3,0,2,0.0,2,1.0,1,1,1,0,3,4,8,-3,11.0,0,0,0,,0,0.0,115.2,122.9,-7.7,0.091,0.037,0.3,104.7,0.8,0.2,0.75,0.0,0.25,0.25,0.333,0.667,0.483,0.69,0.112,0.375,2,0,0,2,3,5,4,12,5,1,
2016-10-19,Seth Curry,DAL,HOU,,17:44,0.222,0.267,0.429,0.333,0.111,0.444,0.0,0.5,0.333,0.0,0.143,8,0.125,1,6,0.167,3,0.667,2,4,1,1,0,0,5,1,17.0,0,0,0,,0,0.0,89.8,86.6,3.3,0.364,0.049,0.188,105.89,0.25,0.75,0.0,0.6,0.0,0.0,0.0,1.0,0.361,0.333,0.178,0.375,0,3,0,0,7,4,2,18,4,2,
2016-10-21,Seth Curry,DAL,DEN,,18:53,0.174,0.182,0.111,0.333,0.083,0.286,0.0,0.5,0.0,0.0,0.258,6,0.5,0,1,0.0,2,1.0,1,2,1,0,0,0,8,-6,13.75,0,0,0,,0,0.0,84.6,98.8,-14.2,0.25,0.029,0.5,94.15,0.833,0.167,0.75,0.0,0.25,0.5,0.333,0.667,0.529,0.029,0.214,0.357,2,0,2,4,2,6,8,24,6,2,
2015-10-30,Seth Curry,SAC,LAL,,3:49,0.2,0.286,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.0,0.222,2,0.5,0,0,0.0,0,0.0,1,1,0,0,0,0,2,-3,4.5,3,12,8,0.125,2,0.5,90.0,111.5,-21.5,0.333,0.125,0.5,130.54,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.444,0.186,0.4,0,0,0,2,2,2,5,4,2,0,
2015-11-03,Seth Curry,SAC,MEM,,3:16,0.244,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.444,2,1.0,0,0,0.0,0,0.0,0,1,0,0,0,0,4,5,5.25,0,6,5,0.2,0,0.0,109.8,59.2,50.6,0.5,0.0,1.0,109.91,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.444,0.0,2,0,0,0,0,0,0,0,0,0,
2015-11-04,Seth Curry,SAC,PHX,,5:05,0.167,0.2,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.231,2,0.5,1,2,0.5,0,0.0,0,2,0,0,0,0,3,-3,6.0,0,11,8,0.25,1,0.0,118.2,129.9,-11.7,0.5,0.0,0.75,110.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7,0.3,0.244,0.5,0,0,0,0,0,6,0,6,6,0,
2015-11-06,Seth Curry,SAC,HOU,,15:09,0.116,0.16,0.2,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.178,4,0.75,2,2,1.0,0,0.0,0,2,0,0,0,0,8,10,11.5,2,15,11,0.1818,2,1.0,148.0,123.8,24.3,0.154,0.0,1.0,92.96,0.5,0.5,0.25,0.75,0.375,0.25,0.667,0.333,0.463,0.444,0.212,0.667,3,3,0,2,8,11,5,10,11,1,ESPN
2015-11-13,Seth Curry,SAC,BKN,,4:17,0.202,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,11,9,0.0,1,0.0,45.0,91.3,-46.3,0.0,0.0,0.0,98.72,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.571,0.0,0.0,0,0,0,0,2,0,4,4,0,0,NBA TV
2015-11-15,Seth Curry,SAC,TOR,,4:44,0.102,0.125,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,1,1.0,1,1,1.0,0,0.0,0,0,0,0,0,1,3,0,3.5,0,11,9,0.0,1,1.0,102.7,91.1,11.6,0.0,0.0,1.5,94.65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.286,0.202,0.0,0,0,0,0,3,2,0,2,2,0,
2015-11-27,Seth Curry,SAC,MIN,,1:15,0.667,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1,1.0,0,0,0.0,0,0.0,0,0,0,0,1,0,2,2,1.5,0,4,2,0.0,0,0.0,133.3,100.0,33.3,0.0,0.0,1.0,96.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.5,0,0,0,0,0,0,0,2,0,0,
2015-11-28,Seth Curry,SAC,GSW,,9:23,0.328,0.286,0.5,0.0,0.143,0.286,0.667,0.0,0.0,0.25,0.321,4,0.75,3,3,1.0,0,0.0,1,2,0,0,2,1,9,9,13.25,1,18,11,0.1818,1,1.0,152.8,108.4,44.4,0.286,0.056,1.125,91.67,0.25,0.75,0.0,1.0,0.0,0.0,0.667,0.333,0.361,0.444,0.114,0.462,0,6,0,0,2,5,4,4,5,0,
2015-11-30,Seth Curry,SAC,DAL,,19:37,0.09,0.1,0.231,0.111,0.071,0.111,0.0,0.0,0.0,0.111,0.186,3,0.667,2,3,0.667,2,1.0,1,1,0,0,0,1,8,4,11.5,2,21,15,0.0667,0,0.0,102.6,96.8,5.8,0.077,0.032,1.0,100.57,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.441,0.353,0.149,0.278,0,0,5,0,3,2,0,10,2,2,
