DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Shabazz Muhammad,MIN,MIA,,22:05,0.277,0.333,0.154,0.444,0.24,0.0,0.0,0.0,0.0,0.0,0.326,14,0.357,1,2,0.5,4,0.75,6,0,0,0,0,0,14,2,22.0,0,0,0,,0,0.0,86.1,89.4,-3.4,0.0,0.133,0.393,104.11,0.857,0.143,0.571,0.214,0.143,0.571,0.6,0.4,0.486,0.306,0.175,0.143,2,2,2,8,12,2,3,20,2,4,
2016-10-10,Shabazz Muhammad,MIN,CHA,,19:52,0.348,0.342,0.25,0.545,0.227,0.0,0.2,0.0,0.0,0.429,0.414,13,0.231,1,3,0.333,6,0.833,5,0,0,0,1,3,12,-7,18.25,0,0,0,,0,0.0,71.0,85.1,-14.1,0.0,0.114,0.269,100.46,0.769,0.231,0.333,0.25,0.167,0.333,0.667,0.333,0.486,0.086,0.236,0.211,2,3,2,4,6,0,4,18,0,4,
2016-10-12,Shabazz Muhammad,MIN,DEN,,19:36,0.275,0.27,0.125,0.556,0.111,0.167,0.143,0.167,0.0,0.2,0.5,10,0.7,1,1,1.0,5,0.6,2,1,1,0,1,2,18,4,23.75,0,0,0,,0,0.0,80.1,75.9,4.2,0.143,0.048,0.75,106.68,0.9,0.1,0.667,0.167,0.111,0.556,0.429,0.571,0.379,0.483,0.261,0.211,2,2,2,10,12,4,9,18,4,4,
2016-10-15,Shabazz Muhammad,MIN,MIA,,21:50,0.198,0.219,0.0,0.4,0.167,0.0,0.077,0.333,0.0,0.125,0.257,7,0.429,0,0,0.0,4,0.75,4,0,1,0,1,1,9,-6,15.5,0,0,0,,0,0.0,78.8,88.4,-9.5,0.0,0.087,0.429,99.79,1.0,0.0,0.667,0.0,0.222,0.444,0.333,0.667,0.405,0.238,0.129,0.24,2,0,0,4,13,6,9,14,6,3,
2016-10-21,Shabazz Muhammad,MIN,CHA,,18:40,0.362,0.345,0.375,0.5,0.08,0.0,0.364,0.167,0.0,0.125,0.515,10,0.6,2,3,0.667,4,0.75,2,0,1,0,4,1,17,10,20.5,0,0,0,,0,0.0,81.4,55.4,26.0,0.0,0.045,0.7,105.48,0.7,0.3,0.471,0.353,0.118,0.471,1.0,0.0,0.278,0.222,0.193,0.214,2,5,2,8,8,3,5,8,3,4,NBA TV
2015-10-28,Shabazz Muhammad,MIN,LAL,,18:55,0.19,0.156,0.2,0.222,0.091,0.0,1.0,0.0,0.0,0.167,0.238,5,0.6,1,2,0.5,4,0.75,1,0,0,0,1,1,10,-7,11.25,4,16,8,0.0,3,0.667,105.2,110.4,-5.1,0.0,0.031,0.7,106.98,0.6,0.4,0.4,0.3,0.3,0.4,1.0,0.0,0.556,0.278,0.18,0.286,3,2,0,4,2,10,7,18,10,2,ESPN
2015-10-30,Shabazz Muhammad,MIN,DEN,,16:11,0.176,0.217,0.286,0.0,0.063,0.0,0.125,0.0,0.0,0.273,0.083,5,0.2,0,2,0.0,0,0.0,1,0,0,0,1,3,2,1,2.75,2,11,5,0.0,2,0.0,70.4,68.4,2.1,0.0,0.03,0.2,100.43,0.6,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.31,0.207,0.149,0.158,0,0,0,2,8,2,2,12,2,0,
2015-11-02,Shabazz Muhammad,MIN,POR,,17:22,0.203,0.192,0.0,0.462,0.25,0.0,0.0,0.333,0.0,0.111,0.231,5,0.4,0,0,0.0,6,0.833,4,0,1,0,0,1,9,-5,16.0,4,17,9,0.0,5,0.4,112.3,118.7,-6.3,0.0,0.125,0.4,99.22,1.0,0.0,0.444,0.0,0.333,0.444,1.0,0.0,0.588,0.206,0.135,0.278,3,1,0,4,5,12,4,14,12,3,
2015-11-05,Shabazz Muhammad,MIN,MIA,,22:38,0.255,0.263,0.125,0.385,0.261,0.111,0.125,0.0,0.5,0.118,0.286,10,0.5,0,1,0.0,5,0.8,6,1,0,1,1,2,14,6,24.25,12,27,12,0.0833,8,0.5,107.2,104.0,3.2,0.083,0.171,0.5,92.34,0.9,0.1,0.714,0.0,0.0,0.571,0.4,0.6,0.483,0.655,0.121,0.056,0,2,5,8,11,3,8,16,3,4,
2015-11-07,Shabazz Muhammad,MIN,CHI,,21:17,0.154,0.121,0.0,0.333,0.125,0.1,0.222,0.0,0.0,0.25,0.118,4,0.25,0,0,0.0,2,1.0,2,1,0,0,2,3,4,-17,6.75,2,21,12,0.0833,4,0.25,79.7,119.0,-39.3,0.091,0.053,0.25,96.39,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.566,0.289,0.14,0.3,0,2,2,2,15,7,4,22,7,2,
2015-11-09,Shabazz Muhammad,MIN,ATL,,10:21,0.207,0.167,0.0,0.0,0.143,0.0,0.5,0.0,0.0,0.0,0.214,3,1.0,0,0,0.0,0,0.0,1,0,0,0,2,0,6,0,6.25,2,8,3,0.0,3,1.0,126.1,122.4,3.7,0.0,0.083,1.0,104.53,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.722,0.111,0.219,0.167,0,0,0,6,9,2,2,10,2,0,
2015-11-10,Shabazz Muhammad,MIN,CHA,,14:13,0.187,0.2,0.167,0.25,0.077,0.0,0.125,0.0,0.0,0.0,0.267,4,0.5,0,1,0.0,2,0.0,1,0,0,0,1,0,4,-21,4.75,2,14,7,0.0,3,0.667,52.6,128.8,-76.2,0.0,0.037,0.5,95.35,0.75,0.25,1.0,0.0,0.0,0.5,1.0,0.0,0.558,0.346,0.036,0.231,0,0,2,2,9,3,0,12,3,1,
2015-11-12,Shabazz Muhammad,MIN,GSW,,19:12,0.222,0.222,0.25,0.313,0.211,0.0,0.0,0.0,0.0,0.5,0.296,8,0.75,0,1,0.0,5,0.8,4,0,0,0,0,2,16,6,21.0,9,21,11,0.0,4,0.75,142.0,119.0,22.9,0.0,0.133,0.75,97.97,0.875,0.125,0.75,0.0,0.25,0.375,0.333,0.667,0.657,0.086,0.174,0.214,4,4,2,6,5,8,4,16,8,4,TNT
2015-11-13,Shabazz Muhammad,MIN,IND,,18:39,0.242,0.242,0.182,0.143,0.211,0.125,0.286,0.0,0.0,0.2,0.22,8,0.5,0,2,0.0,1,1.0,4,1,0,0,2,2,9,3,14.25,8,22,11,0.0909,5,0.8,104.9,98.4,6.5,0.083,0.125,0.5,100.01,0.75,0.25,0.889,0.0,0.0,0.889,0.5,0.5,0.467,0.5,0.13,0.167,0,3,2,8,4,5,12,14,5,2,
2015-11-15,Shabazz Muhammad,MIN,MEM,,16:33,0.261,0.333,0.143,0.0,0.333,0.0,0.143,0.0,0.0,0.0,0.267,8,0.5,0,1,0.0,0,0.0,4,0,0,0,1,0,8,-6,12.5,5,17,6,0.0,6,0.5,95.2,104.9,-9.7,0.0,0.174,0.5,95.48,0.875,0.125,1.0,0.0,0.0,0.5,0.75,0.25,0.589,0.107,0.175,0.1,0,2,2,4,6,0,2,12,0,2,
2015-11-17,Shabazz Muhammad,MIN,MIA,,20:17,0.193,0.19,0.231,0.222,0.0,0.286,0.0,0.0,0.0,0.125,0.348,8,0.75,2,3,0.667,2,1.0,0,2,0,0,0,1,16,12,19.5,3,16,5,0.4,5,0.8,109.6,80.0,29.7,0.167,0.0,0.875,99.96,0.625,0.375,0.5,0.375,0.188,0.375,0.5,0.5,0.5,0.242,0.259,0.263,3,0,0,6,0,8,4,26,8,3,
