DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Shabazz Napier,POR,UTA,,16:52,0.244,0.24,0.188,0.667,0.2,0.2,0.167,0.2,0.0,0.0,0.44,6,0.667,2,3,0.667,2,0.5,2,1,1,0,1,0,11,-1,17.25,0,0,0,,0,0.0,79.8,84.0,-4.2,0.167,0.077,0.833,88.62,0.5,0.5,0.364,0.545,0.273,0.0,0.25,0.75,0.409,0.409,0.258,0.25,3,7,0,0,4,0,0,6,0,1,NBA TV
2016-10-07,Shabazz Napier,POR,PHX,,24:20,0.292,0.273,0.625,0.375,0.182,0.167,0.286,0.5,0.0,0.1,0.357,12,0.417,2,5,0.4,9,0.889,6,1,2,0,2,1,20,1,32.75,0,0,0,,0,0.0,108.6,101.6,7.1,0.091,0.102,0.5,104.27,0.583,0.417,0.3,0.3,0.15,0.3,0.4,0.6,0.452,0.269,0.074,0.258,3,3,0,6,4,9,8,28,9,6,
2016-10-11,Shabazz Napier,POR,LAL,,22:02,0.248,0.2,0.333,0.545,0.048,0.286,0.25,0.333,0.0,0.167,0.219,6,0.333,1,3,0.333,6,0.333,1,2,1,0,2,2,7,-5,12.25,0,0,0,,0,0.0,76.5,84.6,-8.1,0.2,0.023,0.417,93.2,0.5,0.5,0.286,0.429,0.143,0.0,0.5,0.5,0.375,0.325,0.069,0.2,1,0,3,0,6,11,8,20,11,3,NBA TV
2016-10-13,Shabazz Napier,POR,LAC,,12:00,0.373,0.381,0.25,0.25,0.077,0.0,0.5,0.0,0.0,0.0,0.3,8,0.375,1,1,1.0,2,1.0,1,0,0,0,1,0,9,10,10.25,0,0,0,,0,0.0,127.6,91.9,35.6,0.0,0.045,0.438,90.56,0.875,0.125,0.444,0.333,0.0,0.444,0.333,0.667,0.4,0.2,0.092,0.167,0,0,0,4,2,4,0,6,4,2,TNT
2016-10-16,Shabazz Napier,POR,DEN,,10:32,0.216,0.188,0.4,0.333,0.083,0.0,0.25,0.0,0.0,0.25,0.5,3,0.667,1,2,0.5,2,0.5,1,0,0,0,1,1,6,-6,7.25,0,0,0,,0,0.0,55.5,95.9,-40.5,0.0,0.042,0.833,92.05,0.333,0.667,0.333,0.5,0.0,0.0,0.5,0.5,0.375,0.2,0.0,0.214,0,0,0,0,0,4,0,6,4,1,NBA TV
2016-10-19,Shabazz Napier,POR,UTA,,8:35,0.378,0.3,0.667,0.0,0.2,0.0,0.6,1.0,0.0,0.5,0.429,3,0.667,2,2,1.0,0,0.0,1,0,1,0,3,2,6,-3,8.75,0,0,0,,0,0.0,88.2,95.7,-7.6,0.0,0.091,1.0,94.06,0.333,0.667,0.0,1.0,0.5,0.0,0.5,0.5,0.433,0.267,0.169,0.286,3,0,0,0,8,4,2,2,4,1,
2015-10-30,Shabazz Napier,ORL,OKC,,0:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-01,Shabazz Napier,ORL,CHI,,16:09,0.142,0.152,0.222,0.25,0.0,0.167,0.0,0.25,0.0,0.333,0.226,5,0.4,1,2,0.5,2,1.0,0,1,1,0,0,3,7,7,10.75,2,41,33,0.0303,3,0.333,82.6,68.3,14.4,0.111,0.0,0.5,107.99,0.6,0.4,0.286,0.429,0.0,0.286,0.5,0.5,0.26,0.56,0.228,0.286,0,0,0,2,5,0,4,6,0,2,
2015-11-03,Shabazz Napier,ORL,NOP,,0:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3,0.0,0,2,2,0.0,0,0.0,100.0,266.0,-166.0,0.0,0.0,0.0,105.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,
2015-11-04,Shabazz Napier,ORL,HOU,,9:07,0.224,0.214,0.667,0.0,0.2,0.5,0.333,0.0,0.0,0.0,0.105,3,0.333,0,2,0.0,0,0.0,1,2,0,0,1,0,2,3,5.25,1,20,14,0.1429,3,0.333,112.6,93.7,18.9,0.286,0.091,0.333,89.38,0.333,0.667,1.0,0.0,0.0,0.0,0.0,1.0,0.458,0.583,0.234,0.333,0,0,0,0,3,2,1,4,2,1,
2015-11-06,Shabazz Napier,ORL,TOR,,16:39,0.143,0.133,0.182,0.0,0.143,0.6,0.25,0.0,0.0,0.111,0.132,4,0.5,1,2,0.5,0,0.0,2,6,0,0,1,1,5,12,15.0,4,37,31,0.1935,3,0.667,112.2,80.5,31.6,0.429,0.065,0.625,95.37,0.5,0.5,0.4,0.6,0.4,0.0,0.0,1.0,0.3,0.4,0.093,0.316,2,0,3,0,6,5,3,8,5,1,
2015-11-07,Shabazz Napier,ORL,PHI,,9:39,0.186,0.063,0.0,1.0,0.182,0.125,0.5,0.0,0.0,0.0,0.053,1,0.0,0,0,0.0,2,0.5,2,1,0,0,2,0,1,1,3.75,2,15,11,0.0909,0,0.0,100.6,93.2,7.5,0.125,0.125,0.0,95.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.188,0.104,0.0,0,0,0,0,3,0,3,8,0,1,
2015-11-09,Shabazz Napier,ORL,IND,,2:11,0.167,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,0,0,0,0,-2,2.5,4,3,2,0.0,0,0.0,60.0,102.5,-42.5,0.0,0.333,0.0,108.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0,0,0,0,2,0,0,0,0,0,
2015-11-11,Shabazz Napier,ORL,LAL,,30:11,0.293,0.291,0.5,0.111,0.0,0.214,0.5,0.25,0.0,0.25,0.314,16,0.5,5,9,0.556,1,1.0,0,3,1,0,2,3,22,2,29.25,4,64,46,0.0652,5,0.4,122.9,116.0,6.9,0.158,0.0,0.656,91.89,0.438,0.563,0.273,0.682,0.273,0.091,0.5,0.5,0.622,0.333,0.171,0.167,6,0,0,2,3,4,2,28,4,1,
2015-11-13,Shabazz Napier,ORL,UTA,,18:14,0.182,0.138,0.1,0.0,0.083,0.0,0.4,0.4,0.0,0.154,0.051,4,0.25,0,1,0.0,0,0.0,1,0,2,0,4,2,2,-4,5.25,2,47,36,0.0,3,0.333,93.2,97.9,-4.7,0.0,0.034,0.25,112.88,0.75,0.25,1.0,0.0,1.0,0.0,0.0,1.0,0.417,0.5,0.159,0.412,2,0,0,0,12,8,13,20,8,0,
2015-11-14,Shabazz Napier,ORL,WAS,,16:24,0.233,0.167,0.111,0.0,0.0,0.167,0.667,0.25,0.0,0.111,0.188,5,0.6,0,1,0.0,0,0.0,0,1,1,0,4,1,6,3,7.25,3,34,22,0.0455,3,0.667,87.3,88.0,-0.6,0.1,0.0,0.6,101.88,0.8,0.2,1.0,0.0,0.0,0.333,0.333,0.667,0.48,0.36,0.152,0.063,0,2,0,2,4,0,7,18,0,3,
2015-11-18,Shabazz Napier,ORL,MIN,,14:43,0.261,0.29,0.5,0.2,0.0,0.111,0.0,1.0,0.0,0.0,0.333,9,0.333,2,4,0.5,1,1.0,0,1,1,0,0,0,9,-15,13.25,2,37,23,0.0435,5,0.4,86.5,132.7,-46.2,0.143,0.0,0.444,102.48,0.556,0.444,0.222,0.667,0.667,0.222,1.0,0.0,0.655,0.207,0.063,0.2,6,0,3,2,3,6,10,16,6,5,
2015-11-21,Shabazz Napier,ORL,SAC,,11:57,0.042,0.048,0.111,0.0,0.3,0.75,0.0,0.0,0.0,0.2,0.136,1,1.0,1,1,1.0,0,0.0,3,3,0,0,0,1,3,0,11.0,4,25,23,0.1304,0,0.0,100.5,101.1,-0.6,0.375,0.12,1.5,87.65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.391,0.174,0.092,0.385,0,0,0,0,2,2,2,12,2,0,
2015-11-23,Shabazz Napier,ORL,CLE,,29:10,0.224,0.213,0.286,0.471,0.12,0.6,0.0,0.333,0.2,0.077,0.159,10,0.3,0,4,0.0,8,0.625,3,9,1,1,0,1,11,5,30.0,7,65,50,0.18,7,0.286,126.7,114.6,12.0,0.391,0.064,0.3,90.78,0.6,0.4,0.545,0.0,0.0,0.182,0.0,1.0,0.571,0.224,0.125,0.208,0,1,0,2,5,3,3,22,3,5,
2015-11-25,Shabazz Napier,ORL,NYK,,12:27,0.179,0.182,0.2,0.0,0.077,0.0,0.5,0.0,0.0,0.125,0.087,4,0.25,0,1,0.0,0,0.0,1,0,0,0,1,1,2,8,2.75,1,24,18,0.0,2,0.5,96.0,54.7,41.2,0.0,0.04,0.25,98.99,0.75,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.136,0.455,0.146,0.25,0,0,0,0,2,6,0,6,6,1,
2015-11-27,Shabazz Napier,ORL,MIL,,11:51,0.264,0.25,0.375,0.75,0.125,0.6,0.167,0.0,0.0,0.0,0.333,5,0.2,0,3,0.0,3,0.667,2,3,0,0,1,0,4,-3,9.75,4,30,23,0.1304,2,0.5,46.6,60.3,-13.7,0.75,0.067,0.2,102.56,0.4,0.6,0.5,0.0,0.0,0.5,1.0,0.0,0.31,0.095,0.121,0.0,0,0,0,2,2,0,2,10,0,1,NBA TV
2015-11-29,Shabazz Napier,ORL,BOS,,9:25,0.2,0.176,0.333,0.0,0.111,0.571,0.333,0.0,0.0,0.0,0.192,3,0.667,1,2,0.5,0,0.0,1,4,0,0,1,0,5,6,11.25,1,21,17,0.2353,0,0.0,144.4,98.4,46.0,0.444,0.067,0.833,97.68,0.333,0.667,0.4,0.6,0.0,0.0,0.5,0.5,0.475,0.15,0.049,0.222,0,0,0,0,4,4,2,8,4,0,
2015-12-01,Shabazz Napier,ORL,MIN,,6:17,0.202,0.214,0.333,0.0,0.143,0.5,0.0,0.0,0.0,0.2,0.0,3,0.0,0,1,0.0,0,0.0,1,1,0,0,0,1,0,-2,2.5,2,12,9,0.1111,1,0.0,109.4,123.0,-13.5,0.2,0.083,0.0,91.98,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.625,0.164,0.0,0,0,0,0,0,0,0,6,0,0,
2015-12-03,Shabazz Napier,ORL,UTA,,15:19,0.122,0.148,0.222,0.0,0.083,0.4,0.0,0.0,0.0,0.0,0.107,4,0.25,1,2,0.5,0,0.0,1,2,0,0,0,0,3,-4,7.25,1,34,29,0.069,1,0.0,94.1,108.4,-14.3,0.222,0.04,0.375,92.89,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.542,0.333,0.169,0.25,0,0,0,0,3,4,1,12,4,0,
2015-12-05,Shabazz Napier,ORL,LAC,,11:10,0.121,0.105,0.333,0.5,0.0,0.4,0.0,0.0,0.0,0.2,0.095,2,0.0,0,1,0.0,2,1.0,0,2,0,0,0,1,2,-3,4.5,2,24,19,0.1053,1,0.0,106.3,115.6,-9.3,0.25,0.0,0.0,87.09,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.235,0.145,0.1,0,0,0,0,4,2,4,6,2,1,
2015-12-08,Shabazz Napier,ORL,DEN,,14:10,0.298,0.318,0.5,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.3,7,0.429,0,3,0.0,0,0.0,0,0,1,0,1,0,6,0,7.5,1,32,23,0.0,1,1.0,74.4,73.2,1.2,0.0,0.0,0.429,91.82,0.571,0.429,1.0,0.0,0.0,0.667,0.333,0.667,0.352,0.111,0.146,0.278,0,0,0,4,4,6,4,8,6,0,
2015-12-09,Shabazz Napier,ORL,PHX,,14:38,0.122,0.136,0.375,0.5,0.0,0.444,0.0,0.0,0.0,0.154,0.189,3,0.667,2,3,0.667,2,0.5,0,4,0,0,0,2,7,-2,13.0,1,34,28,0.1429,0,0.0,120.3,119.2,1.1,0.333,0.0,1.0,104.11,0.0,1.0,0.0,0.857,0.0,0.0,0.5,0.5,0.518,0.464,0.122,0.357,0,1,0,0,11,6,7,22,6,1,
2015-12-11,Shabazz Napier,ORL,CLE,,19:27,0.245,0.219,0.25,0.2,0.0,0.714,0.375,0.25,0.0,0.111,0.088,7,0.143,0,3,0.0,2,0.5,0,5,1,0,3,1,3,-5,9.75,1,45,32,0.1563,3,0.0,84.2,101.6,-17.4,0.5,0.0,0.143,97.27,0.571,0.429,0.667,0.0,0.0,0.667,0.0,1.0,0.611,0.37,0.313,0.357,0,0,0,2,12,5,3,14,5,2,
2015-12-14,Shabazz Napier,ORL,BKN,,4:05,0.375,0.2,0.0,0.0,0.0,1.0,0.667,1.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,2,2,0,2,0,0,0,5.5,0,12,8,0.25,1,0.0,62.5,55.6,6.9,1.0,0.0,0.0,99.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.0,0.333,0.2,0,0,0,0,3,0,0,2,0,0,
2015-12-16,Shabazz Napier,ORL,CHA,,3:35,0.387,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-7,-0.5,1,13,9,0.0,1,0.0,90.2,191.3,-101.1,0.0,0.0,0.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.5,0.0,0.0,0,0,0,0,5,0,5,2,0,1,
2015-12-21,Shabazz Napier,ORL,NYK,,11:33,0.205,0.174,0.333,0.0,0.222,0.857,1.0,0.0,0.0,0.167,0.107,4,0.25,1,2,0.5,0,0.0,2,6,0,0,1,1,3,2,13.0,2,32,26,0.2308,1,0.0,124.8,123.3,1.4,0.545,0.105,0.375,90.43,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.588,0.412,0.142,0.222,0,0,0,0,0,2,2,6,2,0,
2015-12-28,Shabazz Napier,ORL,NOP,,2:02,0.466,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-3,-0.5,1,7,3,0.0,2,0.0,91.9,163.9,-72.0,0.0,0.0,0.0,121.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5,0,0,0,0,2,2,2,4,2,0,
2015-12-30,Shabazz Napier,ORL,BKN,,17:11,0.178,0.133,0.2,0.5,0.176,0.625,0.286,1.0,0.0,0.375,0.2,4,0.5,1,2,0.5,2,1.0,3,5,1,0,2,3,7,-9,18.5,4,51,44,0.1136,1,0.0,110.2,127.9,-17.7,0.417,0.111,0.625,92.41,0.5,0.5,0.286,0.429,0.0,0.0,0.5,0.5,0.586,0.345,0.058,0.091,0,0,3,0,8,4,9,16,4,1,
2016-01-01,Shabazz Napier,ORL,WAS,,1:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0.0,100.0,200.0,-100.0,0.0,0.0,0.0,69.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2016-01-02,Shabazz Napier,ORL,CLE,,17:43,0.252,0.185,0.222,0.5,0.2,0.143,0.333,1.0,0.0,0.1,0.244,5,0.4,0,2,0.0,6,1.0,4,1,1,0,2,1,10,7,17.25,5,30,20,0.05,1,1.0,113.0,91.8,21.2,0.091,0.111,0.4,99.32,0.6,0.4,0.4,0.0,0.2,0.4,0.0,1.0,0.431,0.552,0.135,0.182,2,2,0,4,12,5,2,12,5,4,
2016-01-04,Shabazz Napier,ORL,DET,,27:18,0.254,0.273,0.545,0.0,0.056,0.333,0.25,1.0,0.0,0.25,0.204,12,0.333,2,6,0.333,0,0.0,1,2,2,0,2,3,10,-20,17.75,5,63,47,0.0426,6,0.333,94.1,135.2,-41.1,0.133,0.021,0.417,90.65,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.602,0.327,0.098,0.4,0,0,0,0,11,13,16,18,13,1,
2016-01-06,Shabazz Napier,ORL,IND,,7:27,0.341,0.25,0.286,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.571,3,0.333,1,2,0.5,5,1.0,0,1,0,0,1,0,8,4,9.25,1,26,19,0.0526,1,0.0,86.4,64.8,21.7,0.333,0.0,0.5,101.84,0.333,0.667,0.0,0.375,0.625,0.0,0.0,1.0,0.455,0.091,0.259,0.0,5,0,0,0,0,0,0,6,0,4,
2016-01-08,Shabazz Napier,ORL,BKN,,12:02,0.113,0.091,0.0,0.0,0.143,0.0,0.25,0.0,0.0,0.2,0.0,2,0.0,0,0,0.0,0,0.0,2,0,0,0,1,2,0,-3,2.0,5,30,26,0.0,1,0.0,71.3,87.8,-16.5,0.0,0.077,0.0,87.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.333,0.139,0.167,0,0,0,0,3,0,0,8,0,0,
2016-01-09,Shabazz Napier,ORL,WAS,,9:17,0.213,0.2,0.667,0.0,0.125,0.5,0.5,0.0,0.0,0.333,0.0,3,0.0,0,2,0.0,0,0.0,1,2,0,0,1,1,0,1,3.25,2,18,12,0.1667,2,0.0,114.2,98.2,16.1,0.286,0.077,0.0,85.52,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.2,0.115,0.167,0,0,0,0,4,4,2,8,4,2,
2016-01-18,Shabazz Napier,ORL,ATL,,12:12,0.163,0.2,0.5,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.217,4,0.5,1,3,0.333,0,0.0,0,2,0,0,0,0,5,-4,8.0,0,28,23,0.087,1,1.0,97.8,104.3,-6.5,0.4,0.0,0.625,97.15,0.25,0.75,0.4,0.6,0.6,0.0,1.0,0.0,0.625,0.1,0.193,0.0,3,0,0,0,0,2,5,14,2,1,NBA TV
2016-01-20,Shabazz Napier,ORL,PHI,,4:19,0.338,0.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-10,0.0,0,8,5,0.0,3,0.0,33.8,144.4,-110.7,0.0,0.0,0.0,99.41,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.813,0.0,0.111,0.0,0,0,0,0,3,0,6,4,0,0,
2016-01-22,Shabazz Napier,ORL,CHA,,14:45,0.104,0.091,0.143,0.0,0.25,0.333,0.2,1.0,0.0,0.25,0.135,2,1.0,1,1,1.0,0,0.0,3,3,2,0,1,1,5,9,16.5,4,38,35,0.0857,0,0.0,133.3,100.9,32.4,0.25,0.125,1.25,90.33,0.5,0.5,0.4,0.6,0.0,0.0,1.0,0.0,0.403,0.129,0.072,0.389,0,0,0,0,6,8,0,14,8,0,
2016-01-25,Shabazz Napier,ORL,MEM,,14:27,0.152,0.185,0.273,0.0,0.154,0.1,0.0,0.0,0.0,0.0,0.167,5,0.4,2,3,0.667,0,0.0,2,1,0,0,0,0,6,8,10.75,4,35,29,0.0345,1,0.0,124.7,103.4,21.3,0.083,0.067,0.6,92.94,0.4,0.6,0.0,1.0,0.0,0.0,0.5,0.5,0.379,0.241,0.148,0.5,0,0,0,0,4,8,4,22,8,0,
2016-01-26,Shabazz Napier,ORL,MIL,,24:00,0.114,0.095,0.167,0.0,0.091,0.273,0.5,1.0,0.0,0.25,0.058,4,0.25,1,2,0.5,0,0.0,2,3,3,0,2,3,3,-1,14.75,5,63,53,0.0566,1,0.0,114.0,115.7,-1.7,0.188,0.044,0.375,91.4,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.514,0.541,0.131,0.286,0,0,0,0,5,10,6,24,10,1,
2016-01-29,Shabazz Napier,ORL,BOS,,17:44,0.291,0.308,0.667,0.2,0.154,0.5,0.286,0.5,0.0,0.167,0.394,8,0.625,3,6,0.5,2,0.0,2,3,1,0,2,1,13,-8,21.75,2,39,26,0.1154,2,0.0,90.7,111.9,-21.2,0.429,0.071,0.813,98.9,0.25,0.75,0.308,0.692,0.231,0.154,0.2,0.8,0.561,0.182,0.082,0.143,3,0,0,2,12,3,8,20,3,1,
2016-02-01,Shabazz Napier,ORL,SAS,,2:30,0.2,0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,1,1.0,1,1,1.0,0,0.0,1,0,0,0,0,0,3,-1,4.75,1,5,4,0.0,0,0.0,100.0,123.0,-23.0,0.0,0.25,1.5,94.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,2,4,0,0,
