DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Shelvin Mack,UTA,POR,,12:18,0.267,0.263,0.333,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.211,5,0.4,0,1,0.0,0,0.0,0,4,0,0,2,0,4,-8,8.0,0,0,0,,0,0.0,75.4,104.8,-29.4,0.8,0.0,0.4,99.43,0.8,0.2,1.0,0.0,0.5,0.5,0.0,1.0,0.625,0.2,0.194,0.111,2,0,0,2,5,1,5,8,1,1,NBA TV
2016-10-05,Shelvin Mack,UTA,PHX,,27:10,0.184,0.186,0.167,0.2,0.192,0.625,0.167,0.25,0.0,0.214,0.185,8,0.375,0,1,0.0,4,1.0,5,5,1,0,2,3,10,3,23.5,0,0,0,,0,0.0,93.4,89.0,4.4,0.313,0.093,0.375,101.67,0.875,0.125,0.6,0.0,0.2,0.2,0.0,1.0,0.375,0.214,0.157,0.394,2,2,0,2,14,13,8,30,13,3,NBA TV
2016-10-10,Shelvin Mack,UTA,LAC,,17:37,0.363,0.381,0.667,0.231,0.267,0.0,0.4,1.0,0.0,0.1,0.4,8,0.625,0,2,0.0,3,0.667,4,0,2,0,4,1,12,-7,19.0,0,0,0,,0,0.0,86.4,104.2,-17.8,0.0,0.148,0.625,95.69,0.75,0.25,0.833,0.0,0.0,0.667,0.2,0.8,0.453,0.25,0.084,0.188,0,2,0,8,8,7,4,16,7,2,NBA TV
2016-10-12,Shelvin Mack,UTA,PHX,,16:25,0.24,0.222,0.111,0.0,0.067,0.571,0.429,0.0,0.0,0.167,0.162,6,0.5,0,1,0.0,0,0.0,1,4,0,0,3,2,6,-4,10.75,0,0,0,,0,0.0,101.3,102.1,-0.8,0.444,0.033,0.5,112.08,0.833,0.167,1.0,0.0,0.0,0.667,0.333,0.667,0.485,0.424,0.1,0.176,0,0,0,4,9,6,13,24,6,0,NBA TV
2016-10-17,Shelvin Mack,UTA,LAC,,16:18,0.277,0.269,0.333,0.6,0.118,0.375,0.125,0.2,0.0,0.167,0.318,7,0.714,2,4,0.5,6,0.333,2,3,1,0,1,1,14,23,22.75,0,0,0,,0,0.0,117.6,63.3,54.4,0.25,0.074,0.857,103.95,0.429,0.571,0.429,0.429,0.5,0.429,0.4,0.6,0.315,0.185,0.211,0.158,7,1,0,6,4,3,2,8,3,3,
2016-10-19,Shelvin Mack,UTA,POR,,17:55,0.222,0.286,0.0,0.0,0.125,0.429,0.0,0.0,0.0,0.333,0.182,8,0.375,0,0,0.0,0,0.0,2,3,0,0,0,1,6,4,12.25,0,0,0,,0,0.0,97.2,85.9,11.3,0.429,0.063,0.375,90.71,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.446,0.143,0.148,0.067,2,0,0,6,5,0,3,14,0,0,
2015-11-04,Shelvin Mack,ATL,BKN,,7:45,0.252,0.154,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.25,0.0,2,0.0,0,0,0.0,0,0.0,2,0,0,0,2,1,0,0,1.5,2,19,14,0.0,0,0.0,63.0,72.0,-9.1,0.0,0.133,0.0,92.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.167,0.144,0.143,0,0,0,0,4,0,2,4,0,0,
2015-11-13,Shelvin Mack,ATL,BOS,,0:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-15,Shelvin Mack,ATL,UTA,,14:30,0.311,0.304,0.167,0.333,0.0,0.333,0.333,0.5,0.0,0.2,0.318,7,0.429,0,1,0.0,1,1.0,0,2,2,0,2,1,7,-11,12.5,2,34,25,0.08,6,0.5,77.7,121.3,-43.6,0.333,0.0,0.429,91.9,0.857,0.143,0.857,0.0,0.0,0.571,0.667,0.333,0.652,0.217,0.184,0.3,0,0,2,4,7,5,4,12,5,0,
2015-11-17,Shelvin Mack,ATL,BKN,,18:43,0.193,0.286,0.444,0.0,0.105,0.286,0.0,0.5,0.0,0.167,0.258,8,0.375,2,4,0.5,0,0.0,2,2,2,0,0,1,8,4,18.0,4,56,48,0.0417,1,0.0,78.4,77.1,1.3,0.25,0.056,0.5,95.59,0.5,0.5,0.25,0.75,0.375,0.25,0.333,0.667,0.435,0.0,0.2,0.15,3,0,0,2,6,0,4,10,0,0,
