DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Solomon Hill,NOP,DAL,F,19:17,0.109,0.083,0.143,0.0,0.053,0.4,0.222,1.0,0.0,0.3,0.0,3,0.0,0,1,0.0,0,0.0,1,4,1,0,2,3,0,-8,7.25,0,0,0,,0,0.0,100.3,128.0,-27.7,0.222,0.029,0.0,98.5,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.375,0.104,0.176,0,0,0,0,10,3,4,10,3,0,
2016-10-04,Solomon Hill,NOP,IND,F,20:29,0.069,0.088,0.2,0.0,0.13,0.25,0.0,0.0,0.333,0.571,0.154,3,0.667,2,2,1.0,0,0.0,3,3,0,1,0,4,6,-5,16.5,0,0,0,,0,0.0,91.7,92.8,-1.1,0.25,0.061,1.0,105.36,0.333,0.667,0.0,1.0,0.5,0.0,1.0,0.0,0.394,0.213,0.063,0.241,3,3,0,0,7,11,10,26,11,0,
2016-10-09,Solomon Hill,NOP,HOU,F,23:45,0.151,0.128,0.143,0.368,0.263,0.118,0.0,0.0,0.0,0.333,0.162,5,0.4,0,2,0.0,7,1.0,5,2,0,0,0,5,11,-3,19.75,0,0,0,,0,0.0,132.4,134.7,-2.3,0.095,0.132,0.4,105.2,0.6,0.4,0.364,0.0,0.182,0.364,0.5,0.5,0.638,0.277,0.152,0.32,2,0,2,4,12,6,11,28,6,4,NBA TV
2016-10-12,Solomon Hill,NOP,HOU,F,26:47,0.196,0.163,0.333,0.429,0.259,0.167,0.125,0.5,0.333,0.083,0.24,8,0.25,1,5,0.2,9,0.778,7,2,2,1,1,1,12,-7,29.25,0,0,0,,0,0.0,84.4,99.3,-14.9,0.143,0.127,0.313,104.55,0.375,0.625,0.167,0.25,0.333,0.167,0.5,0.5,0.453,0.189,0.122,0.259,4,2,3,2,17,10,11,28,10,5,NBA TV
2016-10-18,Solomon Hill,NOP,ATL,F,37:17,0.172,0.152,0.25,0.267,0.129,0.188,0.231,0.364,0.0,0.13,0.178,10,0.4,2,4,0.5,4,0.75,4,3,4,0,3,3,13,-4,29.25,0,0,0,,0,0.0,88.4,94.3,-5.9,0.13,0.056,0.5,105.75,0.6,0.4,0.308,0.462,0.615,0.154,0.5,0.5,0.477,0.338,0.208,0.263,8,2,0,2,14,9,2,32,9,3,NBA TV
2016-10-20,Solomon Hill,NOP,ORL,F,34:02,0.047,0.048,0.118,0.133,0.111,0.091,0.0,1.0,0.0,0.231,0.077,3,0.333,1,2,0.5,2,1.0,4,1,1,0,0,3,5,-5,13.75,0,0,0,,0,0.0,87.1,91.6,-4.5,0.042,0.058,0.5,106.48,0.333,0.667,0.0,0.6,0.4,0.0,1.0,0.0,0.444,0.141,0.118,0.222,2,3,2,0,18,11,15,36,11,2,
2015-10-31,Solomon Hill,IND,UTA,,1:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,1,3,2,0.0,0,0.0,0.0,144.9,-144.9,0.0,0.0,0.0,83.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.0,0.5,0,0,0,0,4,0,1,0,0,0,
2015-11-16,Solomon Hill,IND,CHI,,12:59,0.186,0.192,0.4,0.0,0.059,0.0,0.25,0.0,0.0,0.0,0.222,5,0.4,0,2,0.0,0,0.0,1,0,0,0,1,0,4,-7,4.75,4,21,14,0.0,3,0.667,63.8,99.2,-35.4,0.0,0.032,0.4,98.71,0.6,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.227,0.079,0.071,0,0,2,4,6,0,6,12,0,1,
2015-11-18,Solomon Hill,IND,PHI,,10:34,0.217,0.238,0.333,0.0,0.5,0.167,0.25,0.333,0.0,0.25,0.167,5,0.4,0,1,0.0,0,0.0,5,1,1,0,1,1,4,-1,13.0,8,24,18,0.0556,4,0.5,93.6,95.4,-1.8,0.125,0.217,0.4,117.74,0.8,0.2,1.0,0.0,0.0,0.5,0.0,1.0,0.524,0.238,0.191,0.2,0,2,0,2,4,5,10,18,5,0,
2015-11-21,Solomon Hill,IND,MIL,,5:10,0.2,0.111,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.188,1,1.0,1,1,1.0,0,0.0,0,0,0,0,1,0,3,5,3.0,2,11,9,0.0,0,0.0,160.0,122.2,37.8,0.0,0.0,1.5,88.26,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.688,0.0,0.111,0.0,3,0,0,0,2,0,2,8,0,0,
