DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Spencer Hawes,CHA,DAL,,18:38,0.201,0.25,0.286,0.0,0.4,0.667,0.0,0.0,0.0,0.25,0.132,8,0.25,1,2,0.5,0,0.0,6,4,0,0,0,2,5,-1,18.0,0,0,0,,0,0.0,103.5,103.6,-0.1,0.364,0.162,0.313,95.78,0.75,0.25,0.4,0.6,0.0,0.4,0.5,0.5,0.531,0.188,0.186,0.25,0,0,0,2,5,2,3,10,2,0,
2016-10-06,Spencer Hawes,CHA,BOS,,19:16,0.19,0.2,0.182,0.0,0.154,0.462,0.25,0.0,0.5,0.222,0.133,7,0.429,0,2,0.0,0,0.0,2,6,0,1,1,2,6,10,17.5,0,0,0,,0,0.0,106.9,86.4,20.6,0.375,0.061,0.429,102.89,0.714,0.286,1.0,0.0,0.0,0.333,0.333,0.667,0.439,0.242,0.222,0.278,0,0,0,2,5,7,0,8,7,0,
2016-10-08,Spencer Hawes,CHA,BOS,,20:51,0.156,0.156,0.333,0.0,0.25,0.556,0.222,0.0,0.0,0.4,0.171,5,0.6,0,2,0.0,0,0.0,5,5,0,0,2,2,6,-9,17.5,0,0,0,,0,0.0,83.4,100.8,-17.4,0.417,0.128,0.6,98.53,0.6,0.4,1.0,0.0,0.0,0.0,0.667,0.333,0.464,0.143,0.069,0.19,0,0,0,0,13,4,4,20,4,1,NBA TV
2016-10-10,Spencer Hawes,CHA,MIN,,24:42,0.219,0.205,0.105,0.0,0.478,0.267,0.333,0.2,0.4,0.3,0.118,9,0.333,0,2,0.0,0,0.0,11,4,1,2,3,3,6,10,29.25,0,0,0,,0,0.0,100.5,79.1,21.4,0.222,0.224,0.333,99.69,0.778,0.222,1.0,0.0,0.0,0.333,0.667,0.333,0.333,0.229,0.135,0.296,0,0,0,2,5,4,8,24,4,3,
2016-10-17,Spencer Hawes,CHA,CHI,,20:14,0.174,0.158,0.071,0.0,0.278,0.077,0.5,0.2,0.0,0.4,0.158,6,0.5,0,1,0.0,0,0.0,5,1,1,0,2,2,6,-1,14.5,0,0,0,,0,0.0,92.8,100.6,-7.8,0.091,0.116,0.5,94.56,0.833,0.167,1.0,0.0,0.0,0.667,1.0,0.0,0.5,0.111,0.181,0.316,0,0,0,4,6,6,5,12,6,1,NBA TV
2016-10-20,Spencer Hawes,CHA,MIA,,24:45,0.226,0.231,0.417,0.0,0.0,0.25,0.375,0.0,0.0,0.25,0.163,9,0.333,2,5,0.4,0,0.0,0,3,0,0,3,3,8,3,11.25,0,0,0,,0,0.0,93.9,91.3,2.7,0.214,0.0,0.444,99.45,0.444,0.556,0.25,0.75,0.0,0.25,1.0,0.0,0.433,0.222,0.159,0.259,0,2,0,2,5,11,4,22,11,1,
2015-10-28,Spencer Hawes,CHA,MIA,,18:19,0.159,0.179,0.125,0.286,0.188,0.0,0.0,0.0,0.0,0.25,0.269,5,0.6,0,1,0.0,2,0.5,3,0,0,0,0,2,7,-14,10.75,8,28,20,0.0,2,1.0,74.1,111.6,-37.5,0.0,0.091,0.6,92.93,0.8,0.2,0.857,0.0,0.0,0.857,1.0,0.0,0.517,0.379,0.084,0.067,0,0,0,6,7,3,7,16,3,1,
2015-10-30,Spencer Hawes,CHA,ATL,,17:51,0.229,0.231,0.0,0.5,0.235,0.444,0.167,0.667,0.0,0.5,0.276,6,0.667,0,0,0.0,3,0.0,4,4,2,0,2,5,8,-9,21.0,10,28,19,0.2105,4,0.75,73.2,97.5,-24.4,0.571,0.118,0.667,105.68,1.0,0.0,1.0,0.0,0.0,0.75,0.75,0.25,0.516,0.281,0.154,0.158,0,0,2,6,13,3,10,12,3,3,
2015-11-01,Spencer Hawes,CHA,ATL,,18:24,0.216,0.235,0.133,0.0,0.235,0.2,0.167,0.333,0.167,0.5,0.067,8,0.125,0,2,0.0,0,0.0,4,2,1,1,1,4,2,-2,13.0,9,31,22,0.0909,3,0.0,77.4,85.3,-7.9,0.2,0.108,0.125,99.5,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.364,0.242,0.133,0.222,0,0,0,0,7,2,8,14,2,0,
2015-11-03,Spencer Hawes,CHA,CHI,,19:34,0.156,0.162,0.25,0.0,0.167,0.143,0.333,0.0,0.0,0.333,0.194,6,0.833,3,3,1.0,0,0.0,3,2,0,0,1,1,13,24,20.25,3,33,26,0.0769,3,0.667,156.4,101.6,54.8,0.105,0.1,1.083,104.46,0.5,0.5,0.308,0.692,0.231,0.308,1.0,0.0,0.6,0.086,0.165,0.059,3,0,3,4,6,2,8,14,2,1,
