DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Stephen Curry,GSW,TOR,G,16:43,0.215,0.214,0.278,0.385,0.182,0.429,0.111,0.286,0.0,0.125,0.222,6,0.333,1,5,0.2,5,0.6,2,3,2,0,1,1,8,-2,18.25,0,0,0,,0,0.0,88.4,92.1,-3.6,0.375,0.063,0.417,117.73,0.167,0.833,0.25,0.375,0.0,0.25,0.5,0.5,0.554,0.429,0.315,0.357,0,0,0,2,9,7,9,20,7,5,NBA TV
2016-10-04,Stephen Curry,GSW,LAC,G,23:11,0.195,0.229,0.3,0.15,0.115,0.25,0.111,0.5,0.0,0.231,0.197,8,0.5,3,6,0.5,3,1.0,3,5,3,0,1,3,14,44,31.0,0,0,0,,0,0.0,139.8,50.8,89.0,0.294,0.073,0.688,107.62,0.25,0.75,0.143,0.643,0.571,0.0,0.75,0.25,0.257,0.4,0.245,0.04,8,2,3,0,2,0,2,10,0,5,ESPN
2016-10-06,Stephen Curry,GSW,SAC,G,25:36,0.245,0.235,0.278,0.2,0.095,0.357,0.308,0.444,0.333,0.143,0.206,8,0.375,2,5,0.4,5,1.0,2,5,4,1,4,1,13,13,30.75,0,0,0,,0,0.0,110.5,86.6,24.0,0.333,0.045,0.5,107.59,0.375,0.625,0.154,0.462,0.231,0.154,0.333,0.667,0.49,0.083,0.225,0.2,3,8,0,2,12,7,10,20,7,3,
2016-10-14,Stephen Curry,GSW,DEN,G,27:07,0.351,0.327,0.36,0.778,0.36,0.267,0.286,0.0,0.5,0.167,0.338,17,0.412,2,9,0.222,7,0.857,9,4,0,2,2,2,22,-2,42.25,0,0,0,,0,0.0,108.4,109.5,-1.1,0.235,0.155,0.471,107.2,0.471,0.529,0.455,0.273,0.091,0.364,0.571,0.429,0.557,0.264,0.164,0.267,2,5,1,8,15,11,4,34,11,4,
2016-10-15,Stephen Curry,GSW,LAL,G,17:37,0.275,0.273,0.333,0.214,0.188,0.214,0.5,0.4,0.0,0.111,0.246,9,0.556,2,5,0.4,3,0.667,3,3,2,0,1,1,14,25,26.0,0,0,0,,0,0.0,149.4,79.4,69.9,0.2,0.103,0.667,106.86,0.444,0.556,0.429,0.429,0.0,0.429,0.6,0.4,0.379,0.414,0.199,0.133,0,0,0,6,3,3,0,6,3,2,NBA TV
2016-10-19,Stephen Curry,GSW,LAL,G,30:52,0.28,0.306,0.48,0.267,0.179,0.2,0.111,0.3,0.0,0.2,0.352,19,0.579,6,12,0.5,4,1.0,5,5,3,0,1,2,32,16,53.0,0,0,0,,0,0.0,122.0,97.9,24.1,0.227,0.089,0.737,117.56,0.368,0.632,0.313,0.563,0.156,0.188,0.545,0.455,0.54,0.238,0.183,0.219,5,0,5,6,12,12,20,24,12,2,ESPN
2016-10-21,Stephen Curry,GSW,POR,G,28:04,0.37,0.412,0.481,0.231,0.121,0.125,0.222,0.0,0.0,0.167,0.479,21,0.571,8,13,0.615,3,1.0,4,2,0,0,2,2,35,16,45.5,0,0,0,,0,0.0,120.2,86.6,33.7,0.167,0.069,0.762,108.2,0.381,0.619,0.229,0.686,0.086,0.171,0.5,0.5,0.429,0.196,0.122,0.097,3,11,6,6,13,5,11,28,5,2,NBA TV
2015-10-27,Stephen Curry,GSW,NOP,G,35:37,0.341,0.361,0.48,0.438,0.15,0.304,0.167,0.4,0.0,0.053,0.471,26,0.538,5,12,0.417,7,1.0,6,7,2,0,2,1,40,12,61.75,8,105,69,0.1014,11,0.636,110.3,93.8,16.5,0.389,0.097,0.635,104.34,0.538,0.462,0.45,0.375,0.25,0.35,0.429,0.571,0.508,0.339,0.154,0.071,10,11,8,14,16,4,13,30,4,6,TNT
2015-10-30,Stephen Curry,GSW,HOU,G,27:24,0.277,0.288,0.474,0.286,0.259,0.4,0.167,0.25,0.0,0.308,0.385,15,0.6,4,9,0.444,4,0.75,7,6,1,0,1,4,25,12,44.75,9,73,55,0.1091,6,0.667,109.9,90.8,19.1,0.375,0.127,0.733,102.94,0.4,0.6,0.4,0.48,0.28,0.4,0.444,0.556,0.406,0.396,0.137,0.214,7,10,2,10,7,8,7,24,8,2,ESPN
2015-10-31,Stephen Curry,GSW,NOP,G,35:38,0.42,0.429,0.56,0.355,0.143,0.474,0.5,0.571,0.0,0.167,0.486,27,0.63,8,14,0.571,11,1.0,4,9,4,0,2,3,53,16,80.25,5,95,58,0.1552,14,0.5,138.6,113.1,25.5,0.474,0.065,0.778,108.36,0.481,0.519,0.34,0.453,0.17,0.189,0.118,0.882,0.514,0.288,0.134,0.297,9,7,0,10,3,15,9,40,15,7,NBA TV
2015-11-02,Stephen Curry,GSW,MEM,G,28:24,0.318,0.314,0.444,0.375,0.079,0.158,0.3,0.5,0.111,0.25,0.405,16,0.625,4,8,0.5,6,1.0,3,3,3,1,3,2,30,37,46.0,9,61,42,0.0714,9,0.667,117.4,57.1,60.3,0.188,0.046,0.75,108.07,0.5,0.5,0.4,0.4,0.167,0.267,0.5,0.5,0.225,0.183,0.123,0.195,5,20,0,8,6,6,9,14,6,5,NBA TV
2015-11-04,Stephen Curry,GSW,LAC,G,32:38,0.29,0.304,0.5,0.474,0.2,0.2,0.0,0.25,0.0,0.176,0.397,17,0.471,7,11,0.636,9,0.889,5,4,1,0,0,3,31,7,47.75,8,77,51,0.0784,7,0.286,115.8,110.1,5.7,0.211,0.094,0.676,96.94,0.353,0.647,0.065,0.677,0.258,0.0,0.625,0.375,0.544,0.298,0.124,0.286,8,0,3,0,6,10,7,34,10,4,ESPN
2015-11-06,Stephen Curry,GSW,DEN,G,34:39,0.313,0.319,0.533,0.25,0.189,0.313,0.308,0.429,0.25,0.077,0.354,22,0.545,8,16,0.5,3,0.667,7,10,3,1,4,1,34,14,65.25,10,101,71,0.1408,9,0.667,121.1,101.7,19.4,0.4,0.104,0.727,110.74,0.273,0.727,0.235,0.706,0.265,0.235,0.75,0.25,0.493,0.214,0.149,0.216,9,6,3,8,13,5,12,34,5,6,
2015-11-07,Stephen Curry,GSW,SAC,G,39:08,0.274,0.243,0.303,0.35,0.162,0.13,0.375,0.2,0.0,0.091,0.276,18,0.444,2,10,0.2,7,0.857,6,3,2,0,6,1,24,6,37.25,10,99,71,0.0423,10,0.6,99.1,94.0,5.1,0.13,0.083,0.5,106.69,0.444,0.556,0.5,0.25,0.333,0.417,0.375,0.625,0.486,0.194,0.209,0.278,8,4,5,10,20,7,16,42,7,5,
2015-11-09,Stephen Curry,GSW,DET,G,36:50,0.28,0.25,0.368,0.462,0.139,0.227,0.357,0.3,0.0,0.077,0.253,18,0.389,3,7,0.429,6,0.833,5,5,3,0,5,1,22,12,39.5,7,94,65,0.0769,8,0.25,107.8,94.6,13.2,0.192,0.076,0.472,104.25,0.611,0.389,0.364,0.409,0.227,0.364,0.286,0.714,0.493,0.176,0.177,0.242,5,6,3,8,11,14,13,40,14,5,
2015-11-11,Stephen Curry,GSW,MEM,G,34:30,0.347,0.368,0.435,0.389,0.185,0.333,0.25,0.556,0.2,0.042,0.368,21,0.429,3,10,0.3,7,1.0,5,5,5,1,4,1,28,16,52.0,6,93,64,0.0781,13,0.538,102.8,86.3,16.5,0.278,0.091,0.5,99.78,0.524,0.476,0.429,0.321,0.357,0.429,0.222,0.778,0.309,0.702,0.23,0.286,10,10,0,12,14,6,4,24,6,6,
2015-11-12,Stephen Curry,GSW,MIN,G,37:42,0.372,0.352,0.406,0.615,0.179,0.143,0.375,0.25,0.0,0.188,0.43,25,0.6,8,13,0.615,8,1.0,5,4,2,0,3,3,46,21,63.75,11,97,59,0.0678,12,0.417,132.6,104.9,27.7,0.16,0.082,0.76,103.59,0.48,0.52,0.304,0.522,0.196,0.13,0.533,0.467,0.507,0.373,0.146,0.25,9,8,3,6,11,18,10,36,18,8,TNT
2015-11-14,Stephen Curry,GSW,BKN,G,43:45,0.358,0.378,0.5,0.3,0.068,0.222,0.267,0.143,0.0,0.063,0.378,31,0.419,5,16,0.313,3,1.0,3,6,1,0,4,1,34,3,47.75,13,111,70,0.0857,12,0.5,98.5,96.6,1.8,0.273,0.034,0.5,99.55,0.484,0.516,0.471,0.441,0.0,0.294,0.692,0.308,0.429,0.19,0.111,0.244,0,10,0,10,23,8,20,40,8,2,
2015-11-17,Stephen Curry,GSW,TOR,G,39:35,0.36,0.343,0.385,0.28,0.071,0.333,0.5,0.25,0.0,0.048,0.352,23,0.565,5,10,0.5,7,0.857,2,9,2,0,7,1,37,11,53.75,5,95,56,0.1607,9,0.444,120.7,109.8,10.9,0.346,0.033,0.674,104.67,0.565,0.435,0.432,0.405,0.189,0.27,0.308,0.692,0.53,0.47,0.175,0.281,7,7,6,10,20,14,12,48,14,7,NBA TV
2015-11-19,Stephen Curry,GSW,LAC,G,36:46,0.401,0.386,0.583,0.462,0.314,0.16,0.412,0.75,0.0,0.143,0.404,22,0.5,6,14,0.429,12,1.0,11,4,3,0,7,2,40,12,64.25,14,99,58,0.069,9,0.556,123.1,107.2,15.9,0.2,0.19,0.636,105.49,0.364,0.636,0.25,0.45,0.05,0.2,0.545,0.455,0.558,0.203,0.136,0.143,2,4,6,8,26,5,13,30,5,6,TNT
2015-11-20,Stephen Curry,GSW,CHI,G,36:05,0.354,0.333,0.458,0.3,0.143,0.25,0.5,0.571,0.0,0.2,0.318,20,0.45,3,11,0.273,6,1.0,5,4,4,0,6,2,27,11,44.75,11,87,56,0.0714,11,0.455,116.8,101.9,14.8,0.182,0.071,0.525,96.71,0.45,0.55,0.444,0.333,0.074,0.37,0.333,0.667,0.451,0.211,0.124,0.341,2,6,3,10,11,11,5,28,11,7,ESPN
2015-11-22,Stephen Curry,GSW,DEN,G,27:37,0.298,0.314,0.421,0.0,0.148,0.333,0.308,0.375,0.0,0.0,0.271,16,0.5,3,8,0.375,0,0.0,4,7,3,0,4,0,19,11,38.25,6,70,48,0.1458,10,0.5,114.6,94.1,20.5,0.368,0.073,0.594,107.55,0.5,0.5,0.526,0.474,0.211,0.316,0.5,0.5,0.389,0.407,0.175,0.364,4,5,3,6,8,6,15,28,6,1,ESPN
2015-11-24,Stephen Curry,GSW,LAL,G,30:10,0.307,0.35,0.429,0.0,0.121,0.429,0.0,0.5,0.0,0.25,0.316,21,0.476,4,12,0.333,0,0.0,4,9,2,0,0,1,24,36,46.25,7,74,51,0.1765,5,0.8,125.8,66.0,59.9,0.474,0.065,0.571,96.32,0.429,0.571,0.5,0.5,0.0,0.417,0.4,0.6,0.318,0.109,0.148,0.194,0,6,0,10,6,6,6,18,6,0,TNT
2015-11-27,Stephen Curry,GSW,PHX,G,30:39,0.38,0.37,0.552,0.478,0.171,0.348,0.353,0.333,0.0,0.182,0.446,20,0.55,9,16,0.563,11,0.909,6,8,2,0,6,2,41,27,64.0,9,94,53,0.1509,7,0.571,127.6,92.6,35.0,0.4,0.111,0.775,111.44,0.2,0.8,0.098,0.659,0.293,0.098,0.545,0.455,0.517,0.083,0.185,0.161,12,6,12,4,18,7,15,34,7,13,NBA TV
2015-11-28,Stephen Curry,GSW,SAC,G,29:48,0.179,0.163,0.3,0.381,0.16,0.286,0.083,0.6,0.0,0.067,0.241,7,0.571,3,6,0.5,8,1.0,4,6,3,0,1,1,19,19,38.5,7,65,51,0.1176,1,1.0,129.0,90.5,38.5,0.286,0.071,0.786,102.7,0.143,0.857,0.105,0.474,0.211,0.105,0.75,0.25,0.371,0.182,0.151,0.405,4,2,0,2,9,16,6,32,16,6,
2015-11-30,Stephen Curry,GSW,UTA,G,37:16,0.294,0.308,0.308,0.308,0.176,0.263,0.2,1.0,0.0,0.125,0.283,20,0.45,4,8,0.5,4,1.0,6,5,2,0,2,2,26,12,44.75,10,94,66,0.0758,10,0.4,130.1,105.4,24.7,0.2,0.1,0.55,94.44,0.6,0.4,0.385,0.462,0.077,0.231,0.444,0.556,0.5,0.269,0.119,0.25,2,3,2,6,9,14,2,32,14,3,
2015-12-02,Stephen Curry,GSW,CHA,G,30:49,0.346,0.327,0.423,0.5,0.091,0.263,0.385,0.0,0.0,0.2,0.5,18,0.778,8,11,0.727,4,1.0,3,5,0,0,5,2,40,19,51.5,6,70,46,0.1087,11,0.727,122.1,91.4,30.7,0.294,0.048,1.0,102.99,0.389,0.611,0.3,0.6,0.175,0.3,0.429,0.571,0.373,0.194,0.075,0.289,7,8,3,12,16,8,10,26,8,3,
2015-12-05,Stephen Curry,GSW,TOR,G,37:51,0.382,0.4,0.577,0.281,0.057,0.35,0.429,0.0,0.0,0.25,0.449,24,0.583,9,15,0.6,9,0.778,2,7,0,0,3,4,44,15,58.25,6,82,51,0.1373,13,0.615,130.5,107.5,23.1,0.438,0.032,0.771,96.6,0.375,0.625,0.227,0.614,0.068,0.227,0.5,0.5,0.478,0.304,0.065,0.171,3,6,9,10,11,12,9,48,12,4,
2015-12-06,Stephen Curry,GSW,BKN,G,32:14,0.298,0.288,0.36,0.211,0.161,0.118,0.444,0.143,0.0,0.182,0.368,17,0.647,5,9,0.556,4,0.25,5,2,1,0,4,2,28,10,39.25,9,71,47,0.0426,12,0.5,108.0,93.5,14.5,0.118,0.077,0.794,104.95,0.471,0.529,0.429,0.536,0.25,0.357,0.545,0.455,0.467,0.246,0.156,0.242,7,7,0,10,10,2,7,34,2,3,
2015-12-08,Stephen Curry,GSW,IND,G,35:39,0.33,0.319,0.345,0.545,0.2,0.417,0.308,0.333,0.0,0.083,0.282,23,0.478,3,10,0.3,6,0.667,7,10,3,0,4,1,29,18,55.75,17,105,73,0.137,10,0.5,121.4,97.2,24.2,0.345,0.097,0.543,116.01,0.565,0.435,0.552,0.31,0.103,0.414,0.455,0.545,0.468,0.218,0.171,0.302,3,8,0,12,15,12,20,38,12,5,NBA TV
2015-12-11,Stephen Curry,GSW,BOS,G,46:55,0.352,0.321,0.464,0.389,0.186,0.381,0.471,0.222,0.0,0.211,0.365,27,0.333,6,13,0.462,14,1.0,11,8,2,0,8,4,38,15,64.75,19,135,81,0.0988,19,0.211,101.1,86.3,14.9,0.333,0.113,0.444,105.39,0.519,0.481,0.158,0.474,0.053,0.158,0.556,0.444,0.446,0.152,0.136,0.167,2,4,2,6,18,8,10,36,8,9,
2015-12-12,Stephen Curry,GSW,MIL,G,35:14,0.309,0.324,0.409,0.318,0.184,0.263,0.2,0.143,0.0,0.133,0.337,22,0.455,2,9,0.222,7,0.857,7,5,1,0,2,2,28,0,45.0,10,87,60,0.0833,9,0.333,108.2,100.5,7.8,0.238,0.097,0.5,108.52,0.591,0.409,0.571,0.214,0.143,0.429,0.4,0.6,0.514,0.214,0.157,0.206,4,5,2,12,16,13,14,44,13,8,NBA TV
2015-12-16,Stephen Curry,GSW,PHX,G,29:35,0.256,0.255,0.2,0.278,0.063,0.292,0.25,0.111,0.0,0.364,0.269,14,0.714,2,5,0.4,5,0.6,2,7,1,0,3,4,25,37,37.75,6,67,46,0.1522,7,0.714,133.0,75.8,57.2,0.318,0.036,0.786,116.63,0.643,0.357,0.64,0.24,0.52,0.48,0.7,0.3,0.411,0.196,0.23,0.129,13,10,0,12,7,8,11,24,8,3,ESPN
2015-12-18,Stephen Curry,GSW,MIL,G,39:20,0.26,0.209,0.261,0.314,0.256,0.333,0.462,0.333,0.0,0.125,0.248,14,0.5,2,6,0.333,11,0.909,10,9,2,0,6,2,26,13,51.75,14,93,64,0.1406,10,0.4,123.0,102.6,20.4,0.321,0.141,0.571,106.83,0.571,0.429,0.385,0.231,0.154,0.308,0.571,0.429,0.462,0.278,0.134,0.275,4,3,2,8,16,10,15,48,10,7,
2015-12-23,Stephen Curry,GSW,UTA,G,34:13,0.246,0.23,0.421,0.4,0.156,0.5,0.273,0.429,0.0,0.286,0.213,14,0.357,2,8,0.25,4,1.0,5,9,3,0,3,2,16,21,39.0,8,88,66,0.1364,6,0.333,109.6,79.1,30.6,0.375,0.083,0.429,95.87,0.429,0.571,0.375,0.375,0.25,0.125,0.2,0.8,0.4,0.218,0.234,0.25,4,2,2,2,4,10,0,22,10,2,
